#Event,WhiteElo,BlackElo,Ply,Result
11945,2410,2585,61,1/2-1/2
11946,2304,2208,99,1-0
11947,2403,2034,75,1-0
11948,2072,1879,80,0-1
11949,2204,2244,90,1/2-1/2
11950,2000,1788,87,1-0
11951,2192,2170,83,1-0
11952,2182,1911,68,0-1
11953,2427,2066,135,1-0
11954,2156,2127,95,1-0
11955,2211,2203,51,1-0
11956,1871,2196,44,1/2-1/2
11957,2326,2170,75,1-0
11958,1944,1963,59,1-0
11959,2267,2084,86,1/2-1/2
11960,2453,2513,109,1-0
11961,1638,2408,150,0-1
11962,1971,2141,132,1/2-1/2
11963,2541,2471,63,1-0
11964,2216,2518,220,1/2-1/2
11965,2312,2347,83,1/2-1/2
11966,2282,2388,86,1/2-1/2
11967,2599,2348,70,1/2-1/2
11968,1964,2132,117,1/2-1/2
11969,1646,1711,73,1-0
11970,2265,1928,45,1-0
11971,1873,2071,94,0-1
11972,2129,2205,67,0-1
11973,2337,2150,91,1-0
11974,1599,1665,63,0-1
11975,2278,2498,42,1/2-1/2
11976,2511,2091,59,1-0
11977,2572,2033,39,1-0
11978,2161,2265,59,1-0
11979,2379,2483,85,1-0
11980,2415,2263,84,1/2-1/2
11981,2075,1933,82,1/2-1/2
11982,2392,2360,116,1/2-1/2
11983,1848,1554,57,1-0
11984,2080,2212,18,1/2-1/2
11985,1933,2099,84,0-1
11986,2257,2233,86,0-1
11987,2013,2369,43,1-0
11988,2710,2567,111,1/2-1/2
11989,2142,1981,62,1-0
11990,2484,2554,120,1/2-1/2
11991,2456,2422,77,1-0
11992,2435,2205,125,1-0
11993,2264,2143,144,1-0
11994,2419,2075,57,1-0
11995,2164,2072,66,0-1
11996,2287,2011,61,1-0
11997,2297,2112,45,1/2-1/2
11998,2156,2327,52,0-1
11999,2535,2368,123,1-0
12000,1881,1768,33,1-0
12001,2225,2412,76,0-1
12002,2216,2114,161,1-0
12003,2247,2538,88,0-1
12004,1973,2489,72,0-1
12005,2056,2002,71,1-0
12006,2721,2731,77,1-0
12007,1914,1721,53,1-0
12008,2205,2330,66,0-1
12009,2294,2209,172,1/2-1/2
12010,2034,2084,103,1/2-1/2
12011,2015,1800,113,1-0
12012,2170,2401,115,1-0
12013,2593,2532,85,1-0
12014,2425,2650,56,0-1
12015,2594,2442,81,1/2-1/2
12016,2318,2620,182,0-1
12017,1895,2009,78,0-1
12018,2616,2446,95,1-0
12019,2409,2473,24,1/2-1/2
12020,2207,2077,181,1-0
12021,1964,1681,101,1-0
12022,1812,2117,48,0-1
12023,2567,2595,68,1/2-1/2
12024,2251,2192,93,1-0
12025,2237,2166,69,1-0
12026,2212,2519,62,0-1
12027,1914,2162,72,0-1
12028,2220,2344,132,1/2-1/2
12029,2131,1949,59,1/2-1/2
12030,2396,2667,93,1-0
12031,2385,2236,83,1-0
12032,2003,1845,29,1-0
12033,2476,1801,59,1-0
12034,2060,1873,79,1-0
12035,2332,2679,48,0-1
12036,2009,2022,170,0-1
12037,2259,2637,124,0-1
12038,2011,2174,66,0-1
12039,2098,2296,76,0-1
12040,2314,2250,69,1-0
12041,1846,1984,76,1/2-1/2
12042,2270,2424,79,1/2-1/2
12043,2640,2576,49,1/2-1/2
12044,1948,2389,66,0-1
12045,2757,2810,106,1/2-1/2
12046,2318,2143,144,0-1
12047,2373,2203,95,1-0
12048,2596,2448,102,0-1
12049,2294,2549,136,1/2-1/2
12050,2441,2301,53,1-0
12051,2317,2256,70,0-1
12052,2450,2414,84,0-1
12053,2678,2747,27,1/2-1/2
12054,2456,1924,91,1-0
12055,1745,1997,115,1/2-1/2
12056,2339,1330,47,1-0
12057,1677,1264,59,1-0
12058,1925,1769,78,1/2-1/2
12059,2176,2477,40,1/2-1/2
12060,2504,2229,41,1-0
12061,2676,2518,59,1-0
12062,2283,1886,55,1-0
12063,2113,1966,101,1-0
12064,2462,2380,65,1/2-1/2
12065,1741,2124,110,0-1
12066,2554,2415,72,0-1
12067,2121,1833,103,1-0
12068,2427,2483,78,0-1
12069,2174,1840,77,1-0
12070,1832,2330,83,1/2-1/2
12071,2319,2255,88,1-0
12072,2708,2737,183,1/2-1/2
12073,2642,2700,112,0-1
12074,2576,2390,55,1-0
12075,2554,2232,76,1-0
12076,2182,2079,137,1-0
12077,2471,2349,111,1/2-1/2
12078,2243,2519,146,0-1
12079,2540,2516,55,1-0
12080,2373,2148,149,1-0
12081,1780,1895,30,1/2-1/2
12082,2287,2196,110,0-1
12083,2161,2247,113,1-0
12084,2355,2515,128,0-1
12085,2242,2123,71,1-0
12086,2181,2243,79,1-0
12087,2505,2613,142,1/2-1/2
12088,2590,2365,78,1-0
12089,1928,1836,141,1/2-1/2
12090,2660,2609,37,1/2-1/2
12091,2475,2299,100,0-1
12092,2501,2416,67,1-0
12093,2417,2640,76,0-1
12094,2371,2364,73,1/2-1/2
12095,1873,2223,76,0-1
12096,2481,2551,68,0-1
12097,1713,2185,74,0-1
12098,2241,2265,61,1/2-1/2
12099,2238,2349,91,1-0
12100,2506,2436,85,1/2-1/2
12101,1951,2311,82,1/2-1/2
12102,2352,2224,81,1-0
12103,2214,1909,63,1-0
12104,1809,1926,63,1/2-1/2
12105,2306,2317,72,0-1
12106,1918,2043,99,1/2-1/2
12107,2161,2231,104,0-1
12108,2337,2525,71,1-0
12109,2259,2111,34,1-0
12110,2271,2085,89,1-0
12111,2557,2250,103,1-0
12112,2174,2101,79,1-0
12113,2278,1659,75,1-0
12114,1819,1967,71,1-0
12115,2291,2180,146,0-1
12116,1951,2252,142,0-1
12117,2203,2408,102,0-1
12118,2381,2235,134,1/2-1/2
12119,2101,2061,101,1-0
12120,2219,2375,118,0-1
12121,2580,2367,50,1/2-1/2
12122,2138,1796,47,1-0
12123,1866,1600,76,1/2-1/2
12124,2094,1907,57,1-0
12125,2344,2328,62,1/2-1/2
12126,2129,2391,127,1/2-1/2
12127,2333,2595,88,0-1
12128,2020,1961,87,1-0
12129,2097,1959,112,0-1
12130,2391,1960,69,1-0
12131,2311,2518,74,1/2-1/2
12132,2302,2018,83,1-0
12133,2547,2379,118,1-0
12134,2344,2547,61,1/2-1/2
12135,2304,2370,52,1/2-1/2
12136,2302,2291,59,1-0
12137,2214,2451,51,1/2-1/2
12138,2256,2368,98,0-1
12139,2471,2343,121,1-0
12140,2335,2241,91,1/2-1/2
12141,2585,2485,182,0-1
12142,2197,1985,91,1-0
12143,2525,2370,87,1-0
12144,2576,2164,81,1-0
12145,2342,2522,114,0-1
12146,2352,2542,138,0-1
12147,2772,2713,107,1/2-1/2
12148,2244,1849,69,1-0
12149,2386,2523,124,0-1
12150,2446,2631,155,0-1
12151,2308,2206,69,1-0
12152,2399,2319,43,1-0
12153,2181,2206,39,1-0
12154,2186,1866,61,1-0
12155,2571,2380,105,1-0
12156,2007,2310,58,0-1
12157,1988,1962,133,1-0
12158,1941,2364,82,0-1
12159,2516,2390,67,1-0
12160,2033,2216,70,0-1
12161,2012,2310,132,0-1
12162,2566,2464,93,1-0
12163,2757,2754,61,1-0
12164,1867,2122,68,0-1
12165,2535,2302,75,1-0
12166,2431,2673,60,0-1
12167,1969,2172,68,0-1
12168,2142,2354,66,0-1
12169,2520,2393,75,1-0
12170,2255,2008,79,1-0
12171,2065,2514,46,0-1
12172,2815,2748,161,1-0
12173,2230,1920,80,0-1
12174,2447,2184,69,1-0
12175,2313,2149,64,1-0
12176,1844,1976,52,1/2-1/2
12177,1888,2278,132,0-1
12178,2309,2533,80,0-1
12179,2437,2482,44,1/2-1/2
12180,2284,1812,155,1/2-1/2
12181,1937,1759,91,1-0
12182,1982,2149,109,1-0
12183,2559,2141,87,1-0
12184,2483,2197,92,1/2-1/2
12185,1883,1724,73,1-0
12186,2256,2365,55,1-0
12187,2016,1786,68,1/2-1/2
12188,2241,2199,90,0-1
12189,2438,2212,125,1-0
12190,2567,2423,95,1-0
12191,2378,1915,71,1-0
12192,2681,2397,95,1-0
12193,2230,2503,64,0-1
12194,2062,2177,60,0-1
12195,2658,2680,63,1/2-1/2
12196,2423,2296,61,1-0
12197,1959,2256,112,0-1
12198,2181,2167,105,1-0
12199,2159,2053,49,1-0
12200,2813,2868,60,1/2-1/2
12201,2391,2543,88,1/2-1/2
12202,2708,2785,87,1-0
12203,1698,1815,66,0-1
12204,2539,2393,73,1-0
12205,2344,2469,108,0-1
12206,2356,2406,57,1/2-1/2
12207,2505,2667,92,0-1
12208,2377,2309,106,0-1
12209,2060,2108,110,1-0
12210,2398,2082,66,1/2-1/2
12211,2710,2651,68,1/2-1/2
12212,2330,2577,76,0-1
12213,2033,2384,128,0-1
12214,1927,1824,95,1-0
12215,2105,2511,167,1/2-1/2
12216,2242,2125,83,1-0
12217,2242,2603,138,0-1
12218,2415,2230,61,1-0
12219,2574,2295,149,1-0
12220,2424,2032,77,1-0
12221,2467,2185,78,1/2-1/2
12222,2517,2475,58,1/2-1/2
12223,1952,2084,89,1/2-1/2
12224,2327,2418,69,1-0
12225,2174,1782,59,1-0
12226,1981,2114,102,1-0
12227,2440,2489,75,1-0
12228,2067,2373,74,1/2-1/2
12229,1950,2244,120,0-1
12230,2331,2514,101,1/2-1/2
12231,2340,2059,49,1-0
12232,2274,2123,117,1-0
12233,2659,2417,53,1/2-1/2
12234,2612,2212,85,1/2-1/2
12235,1931,2257,65,1-0
12236,2393,2239,125,1-0
12237,2368,2240,119,1-0
12238,1872,1893,35,1/2-1/2
12239,1724,2023,92,0-1
12240,2185,1856,79,1-0
12241,2133,2340,111,1/2-1/2
12242,2213,2079,81,1-0
12243,2255,2121,34,0-1
12244,2207,2409,71,0-1
12245,2313,2185,129,1/2-1/2
12246,2100,2523,48,0-1
12247,2239,2259,130,0-1
12248,2510,2415,111,1-0
12249,2529,2628,58,1/2-1/2
12250,1581,2296,72,0-1
12251,2201,2435,92,0-1
12252,2232,2071,60,0-1
12253,1665,2073,88,0-1
12254,2554,2412,83,1-0
12255,2534,2617,86,1/2-1/2
12256,2177,2394,98,1/2-1/2
12257,2175,1914,82,0-1
12258,1999,2191,94,0-1
12259,2654,2269,71,1-0
12260,2024,2589,92,0-1
12261,2296,1802,81,1-0
12262,2246,2397,124,0-1
12263,2385,2328,86,1/2-1/2
12264,1708,1829,65,1/2-1/2
12265,2215,1882,42,1/2-1/2
12266,2527,2394,21,1/2-1/2
12267,2380,2045,93,1-0
12268,2473,2499,68,1/2-1/2
12269,2170,2338,125,1/2-1/2
12270,1806,2153,44,0-1
12271,2286,2467,93,1-0
12272,1919,2145,77,1-0
12273,1918,2065,93,1/2-1/2
12274,2062,2039,71,1-0
12275,2508,2074,38,0-1
12276,2439,2362,135,1/2-1/2
12277,2092,2141,44,0-1
12278,1357,1370,65,1-0
12279,2379,2320,31,1/2-1/2
12280,2527,2485,118,1/2-1/2
12281,1983,2130,54,1/2-1/2
12282,2406,2597,120,1/2-1/2
12283,2275,2028,82,0-1
12284,2556,2523,85,1-0
12285,1955,2355,84,0-1
12286,2321,2242,61,1-0
12287,2324,2277,44,1/2-1/2
12288,2044,2120,57,1/2-1/2
12289,2026,1920,120,0-1
12290,2779,2719,102,1/2-1/2
12291,2348,2176,54,0-1
12292,2356,2312,85,1/2-1/2
12293,2297,2172,73,1-0
12294,2492,2641,148,1/2-1/2
12295,1514,1734,97,1-0
12296,2292,2304,44,1/2-1/2
12297,2394,2448,111,1-0
12298,2138,1861,82,0-1
12299,2511,2587,84,0-1
12300,2493,2441,144,0-1
12301,2313,2087,59,1/2-1/2
12302,2300,2450,104,0-1
12303,2149,1987,59,1-0
12304,2372,1904,142,1/2-1/2
12305,2083,2301,101,1-0
12306,2002,2071,78,1-0
12307,1823,1929,133,1-0
12308,2083,2469,51,0-1
12309,2553,2562,42,1/2-1/2
12310,2270,2459,67,1-0
12311,2136,2073,80,0-1
12312,2360,1988,47,1-0
12313,2246,2112,83,1-0
12314,2053,2263,68,0-1
12315,2331,2486,99,1/2-1/2
12316,1672,1958,54,0-1
12317,2345,2264,121,1-0
12318,2534,2200,52,1-0
12319,2488,2533,77,1/2-1/2
12320,2595,2628,80,0-1
12321,2438,2636,42,1/2-1/2
12322,2594,2506,98,1/2-1/2
12323,2051,2284,123,1/2-1/2
12324,1810,1993,60,0-1
12325,2216,2178,86,1/2-1/2
12326,2325,2186,99,1-0
12327,2241,2427,76,0-1
12328,2450,2423,107,1-0
12329,2487,2464,75,1-0
12330,2224,1971,43,1/2-1/2
12331,1816,2157,55,1-0
12332,2308,2278,61,1-0
12333,2528,2356,95,1-0
12334,2581,2239,98,0-1
12335,2309,2527,42,0-1
12336,2475,2571,113,1-0
12337,2120,2063,107,1-0
12338,2100,2283,65,1/2-1/2
12339,2305,2245,71,1-0
12340,2374,2248,89,1/2-1/2
12341,2382,2488,107,0-1
12342,2315,2233,81,1/2-1/2
12343,2420,2269,87,1-0
12344,2353,1983,65,1-0
12345,2426,2104,53,1-0
12346,2465,1890,91,1-0
12347,2470,2610,28,1/2-1/2
12348,2496,2483,142,1/2-1/2
12349,2072,2291,26,0-1
12350,2167,2009,59,1-0
12351,1871,1614,89,1/2-1/2
12352,2258,2611,106,0-1
12353,2015,1845,56,0-1
12354,2276,1815,103,1-0
12355,2604,2588,159,1/2-1/2
12356,2205,2157,109,1/2-1/2
12357,2193,1993,23,1-0
12358,1968,2220,73,1-0
12359,2404,2490,42,1/2-1/2
12360,2437,2229,87,1-0
12361,2347,2298,48,1/2-1/2
12362,2391,2471,56,0-1
12363,2381,2270,27,1/2-1/2
12364,2174,2008,69,1-0
12365,2328,2455,74,0-1
12366,2375,2469,140,1-0
12367,2295,2374,97,1/2-1/2
12368,2487,2196,57,1-0
12369,1906,2292,67,1-0
12370,2460,2605,107,1-0
12371,2249,1544,131,1-0
12372,2239,1630,71,1-0
12373,2168,2545,92,1/2-1/2
12374,2532,2554,16,1/2-1/2
12375,2560,2303,72,1/2-1/2
12376,1995,1704,59,1-0
12377,2121,2137,136,0-1
12378,2782,2708,119,1/2-1/2
12379,1860,1935,79,1-0
12380,2022,1866,39,1-0
12381,2490,2538,89,1/2-1/2
12382,1628,1879,66,0-1
12383,2137,2259,105,1/2-1/2
12384,2276,1873,47,1-0
12385,2400,2479,27,1/2-1/2
12386,2479,2273,79,1-0
12387,2360,1989,59,1-0
12388,2312,2314,21,1/2-1/2
12389,2337,2545,62,0-1
12390,2402,2387,108,0-1
12391,2227,2053,60,0-1
12392,1913,2005,9,0-1
12393,2187,1940,62,1/2-1/2
12394,2285,2022,54,0-1
12395,2050,1951,47,1/2-1/2
12396,2415,1937,93,1-0
12397,2607,2293,55,1-0
12398,2259,2471,31,1/2-1/2
12399,2727,2709,118,1/2-1/2
12400,1667,1973,87,1/2-1/2
12401,1867,1829,103,1-0
12402,2127,1833,91,1/2-1/2
12403,1193,1775,50,0-1
12404,2024,2043,80,0-1
12405,1638,1279,35,1-0
12406,2639,2551,60,1-0
12407,2238,2169,120,0-1
12408,2029,1989,91,1-0
12409,2052,1862,69,1-0
12410,2188,2007,84,1-0
12411,2324,2438,119,1/2-1/2
12412,2072,1791,57,1-0
12413,1607,1432,81,1-0
12414,2007,2203,66,0-1
12415,2025,1664,113,1-0
12416,1887,2037,58,0-1
12417,2349,1979,49,1-0
12418,2215,1878,106,0-1
12419,2220,2114,50,0-1
12420,2481,2437,31,1/2-1/2
12421,2073,1716,41,1-0
12422,2167,1936,23,1-0
12423,2104,2391,56,0-1
12424,2417,2075,51,1-0
12425,2070,1885,135,1-0
12426,2166,2111,82,0-1
12427,1975,2152,148,0-1
12428,2311,2554,68,0-1
12429,2611,2313,81,1-0
12430,2417,2362,94,0-1
12431,2760,2713,80,1/2-1/2
12432,2423,2396,98,1/2-1/2
12433,2386,2296,83,1/2-1/2
12434,2327,2397,62,1/2-1/2
12435,2177,1965,27,1/2-1/2
12436,1913,2014,55,0-1
12437,2423,1760,109,1-0
12438,1390,1498,57,1-0
12439,2201,2088,76,1/2-1/2
12440,2711,2085,49,1-0
12441,1892,2121,55,1-0
12442,2657,2695,87,1-0
12443,2377,2443,118,0-1
12444,2373,2440,86,0-1
12445,1697,1962,71,0-1
12446,2428,2144,137,1-0
12447,2260,2536,79,0-1
12448,2150,2008,75,1-0
12449,2250,2373,92,0-1
12450,1930,1983,37,1/2-1/2
12451,2531,2269,71,1-0
12452,2301,2294,94,1/2-1/2
12453,1755,1959,96,1/2-1/2
12454,2472,2598,37,1/2-1/2
12455,2017,2169,39,1/2-1/2
12456,2091,1935,64,1/2-1/2
12457,2538,2582,76,0-1
12458,2170,2017,53,1/2-1/2
12459,2521,2664,77,1-0
12460,2578,2627,28,1/2-1/2
12461,2218,1915,41,1-0
12462,1896,2061,72,0-1
12463,2438,2622,197,1/2-1/2
12464,2528,2560,21,1/2-1/2
12465,2126,2267,87,1-0
12466,2519,2490,70,0-1
12467,1991,2150,26,1/2-1/2
12468,2530,1969,73,1-0
12469,2123,2345,62,0-1
12470,2172,1984,57,1-0
12471,2575,2503,49,1/2-1/2
12472,2455,2103,95,1-0
12473,2392,2529,171,1-0
12474,2460,2363,83,1-0
12475,2412,2365,21,1/2-1/2
12476,2321,2112,68,0-1
12477,2277,2468,50,0-1
12478,2470,2635,82,1/2-1/2
12479,2092,1668,39,1-0
12480,1333,1517,58,0-1
12481,2107,2075,54,1-0
12482,2418,2568,55,1/2-1/2
12483,2085,1641,89,1-0
12484,1984,2419,52,0-1
12485,2340,2531,109,1-0
12486,2418,2481,77,1/2-1/2
12487,2368,2143,81,1-0
12488,2090,1691,39,1-0
12489,1681,2033,70,1/2-1/2
12490,2072,1842,43,1-0
12491,1950,2023,58,0-1
12492,2123,2127,88,1/2-1/2
12493,2174,2111,114,0-1
12494,2455,2353,77,1-0
12495,2346,2088,101,1/2-1/2
12496,2344,1998,47,1-0
12497,2401,2282,87,1-0
12498,2002,1733,123,1-0
12499,2368,2442,86,0-1
12500,1642,2077,62,0-1
12501,1856,2056,22,1/2-1/2
12502,2183,2108,85,1-0
12503,2423,2285,125,1-0
12504,2100,2479,87,1-0
12505,1919,2055,92,1/2-1/2
12506,2363,2515,63,1/2-1/2
12507,2064,2456,80,0-1
12508,2599,2437,69,1-0
12509,2335,1927,65,0-1
12510,2220,2024,109,1-0
12511,2201,2590,60,0-1
12512,2535,2285,63,1-0
12513,2256,2558,74,0-1
12514,1598,1741,64,0-1
12515,2080,1826,85,1-0
12516,1847,1915,27,1/2-1/2
12517,2178,1953,64,0-1
12518,2384,2258,79,1/2-1/2
12519,2091,2244,73,1-0
12520,2153,2226,124,0-1
12521,2280,2368,93,1-0
12522,1997,2151,44,0-1
12523,2548,2652,57,1-0
12524,2412,2447,157,1/2-1/2
12525,2301,2501,106,0-1
12526,2370,2222,69,1-0
12527,2634,2408,54,1/2-1/2
12528,2359,2506,48,1-0
12529,2305,2482,105,1-0
12530,2009,1900,180,0-1
12531,2430,2161,95,1-0
12532,1927,2142,49,1-0
12533,1972,2026,131,1-0
12534,2050,2192,64,0-1
12535,2169,2327,120,0-1
12536,2383,2534,43,0-1
12537,1988,2242,111,0-1
12538,2136,2099,72,0-1
12539,2276,2381,98,0-1
12540,2747,2786,82,1/2-1/2
12541,2082,1910,30,1/2-1/2
12542,2643,2398,137,1-0
12543,2359,2481,33,1/2-1/2
12544,2024,2162,102,0-1
12545,2057,2187,115,1/2-1/2
12546,1933,2014,78,0-1
12547,2371,2498,118,0-1
12548,2050,2007,110,1-0
12549,2262,2202,131,1-0
12550,2545,2734,68,1/2-1/2
12551,2137,1849,60,1-0
12552,2255,2166,89,1-0
12553,2287,2316,95,1/2-1/2
12554,2517,2429,59,1/2-1/2
12555,2294,2131,95,1-0
12556,2477,2352,46,1/2-1/2
12557,2286,2217,36,1/2-1/2
12558,2530,2322,125,1-0
12559,2449,2540,42,1/2-1/2
12560,2500,2298,79,1-0
12561,2065,2260,82,0-1
12562,2393,2313,96,1-0
12563,2172,1917,111,1-0
12564,2144,1878,103,1-0
12565,2011,2208,116,0-1
12566,2253,1791,100,1/2-1/2
12567,1996,2136,96,0-1
12568,2034,1531,53,1-0
12569,2200,2382,60,0-1
12570,1549,1877,96,1/2-1/2
12571,1938,1858,102,1/2-1/2
12572,2470,2456,79,1/2-1/2
12573,2304,2250,82,0-1
12574,2287,2147,111,1-0
12575,2016,2393,32,1/2-1/2
12576,2341,2662,102,0-1
12577,2224,2134,119,1/2-1/2
12578,2266,2095,81,1-0
12579,2098,2219,107,1-0
12580,2474,2509,242,1/2-1/2
12581,2491,2474,114,1/2-1/2
12582,2160,2353,55,1-0
12583,2302,1647,99,1-0
12584,2257,2262,69,1/2-1/2
12585,2385,2328,147,1/2-1/2
12586,2446,2238,63,1-0
12587,2318,2211,96,1/2-1/2
12588,2413,2287,61,1/2-1/2
12589,2365,2296,8,1/2-1/2
12590,2234,2260,127,1/2-1/2
12591,2279,2440,75,1-0
12592,2447,2259,126,1/2-1/2
12593,2472,2375,38,1/2-1/2
12594,2308,2589,77,1/2-1/2
12595,2516,2521,75,1-0
12596,2339,2417,81,1/2-1/2
12597,2478,2203,72,1/2-1/2
12598,2339,2132,54,1-0
12599,2539,2596,86,0-1
12600,2505,2386,87,1/2-1/2
12601,2436,2650,34,1/2-1/2
12602,2388,2387,74,0-1
12603,2460,2594,80,0-1
12604,2730,2717,122,1/2-1/2
12605,2619,2638,95,1-0
12606,1810,1469,78,0-1
12607,1850,2491,54,0-1
12608,2278,2265,73,1-0
12609,2001,2170,38,1/2-1/2
12610,2218,2423,28,1/2-1/2
12611,2473,2578,82,0-1
12612,1927,2352,76,0-1
12613,2427,1904,57,1-0
12614,2155,2362,110,0-1
12615,2167,2365,119,1-0
12616,2022,2018,43,1-0
12617,2697,2676,72,0-1
12618,2098,1901,81,1-0
12619,1694,1876,78,0-1
12620,2647,2549,63,1-0
12621,2535,2404,106,0-1
12622,2286,2134,63,1-0
12623,1959,2412,56,0-1
12624,2290,2230,72,0-1
12625,2436,2505,55,1/2-1/2
12626,1939,2168,47,1/2-1/2
12627,2393,2641,94,0-1
12628,2432,2339,82,0-1
12629,2319,2368,127,1/2-1/2
12630,2502,2443,162,1/2-1/2
12631,2072,2162,43,1/2-1/2
12632,2133,2117,97,1-0
12633,2105,2011,88,1/2-1/2
12634,2112,2493,72,0-1
12635,2462,2498,38,1/2-1/2
12636,2512,2279,55,1-0
12637,2440,2447,130,0-1
12638,2572,2557,42,1/2-1/2
12639,2189,2426,70,0-1
12640,1761,1909,55,1-0
12641,2453,2524,166,0-1
12642,2052,2295,56,0-1
12643,2194,2582,66,0-1
12644,2427,2209,63,1-0
12645,2080,1733,55,1-0
12646,2328,2215,79,1/2-1/2
12647,2431,2530,80,0-1
12648,2224,2114,118,0-1
12649,2245,2069,100,1/2-1/2
12650,1774,2148,92,0-1
12651,1814,1757,89,1-0
12652,2363,2458,61,1-0
12653,2387,2161,81,1-0
12654,2263,2587,66,0-1
12655,2394,2284,90,1/2-1/2
12656,2282,2377,147,1-0
12657,2090,2290,71,1/2-1/2
12658,2393,2198,80,1/2-1/2
12659,2651,2589,28,1/2-1/2
12660,2338,2218,99,1-0
12661,1947,2021,113,1-0
12662,1700,2079,71,1/2-1/2
12663,2440,2248,240,0-1
12664,2207,1731,39,1-0
12665,2447,2385,81,1-0
12666,2311,1724,97,1-0
12667,2307,2452,142,0-1
12668,1999,1817,45,1-0
12669,1796,1483,55,1-0
12670,2441,2593,87,1/2-1/2
12671,2180,2061,81,1-0
12672,2409,2535,123,1/2-1/2
12673,2392,2251,82,1/2-1/2
12674,2521,2256,99,1-0
12675,1806,1683,43,1-0
12676,2505,2356,42,1/2-1/2
12677,2414,2183,125,1-0
12678,1987,1835,56,1/2-1/2
12679,1927,2061,45,1-0
12680,1862,2340,98,0-1
12681,2215,2129,116,0-1
12682,2055,2389,86,1/2-1/2
12683,2350,1926,65,1-0
12684,1769,1982,40,1/2-1/2
12685,2021,2414,66,0-1
12686,2757,2721,75,1/2-1/2
12687,2622,2682,149,1/2-1/2
12688,2427,2224,91,1-0
12689,2612,2499,121,1/2-1/2
12690,2216,2580,58,1/2-1/2
12691,2217,2650,54,0-1
12692,2623,2524,55,0-1
12693,2126,2207,42,1/2-1/2
12694,2034,2137,115,1-0
12695,1756,2161,90,0-1
12696,2313,2362,69,1-0
12697,2411,2376,103,1-0
12698,1879,2219,66,0-1
12699,2045,2169,65,1/2-1/2
12700,2255,2408,103,1/2-1/2
12701,2481,2422,20,1/2-1/2
12702,2201,2561,112,0-1
12703,2549,2528,90,0-1
12704,2586,2672,117,1/2-1/2
12705,2560,2398,103,0-1
12706,2127,1969,82,1/2-1/2
12707,2567,2546,61,1/2-1/2
12708,2039,1849,99,1-0
12709,2230,2269,43,1/2-1/2
12710,1878,2079,145,1/2-1/2
12711,2190,2028,45,1-0
12712,2553,2524,65,1-0
12713,1916,2362,70,0-1
12714,2201,2335,111,1-0
12715,2618,2433,68,1-0
12716,2262,2111,141,1-0
12717,2068,2312,101,1-0
12718,2086,2199,58,0-1
12719,2165,2318,55,1-0
12720,1817,2326,70,0-1
12721,2543,2047,63,1-0
12722,2188,2566,72,0-1
12723,1883,1893,120,0-1
12724,2408,2284,89,1/2-1/2
12725,2654,2682,111,1/2-1/2
12726,2177,2241,72,0-1
12727,2079,1834,83,1/2-1/2
12728,2652,2726,128,1/2-1/2
12729,2526,2409,76,0-1
12730,2351,2228,54,0-1
12731,2356,2162,53,1/2-1/2
12732,2553,2268,85,1-0
12733,2162,2321,42,1/2-1/2
12734,2096,2037,40,1/2-1/2
12735,2573,2097,41,1-0
12736,1911,1644,55,1-0
12737,1732,2128,72,0-1
12738,2688,2441,75,1-0
12739,2153,2266,104,1/2-1/2
12740,2046,2288,82,0-1
12741,2216,2012,80,1/2-1/2
12742,2440,2031,49,1-0
12743,2100,2397,61,1/2-1/2
12744,1867,1591,95,1-0
12745,2361,2501,85,1/2-1/2
12746,2645,2446,107,1-0
12747,2075,2305,100,0-1
12748,2753,2679,88,0-1
12749,2485,2263,41,1-0
12750,2408,2340,76,1/2-1/2
12751,2558,2591,39,1/2-1/2
12752,2157,2338,62,1/2-1/2
12753,2405,2469,16,1/2-1/2
12754,2580,2707,156,1/2-1/2
12755,2654,2366,59,1-0
12756,2406,2641,82,0-1
12757,1977,2232,94,0-1
12758,1865,2461,74,0-1
12759,1572,1815,97,1/2-1/2
12760,2231,2120,43,1-0
12761,1843,1602,69,1-0
12762,1967,2243,97,0-1
12763,2366,2533,95,1/2-1/2
12764,2145,2529,50,0-1
12765,2489,2249,79,1-0
12766,2681,2764,74,0-1
12767,2430,2538,77,1/2-1/2
12768,2097,1759,63,1-0
12769,1689,2131,116,0-1
12770,2507,2714,107,1/2-1/2
12771,1945,1777,103,1-0
12772,2004,2211,59,0-1
12773,2123,2408,38,0-1
12774,2370,2307,99,1-0
12775,2183,2239,93,1-0
12776,1698,1943,144,0-1
12777,2395,2378,56,1/2-1/2
12778,2358,2246,41,1-0
12779,2066,1754,86,1/2-1/2
12780,2475,2088,65,1-0
12781,2343,2498,76,0-1
12782,1780,2040,69,1/2-1/2
12783,2231,2129,110,1/2-1/2
12784,1751,2096,139,1-0
12785,2147,2226,120,0-1
12786,1728,1807,107,1-0
12787,2153,2396,76,0-1
12788,2455,2141,51,0-1
12789,2374,1945,51,1-0
12790,2591,2619,61,1/2-1/2
12791,2264,2034,123,1-0
12792,2074,2308,94,0-1
12793,1938,2251,128,0-1
12794,2555,2377,98,1/2-1/2
12795,2291,2028,135,1/2-1/2
12796,2091,2587,99,0-1
12797,1794,1916,46,0-1
12798,2222,2310,131,1-0
12799,2276,2020,75,1-0
12800,2752,2792,311,1-0
12801,2476,2290,98,1/2-1/2
12802,2484,2560,20,1/2-1/2
12803,2215,2482,64,0-1
