Count,Simple Fen
201,r1bq1rk1/1p1nbppp/p2p1n2/8/P3Pp2/2NB1N2/1PP3PP/R1BQ1RK1 w - -
118,r1bq1rk1/1p1nppbp/2np2p1/p7/2P1P3/2N5/PPNBBPPP/R2Q1RK1 w - -
131,r1bq1rk1/1p1nppbp/p1p2np1/2Pp4/3P1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ -
102,r1bq1rk1/1p1nppbp/p2p1np1/2p5/2PPP3/2N1BP2/PP1QN1PP/3RKB1R b K -
290,r1bq1rk1/1p1nppbp/p2p1np1/2p5/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQ -
244,r1bq1rk1/1p1nppbp/p4np1/3P4/2B5/Q1NP1N2/PP3PPP/R1B1K2R b KQ -
252,r1bq1rk1/1p1nppbp/p4np1/3P4/Q1B5/2NP1N2/PP3PPP/R1B1K2R w KQ -
215,r1bq1rk1/1p1pbppp/p1n1pn2/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -
143,r1bq1rk1/1p1pnpbp/2n3p1/p1p1p3/2P5/P1N2NP1/1P1PPPBP/1RBQ1RK1 w - -
246,r1bq1rk1/1p1pppbp/2n2np1/8/N2NP3/1B2B3/PPP2PPP/R2Q1RK1 b - -
252,r1bq1rk1/1p1pppbp/2n2np1/8/p2NP3/1BN1B3/PPP2PPP/R2Q1RK1 w - -
512,r1bq1rk1/1p1pppbp/2n2np1/p7/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 b - -
1040,r1bq1rk1/1p1pppbp/2n2np1/p7/3NP3/1BN1B3/PPP2PPP/R2QK2R w KQ -
295,r1bq1rk1/1p1pppbp/2n2np1/p7/3NP3/1BN1BP2/PPP3PP/R2QK2R b KQ -
186,r1bq1rk1/1p1pppbp/2n2np1/p7/P2NP3/1BN1B3/1PP2PPP/R2QK2R b KQ -
209,r1bq1rk1/1p1pppbp/2n3p1/1N6/N3n3/1B2B3/PPP2PPP/R2Q1RK1 b - -
246,r1bq1rk1/1p1pppbp/2n3p1/8/N2Nn3/1B2B3/PPP2PPP/R2Q1RK1 w - -
116,r1bq1rk1/1p1pppbp/2n3p1/p7/P2NP1Q1/1BN1B3/1PP2PPP/R3K2R b KQ -
150,r1bq1rk1/1p1pppbp/2n3p1/p7/P2NP1n1/1BN1B3/1PP2PPP/R2QK2R w KQ -
115,r1bq1rk1/1p1pppbp/6p1/p7/P2nP1Q1/1BN1B3/1PP2PPP/R3K2R w KQ -
228,r1bq1rk1/1p1pppbp/p1n2np1/8/2PN4/2N3P1/PP2PPBP/R1BQ1RK1 w - -
111,r1bq1rk1/1p2bpp1/p1np1n1p/4p3/4P3/2N2N1P/PPP1BPP1/R1BQR1K1 w - -
246,r1bq1rk1/1p2bppp/1npp1n2/p3p3/P1BPP3/2N2N1P/1PP2PP1/R1BQR1K1 w - -
105,r1bq1rk1/1p2bppp/1npp1n2/p3p3/P2PP3/2N2N1P/BPP2PP1/R1BQR1K1 b - -
201,r1bq1rk1/1p2bppp/2np1n2/p3p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 w - -
403,r1bq1rk1/1p2bppp/2np1n2/p3p3/4P3/1NN1BP2/PPPQ2PP/R3KB1R w KQ -
109,r1bq1rk1/1p2bppp/2np1n2/p3p3/4PP2/1NN5/PPP1B1PP/R1BQ1RK1 w - -
125,r1bq1rk1/1p2bppp/2np1n2/p3p3/P3P3/1NN1B3/1PP1BPPP/R2Q1RK1 b - -
375,r1bq1rk1/1p2bppp/2np1n2/pB2p3/4P3/1NN1BP2/PPPQ2PP/R3K2R b KQ -
212,r1bq1rk1/1p2bppp/n3pn2/p1Pp4/4P3/3B1N2/PPPNQPPP/R1B2RK1 w - -
169,r1bq1rk1/1p2bppp/n3pn2/p1PpP3/8/3B1N2/PPPNQPPP/R1B2RK1 b - -
147,r1bq1rk1/1p2bppp/p1n1p3/3n4/P1BP4/2N2N2/1P2QPPP/R1BR2K1 w - -
123,r1bq1rk1/1p2bppp/p1n1pn2/6B1/3P4/1BN2N2/PP1Q1PPP/R4RK1 b - -
156,r1bq1rk1/1p2bppp/p1n1pn2/6B1/3P4/1BN2N2/PP3PPP/R2Q1RK1 w - -
113,r1bq1rk1/1p2bppp/p1n1pn2/8/2BP4/P1N2N2/1P3PPP/R1BQ1RK1 w - -
123,r1bq1rk1/1p2bppp/p1n1pn2/8/3P4/1BN2N2/PP3PPP/R1BQR1K1 w - -
369,r1bq1rk1/1p2bppp/p1n1pn2/8/P1BP4/2N2N2/1P2QPPP/R1BR2K1 b - -
273,r1bq1rk1/1p2bppp/p1n1pn2/8/P1BP4/5N2/1P2QPPP/RNBR2K1 w - -
325,r1bq1rk1/1p2bppp/p1np1n2/4p3/2B1P3/2N1BN2/PPP2PPP/R2Q1RK1 w - -
227,r1bq1rk1/1p2bppp/p1np1n2/4p3/4P3/1NN5/PPP1BPPP/R1BQ1R1K w - -
111,r1bq1rk1/1p2bppp/p1np1n2/4p3/4PP2/1NN5/PPP1B1PP/R1BQ1R1K b - -
115,r1bq1rk1/1p2bppp/p1np1n2/4p3/P3P3/1NN5/1PP1BPPP/R1BQ1RK1 w - -
102,r1bq1rk1/1p2bppp/p1nppn2/6B1/3NP2P/2N2P2/PPPQ2P1/2KR1B1R b - -
124,r1bq1rk1/1p2bppp/p1nppn2/6B1/3NP3/2N2P2/PPPQ2PP/2KR1B1R w - -
167,r1bq1rk1/1p2bppp/p1nppn2/8/2BNP3/2N1B3/PPP1QPPP/2KR3R w - -
338,r1bq1rk1/1p2bppp/p1nppn2/8/2P1P3/N1N5/PP2BPPP/R1BQ1RK1 b - -
357,r1bq1rk1/1p2bppp/p1nppn2/8/2P1P3/N1N5/PP2BPPP/R1BQK2R w KQ -
173,r1bq1rk1/1p2bppp/p1nppn2/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -
742,r1bq1rk1/1p2bppp/p1nppn2/8/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R b - -
250,r1bq1rk1/1p2bppp/p1nppn2/8/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQ -
227,r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/1BN1B3/PPP1QPPP/2KR3R b - -
126,r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/1BN1B3/PPP1QPPP/R3K2R w KQ -
138,r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 w - -
167,r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/2N1B3/PPP1BPPP/R2Q1R1K w - -
546,r1bq1rk1/1p2bppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R w - -
175,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/1BN1B3/PPP3PP/R2Q1RK1 b - -
105,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/1BN1B3/PPP3PP/R2QK2R w KQ -
493,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1R1K b - -
934,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 w - -
259,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/2N1B3/PPP1B1PP/R3QRK1 b - -
107,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/2N1B3/PPPQB1PP/2KR3R b - -
173,r1bq1rk1/1p2bppp/p1nppn2/8/3NPP2/2N5/PPP1B1PP/R1BQ1R1K w - -
127,r1bq1rk1/1p2bppp/p1nppn2/8/P2NP3/2N1B3/1PP1BPPP/R2Q1R1K b - -
629,r1bq1rk1/1p2bppp/p1nppn2/8/P2NP3/2N1B3/1PP1BPPP/R2Q1RK1 w - -
916,r1bq1rk1/1p2bppp/p1nppn2/8/P2NPP2/2N1B3/1PP1B1PP/R2Q1RK1 b - -
116,r1bq1rk1/1p2bppp/p1nppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1R1K b - -
150,r1bq1rk1/1p2bppp/p1nppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1RK1 w - -
148,r1bq1rk1/1p2bppp/p2p1n2/2n1p3/P3PP2/2NB1N2/1PP3PP/R1BQ1R1K b - -
165,r1bq1rk1/1p2bppp/p2p1n2/2n1p3/P3PP2/2NB1N2/1PP3PP/R1BQ1RK1 w - -
156,r1bq1rk1/1p2bppp/p2p1n2/2n5/P3PB2/2NB1N2/1PP3PP/R2Q1R1K b - -
144,r1bq1rk1/1p2bppp/p2p1n2/2n5/P3Pp2/2NB1N2/1PP3PP/R1BQ1R1K w - -
242,r1bq1rk1/1p2bppp/p2ppn2/6B1/3QP2P/2N2P2/PPP3P1/2KR1B1R b - -
204,r1bq1rk1/1p2bppp/p2ppn2/6B1/3QP3/2N2P2/PPP3PP/2KR1B1R w - -
385,r1bq1rk1/1p2bppp/p2ppn2/8/3BP1P1/2N2P2/PPPQ3P/2KR1B1R b - -
147,r1bq1rk1/1p2bppp/p2ppn2/8/3BPP2/2N5/PPP1B1PP/R3QRK1 b - -
142,r1bq1rk1/1p2bppp/p2ppn2/8/3QP1P1/2N1BP2/PPP4P/2KR1B1R b - -
501,r1bq1rk1/1p2bppp/p2ppn2/8/3nP1P1/2N1BP2/PPPQ3P/2KR1B1R w - -
145,r1bq1rk1/1p2bppp/p2ppn2/8/3nPP2/2N1B3/PPP1B1PP/R3QRK1 w - -
123,r1bq1rk1/1p2bppp/p3pn2/4N3/PnBP4/2N5/1P2QPPP/R1BR2K1 b - -
213,r1bq1rk1/1p2bppp/p3pn2/8/PnBP4/2N2N2/1P2QPPP/R1BR2K1 w - -
159,r1bq1rk1/1p2npb1/2np2pp/p1p1p3/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -
118,r1bq1rk1/1p2npb1/2np2pp/p1p1p3/2P5/P1NP2P1/1P1BPPBP/1R1QNRK1 b - -
110,r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1N3P1/1P1PPPBP/1RBQNRK1 w - -
142,r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1N3P1/1PNPPPBP/1RBQ1RK1 b - -
282,r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - -
726,r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -
321,r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NP2P1/1P2PPBP/1RBQNRK1 b - -
113,r1bq1rk1/1p2npbp/2np2p1/p1p1p3/2P5/P1NPP1P1/1P2NPBP/1RBQ1RK1 b - -
126,r1bq1rk1/1p2ppbp/2n2np1/p2B4/3NP3/2N1BP2/PPP3PP/R2QK2R b KQ -
240,r1bq1rk1/1p2ppbp/2n2np1/p2p4/3NP3/1BN1BP2/PPP3PP/R2QK2R w KQ -
120,r1bq1rk1/1p2ppbp/2n3p1/p2n4/3NP3/2N1BP2/PPP3PP/R2QK2R w KQ -
180,r1bq1rk1/1p2ppbp/2np1np1/p7/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 w - -
101,r1bq1rk1/1p2ppbp/2pp1np1/p7/Pn1PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 w - -
185,r1bq1rk1/1p2ppbp/3p1np1/8/p1P1P3/2N1B3/PP1QBPPP/R4RK1 w - -
105,r1bq1rk1/1p2ppbp/3p1np1/p5B1/2P1P3/2N5/PP1QBPPP/R3K2R w KQ -
337,r1bq1rk1/1p2ppbp/3p1np1/p7/2P1P3/2N1B3/PP1QBPPP/R3K2R w KQ -
193,r1bq1rk1/1p2ppbp/3p1np1/p7/2P1P3/2N1B3/PP1QBPPP/R4RK1 b - -
123,r1bq1rk1/1p2ppbp/n1pp1np1/p7/P2PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 b - -
104,r1bq1rk1/1p2ppbp/n1pp1np1/p7/P2PP3/2N2N1P/1PP1BPP1/R1BQ1RK1 w - -
104,r1bq1rk1/1p2ppbp/p1Pp1np1/n7/2P5/1PN2NP1/P3PPBP/R1BQ1RK1 b - -
115,r1bq1rk1/1p2ppbp/p1n2np1/3p4/3P1B2/2NBPN1P/PP3PP1/R2QK2R w KQ -
396,r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -
279,r1bq1rk1/1p2ppbp/p1np1np1/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 b - -
270,r1bq1rk1/1p2ppbp/p1np1np1/6B1/4P3/1NN5/PPP1BPPP/R2Q1RK1 w - -
127,r1bq1rk1/1p2ppbp/p1np1np1/6B1/4PP2/1NN5/PPP1B1PP/R2Q1RK1 b - -
122,r1bq1rk1/1p2ppbp/p1np1np1/8/2P1P3/1PN2N2/PB1Q1PPP/R3KB1R w KQ -
121,r1bq1rk1/1p2ppbp/p1np1np1/8/2P1P3/2N1QN1P/PP2BPP1/R1B2RK1 b - -
103,r1bq1rk1/1p2ppbp/p1np1np1/8/2P1P3/4QN1P/PP2BPP1/RNB2RK1 w - -
272,r1bq1rk1/1p2ppbp/p1np1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -
134,r1bq1rk1/1p2ppbp/p1np1np1/8/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 w - -
152,r1bq1rk1/1p2ppbp/p1np1np1/8/4P3/1NN5/PPP1BPPP/R1BQR1K1 w - -
152,r1bq1rk1/1p2ppbp/p1np1np1/8/4P3/1NN5/PPP2PPP/R1BQRBK1 b - -
163,r1bq1rk1/1p2ppbp/p1np1np1/8/P2NP3/2N1B3/1PP1BPPP/R2Q1RK1 w - -
105,r1bq1rk1/1p2ppbp/p2p1np1/8/2P5/2NQ2P1/PP1BPPBP/R4RK1 b - -
276,r1bq1rk1/1p2ppbp/p2p1np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 w - -
126,r1bq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/1PN2NP1/P3PPBP/R1BQ1RK1 w - c6
220,r1bq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PP1NPPBP/1RBQ1RK1 b - -
325,r1bq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 w - -
477,r1bq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 w - c6
522,r1bq1rk1/1p2ppbp/p2p1np1/n1pP4/2P5/2N3P1/PPQNPPBP/R1B2RK1 b - -
136,r1bq1rk1/1p3pb1/p2p1np1/2pPn2p/P3P3/2N1BPN1/1P2B1PP/R2Q1RK1 b - -
107,r1bq1rk1/1p3pbp/2pp1np1/p3p3/Pn1PP3/2N1B1PP/1PP1NPB1/R2Q1RK1 w - -
126,r1bq1rk1/1p3pbp/n1pp1np1/p3p3/P2PP3/2N1B1PP/1PP1NPB1/R2Q1RK1 b - -
120,r1bq1rk1/1p3pbp/n1pp1np1/p3p3/P2PP3/2N3PP/1PP1NPB1/R1BQ1RK1 w - -
201,r1bq1rk1/1p3pbp/p2p1np1/2pPn3/4P3/2N1BPN1/PP2B1PP/R2QK2R w KQ -
180,r1bq1rk1/1p3pbp/p2p1np1/2pPn3/P3P3/2N1BPN1/1P2B1PP/R2QK2R b KQ -
102,r1bq1rk1/1p3ppp/p1n2n2/2bp4/8/1PN1PN2/P3BPPP/R1BQ1RK1 w - -
105,r1bq1rk1/1pp1b1pp/p1p2p2/2n1p3/2N1P2N/3P4/PPP2PPP/R1BQ1RK1 w - -
176,r1bq1rk1/1pp1bppp/1nn5/p3p3/8/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -
155,r1bq1rk1/1pp1bppp/1nn5/p3p3/8/P1NPBNP1/1P2PPBP/R2Q1RK1 b - -
129,r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2P2N1P/PP1P1PP1/RNBQR1K1 b - -
125,r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQR1K1 w - -
277,r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 b - -
117,r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQK2R w KQ -
520,r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2PP1N2/PP3PPP/RNBQ1RK1 w - -
375,r1bq1rk1/1pp1bppp/p1np1n2/4p3/B3P3/2PP1N2/PP3PPP/RNBQR1K1 b - -
363,r1bq1rk1/1pp1bppp/p2p1n2/n3p3/B3P3/2PP1N2/PP3PPP/RNBQR1K1 b - -
362,r1bq1rk1/1pp1bppp/p2p1n2/nB2p3/4P3/2PP1N2/PP3PPP/RNBQR1K1 w - -
131,r1bq1rk1/1pp1n1b1/3p1npp/1P2pp2/2P5/2NP1NP1/4PPBP/1RBQ1RK1 w - -
406,r1bq1rk1/1pp1npbp/3p1np1/3Pp3/1BP1P3/2N2N2/P3BPPP/R2Q1RK1 b - -
406,r1bq1rk1/1pp1npbp/3p1np1/3Pp3/1pP1P3/B1N2N2/P3BPPP/R2Q1RK1 w - -
256,r1bq1rk1/1pp1npbp/3p1np1/P2Pp3/2P1P3/2N2N2/P3BPPP/R1BQ1RK1 b - -
1019,r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/1PP1P3/2N2N2/P3BPPP/R1BQ1RK1 w - -
751,r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/1PP1P3/B1N2N2/P3BPPP/R2Q1RK1 b - -
399,r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/2P1P3/2N5/PP1NBPPP/R1BQ1RK1 w - -
326,r1bq1rk1/1pp1npbp/3p1np1/p2Pp3/2P1P3/P1N5/1P1NBPPP/R1BQ1RK1 b - -
248,r1bq1rk1/1pp1npbp/3p2p1/P2Pp2n/2P1P3/2N2N2/P3BPPP/R1BQR1K1 b - -
292,r1bq1rk1/1pp1npbp/3p2p1/p2Pp2n/1PP1P3/2N2N2/P3BPPP/R1BQR1K1 w - -
111,r1bq1rk1/1pp1ppbp/2np1np1/p7/2P5/2N2NP1/PP1PPPBP/1RBQ1RK1 w - -
716,r1bq1rk1/1pp1ppbp/p1np1np1/3P4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 b - -
158,r1bq1rk1/1pp1ppbp/p1np1np1/6B1/2PPP3/2N2P2/PP1QN1PP/R3KB1R b KQ -
138,r1bq1rk1/1pp1ppbp/p1np1np1/6B1/2PPP3/2N2P2/PP2N1PP/R2QKB1R w KQ -
244,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP1B2/2N2NP1/PP2PPBP/R2Q1RK1 b - -
817,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -
102,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 b - -
4067,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -
301,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NP1/PP2PPBP/R1BQR1K1 b - -
963,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 b - -
422,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2NQ1NP1/PP2PPBP/R1B2RK1 b - -
391,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR w KQ -
1181,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R b KQ -
1011,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N1BP2/PP2N1PP/R2QKB1R w KQ -
264,r1bq1rk1/1pp1ppbp/p1np1np1/8/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 b - -
168,r1bq1rk1/1pp1ppbp/p2p1np1/n2P4/2P5/1PN2NP1/P3PPBP/R1BQ1RK1 b - -
703,r1bq1rk1/1pp1ppbp/p2p1np1/n2P4/2P5/2N2NP1/PP2PPBP/R1BQ1RK1 w - -
483,r1bq1rk1/1pp1ppbp/p2p1np1/n2P4/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 b - -
406,r1bq1rk1/1pp2pb1/2np1npp/4p3/1PP5/2NP1NP1/4PPBP/1RBQ1RK1 b - -
388,r1bq1rk1/1pp2pb1/2np1npp/4p3/1pP5/P1NP1NP1/4PPBP/1RBQ1RK1 w - -
391,r1bq1rk1/1pp2pb1/2np1npp/p3p3/1PP5/P1NP1NP1/4PPBP/1RBQ1RK1 b - -
412,r1bq1rk1/1pp2pb1/2np1npp/p3p3/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -
203,r1bq1rk1/1pp2pb1/3p1npp/p1nPp1B1/2P1P3/2N2N2/PPQ1BPPP/R4RK1 w - -
139,r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P1P1/2N1B2P/PP1N1P2/R2QKB1R b KQ -
105,r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P2B/2N5/PP1NBPPP/R2Q1RK1 b - -
100,r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P2B/2N5/PP1NBPPP/R2QK2R w KQ -
228,r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P3/2N1B2P/PP1N1PP1/R2QKB1R w KQ -
154,r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P3/2N1B2P/PP1NBPP1/R2QK2R b KQ -
165,r1bq1rk1/1pp2pb1/3p1npp/p1nPp3/2P1P3/2N1BN2/PPQ1BPPP/R4RK1 b - -
119,r1bq1rk1/1pp2pb1/n2p1npp/p2Pp3/2P1P2B/2N2N2/PP2BPPP/R2Q1RK1 b - -
573,r1bq1rk1/1pp2pb1/n2p1npp/p2Pp3/2P1P2B/2N2N2/PP2BPPP/R2QK2R w KQ -
510,r1bq1rk1/1pp2pb1/n2p1npp/p2Pp3/2P1P2B/2N5/PP1NBPPP/R2QK2R b KQ -
111,r1bq1rk1/1pp2pb1/n2p1npp/p2Pp3/2P1P3/2N1BN1P/PP3PP1/R2QKB1R w KQ -
741,r1bq1rk1/1pp2pbp/2np1np1/p3p3/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 w - -
793,r1bq1rk1/1pp2pbp/2np1np1/p3p3/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 b - -
229,r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N2N2/PPQ1BPPP/R4RK1 b - -
117,r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N4P/PP1NBPP1/R2QK2R b KQ -
138,r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P1P1/2N1B2P/PP1N1P2/R2QKB1R b KQ -
111,r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N1B2P/PP1N1PP1/R2QKB1R w KQ -
108,r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N1BN2/PPQ1BPPP/R4RK1 b - -
527,r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N2N2/PPQ1BPPP/R1B2RK1 w - -
107,r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N5/PP1NBPPP/R1BQ1RK1 w - -
126,r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N5/PPQ1BPPP/R1B1NRK1 b - -
121,r1bq1rk1/1pp2pbp/3p1np1/p3p3/2Pn4/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -
108,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P1P1/2N2N1P/PP3P2/R2QKB1R b KQ -
275,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N2N1P/PP2BPP1/R2QK2R b KQ -
478,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N2N1P/PP3PP1/R2QKB1R w KQ -
192,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N2N2/PP2BPPP/R2QK2R w KQ -
180,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N4P/PP1N1PP1/R2QKB1R b KQ -
164,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp1B1/2P1P3/2N5/PP1NBPPP/R2QK2R b KQ -
211,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P1P1/2N1BN1P/PP3P2/R2QKB1R b KQ -
161,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P1P1/2N2N1P/PP3P2/R1BQKB1R w KQ -
117,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P3/2N1BN1P/PP3PP1/R2QKB1R w KQ -
153,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R w KQ -
201,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - -
115,r1bq1rk1/1pp2pbp/n2p1np1/p2Pp3/2P1P3/2N3N1/PP2BPPP/R1BQK2R w KQ -
118,r1bq1rk1/1pp2pbp/p1n2np1/4p3/2P5/2NQ1NP1/PP2PPBP/R1B2RK1 w - -
126,r1bq1rk1/1pp2pbp/p1np1np1/4P3/2P5/2NQ1NP1/PP2PPBP/R1B2RK1 b - -
133,r1bq1rk1/1pp2pbp/p1np1np1/4p3/2PP4/2NQ1NP1/PP2PPBP/R1B2RK1 w - -
162,r1bq1rk1/1pp2pbp/p1np1np1/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -
297,r1bq1rk1/1pp2pbp/p1np1np1/4p3/B3P3/2PP1N2/PP1N1PPP/R1BQR1K1 b - -
111,r1bq1rk1/1pp2pbp/p1np1np1/4p3/B3P3/2PP1N2/PP3PPP/R1BQKN1R w KQ -
196,r1bq1rk1/1pp2pbp/p1np1np1/4p3/B3P3/2PP1N2/PP3PPP/RNBQR1K1 w - -
180,r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/1PP5/P1NP1NP1/4PPBP/R1BQ1RK1 b - -
197,r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -
113,r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 w - -
100,r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQR1K1 b - -
114,r1bq1rk1/1pp2pp1/p1np1n1p/2b1p3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 w - -
103,r1bq1rk1/1pp2ppp/2n2n2/p1b1p3/4P3/2P2NP1/PP1N1PBP/R1BQ1RK1 w - -
117,r1bq1rk1/1pp2ppp/p1np1n2/1Bb1p3/4P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -
220,r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -
205,r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQK2R b KQ -
194,r1bq1rk1/1pp2ppp/p1np1n2/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 b - -
