#Event,WhiteElo,BlackElo,Result
7507,1868,1991,1-0
7508,2486,2037,1-0
7509,2503,2417,1/2-1/2
7510,2707,2493,1-0
7511,2584,2682,0-1
7512,2280,2467,0-1
7513,2374,1899,1-0
7514,2206,2342,0-1
7515,2617,2679,1/2-1/2
7516,2598,2215,1-0
7517,1854,1882,1/2-1/2
7518,2527,2543,1/2-1/2
7519,2200,2278,0-1
7520,2529,2328,1-0
7521,2165,2170,0-1
7522,2384,2333,1-0
7523,1953,2178,0-1
7524,1557,1810,1/2-1/2
7525,2049,2064,1-0
7526,2371,2273,1-0
7527,2429,2523,0-1
7528,2495,1836,1-0
7529,2492,2348,0-1
7530,2485,2713,0-1
7531,2178,2351,1-0
7532,2054,2056,1-0
7533,2598,2375,1/2-1/2
7534,2023,2298,1-0
7535,2050,2368,0-1
7536,2503,2409,1/2-1/2
7537,2500,2281,0-1
7538,2442,2201,1-0
7539,1573,1835,0-1
7540,2324,2458,1/2-1/2
7541,2556,2724,0-1
7542,2120,2087,1-0
7543,2173,1909,0-1
7544,2214,2423,1/2-1/2
7545,2633,2359,1/2-1/2
7546,1989,2270,1-0
7547,2306,2207,1/2-1/2
7548,2065,2271,1/2-1/2
7549,2046,2075,1-0
7550,2559,2427,1-0
7551,2220,1836,1-0
7552,1794,2377,0-1
7553,2140,1975,1/2-1/2
7554,2445,2509,1-0
7555,2410,2218,1-0
7556,2500,2106,1-0
7557,2100,2003,1-0
7558,2345,2564,0-1
7559,2043,2306,0-1
7560,2411,2256,0-1
7561,2346,2399,0-1
7562,2632,2446,1-0
7563,1999,1646,1/2-1/2
7564,2613,2564,1-0
7565,2326,2534,0-1
7566,2534,2552,1-0
7567,2102,2005,1-0
7568,2305,2532,0-1
7569,1884,1837,1/2-1/2
7570,2104,1838,1-0
7571,1886,2063,1-0
7572,2772,2567,1-0
7573,2043,1820,1-0
7574,2538,2311,1-0
7575,2140,2549,0-1
7576,2279,2566,1/2-1/2
7577,2102,2032,1/2-1/2
7578,2276,2467,0-1
7579,2257,2137,1-0
7580,2548,2397,1/2-1/2
7581,2121,2409,1/2-1/2
7582,2178,2350,0-1
7583,2544,2463,1-0
7584,2101,2224,0-1
7585,2610,2657,1-0
7586,2073,2139,1/2-1/2
7587,2625,2571,1-0
7588,2066,2099,1-0
7589,2661,2200,1-0
7590,2202,2106,1-0
7591,2564,2416,1/2-1/2
7592,2264,2146,1-0
7593,2622,2297,1-0
7594,2507,2392,1/2-1/2
7595,2020,2006,1/2-1/2
7596,2562,2175,1-0
7597,2457,2463,1/2-1/2
7598,2144,1860,1-0
7599,2279,2450,1-0
7600,2502,2331,1/2-1/2
7601,2248,2378,0-1
7602,2507,2640,0-1
7603,2063,2371,1-0
7604,2168,2251,1-0
7605,2193,1909,1-0
7606,2672,2734,1/2-1/2
7607,2204,2003,1-0
7608,2265,2138,1-0
7609,2441,2564,1/2-1/2
7610,2754,2582,1-0
7611,2546,2614,0-1
7612,2222,2079,1-0
7613,2550,2524,1-0
7614,2386,2359,0-1
7615,2088,2215,0-1
7616,2749,2607,1/2-1/2
7617,1589,1807,0-1
7618,2318,2247,1/2-1/2
7619,2222,2033,1/2-1/2
7620,2412,2346,1/2-1/2
7621,2253,2420,0-1
7622,2474,2471,1-0
7623,2215,2361,1-0
7624,2336,2564,0-1
7625,2418,2285,1-0
7626,2237,2250,1/2-1/2
7627,2305,2518,1/2-1/2
7628,2538,2547,1/2-1/2
7629,2107,1958,1-0
7630,2387,2716,0-1
7631,2292,2197,1/2-1/2
7632,2292,2195,1-0
7633,2752,2773,1/2-1/2
7634,2414,2546,1/2-1/2
7635,2455,2178,1-0
7636,2757,2578,1-0
7637,2486,2482,1-0
7638,2260,2460,1/2-1/2
7639,2152,1775,1-0
7640,2036,2240,1/2-1/2
7641,2557,2324,1-0
7642,2322,2303,0-1
7643,2232,1938,1/2-1/2
7644,2453,2550,1-0
7645,2482,2535,1/2-1/2
7646,2420,2638,0-1
7647,2214,1886,1-0
7648,1843,1522,1/2-1/2
7649,2663,2569,1/2-1/2
7650,2506,2717,1/2-1/2
7651,2318,1848,1-0
7652,2285,2416,0-1
7653,2244,2115,0-1
7654,2520,2096,0-1
7655,1978,2086,1/2-1/2
7656,2137,2361,0-1
7657,1808,1794,1-0
7658,2154,2308,0-1
7659,2436,2436,1-0
7660,1861,2027,1-0
7661,2322,2121,1-0
7662,2548,2296,1-0
7663,2368,2491,0-1
7664,2304,2352,1/2-1/2
7665,2321,2148,0-1
7666,1744,1617,1/2-1/2
7667,2270,2240,1/2-1/2
7668,2625,2416,1/2-1/2
7669,2388,2104,1-0
7670,2686,2344,1-0
7671,2008,2304,0-1
7672,1648,2422,0-1
7673,1939,2338,1/2-1/2
7674,2212,2184,1/2-1/2
7675,2586,2253,0-1
7676,1739,2096,0-1
7677,1757,1819,0-1
7678,2513,2308,0-1
7679,2449,2053,1-0
7680,1888,1519,1-0
7681,2577,2608,1/2-1/2
7682,2601,2350,1-0
7683,2464,2129,1-0
7684,2162,2026,1/2-1/2
7685,2346,2076,1/2-1/2
7686,2660,2633,1-0
7687,2428,2433,1/2-1/2
7688,2050,2029,1-0
7689,2538,2257,1/2-1/2
7690,2258,2461,0-1
7691,2168,1959,1-0
7692,1921,2169,1/2-1/2
7693,2172,1958,0-1
7694,2216,1977,1-0
7695,2632,2730,1-0
7696,2521,2294,1-0
7697,2272,2622,1/2-1/2
7698,2338,2153,1-0
7699,2131,2351,1/2-1/2
7700,2412,2520,1-0
7701,2366,2522,0-1
7702,2586,2659,0-1
7703,2362,2562,0-1
7704,2165,1977,1-0
7705,1630,1979,1-0
7706,2318,2008,1-0
7707,2613,2664,1/2-1/2
7708,2234,2453,1/2-1/2
7709,2293,2471,1/2-1/2
7710,2123,2358,0-1
7711,2478,2328,0-1
7712,2067,2311,1/2-1/2
7713,2110,1900,1-0
7714,1892,2310,0-1
7715,2093,2091,0-1
7716,2468,2437,1-0
7717,1622,1245,1-0
7718,2251,2307,0-1
7719,2345,2473,1/2-1/2
7720,2308,2586,0-1
7721,2472,2240,1-0
7722,2066,1985,0-1
7723,2603,2405,1-0
7724,1532,1871,0-1
7725,2405,2025,1-0
7726,2187,1805,1-0
7727,2521,2037,1-0
7728,2224,2204,1/2-1/2
7729,2297,2430,1/2-1/2
7730,1708,1897,1-0
7731,2363,2374,1-0
7732,1278,1858,0-1
7733,2536,1881,1-0
7734,1549,1591,1-0
7735,1869,2011,0-1
7736,2580,2466,1/2-1/2
7737,2363,2388,1/2-1/2
7738,2146,2322,0-1
7739,2700,2497,1-0
7740,2328,2098,1-0
7741,2588,2667,1/2-1/2
7742,2372,2496,0-1
7743,2476,2587,1/2-1/2
7744,2520,2278,1/2-1/2
7745,1831,1796,1/2-1/2
7746,2117,2266,0-1
7747,2140,2360,1/2-1/2
7748,2420,2386,1-0
7749,2141,2282,0-1
7750,1853,2120,0-1
7751,2460,2224,1-0
7752,2396,2513,1-0
7753,2604,1684,1-0
7754,2161,2284,1/2-1/2
7755,2184,2469,1/2-1/2
7756,2717,2712,1/2-1/2
7757,2163,2424,1/2-1/2
7758,1926,2075,1/2-1/2
7759,2123,2341,1/2-1/2
7760,2330,2204,1/2-1/2
7761,2284,2377,0-1
7762,2599,2391,1-0
7763,2029,2189,1/2-1/2
7764,2468,2199,1-0
7765,2133,2328,0-1
7766,2545,2553,1/2-1/2
7767,1836,2233,0-1
7768,2393,2182,1-0
7769,2294,2067,1-0
7770,2471,2643,1/2-1/2
7771,2472,2260,1-0
7772,2602,2231,1-0
7773,2512,2192,1-0
7774,2444,2574,1/2-1/2
7775,2338,2242,1-0
7776,2372,2239,1/2-1/2
7777,2397,2404,1-0
7778,2669,2572,1-0
7779,2352,2642,0-1
7780,1927,2448,0-1
7781,2582,2455,1/2-1/2
7782,2113,2296,1-0
7783,2233,2344,0-1
7784,2766,2717,1/2-1/2
7785,2129,2017,1-0
7786,1916,2120,0-1
7787,2046,2678,0-1
7788,2166,2383,0-1
7789,2408,2468,1-0
7790,2185,2152,1-0
7791,2399,2570,1/2-1/2
7792,2206,1895,1/2-1/2
7793,2570,2619,1/2-1/2
7794,2084,2306,1/2-1/2
7795,1935,2133,1-0
7796,2456,2135,1/2-1/2
7797,2237,2185,1/2-1/2
7798,2411,2372,1/2-1/2
7799,2087,2369,0-1
7800,2427,2554,0-1
7801,2289,1992,1-0
7802,2147,2456,0-1
7803,2136,2188,1-0
7804,2211,1960,0-1
7805,2051,2418,0-1
7806,1598,2288,0-1
7807,2559,2176,1-0
7808,1998,2074,0-1
7809,2227,2547,0-1
7810,2172,2416,1/2-1/2
7811,1793,2066,0-1
7812,2527,2043,1-0
7813,2562,2496,1-0
7814,2104,2365,0-1
7815,2034,2139,1/2-1/2
7816,2196,1935,1-0
7817,1464,1812,0-1
7818,2269,2263,1-0
7819,1967,2284,0-1
7820,2081,1459,1-0
7821,2135,2049,1/2-1/2
7822,2076,1832,1-0
7823,2111,2113,1/2-1/2
7824,2589,2240,0-1
7825,1972,1636,1-0
7826,2224,2081,1/2-1/2
7827,2044,1953,1-0
7828,2178,2259,1-0
7829,2433,2338,0-1
7830,2025,2196,0-1
7831,2317,2505,1-0
7832,2068,2206,0-1
7833,1925,2268,1-0
7834,2330,2439,0-1
7835,2238,2030,1-0
7836,2067,1874,1/2-1/2
7837,2038,2237,0-1
7838,2263,2347,0-1
7839,1798,2032,1/2-1/2
7840,2648,2360,1/2-1/2
7841,2246,2076,1-0
7842,2530,2437,1/2-1/2
7843,1979,2177,1-0
7844,1737,1982,0-1
7845,2051,2403,0-1
7846,2041,1650,1-0
7847,2291,2445,0-1
7848,2125,2036,1-0
7849,1942,2117,1/2-1/2
7850,2138,2251,1/2-1/2
7851,2712,2384,1-0
7852,2099,2278,0-1
7853,2050,2450,0-1
7854,2433,2353,1-0
7855,1685,1892,1/2-1/2
7856,2383,2078,1/2-1/2
7857,2599,2616,1-0
7858,2388,2654,0-1
7859,2510,2182,1-0
7860,2118,2348,0-1
7861,2386,2226,1-0
7862,2135,2033,0-1
7863,2343,2034,1-0
7864,1983,2153,1/2-1/2
7865,2587,2442,1-0
7866,1827,2181,0-1
7867,2624,2489,1-0
7868,2403,2521,1/2-1/2
7869,2375,2308,0-1
7870,2304,2515,0-1
7871,1772,2392,0-1
7872,2594,2707,0-1
7873,2241,2402,0-1
7874,2457,2318,1/2-1/2
7875,2608,2485,1/2-1/2
7876,2153,1996,1/2-1/2
7877,2104,1851,1-0
7878,2532,2412,1/2-1/2
7879,1812,2068,0-1
7880,2284,2138,1-0
7881,2224,2402,0-1
7882,2059,1983,0-1
7883,2399,2189,1/2-1/2
7884,1897,1663,0-1
7885,1917,1837,1-0
7886,1742,1846,0-1
7887,2190,2434,0-1
7888,2259,1611,1-0
7889,2430,2499,0-1
7890,2556,2174,1/2-1/2
7891,2400,2244,1-0
7892,2327,2209,1-0
7893,2119,2011,0-1
7894,2428,2713,0-1
7895,2655,2735,0-1
7896,1817,2199,0-1
7897,1370,1784,0-1
7898,2000,2177,0-1
7899,2211,2255,1/2-1/2
7900,1959,2041,0-1
7901,2381,2571,0-1
7902,2119,1971,1-0
7903,2147,2293,1/2-1/2
7904,2550,2313,1-0
7905,1795,2459,1-0
7906,1889,1981,1-0
7907,2103,1805,1-0
7908,2749,2546,1-0
7909,1848,1936,1/2-1/2
7910,1972,2028,1-0
7911,2400,2250,1-0
7912,2192,2253,1-0
7913,2266,2462,1/2-1/2
7914,1963,2077,0-1
7915,2401,2168,1-0
7916,1601,1890,0-1
7917,2218,2572,0-1
7918,1386,2334,0-1
7919,2713,2636,0-1
7920,2447,2367,1/2-1/2
7921,2305,1920,1-0
7922,2425,2250,1-0
7923,2523,2556,1/2-1/2
7924,2132,2287,0-1
7925,2230,2451,0-1
7926,2268,2154,1-0
7927,2092,2334,1/2-1/2
7928,2040,2184,0-1
7929,2655,2645,1/2-1/2
7930,2160,2375,1/2-1/2
7931,2071,2350,0-1
7932,2059,2099,1-0
7933,1919,2352,0-1
7934,1698,1501,1-0
7935,2533,2332,1-0
7936,2241,2023,1/2-1/2
7937,2222,2596,0-1
7938,2568,2631,0-1
7939,2345,2521,1/2-1/2
7940,2625,2621,0-1
7941,2389,2160,1-0
7942,2535,2273,1-0
7943,2462,2117,1-0
7944,2588,2686,1/2-1/2
7945,2342,2116,0-1
7946,2552,2550,0-1
7947,2295,2027,1-0
7948,2656,2572,1-0
7949,2118,2485,0-1
7950,2206,2114,1/2-1/2
7951,2045,2460,0-1
7952,2346,2479,0-1
7953,2803,2734,1-0
7954,2513,2253,1-0
7955,2098,2245,0-1
7956,2260,1905,1-0
7957,2441,2364,0-1
7958,2401,1781,1-0
7959,1682,2087,0-1
7960,2097,2261,1-0
7961,2419,2371,1/2-1/2
7962,2764,2740,1/2-1/2
7963,2112,2093,1-0
7964,2519,2320,1-0
7965,2434,2330,1/2-1/2
7966,2660,2680,0-1
7967,2210,2343,0-1
7968,2389,2437,0-1
7969,2521,2455,1/2-1/2
7970,2328,2546,1/2-1/2
7971,2024,2250,1/2-1/2
7972,2308,2250,0-1
7973,2078,2361,1/2-1/2
7974,2223,2371,1-0
7975,2181,1930,1-0
7976,2228,2212,1/2-1/2
7977,2562,2577,1/2-1/2
7978,2112,1977,0-1
7979,2303,2468,1/2-1/2
7980,1734,1868,1-0
7981,2282,1884,1-0
7982,2571,2501,0-1
7983,2282,2166,0-1
7984,2472,2389,1-0
7985,1783,1982,0-1
7986,1800,1828,1-0
7987,2036,1965,1/2-1/2
7988,2320,1942,1/2-1/2
7989,2508,2271,1-0
7990,2636,2525,1/2-1/2
7991,1950,1702,1/2-1/2
7992,2560,2153,1-0
7993,2058,2198,1/2-1/2
7994,1886,2252,1/2-1/2
7995,2491,2212,1-0
7996,2189,2261,0-1
7997,2420,2504,1-0
7998,2481,2541,1/2-1/2
7999,2576,2597,1/2-1/2
8000,1936,2111,1-0
8001,2471,2143,1/2-1/2
8002,2168,2176,1/2-1/2
8003,2504,2146,1-0
8004,2287,2376,1-0
8005,2288,2350,0-1
8006,2375,2388,1-0
8007,2475,2319,1-0
8008,2691,2689,1/2-1/2
8009,2387,2503,1/2-1/2
8010,2390,2563,0-1
8011,2204,2334,0-1
8012,1946,2350,0-1
8013,2130,2110,1/2-1/2
8014,2455,2226,1/2-1/2
8015,2499,2362,0-1
8016,2627,2462,1-0
8017,2220,1965,1-0
8018,2287,1488,1-0
8019,2123,2481,0-1
8020,2425,2576,1-0
8021,1684,1927,0-1
8022,2412,2210,1/2-1/2
8023,2146,1723,1-0
8024,2061,2260,0-1
8025,2465,2246,1/2-1/2
8026,2023,2245,0-1
8027,2329,2696,0-1
8028,1944,2166,0-1
8029,2730,2792,1/2-1/2
8030,2118,2228,1-0
8031,1935,2009,1/2-1/2
8032,2119,1923,1/2-1/2
8033,2284,2320,1-0
8034,2262,2237,0-1
8035,2295,2153,1-0
8036,2483,2222,1/2-1/2
8037,1997,2144,0-1
8038,1848,1978,0-1
8039,2642,2561,1-0
8040,2670,2571,1-0
8041,1990,2048,1/2-1/2
8042,2244,2095,1-0
8043,1604,1868,1-0
8044,2224,2420,0-1
8045,2327,2509,0-1
8046,2250,2076,1-0
8047,2140,2271,1/2-1/2
8048,1754,1634,1-0
8049,1830,1961,1-0
8050,2029,2214,1-0
8051,2505,2625,1/2-1/2
8052,1861,2477,0-1
8053,1996,2052,1-0
8054,1850,1482,1-0
8055,2551,2278,1-0
8056,2461,2406,0-1
8057,2282,2106,0-1
8058,2085,2228,1/2-1/2
8059,2018,2517,0-1
8060,1498,2144,0-1
8061,2520,2506,1-0
8062,2433,2552,1/2-1/2
8063,2510,2568,1/2-1/2
8064,2343,2039,1-0
8065,1483,1768,0-1
8066,1823,2244,0-1
8067,2414,2274,1-0
8068,1705,1528,1-0
8069,2073,2218,0-1
8070,2387,2378,1/2-1/2
8071,2286,2459,0-1
8072,2157,2177,1/2-1/2
8073,1574,1771,0-1
8074,2218,2091,1/2-1/2
8075,1829,1740,0-1
8076,2419,2554,1/2-1/2
8077,2318,2153,1/2-1/2
8078,2651,2558,1/2-1/2
8079,2539,2448,1/2-1/2
8080,2577,2569,1/2-1/2
8081,2144,1889,1-0
8082,2340,2591,0-1
8083,2515,2470,0-1
8084,2268,1961,1-0
8085,2108,2244,0-1
8086,2149,1961,1-0
8087,2569,2517,1/2-1/2
8088,2244,1852,1-0
8089,1492,1827,0-1
8090,2139,1997,1/2-1/2
8091,2231,2037,1-0
8092,1793,1750,1/2-1/2
8093,2363,2447,1/2-1/2
8094,2470,2223,1-0
8095,2523,2635,1-0
8096,1783,1314,1-0
8097,2054,1883,1-0
8098,2280,1907,1-0
8099,1932,2452,0-1
8100,2429,2237,1-0
8101,2308,1881,1-0
8102,2353,2160,1-0
8103,2590,1946,1-0
8104,2166,1975,1-0
8105,2054,1821,1-0
8106,2454,2544,1/2-1/2
8107,2015,2113,0-1
8108,2058,2103,1/2-1/2
8109,2172,2383,0-1
8110,2059,1927,1-0
8111,2370,2106,1-0
8112,2392,2311,1/2-1/2
8113,2285,2001,1-0
8114,2259,2233,1-0
8115,1973,2144,1/2-1/2
8116,2603,2422,1-0
8117,2292,2039,1-0
8118,2174,2522,0-1
8119,2583,2212,1-0
8120,1904,2179,1/2-1/2
8121,2247,2301,1/2-1/2
8122,2005,1977,1-0
8123,2186,2236,1/2-1/2
8124,2212,1931,1-0
8125,2542,2491,1-0
8126,1823,1663,1-0
8127,2707,2659,1-0
8128,2118,1846,1/2-1/2
8129,2185,2464,0-1
8130,2113,2458,1/2-1/2
8131,2109,2417,0-1
8132,1943,1791,1/2-1/2
8133,2243,2262,1-0
8134,1936,1893,1-0
8135,2546,2339,1/2-1/2
8136,2203,2104,1/2-1/2
8137,1904,2164,0-1
8138,2142,2269,0-1
8139,2060,2062,1/2-1/2
8140,2389,2477,1/2-1/2
8141,2004,2278,0-1
8142,2321,2319,1-0
8143,2135,2168,1/2-1/2
8144,2096,1673,1/2-1/2
8145,2117,2102,1-0
8146,2430,2538,1-0
8147,2118,2501,1/2-1/2
8148,2442,2663,1/2-1/2
8149,2727,2567,1/2-1/2
8150,2164,2372,0-1
8151,2365,2533,0-1
8152,1851,1726,0-1
8153,2223,2481,1/2-1/2
8154,2472,2076,1-0
8155,2533,2373,1/2-1/2
8156,1471,1808,0-1
8157,2407,2144,0-1
8158,2430,2208,1/2-1/2
8159,2263,2347,0-1
8160,2254,2407,1/2-1/2
8161,2199,2260,1-0
8162,2700,2637,1/2-1/2
8163,2031,1802,1/2-1/2
8164,2391,2034,1-0
8165,1925,2274,1-0
8166,2334,2533,0-1
8167,1959,1828,1-0
8168,2197,1841,1-0
8169,2317,2574,0-1
8170,2167,2106,1/2-1/2
8171,1966,2118,1/2-1/2
8172,2449,2179,1-0
8173,1843,1512,1-0
8174,2246,1981,1-0
8175,2508,2513,0-1
8176,2202,2171,1-0
8177,2456,2386,1-0
8178,2142,2210,1/2-1/2
8179,2279,2636,1/2-1/2
8180,2192,2419,0-1
8181,2058,2309,0-1
8182,1636,1417,1-0
8183,2529,2602,1/2-1/2
8184,2425,2350,0-1
8185,2528,2221,1-0
8186,2711,2119,1-0
8187,2427,2164,1-0
8188,2279,2112,1-0
8189,2484,2272,1-0
8190,1854,1475,1-0
8191,2241,2562,0-1
8192,2238,2302,1/2-1/2
8193,2208,2342,0-1
8194,2523,2322,1-0
8195,2306,2505,0-1
8196,2053,2148,1/2-1/2
8197,2391,2441,0-1
8198,2639,2678,1/2-1/2
8199,2249,2459,0-1
8200,1988,2127,1/2-1/2
8201,2001,1783,1-0
8202,2609,2683,1/2-1/2
8203,2568,2286,1-0
8204,2269,2547,0-1
8205,2123,2017,1-0
8206,2505,2380,1/2-1/2
8207,2676,2619,1/2-1/2
8208,2581,2467,1/2-1/2
8209,2600,2327,1-0
8210,2509,2614,0-1
8211,2060,2466,0-1
8212,2553,2230,1/2-1/2
8213,1961,2399,0-1
8214,1895,2205,1-0
8215,2441,1851,1-0
8216,2274,2459,1-0
8217,2014,1655,1-0
8218,1846,1764,1-0
8219,2068,2298,0-1
8220,2346,2361,1/2-1/2
8221,2489,2501,1-0
8222,1945,1653,1-0
8223,2771,2881,1/2-1/2
8224,2452,2443,1/2-1/2
8225,2085,2202,1/2-1/2
8226,1958,1939,1/2-1/2
8227,2432,2281,0-1
8228,2655,2645,1/2-1/2
8229,2398,2295,1/2-1/2
8230,2108,2084,1/2-1/2
8231,1931,2199,0-1
8232,2442,2464,1/2-1/2
8233,2333,2320,1/2-1/2
8234,2239,2472,0-1
8235,1745,1988,0-1
8236,1963,2212,0-1
8237,2375,2230,1-0
8238,2507,2650,0-1
8239,2128,2014,1-0
8240,2556,2518,1-0
8241,2522,2361,1/2-1/2
8242,2455,2335,1-0
8243,2143,2574,0-1
8244,2017,1909,1-0
8245,1544,1808,0-1
8246,2632,2474,1-0
8247,1959,2092,1-0
8248,2106,2440,0-1
8249,2628,2201,1-0
8250,2000,2152,1/2-1/2
8251,2511,1947,1-0
8252,1984,2209,1-0
8253,2537,2417,0-1
8254,2441,2085,1-0
8255,2103,2521,0-1
8256,1837,2197,0-1
8257,2140,2301,1-0
8258,2479,2552,1/2-1/2
8259,2292,2251,1/2-1/2
8260,2477,2343,1-0
8261,2270,2234,0-1
8262,1943,1667,1-0
8263,2393,2560,1-0
8264,2616,2625,1-0
8265,2051,1759,1-0
8266,1638,1861,1-0
8267,2163,2168,0-1
8268,2488,2567,1/2-1/2
8269,1803,2000,0-1
8270,2432,2533,0-1
8271,2079,1950,1-0
8272,2568,2652,1/2-1/2
8273,2115,2322,0-1
8274,2409,2250,1-0
8275,2291,1874,1-0
8276,2252,2100,1-0
8277,1576,1520,1/2-1/2
8278,2217,2053,0-1
8279,1841,1960,1/2-1/2
8280,1700,1971,0-1
8281,1999,2123,1-0
8282,2108,2357,0-1
8283,1917,2061,1/2-1/2
8284,2088,1901,1-0
8285,2338,2564,1/2-1/2
8286,2075,2377,0-1
8287,2541,2171,1-0
8288,2119,2289,1-0
8289,2484,2481,1/2-1/2
8290,2278,2094,1-0
8291,1941,2214,0-1
8292,1704,2155,0-1
8293,1669,1933,0-1
8294,2619,2481,1/2-1/2
8295,2254,2079,1-0
8296,2285,2262,1/2-1/2
8297,2022,2326,0-1
8298,2266,2386,0-1
8299,2303,2391,1-0
8300,2343,2217,1-0
8301,2065,2224,0-1
8302,1501,1923,1/2-1/2
8303,2466,2557,1/2-1/2
8304,2511,2391,1/2-1/2
8305,2353,2092,1-0
8306,2116,1983,1-0
8307,2155,2274,0-1
8308,2244,1951,1/2-1/2
8309,2600,2655,1-0
8310,1544,1812,1/2-1/2
8311,2475,2502,1/2-1/2
8312,2452,2475,0-1
8313,1611,1985,0-1
8314,2072,2373,0-1
8315,2397,1986,1-0
8316,2594,2335,1-0
8317,2222,1725,1-0
8318,2606,2322,1-0
8319,2639,2715,1/2-1/2
8320,2411,2264,1/2-1/2
8321,2188,2029,1/2-1/2
8322,2223,2316,1/2-1/2
8323,1569,1984,0-1
8324,1882,1714,1-0
8325,2351,2277,1/2-1/2
8326,1823,2246,0-1
8327,2597,2606,1/2-1/2
8328,2274,2059,1-0
8329,2350,2409,0-1
8330,2113,2051,0-1
8331,2488,2569,0-1
8332,2027,1753,1-0
8333,2407,2114,1-0
8334,1936,2338,0-1
8335,1971,2245,0-1
8336,2261,2117,1-0
8337,1923,1764,1-0
8338,1913,2070,1-0
8339,2383,2438,1/2-1/2
8340,2512,2447,0-1
8341,2663,2683,1/2-1/2
8342,2336,2386,1/2-1/2
8343,2485,2629,0-1
8344,2490,2686,0-1
8345,1746,1388,1-0
8346,2168,2133,1/2-1/2
8347,2063,2311,1/2-1/2
8348,2379,2542,0-1
8349,1971,2071,1-0
8350,2408,2484,0-1
8351,1918,2227,0-1
8352,2507,2461,1/2-1/2
8353,2040,2231,0-1
8354,2376,2329,1-0
8355,2225,2114,1/2-1/2
8356,2239,2027,0-1
8357,2245,2006,1/2-1/2
8358,2255,2252,1-0
8359,1877,2137,0-1
8360,2379,2379,1/2-1/2
8361,2295,2291,1/2-1/2
8362,2377,2012,1-0
8363,2256,1805,1-0
8364,2493,2625,0-1
8365,2401,2481,1-0
8366,2245,2305,1/2-1/2
8367,2426,2018,1-0
8368,2082,1989,1/2-1/2
8369,2063,2108,1/2-1/2
8370,2164,2257,0-1
8371,2189,2070,1/2-1/2
8372,2662,2509,1-0
8373,2198,2101,1-0
8374,2003,2167,0-1
8375,2318,2101,1-0
8376,2569,2128,1-0
8377,2148,2102,1/2-1/2
8378,2477,2235,1-0
8379,1998,2210,1/2-1/2
8380,2659,2554,1-0
8381,1918,2087,0-1
8382,2006,1634,1-0
8383,1812,2209,0-1
8384,2358,2261,1/2-1/2
8385,1786,2181,0-1
8386,2330,2448,0-1
8387,1689,1817,0-1
8388,2287,2425,0-1
8389,2168,2245,1/2-1/2
8390,2764,2815,1-0
8391,2276,2375,1-0
8392,2317,2065,1/2-1/2
8393,1820,1669,1-0
8394,1942,1868,1/2-1/2
8395,2153,2180,1/2-1/2
8396,2486,2542,0-1
8397,2385,2291,1/2-1/2
8398,2520,2290,1-0
8399,2316,2391,0-1
8400,2327,2499,0-1
8401,2413,2006,1-0
8402,2700,2703,1/2-1/2
8403,2643,2591,0-1
8404,2008,1831,1-0
8405,2647,2667,1/2-1/2
8406,1799,1943,1-0
8407,2396,2446,1/2-1/2
8408,2530,2491,1/2-1/2
8409,2204,2079,1-0
8410,2500,2107,1-0
8411,2024,2409,0-1
8412,2284,2623,1-0
8413,2384,1791,1-0
8414,1933,1857,1/2-1/2
8415,2303,2087,1/2-1/2
8416,1986,1864,1/2-1/2
8417,2299,2276,1-0
8418,2643,2558,1-0
8419,1839,2132,1-0
8420,2495,2529,1/2-1/2
8421,2586,2634,1/2-1/2
8422,2499,2554,1/2-1/2
8423,2379,2511,1-0
8424,2417,2594,0-1
8425,2515,2527,1/2-1/2
8426,1745,1845,1-0
8427,2463,1817,1-0
8428,2128,2002,1/2-1/2
8429,1985,2231,0-1
8430,2533,2162,1-0
8431,2562,2089,1-0
8432,1992,1614,1-0
8433,2504,2162,1-0
8434,2081,2512,0-1
8435,2204,2415,1-0
8436,2259,2114,1-0
8437,2546,2312,1-0
8438,1839,2119,0-1
8439,2262,2198,1-0
8440,2268,2379,0-1
8441,2502,2116,1-0
8442,1966,2156,0-1
8443,2446,2356,1-0
8444,2060,2362,0-1
8445,2080,2240,0-1
8446,2386,2401,1/2-1/2
8447,2345,2664,0-1
8448,2433,2418,0-1
8449,2355,2235,1/2-1/2
8450,1870,2195,1-0
8451,2551,2696,1-0
8452,2492,2563,0-1
8453,2166,2248,0-1
8454,2205,1740,1-0
8455,2402,2139,1-0
8456,2404,2198,1/2-1/2
8457,2654,1726,1-0
8458,2528,2225,0-1
8459,1669,1234,1-0
8460,2469,2310,1-0
8461,2437,2055,1/2-1/2
8462,2003,2158,1-0
8463,2017,1939,1/2-1/2
8464,2470,2610,1/2-1/2
8465,2202,2110,1-0
8466,2201,1663,1-0
8467,2152,1899,1-0
8468,2449,2377,1-0
8469,2255,2243,1/2-1/2
8470,2198,2401,0-1
8471,2598,2215,1-0
8472,2328,2161,1-0
8473,2382,2108,1-0
8474,2173,2300,1/2-1/2
8475,1978,2292,1-0
8476,2425,2412,1/2-1/2
8477,2525,2615,1/2-1/2
8478,2026,2104,0-1
8479,2143,2152,1/2-1/2
8480,2297,2227,1/2-1/2
8481,2205,2331,0-1
8482,2409,1961,1-0
8483,2023,2166,0-1
8484,1875,2133,0-1
8485,2097,2104,1/2-1/2
8486,2005,1704,1/2-1/2
8487,2516,2302,0-1
8488,2244,2183,1/2-1/2
8489,2566,2705,0-1
