8/8/1k4pp/p7/6rP/2K1R1P1/8/8 b - -,h6h5
r2b2k1/3bqppB/p2p4/P1pP4/8/R5BP/2Q2PP1/4rRK1 b - -,g8h8
8/1p2r3/1r1p1kp1/p4p2/PnP2P2/1P3R2/2BR1KP1/8 b - -,e7h7
b4r2/6k1/p2q1pp1/2pNp1P1/2P5/4Q3/P4PP1/3R2K1 b - -,f6f5
4Q3/2q3p1/3p1pkp/p3p3/Pp2P3/1P3RP1/1b3PK1/8 b - -,g6h7
r3r1k1/ppq2ppp/2pbn3/6B1/3P4/1QPB3P/PP3PP1/R3RK2 w - -,g5d2
4r1rk/1p1q4/p4p1p/3b4/P1P1pn1N/4P1NP/1PQ3PK/3R1B2 b - -,d7c7
2r3k1/pn3rpp/qN3p2/2p5/P2P4/5NP1/Q1R2PP1/1R4K1 b - -,a7b6
8/8/8/R3k3/7p/4p1pP/5rP1/6K1 b - -,e5d4
1r4k1/4q1bp/p2pnpp1/4n3/2PB4/1P4P1/R2Q2KP/3BR3 w - -,d4f2
8/6k1/4b1p1/1pp5/8/P3N2r/1K2R2P/8 b - -,g6g5
2r2rk1/p2q2pp/1p3p2/2pnp3/8/PQBPPBPb/1P3P1P/2R2RK1 b - -,h3e6
8/7R/4K3/P4r2/5Pkp/4P3/8/8 b - -,f5a5
4R3/3r1p2/6p1/4p2p/4k3/r7/8/1R3K2 b - -,e4f4
q4rk1/p2r1ppp/4p3/1pP5/1P2Q3/P5P1/1R3P1P/4R1K1 b - -,a8e4
3r4/pp2r1k1/2p5/7p/n2PP1pP/PN2Rp2/1PR2P1P/5K2 b - -,g7h6
4kb2/5pp1/p3p1r1/Np1qP2p/1P3Q2/P1r2P2/6PP/R4RK1 b - -,c3c2
5nk1/p5p1/1p1qp2p/8/2PrRp2/1P4P1/P4P1P/1Q3NK1 b - -,e6e5
r2q1rk1/1p2bpp1/4p2p/p1PpB3/3P2P1/7P/PP1Q1PK1/1R2R3 b - -,f7f6
8/2q2kb1/8/2p1p2N/1nP5/1Q2B1P1/5P1P/6K1 b - -,c7d6
5k2/1pb2p1p/p1n2B2/P2p4/2r5/1N3P2/1PPK3P/4R3 b - -,c7h2
2r2rk1/4bppp/p4n2/Np1q4/1PpN4/P4PP1/Q3P1KP/2RR4 b - -,d5a8
rnbq1rk1/pp3ppp/4p3/3n4/3N4/6P1/PP1QPPBP/RN2K2R w KQ -,e1g1
1kqr1n1r/p4pb1/3p1np1/2pPp2p/PpP1P2P/1P3PP1/1B1NQ3/2KR1N1R b - -,f6e8
2rq1rk1/2p2ppp/1pb1pb2/p7/PnQPP3/2N2NP1/1P3PBP/2RR2K1 w - -,d4d5
2br2k1/ppq1ppbp/1nn3p1/4P3/2P1N3/1PBr1NPP/P4PB1/1Q2RR1K w - -,b1b2
r4rk1/ppnbq1bp/3p2p1/3Pp2n/1PP1Pp2/2N2N1P/2QBBPP1/R3K1R1 w Q -,c2b3
r5k1/3bppbp/3p1np1/q7/Np1BP3/1P2QP2/P3B1PP/2R3K1 b - -,d7a4
r1bq1rk1/b4ppp/p1n1pn2/1p2N3/1P1p4/P2Q1NP1/1B2PPBP/R4RK1 b - -,c8b7
3r1rk1/pp3p1p/2n3pq/2N5/4p3/2PB2R1/P1P2Q1P/R3K3 w Q -,c5e4
r1bq2k1/1p3pb1/p1r5/4pP2/N1P3p1/B5P1/1PP2Q2/1K3R1R w - -,a4c3
6B1/4k3/6p1/2r1Pp1p/2P2n2/4R3/8/6K1 w - h6,g1h2
2r1rb1k/pp4p1/q3b2p/3p1pP1/2nN1B2/P6R/BPQ2P2/1K1R4 w - -,g5h6
r5k1/pp6/2p1b1p1/4b3/5r2/2P4P/PP1N1pB1/R2R3K b - -,a8f8
1q4k1/3npp2/b2p2p1/2pP3p/r1P1PP2/2Q3PP/3N4/1R3BK1 b - -,a4b4
r1b2rk1/1p3pp1/pq1ppb1p/8/3NPP2/1nN5/PPPQ2PP/2KRR3 w - -,d4b3
8/8/2R2pk1/4P2p/P1p2P2/5K2/7r/8 b - -,c4c3
4k3/8/2p1PB2/2b5/p1P1K3/8/P7/8 w - -,f6d4
8/5pkp/6p1/8/2P1R3/4Q1PP/r1q2PK1/8 b - -,c2d2
7k/2pB4/3b1p1p/p2P4/3rPP2/1P3K2/P4R1P/8 b - -,d6b4
r1bq1rk1/ppppp1bp/5np1/3Pnp2/2P2N2/6P1/PPQ1PPBP/RNB1K2R b KQ -,c7c6
5bk1/1bQ1qp1p/p2P2p1/4p3/8/5P2/P3B1PP/3R3K b - -,e7c7
r3k2r/pp1n1p2/2pb1pp1/7p/3P3P/4BP2/PPP1BP2/R3K1R1 w Qkq -,e2c4
r2q1rk1/pb1pb1pp/1pn1p3/3n1p2/3P4/PP3N2/1BPN1PPP/R2QRBK1 b - -,e7f6
5rk1/1pqr1bpp/p2p1pn1/2p5/2P1PPP1/1P5P/PB3Q2/3RR1KB w - -,e1f1
8/p7/8/kp3qp1/4R3/1P3B2/P2BK3/8 b - -,a5a6
8/pQ4k1/6p1/5p1p/2P4P/2q1r3/P4RK1/8 b - -,g7h6
8/7p/2p5/2Nn4/P1kP1p2/5K2/7P/8 w - -,c5e6
2r4k/RR4pp/5p2/8/p7/3r2KP/5PP1/8 w - -,f2f3
r1k2b1r/p1pbnpp1/1pp4p/4P3/8/1PN2N1P/PBP2PP1/R2R2K1 w - -,a2a4
r3k2r/1b2bppp/p3p3/P1n1N3/1p3B2/3Bq3/1PP2PPP/R3R1K1 w kq -,f4e3
r4rk1/5p1p/1q1p1bp1/1p1Pp3/8/3B4/PP2QPPP/R4RK1 b - -,b5b4
rnbqkb1r/pppp1pp1/4p2p/8/3PP3/2N5/PPP2PPP/R2QKBNR w KQkq -,d1f3:d1d2
1r4k1/3b4/3q1Pp1/2RPp1Pp/pr2P3/8/1P1Q2BK/2R5 w - -,c5c2
2r1r1k1/p4p1p/6p1/1q1Pb3/1pp1P3/5Q2/PP2RPPP/3NK2R w K -,e1g1
1nrq1rk1/pb2bppp/4p3/3nN3/Pp1P4/1N1Q1B2/1P1B1PPP/R4RK1 w - -,f1c1
rnbqkb1r/ppp2ppp/5n2/3p4/3P4/6P1/PP2PP1P/RNBQKBNR w KQkq -,b1c3
rn3rk1/pp1qppbp/3p1np1/6B1/2PNP3/2N5/PP3PPP/R2Q1RK1 b - -,f8c8
2r2rk1/4p1b1/1p1n2pp/3Pp3/1Bp1p3/5P2/PP2B1PP/2R2RK1 w - -,b4d6
r1b1qrk1/1p5p/p1np4/2bNppPp/4P2P/5PN1/PPPB4/R2QK2R b KQ -,e8f7
2r1qr2/1p2pp1k/p1bp1npb/4P2p/5P2/1PN1B1NP/1PP2QP1/R2R2K1 b - -,d6e5
2rq1rk1/p2nbppp/2p1pn2/1p6/2pPPB2/2N3P1/PPQ2PBP/R2R2K1 w - -,a2a4
4k2r/Rp1b3p/4pq2/3pQ3/3P4/2b5/5P1P/3K1BR1 b k -,c3d4
r1bq1rk1/p3ppbp/1npp1np1/1p6/3PP1P1/4BP2/PPPQN2P/2KR1BNR w - -,e2g3
8/p7/4k1r1/2p2Rp1/2Pp3P/P4R2/1rPK4/8 w - -,h4g5
r4rk1/1bpn2p1/1p1p1Q1p/p2P1p2/1PP1p3/P5P1/3NPPBP/R4RK1 b - -,d7f6
6k1/p6p/2R3p1/1p6/3p1KP1/1PP5/2r5/8 w - -,c3c4
r4rk1/p2qb1pp/n1p2p2/3n4/1p1PN3/1B4B1/PP2QPPP/R3R1K1 b - -,a6c7
rnbqr3/pp3pbk/3p1npp/2pP4/4P3/2N1B2P/PP1QBPP1/R3K1NR w KQ -,d2c2
4k2r/qp1rn3/p1p1pp2/3n3p/P2P1B1P/1P4Q1/3R1PP1/1B1R2K1 b k -,h8g8
5rk1/3nbpp1/2pqb2p/r2p4/Pp1P4/1Q1BP3/N1N2PPP/R4RK1 b - -,f8b8
8/6pp/2k5/5P2/R7/p6P/r7/3K4 b - -,c6d5
8/8/8/3kP2p/3P2p1/3Rr3/2K4P/8 b - -,e3e2
rn3r2/1bq1npkp/p3p1p1/1p1P4/3N4/P1N5/1PPQBPPP/R4RK1 b - -,e7d5
1r2rnk1/1qnbppbp/p2p2p1/P1pP2B1/2N1PP2/2NB4/1P1Q2PP/4RRK1 w - -,e4e5
1r3k2/5r1p/3n4/3P4/P1BK1p2/1P6/7P/2R2R2 w - -,f1f3
7k/p2rq2p/Rn2r3/2p1PppP/2PP1Q2/4P3/4BK2/3R4 w - -,f4f5
3q1rk1/pp2b1pp/1nr1p3/3pPp2/P2P1PP1/1P1NQ3/3B3P/R4RK1 w - f6,g4g5
3r2k1/p1q2pb1/2b1p2p/2p3p1/p1B1P3/2P3P1/QP3PPN/4R1K1 w - -,h2f1
1rbr2k1/2q2ppp/pnN1pn2/3P4/2P5/2b1BP2/3QB1PP/R4RK1 w - -,d2c3
8/3n4/8/5p2/2k4p/5K2/8/8 b - -,c4d3
r3r1k1/1pqn1p1p/2pb1np1/p2ppP2/6P1/PP1P3P/1BPN1PB1/R2QR1K1 b - -,a8d8
6k1/3qp1bp/1p1pp1p1/p7/P2pPP2/3P1Q2/1PP3Pr/2BK1R2 w - -,f4f5
r1b2rk1/1p3pbp/1qpp1np1/p1n5/2PNPB2/2N5/PP1QBPPP/3R1RK1 w - -,d2c2
r1b1r1k1/pp3pbp/6p1/4n3/2N1pq2/2P4P/PP1NBPP1/R2Q1R1K w - -,c4d6
