8/7p/1p1kp2R/8/8/3KP2P/r7/8 b - -,a2a7
6k1/1R4p1/p4r2/4K3/8/8/8/8 w - -,b7a7
r2q1r1k/2p1n2p/3p2pb/BP1Ppp1n/4P3/6P1/3N1P1P/R2QRBK1 w - -,d1c2
5B2/8/2p2pk1/4p1pp/4P3/4KPPP/8/3b4 b - -,d1b3
8/6p1/5pK1/5P2/3k3P/4p3/8/8 w - -,g6g7
2rr2k1/pp3pp1/5n2/4Q3/3N2P1/P1B5/1P3qBK/2R5 w - -,e5g5
3k1r1r/p1p5/2Q5/6q1/3Pp3/2R1P2p/P1P3pK/6R1 b - -,g5e7
6k1/p7/2p5/4R1P1/3p4/6K1/Pr6/8 w - -,e5c5
r1bqr1k1/pp1n1pbp/2pp2p1/8/1PPP1Pn1/P1NB1N2/2QB2PP/R4RK1 b - -,g4e3
8/Rp1q1pk1/1Pp1rnp1/7p/8/2Q1PBP1/5P1P/6K1 w - -,h2h4
3r2k1/p4rpp/6n1/1p2p1q1/2p1Qp2/P1Bn4/1P2RP1P/3R1K1B b - -,d8f8
3r2k1/pp3ppp/2q1pb2/1b6/4PB2/PP3Q2/5PPP/1R1B2K1 w - -,e4e5
8/1qn1b1pk/2p1p2p/2Pp1p1b/1PpP1P2/2N3PP/4P1BK/Q3B3 b - -,c7a6
6k1/5p1p/1R2p1p1/1p1r4/8/6P1/RN1rPP1P/5K2 b - -,g8g7
6k1/4p3/4Pbpp/2QP1p1q/2P2P1P/6P1/4NK2/8 w - -,c5c8
5k1R/8/2p5/1p3P2/4p1P1/3q2N1/2r1B1K1/4R3 b - -,f8g7
1r1q1rk1/2nbppbp/p2p1np1/2pP4/N1P1PP2/3BBN1P/RP2Q1P1/5RK1 w - -,e4e5
r1b2rk1/pp1n2p1/2nbpq1p/3p4/3P4/5NN1/PPB2PPP/R1BQ1RK1 b - -,f8d8:f8f7
2r2rk1/bbq2ppp/p3p3/1p2N3/3P1P2/N1n5/PP1Q2PP/2RR2K1 w - -,c1c3
r1q2rk1/1R1b2bp/2pp2p1/4pp1n/2P5/1Q1PP1P1/4NPBP/2B2RK1 w - -,b3b6
6r1/2R5/p2Bp3/3bP3/4k3/KP6/P7/8 w - -,c7a7
6k1/1p2qpp1/pB3n1p/P1N1pb2/2Pn4/7P/2PQ1PP1/3B2K1 w - -,c2c3
r1b1kb1r/1p1p1ppp/pqn1pn2/8/4P3/1NNB4/PPP1QPPP/R1B1K2R b KQkq -,d7d6
6k1/5p2/3p2p1/8/3R4/P6P/q5Q1/6K1 b - -,a2a1
4nr1k/2p1Q3/3p1ppp/3P4/4P1P1/5P2/7P/6K1 b - -,h8g8
r3k2r/1pqbbppp/p1nppn2/8/P3PP2/1NN1B3/1PP1B1PP/R2Q1RK1 b kq -,c6a5
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/3P1P2/2P1BN2/PP4PP/R2QKBNR w KQkq -,d1d2
6k1/4Rppp/p7/3P1b2/2Pp1b2/3p3P/P2N4/1K5R w - -,e7e8
2br1nk1/r4pp1/2pp4/p3p1p1/P3P1P1/7P/1PPRNP2/3R1BK1 b - -,a7d7
r3kb1r/pp1bnppp/3q4/3pN1B1/Q1B5/2P5/PP4PP/R3K2R w KQkq -,e5d7
3r1r1k/4p2p/5p1b/pp1PP1PP/2p1Q1B1/q1P5/P1R2PK1/7R b - -,h6g5
5br1/3q1r1k/3p1p2/pNpPpP1p/1nP1P1pP/1P2Q3/5PR1/3B1KR1 w - -,f2f3
r3nr1k/p2q2pp/1pp2b2/5p1N/3P1B2/P1P1R3/4QPPP/R5K1 w - -,a1e1
rnb1k2r/1pq1bppp/p2ppn2/8/2PNP3/P1N1B3/1P3PPP/R2QKB1R w KQkq -,f1e2
5rk1/p5p1/b1p5/P3p3/5PnP/6P1/PB1P4/RN1K4 b - f3,e5f4
1r4k1/3qpp1p/b2p2pb/3P4/P1pBP3/1rN2P2/RPQ3PP/5RK1 w - -,g1h1
4r1k1/5p2/2p3p1/p4q1p/P2Q3P/1P1R2P1/5PK1/8 w - -,d3c3
1rbq1rk1/2p2pbp/3p1np1/1p1Pp3/1P1n4/2N2NP1/P3PPBP/1RBQR1K1 w - -,f3d2
5bk1/5p2/4p1p1/7p/1pP2P2/1Pr1n1PP/3N4/1K2R1N1 b - -,e3c2
1k5r/2p5/1p2p3/5p1p/2B1bP2/P3P1P1/1P1r4/1K3RR1 w - -,b1a1
1r4k1/5pbp/2n3p1/1N1rp3/P7/2B3P1/1R3P1P/2R3K1 w - -,b5c7
r1bqk1nr/1ppp1ppp/1bn5/p7/PPB1P3/2Pp1N2/5PPP/RNBQK2R w KQkq a6,b4b5
5r2/1p2q1kp/2p3p1/4b3/P1Q1P1P1/6N1/P6P/3R3K w - -,h1g2
3q1k2/r3ppnp/3p2p1/p1pP1b2/NrR2P2/1P4PP/P3QP2/4RBK1 b - -,f5d7
8/pp2k1np/2r1p1p1/4q3/4N3/3Q4/PPP4P/1K1R4 b - -,e5c7
1nrq1r2/5pkp/n3p1p1/p1p5/P3PPPP/1BN1Q3/1PP5/2KR3R b - -,d8e7
r2q1rk1/1p2bppp/5n2/p2npP2/P7/1PN1B3/1P1QB1PP/3R1RK1 b - -,d5e3
3r2k1/1p3p1p/2ppb1p1/r3q3/2P1P3/5B2/P1QR2PP/3R3K b - -,a5c5
r2rb1k1/pp2ppbp/2q3p1/2p1PPQ1/2B2R2/2P5/P3N1PP/5RK1 b - -,g6f5
8/4kp2/p2p4/1ppP4/2n1P2r/2N3RP/PPK5/8 w - b6,a2a3
krb4r/2q5/p1P2ppb/pP2p2p/P3Pp2/3Q3P/N1PN2P1/1R2R1K1 w - -,a2c3
8/8/5pk1/7p/4PK1P/3R1P2/8/7r w - -,f4g3
8/5pk1/6p1/4Q2p/4p2P/5qP1/5P2/6K1 b - -,g7h7
8/8/8/1K5p/6p1/7k/8/1Q6 b - -,h3h2
2rr2k1/1b1n1ppp/1q2p3/pppnN3/8/PP1P2PB/1QRNPP1P/2R3K1 b - -,d7f6
2kr1r2/1pp1q1pp/8/2N5/3P2p1/P1PQ3P/6K1/R6R b - -,e7c5
2r5/p3qnkp/1pn1p1p1/1Q1RP3/P3N3/4PN2/2P3PP/1R4K1 b - -,e6d5
8/3k1b2/p1n5/1pB2P1p/1Pp2K1P/2P3N1/P7/8 w - -,f4g5
8/8/8/1p5R/k5rp/2K5/6P1/8 b - -,b5b4
5r1k/rpp3p1/p1npp2p/3P3n/4q3/1Q2N2P/PP3PPN/3R1R1K b - -,e6d5
r4r1k/1bp1bp1p/p3pp2/1p6/2nP4/P1NBBP1P/1PP2P2/2R1R1K1 w - -,d3e4
8/5p1k/8/8/4n1p1/1q2B3/5PP1/2R1R1K1 b - -,b3b4
r1b2knr/1p1nqppp/p3p3/2P5/B3N3/5N2/PPP2PPP/R2QK2R b KQ -,f7f5
2r4k/q5pP/4p3/1p1b4/1pr5/5P2/PPPQN1R1/1K3R2 w - -,e2c1
r4rk1/p3bpp1/2p1q2p/3pP2b/P2B4/5N1P/1P3PP1/2RQR1K1 w - -,d4c5
r1bq1rk1/p1p1bppp/2n1p3/3n4/PpNP4/4P1P1/1PQ2PBP/RNB2RK1 b - -,c8a6
r5k1/5p2/p2p4/1p1Pb1q1/4Ppb1/2PQ4/PP4P1/R3K2R w KQ -,a2a4
r4nk1/p4pb1/2p2qpp/4p3/2BrP1b1/2N1RN1P/PPQ2PP1/3R2K1 b - -,d4c4
8/6rp/3p1k1b/4p3/2P1B2P/1P4P1/7K/5R2 b - -,f6e7
rnbqr1k1/ppp2ppp/3b4/8/2B5/3Q1N2/PPPP1PPP/R1B2RK1 b - -,d8f6
2rr2k1/pp1q1pp1/4nb1p/3p4/5B2/4PN1P/PPR1QPP1/3R2K1 w - -,c2c8
r2qr1k1/1p3pp1/1n3b1p/3p1B2/P2P4/P5P1/RB3P1P/3QR1K1 b - -,b6c4
r1bqk2r/p2pnpbp/2p1p1p1/2p1P3/8/2NP1N2/PPP2PPP/R1BQK2R w KQkq -,c3e4
1n1k4/pr5p/8/1BP3p1/1PK1pp2/8/4RPPP/8 b - -,b7e7
8/2p4k/3b3p/3pp1pP/3P2P1/1rP1P3/prNK4/R3R3 w - -,e1f1
r2q2k1/1pp3pp/p3b3/4N3/4p3/7P/PP3QP1/R1B3K1 b - -,d8d1
r1bqk2r/pppn1pbp/3p2p1/4P1Pn/4P3/2N1BN2/PPP2P1P/R2QKB1R b KQkq -,d6e5:d7e5
rnbq1rk1/p3ppbp/1p4p1/2p5/3PP3/2P2N1P/P3BPP1/R1BQK2R w KQ -,e1g1
r1bqnr2/pp2b1kp/2n2p2/3Bp1p1/2Pp3N/BP1P2P1/P4P1P/RN1QR1K1 w - -,h4g2
8/3k2p1/1b3p1p/3ppN2/n5P1/2PNP2P/1P2K1P1/8 w - -,f5g7
r1q2rk1/1pp1ppbp/2n3p1/p2n4/3P4/PP3NP1/1B2PPBP/R2Q1RK1 b - -,f8d8
6r1/4pq1k/1p4pb/2p2p1n/3r1P2/6NQ/1P1B2RP/5R1K w - -,g3h5
r3r1k1/p3qp1p/2p2npb/3p4/3B2b1/2N3P1/PP2PPBP/2RQR1K1 w - -,c1a1
6k1/1rp3pp/R2p1p2/8/3BP3/1nP3PP/5PK1/8 w - -,d4e3
r1bq1rk1/pppnn1bp/3p2p1/3Ppp2/2P1P3/2N1BP2/PP1QN1PP/2KR1B1R w - -,c1b1
8/4B3/2r5/2k2p1p/3pq2P/1Q6/5PPK/8 b - -,e4e7
2r2rk1/p1qb1pbp/1pn3p1/2p1p1N1/2P5/Q2P2P1/PB2PPBP/1R3RK1 b - -,d7g4
8/pr5k/5p2/2n1pn2/4P2N/2P3P1/P2R3K/8 w - -,e4f5
8/5pkp/2Np2p1/p2P4/4P3/5PP1/r3n2P/4R2K b - -,a5a4
