5k2/8/8/1pR5/6n1/Pp1b2P1/1P3P2/2K5 b - -,g4f2
rnb1kb1r/pp3pp1/2p1pq1p/3p4/2PP4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,d5c4
2k4r/pp3p2/2p1p2p/2nrP1pP/6P1/6R1/PPP2P2/R3KB2 w Q -,g3e3
6kr/p2n1qp1/3b4/P1pPpp1r/1pP4P/1P3P1Q/4RBNP/6RK b - -,g8f8
5rk1/6pp/p7/1p1p4/3B4/6bP/PPP3P1/3R2K1 w - -,d1d3
8/6p1/3R1k1p/r7/5PK1/6PP/8/8 b - -,f6f7
1r1q1rk1/1p1b2b1/3pn2p/1PpNp3/2P2ppP/3PP1P1/5PB1/1RBQR1K1 w - -,e3f4
2q3k1/5ppp/b3pn2/p7/Nb2P3/1Q2BP2/1P2N1PP/6K1 w - -,a4c3
r2r2k1/2qnbppp/ppb1p3/2p1P3/2P1BP2/2N1B3/PP2Q1PP/2R2R1K b - -,c6e4
8/8/p4P1p/Pb2k2P/3p4/8/2NK4/8 b - -,e5f6
r1bqk1nr/1pp1p1bp/p1Bp2p1/5pB1/3PP2P/2N5/PPP2PP1/R2QK1NR b KQkq -,b7c6
r1bqr3/p2n1pbk/3p1npp/1PpP4/8/2NBB2P/PP1Q1PP1/R3K1NR w KQ -,g1e2
1k1rq2r/ppn1p1b1/3p1np1/2pP1bBp/P7/2N2PPP/1PPQN1B1/2KR3R w - -,h1e1
2r2rk1/1p1b2p1/p2b3p/3pn3/1P6/P2B1N2/4NPPP/2R1R1K1 w - -,f3e5
8/p3k3/8/4r3/P4N2/KB3P2/8/5n2 b - -,e7d6
8/8/6kP/8/1pp3P1/8/1P1K4/8 w - -,g4g5
3r2k1/5p2/6p1/1p2R3/p7/2BN4/PPP4r/3K4 b - -,h2h1
2r1r1k1/p1qn1ppp/1p3n2/3b4/P1pP4/B3PN1P/4BPP1/1QRR2K1 w - -,e2c4
5rk1/2p3pp/2p5/p3pbn1/2Pr4/PPN3P1/R4PKP/2N2R2 w - -,f1d1
8/2q1kp1Q/p3p1p1/8/1pr5/1P2P1P1/P4PP1/3R2K1 b - -,c4c1
3r4/1pp2pk1/1p2r1pp/4p3/4R1P1/P2P3P/1PP2P1K/6R1 w - -,g1e1
1r1q1rk1/5pp1/p3p1p1/3nP2n/3P4/P2B2PP/QB5K/2R2R2 b - -,d8g5
6k1/q1rb1ppp/p2p2n1/Pp1Pp3/3bP1P1/1P3QPN/R2B1P2/5B1K w - -,h1g2
3b2k1/r4p2/2pNq2p/2P2bp1/P1BPp3/4P3/2Q2PPP/5RK1 b - -,e6g6
2k1n3/p3qpp1/1p2p2p/2p1P1PP/2P2P2/2B1Q3/PP6/2K5 w - -,c3d2
5k2/6p1/4p1p1/p3r3/8/P3P2P/5PK1/R7 w - -,a1d1
r2q1rk1/pb1p1ppp/1pn1pn2/2p5/2PP4/2PBP3/P2N1PPP/1RBQ1RK1 b - -,d8c7
2kr4/1ppq1pp1/p1p2np1/8/4PQP1/3P1P2/PPP3K1/RN5r w - -,g2h1
r3k2r/1p1q1ppp/p1n1p3/3p4/Q2P1bb1/2PB1N2/PP1N1PPP/4RRK1 w kq -,h2h3
5r1k/1b3p1p/p2b4/1p3q2/3P1P1P/2P1RN2/PP3K1Q/R7 b - -,d6f4
rnbq1rk1/pppp2pp/4p3/5p2/2PPn3/P1B1P3/1PQ2PPP/R3KBNR b KQ -,b7b6
8/2rb3R/p4kp1/2pPp3/2NnP3/1P3P2/3KB3/8 b - -,d4b3
6N1/3b2k1/2p5/2P2p2/1p2pP1p/1B2PP2/6K1/8 w - -,b3c4:g2f2
rn1qk1nr/pp2ppbp/2pp2p1/8/3PP1b1/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,f1e2:d1d2
r1b2rk1/1pq3pN/p1pp1p2/4pP2/2P1P3/P1N1Q3/1PP4P/2KR3R b - -,g8h7
r1bqnrk1/pp1n2bp/3p2p1/3Ppp2/4P3/2NBBP2/PP2N1PP/R2Q1RK1 w - f6,e4f5
r4rk1/2q1ppb1/3p3p/p1pPnPp1/4P3/2B3N1/PPQ3PP/R4RK1 b - -,c7d7
1rbqkn1r/4b1p1/pp1p1p1n/2pPp2p/P1P1P2P/2NBBPPN/1P1Q4/1R2K2R b Kk -,c8d7
4r1k1/p5pp/1p2p3/1B1n4/P5qP/2P1Q1P1/5P2/4R1K1 w - -,e3e5
R7/P7/4pp2/2p1pk2/r7/4K3/8/8 b - -,a4a3
r2qkb1r/pp1Npp1p/2n2np1/8/Q7/2N5/PPP2PPP/R1B1KB1R b KQkq -,d8d7:f6d7
6k1/pp3bpp/5p2/5N2/3P1B2/bP6/P1r2PPP/3R2K1 w - -,d4d5
r5k1/p4ppp/1pr1b3/3p4/3B4/8/PPPR1PPP/4R1K1 w - -,d2e2
2R5/5ppk/4p3/p2r3p/2p5/P6P/1P3PK1/8 w - -,c8c4
6k1/1ppr3p/4pBp1/p1q2P2/2b1PQ2/2P4P/5RP1/6K1 w - -,f5g6
6k1/8/p2P1qr1/Pp6/1PpQ2P1/2Pb1P2/6K1/2B5 w - -,d4d5
b7/2n1kp2/p3p1p1/1p2P1P1/1P1B1PK1/PN1P4/8/8 b - -,a8b7
8/2pkb3/4p1p1/1p2P2p/p1p1KP2/P1P1B1PP/1P6/8 b - -,d7e8
r6k/p6p/2p5/3nqB2/Pp4Q1/6NP/2P3PK/4r3 w - -,g4h5
5rk1/pq3pbp/1p1rpnp1/2p5/2P2P1N/1P1P2P1/P1N1Q2P/3R1RK1 b - -,f8d8
r2qrbk1/p1p2pp1/2p4p/2npPb2/N4P2/1P4P1/PB2P1BP/R2Q1RK1 w - -,a4c5
rr4k1/2p3p1/3bpq1p/pp2p3/4P3/2N2P2/PPPQ2PP/1K1R3R w - -,d2d3
5r1k/1p2bp1p/pqrpn1p1/3Np1P1/4P2P/1N6/PPP1QP2/1K1R3R b - -,b6d8
6k1/pb3p1p/1p3P2/8/P2n3r/2N4P/1PB3P1/3R3K b - -,h4h3
6k1/1pq2p1p/p3b1p1/P1p1R1QP/2P2P2/R7/1P1r2P1/6K1 w - -,a3h3
r2Q2k1/p3Bp1p/6p1/8/5P2/8/bb1K2PP/8 b - -,a8d8
r4rk1/5pb1/2p1p1p1/1p4Q1/1P1q4/7P/PR3P2/2B1R1K1 w - -,a2a3:g5e7
4r1k1/1p2q2p/p2pbn2/2p2pN1/P1P1n2B/7P/6P1/1RQ2BK1 b - -,e7g7
r1br2k1/bp3ppp/p1n1pn2/8/2N5/1N2P3/PP2BPPP/R1BR2K1 b - -,d8d1
1rbq1rk1/2p1ppbp/p1np1np1/1p6/2PPP3/2N1BP2/PP1QN1PP/1R2KB1R w K b6,c4b5
8/8/3B2k1/7p/4nP1K/8/6P1/8 w - -,d6e7
r1bq1rk1/pp1nppbp/2p2np1/3pN3/2PP4/2N3P1/PP2PPBP/R1BQK2R w KQ -,e5d7
8/7R/k2P4/1p6/3rB2b/5P2/2K5/8 b - -,h4g5
5b2/1Q3k1p/4p1p1/3n4/3Bp3/P2q2N1/6PP/6K1 b - -,f7g8
8/5p1k/4p3/1R3r1p/1R6/P4p1r/1P3K2/8 b - -,h3h2
3k4/2p4p/1p1p4/p2PpRP1/P3r1KP/8/8/8 w - -,g4h5
r4rk1/pp2ppbp/5np1/1N3qB1/Q7/8/PPP2PPP/2KR3R w - -,g5h4
r3r1k1/1p3qb1/2p3pp/p2bn3/3Np2P/PPB1P1P1/1Q1R1PB1/4R1K1 w - -,e1f1
8/1p2kbQ1/8/6NP/8/3q4/6PK/8 b - -,d3f5
4r1k1/1p3ppp/p2brn2/5b2/8/1NN2PB1/PP4PP/K2RR3 b - -,e6e1
6k1/5pp1/bq2p2p/4n3/4P3/1P2N2P/5PP1/3Q2K1 b - -,a6d3
8/8/8/R5p1/8/6KP/4p3/3rk3 w - -,a5g5
8/6pk/6p1/6P1/5P1P/3R2K1/8/5r2 b - -,f1g1
2r2rk1/1p2b1pp/pB1p1nq1/P2Ppp2/2P5/1P3B2/R4PPP/3QR1K1 w - -,a2c2
5rk1/2pq1pb1/7p/2QP4/2R3bN/6P1/Pr3PB1/4R1K1 b - -,g7f6
3rbn2/4q1k1/5b2/p2BpQ1N/1p2P1p1/1P6/PB1R1PK1/8 b - -,e8h5
2r5/3r1pk1/2p1p2p/p3b3/2B1P3/1P4P1/P1R2PK1/4R3 b - -,e5d4
2r5/pb2ppkp/3r2p1/1p6/n7/2PN1P2/PPR1BKPP/2R5 b - -,a4b6
rr4k1/5ppp/2p2q2/p2p4/PnBN4/5P2/1PP2QPP/K2R4 w - -,c4f1
2n5/4k2p/P3pp2/3p4/P2P1N2/4PK2/8/8 w - -,f3g4
r4rk1/1q3ppp/4pn2/1p6/3P4/1Q3N2/1P3PPP/R3R1K1 w - -,h2h3
rnbq1rk1/pp3pbp/2p1p1p1/3p4/2PP4/5NP1/PPQBPPBP/R4RK1 w - -,e2e4
8/8/6k1/r5p1/P6p/5P1P/R5K1/8 w - -,g2f2
r2qkbnr/p4ppp/2p1p3/2pp4/4PPb1/2N2N2/PPPP2PP/R1B1QRK1 b kq -,g4f3
