8/5K2/6PB/7k/8/8/1p6/8 w - -,g6g7
r3r3/2q1ppkp/pn1p2p1/1pp4n/4P3/P1P1QN1P/1P1NbPP1/2R2RK1 w - -,e3e2
2rqr1k1/3bbppN/p1np4/1pp1pP2/4P3/2PP2NP/PP3QB1/R1B2R1K b - -,g8h7
3rr1k1/1bqn1pbp/p1p1n1p1/1p2p3/2P1P3/1P3NNP/PB3PP1/1BQRR1K1 w - -,g3f1
r2qkb1r/1b1n1ppp/p1n1p3/1pppP3/3P4/2PB1N2/PP3PPP/R1BQRNK1 b kq -,d8b6
2rr4/1p2kp1p/p1npp1p1/q7/2P5/P1R1P3/1PQ1BPPP/5RK1 b - -,c6e5
3r3r/1q3k1p/p3bpp1/3Np3/8/3RN1Pn/PPP1QPKP/4R3 b - -,d8d5
2r3k1/pb4pp/1p6/4P3/2Q4q/PPK5/1B5P/2RR4 b - -,c8c4
3q2rk/2rnb2p/p2p3B/3Pp1pP/4N3/1P3Q2/P1pR1P2/2K3R1 w - -,f3f5
5rk1/5p2/pr1p2p1/3Pp1q1/1P1p1b2/B2P1R1P/2QP2P1/5RK1 w - -,c2c7
4r1k1/p3r1pp/1p1q4/2pPR3/2P4P/2Q3P1/P5K1/4R3 w - -,e5e7
6R1/p1pk2p1/1p1r1p2/3p4/3P4/P1P1KP2/1P2N1P1/1b6 b - -,d6e6
r2q1rk1/b1p1npp1/p3bn1p/1p2p3/3pP2N/2PP1QNP/PPB2PP1/R1B2RK1 b - -,e7g6
r2qk2r/1bp2pbp/p2p1np1/1p2n3/8/PPN1P2P/1BPQNPP1/R3KB1R w KQkq -,e1c1
2br4/pp2rpbk/2p2npp/2N5/3P1q2/P2N2PP/1P3PB1/3RR1K1 w - -,d3f4
2r4k/3qnrp1/3p3p/2pn1P2/1p1PQ2N/pPP4P/P2K2RB/6R1 w - -,c3c4
8/kp4b1/p7/4pn1q/8/2N1P3/PPP2QB1/1K6 w - -,a2a3
rnbqk2r/pp1pppbp/5np1/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,c5d4:e8g8
8/6p1/p1b1pk2/8/p1P2P1P/P3R1K1/4B1P1/2r5 b - f3,c1g1
rnbQ1rk1/pp4pp/3p4/2pPp3/P3Pp1P/2NB4/1PP2PP1/R3K2R b KQ -,f8d8
8/7p/6p1/1p5r/4P1RP/4k3/KP6/8 w - -,a2b3
8/1p2bkpp/p3p3/3pPp2/nP1P4/P1N1P3/2b1BKPP/2B5 w - -,c3a4
1Q3N2/p2R4/k7/1n1p3p/1p1P4/8/6P1/6K1 w - -,d7b7
r1r3k1/3n1ppp/4p3/p1p5/PpR5/3N2P1/P2PPP1P/5RK1 b - -,d7b6
8/q2b2kp/3p4/2pPp3/p1P1Pp1P/K1P5/1Q2B1P1/8 b - -,a7a5
rnbqkb1r/pp1p1ppp/2p2n2/4p3/2P1P3/2N5/PP1PQPPP/R1B1KBNR b KQkq -,f8e7
5k2/2nb4/2p1q3/1p2p1Q1/pN1b2PB/P6P/1P4B1/7K w - -,b4d3
r1bqkb1r/1p3ppp/2n1pn2/p7/1pPp4/P2P1NP1/1B2PPBP/RN1Q1RK1 b kq -,f8e7
1k1r4/ppp2p2/4r1n1/4nNq1/2QP2Pb/1P2PB1R/P2B2K1/7R w - -,c4e2
8/1R2bkpp/1B1p1p2/4pP2/8/P6P/2r3PK/8 b - -,c2b2
1rbq1rk1/1p1nppbp/p2p1np1/2pP4/2P1P3/2N1BN1P/PP1QBPP1/R4RK1 w - -,a2a4
3r1bk1/2q2p2/1pp1b1pp/2n1p3/p3P1PP/2PrBP2/PPQ1N1K1/R4N1R b - -,e6c4
8/2p3k1/1p3p2/1P1p4/2rP3p/4PPq1/2R3P1/2Q3K1 w - -,c2c4
8/4pk1p/2r2bp1/2p5/1BR2P2/4P3/6PK/8 b - -,c6e6
r4rk1/1bqp1ppp/pp1bpnn1/6N1/2P5/P1NBP2P/1P1BQPP1/R4RK1 b - -,g6e5
r3r1k1/p4p1p/npp1p1p1/4P3/1P6/2B2PP1/1P2P1KP/2RR4 b - -,e8c8
1r1qr1k1/2bnnppp/4p3/1p6/4P3/B1P2NP1/5PBP/1R1QR1K1 b - -,e7c6
r2q1rk1/3bbppp/p1pp4/8/4Pn2/1BN4P/PP1Q1PP1/3R1RK1 w - -,d2f4
2k1rr2/pp6/1q5p/2p2bpP/2Q5/1PB5/P1P2PP1/1K1R3R b - -,b6c6
5rk1/p5b1/6rp/2qp1b2/4p3/1NP2Q1P/PP3PP1/R3RK2 w - -,f3e4
5b2/pb3ppk/6rp/n3PN2/7Q/1P1qB1N1/P4rPP/R5K1 w - -,e3f2
4r1k1/pp3pp1/8/1bPp1n2/3B3p/1BPn3P/PP1N1PPK/1R6 w - -,b3d5
8/1p4R1/7P/5KP1/p1kp4/P7/1P5r/8 w - -,h6h7
br2r1k1/5pbp/qp1ppnp1/4n3/P1PNP3/2N3PP/5PB1/BQ1RR1K1 w - -,d4b5
2r5/R7/3ppkp1/3b4/1P6/P2n1P2/4R1PP/6K1 w - -,h2h4
3r2k1/2Rbqp1p/pQ1p1bpB/1p1P4/3p2BP/6P1/rP2PP2/5RK1 b - -,e7e8
r1b2rk1/pppnqpp1/7p/8/2BPp3/2P1P3/P2N1PPP/1R1Q1RK1 b - -,d7f6
r1b2rk1/pp2qpp1/7p/2P1P3/6n1/PQ1BP3/1B4PP/R4RK1 w - -,d3c4
5rk1/2q2ppn/p2p3p/2pP1Q2/BpP5/1P2R2P/P4PP1/6K1 w - -,f5f3
3r4/p4pkp/1p6/8/P1P1K3/3p3P/2n3P1/3R1B2 b - -,d8d4
rnbqkbnr/pppp1p1p/8/8/2B1Pp2/5p2/PPPP2PP/RNBQ1RK1 w kq -,d1f3
r1b1k2r/pp1nppb1/3p1np1/q1p4p/3PP3/2NBB1NP/PPP2PP1/R2Q1RK1 w kq -,d4c5
1rr3k1/5ppp/4p3/pq1pP3/1pnQ1P2/3N4/PPP3PP/2RR3K b - -,c4b6
rnbq1rk1/pp1p1ppp/2p1pn2/b7/2PP4/P1N1P1N1/1P3PPP/R1BQKB1R b KQ -,d7d5
8/8/3k2p1/7p/5PnP/1R4PK/1p2r3/6B1 b - -,d6d5
2r3k1/p1q1r1pp/1p2n3/1BnRPQ2/5P2/B1P5/P5PP/3R2K1 b - -,c8f8
2r3k1/Q4p2/1p2p2p/2qb2p1/8/P4P1P/1P4P1/1B1R3K b - -,c5e3
5b1k/1p5p/2p5/4p1R1/N1P2r2/P4P2/1P2K3/8 w - -,a4b6
3r4/5kpp/p4p2/1bp5/5N2/1PK3P1/5P1P/4R3 w - -,h2h4
3qrb1k/1p3ppn/p1n1b2p/2p1pN2/4P1PP/2PrBN1Q/PP3PB1/R3R1K1 w - -,g2f1
8/3k4/K3b3/Pp2Bp1p/1Pp2Pp1/6P1/7P/8 b - -,d7c6
8/p3bk1p/R7/1r2p3/3p4/3N2P1/P3P2P/5K2 w - -,a6a7
4r1k1/1p2rpp1/1np3p1/p7/3RP2P/1PNR2P1/P4P2/6K1 b - -,e7c7
4r1k1/1p2qp2/pnpRp1pQ/1n2P3/1P6/P3P2P/1B3PP1/1B4K1 w - -,b1d3
1rr5/4k1pp/p1Bnp3/2R2p2/Pp3PP1/1P6/4PK1P/2R5 w - -,g4g5
8/5k2/p2P4/8/P3NNbp/4K1b1/8/8 b - -,a6a5
3k3r/1p2pp1p/1p4p1/b2P4/b1B1P3/4B3/P3KPPP/7R w - -,e2d3
r1bqr1k1/pppp1ppp/2n2n2/2bNp3/2P5/4P1P1/PP1PNPBP/R1BQK2R w KQ -,e1g1
r1b1qrk1/1ppnn2p/5p2/p1b1p1p1/P1N1P2N/2P1B3/1PQ1BPPP/R4RK1 w - g6,h4f5
2r2rk1/1pqnbppp/pn1pb3/4p3/2P1P3/NQN1BP2/PP2B1PP/2RR2K1 b - -,f8e8
r3r1k1/ppp2ppp/2np1q2/8/2P1n1b1/P3PN2/1PQ1BPPP/R1B2RK1 w - -,b2b4
2kr1b1r/p1q2pp1/1p6/n1p1P2p/8/2PB1PB1/P1Q2P1P/3R1RK1 b - -,c8b8
2r4k/Qp3pp1/7p/3p4/1P2B3/P3P1P1/2N2q1P/4R2K b - -,d5e4
r4rk1/3n1p1p/p2p1qp1/1ppP3n/4PP2/P1NBQ1PP/1P5K/2R1R3 b - -,f8e8
r4rk1/pp3ppp/2pq1n2/2B1pb2/2P5/2NP4/PP1QBPPP/3R1RK1 b - -,d6c5
r2r2k1/bppq1pp1/p1bn1n1p/4pP2/P3P1P1/1PP4P/1N1N2BK/R1B1QR2 b - -,b7b5
rq3rk1/1p2bppp/p1n1b3/1N2p3/8/2P2Q2/PPNR1PPP/1K3B1R w - -,b5a3
5r1k/pp1q2bp/n1p2r2/2Pp1pp1/N7/1Q2P1P1/PP3PBP/R2R2K1 w - -,d1d2
4rrk1/5ppp/pR4q1/P4R2/2Q1P3/7P/2P3P1/6K1 b - -,g6g3
r1b1kqnr/pp1n3p/2p1p1pb/3pPp2/3P1BP1/2NN1P1B/PPPQ3P/2K1R2R w kq -,g4f5
3n1rk1/1p5p/2pprqp1/5p2/PpP2P2/1P1QPNP1/7P/3RR1K1 b - -,d8f7
rnbqkb1r/pp1npp1p/6p1/2ppP3/3P4/4BP2/PPP3PP/RN1QKBNR w KQkq c6,c2c3
4Q3/2p3pk/3p3p/2q5/1p3r2/1P1Rp3/1KP5/8 w - -,d3e3
5bk1/1p3p1p/6p1/p2NP1BP/2nP4/2P3R1/5rPK/8 w - a6,d5f6
8/8/8/6k1/2R4p/5K2/1PP5/r7 w - -,c4c5
r1r1b1k1/p1q2pbp/1pn3p1/3Rp3/4N3/3PB1P1/P3PPBP/1QR3K1 b - -,c8d8
