5k2/p1r5/5Pb1/8/7Q/3K4/8/8 w - -,d3d4
r2q1rk1/1b3ppp/p2bpn2/8/PpQNP3/1N3P2/1P1B2PP/R4RK1 w - -,c4e2
rn1q1rk1/pp3ppp/4p1b1/2pn4/PbBPP1P1/5P2/1P2N1NP/R1BQ1RK1 b - -,d5b6
4r3/ppp2pkp/3p2p1/3Pq3/8/1Q5P/PPP2PP1/R5K1 b - -,b7b6
5r1k/1p5p/2n3p1/pN2q3/P1P5/1P2P2P/6R1/3rQ1K1 w - -,e1d1
3r2k1/1b1r1qn1/p2p1pp1/Pp1P3p/1PpQPP2/4RB1P/5NP1/4R1K1 b - -,d7e7
r2qkb1r/pp1n1ppp/2p2n2/3p4/8/2NP1BP1/PP2PP1P/R1BQ1RK1 b kq -,f8d6:d5d4:f8c5
8/1bp2p2/1p2k1pp/p1p1P3/3rNPPn/6NP/PPP1RK2/8 w - a6,a2a3
8/8/3k4/3B2K1/2P2P1p/7P/3b4/8 w - -,g5g4
r1bqk2r/1pp1bppp/p1n1p3/3pP3/2PP4/2N2N2/PP1QBPPP/R3K2R w KQkq -,e1g1
r3k2r/1bqp1pp1/p3pn1p/1p2n3/1b1NP1PP/2N1BP2/PPPQ4/2KR1BR1 w kq -,f1e2
rnb2r1k/ppqpb3/8/4p2Q/2PB4/PN4P1/1P3P1P/R4RK1 b - -,h8g8
4rb1k/7p/8/3B3p/1qP1pP2/4Q1P1/4R1K1/8 w - -,f4f5
1r6/1PRB3p/8/P2pk3/6P1/5P2/5K1P/8 w - -,a5a6
8/4k3/6R1/8/1p1KB1P1/2n4P/b7/8 w - -,g6b6
2rr1nk1/1pq2ppb/p6p/P1pBP1b1/2Qn4/1NB5/1P1N1PPP/3R1RK1 w - -,f2f4
8/k7/8/1p1K4/4P3/8/8/8 b - -,a7b6
5k2/7p/4pbp1/2p2p2/2P2P2/4PNP1/4K2P/8 b - -,f8e7
4r1k1/1p1q1p2/2Pp2n1/1p3pP1/4rP1P/P2Q2B1/1P3RK1/2R5 b - -,b7c6
2r3k1/1pr2p1p/p2p2p1/P1nPq3/1RP1p3/4Q3/2PN1PPP/1R4K1 b - -,f7f5
r1bq1rk1/pp2npbp/2npp1pB/2p5/4P3/2NP2P1/PPPQ1PBP/R3K1NR w KQ -,h2h4:h6g7:g1e2
r2qr1k1/pb1nbppp/1p1p4/2pP4/8/1PNQP3/PB1N1PPP/R4RK1 w - -,f2f4
4n3/3k2p1/p2P4/1pr1P2p/8/PB6/1R3KPP/8 w - -,b2e2
8/8/3k3p/2bP2p1/8/3K2P1/2r5/3R4 b - -,c2g2
r1b1rbk1/1pqn1p1p/2p1pnp1/p2p4/2PP4/PP1BPN2/1BQN1PPP/2R1R1K1 b - -,f8g7
r2q1rk1/pb1nbppp/1p2pn2/3p2B1/2PN4/P1N1P3/1PQ2PPP/3RKB1R w K -,f1e2
5r1k/r4pb1/q2p1Np1/3P2Bp/pp5Q/6PP/nP3PB1/1b3RK1 w - h6,f1b1
8/3n4/3p4/2pPp1k1/2P1P3/6PK/1r3bN1/3B1R2 w - -,g2h4
rnbq1rk1/ppp1bpp1/3p3p/4p3/2B1P3/2PP1NP1/PP1N1PP1/R2Q1RK1 w - -,f1e1
r2qk2r/pp1bppbp/2np1np1/8/3NP3/1BN1B3/PPP2PPP/R2QK2R w KQkq -,f2f3
r3kbnr/1bq2ppp/p3p3/1p2p3/4P3/1NN2B2/PPP2PPP/R2QR1K1 b kq -,f8b4
r2qkb1r/pp2pppp/2p2n2/8/5B2/6Q1/PPP1BPPP/R3K2R b KQkq -,d8a5
2R2rk1/3R2bp/pq2p1p1/4PpP1/8/2n2Q1P/P4P1B/6K1 w - f6,c8c7
8/8/p1n4p/p1P2N2/K5P1/7k/8/8 w - -,f5h6
rnb1kn1r/ppp3pp/4p1p1/3pP3/3P4/2N4N/PPP2PP1/2KR1B1R b kq -,c8d7
8/7p/1K1k4/8/5p2/8/8/1R6 w - -,b1b5
6k1/1pp3bp/3p2p1/p1nP4/2Pq1P2/PP1pr1PP/3Q2BK/2NR4 b - -,c5e4
2R5/8/1kn2p2/4b1p1/6B1/3bP2P/5P2/6K1 w - -,g4f3
r3kb1r/1p3ppp/p1q1pn2/8/3Q4/2P1B3/PP3PPP/RN2R1K1 b kq -,f8e7
2r3k1/1p3ppp/4p3/1P6/PpnP4/1B1pP3/1B3PPP/5K2 w - -,b2a1
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPn3/2PBPN2/P1Q2PPP/R1B2RK1 w - -,f3d2:c4c5:f3e1
1Q6/5ppk/1p1Bpq1p/8/r1P5/8/Pb3PPP/5RK1 w - -,b8b6
3r4/rp2q2k/pNp1b1pp/2Pp1pn1/1P3Q2/4P2P/P3BPP1/2R1R1K1 b - -,g5e4
8/p7/1p3P2/1n1NK1k1/3p4/3P4/8/8 b - -,g5g6
8/6p1/3k1p1p/8/3B1n2/6P1/K4P1P/8 b - -,f4e6
8/8/B7/p7/P7/2P1k3/3r4/2K5 w - -,a6b5
6k1/2p2q1p/p2p2p1/4br2/1P6/4B2P/P3QPP1/3R2K1 b - -,e5f4
5bk1/2q2r2/p3r2p/2ppPpp1/5P2/1N2P1P1/2QB3P/R1R3K1 w - -,b3d4
2r2rk1/1p3pbp/p1qpbnp1/P3p3/2P1PP2/3B4/1PQ1N1PP/R1B2R1K w - -,b2b3
bk1r1bnr/p1pq4/Bpn1p2p/3pPpp1/PP1P4/2PQ1N2/4NPPP/R1B2RK1 w - f6,a4a5
2r5/1p4k1/p2pq1pp/4nR2/8/P1N3QP/1PP3P1/3R3K b - -,e6f5
r2q1rk1/5ppp/2np3b/p2Pp2Q/1p2P2P/1P4PB/P1N2P2/R3K2R b KQ -,c6e7
r1b3k1/3pnr1p/p1n2QpP/q1B1p3/2B1P3/2p5/PPP2PP1/R3K2R b KQ -,c3b2
3qk2r/2p2pQ1/rp2p1np/p2pP3/P2P3b/1NP5/1P3PP1/R1B1K2R w KQk -,g2g3
r1bqkb1r/pppppppp/2n5/3nP3/3P1P2/8/PPP3PP/RNBQKBNR b KQkq f3,d7d6
2r3k1/r3q3/p3N1pp/P3P3/4pP2/2p1Q2B/6PP/R5K1 w - -,a1c1
2R5/6k1/5p2/5P2/6PK/8/8/r7 w - -,c8c6
8/4kp2/8/3BP3/1p3NP1/1Pbb1K2/8/8 b - -,d3c2
8/1k3b2/5Rpp/1rB1P3/8/2K5/P5PP/8 b - -,b5c5
4k3/5R1p/5pp1/4p3/4P2P/5rP1/5B2/3r1BK1 w - -,f7h7
2Q5/5ppk/p2q4/Pp5P/1P6/5P2/5PK1/8 w - -,c8f5
7r/p1pk1p2/2p1b3/2QpP1qp/2P3p1/P2B2P1/2P3PP/1r3RK1 w - -,f1b1
2rqr1k1/pb1nbppp/1pp1pn2/3p4/2PP4/1PN1PNP1/PB3PBP/2RQ1RK1 w - -,d1c2
2r1r1k1/pbqnppbp/1p4p1/2p5/2PP4/1P3NP1/PB2QPBP/3RR1K1 b - -,c5d4
r4k2/4np2/2p1pqp1/p1R4p/Pr1P1P1P/1P4P1/2BR1QK1/8 b - -,f8g7
rr4k1/3n1n1p/4qpp1/p2p4/N2pPP2/1P6/P2NQ1PP/1RR4K w - -,e2d3
8/3k3p/R1b5/p1p3p1/PpP1p1P1/1P3r2/2B1K3/8 b - -,f3c3
8/5b2/p7/P3k3/1R6/8/6P1/6K1 w - -,g1f2
1rr4k/3bBBq1/1p1P1b1p/p1pRpp1Q/P1P5/1P4PP/5P2/3R2K1 w - -,f7g6
rnbq1rk1/ppp1b1pp/3ppn2/5p2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b - d3,d8e8
1b1r4/1p1r1kp1/p1p1pn1p/P4p2/1PPP1P1P/3R1KP1/5N2/2BR4 b - -,b8d6
4k3/pp3p2/2np1P2/4p3/6Nr/2P4r/PP4RP/1K1R4 b - -,e8d7
8/4k1p1/1pp2p2/5P2/1P1KP3/2P3P1/b5Bp/8 b - -,e7d6
1n3rk1/pp5p/4p1pb/3pP3/3P4/3BN3/PP2K1PP/1R6 w - -,e3c2
rq2r1k1/1pbn1ppp/2p1pn2/p2p4/2PP2b1/PP3NP1/1B1NPPBP/2RQR1K1 b - -,e6e5
3r2k1/6p1/pqP1pp1p/3n4/8/3Q1NPP/P4P2/2R3K1 w - -,g1g2
8/3kr3/p6R/1p6/5K2/Pn1P4/8/5R2 w - -,f1h1
2r3k1/5p2/p1b1pPp1/1p2P1p1/4p3/P1P3R1/1P4PP/5RK1 w - -,f1d1
r4rk1/2pb3p/pbn3p1/1p1p4/3P2Pq/PP1Q3P/1BBN1P2/R4RK1 w - -,g1g2
8/p7/7k/7P/1P6/P4R1P/3q1K2/8 w - -,f2g3
4r1k1/6pp/2p5/p1r5/P2Rp3/8/5P1P/4R1K1 w - -,d4e4
2r5/5p2/4p2p/4k3/1Pr1P3/2PRKp2/1R4PP/8 w - -,g2f3
r1q2kr1/4pp2/pB1p1b2/3P4/n4P2/1NP5/PP1R1Q1P/2K1R3 b - -,a4b6
2kr3r/1pq2pbp/p1p1p3/2n5/3P3P/1P2PQ2/PB3P2/2KR1B1R b - -,c7d6
8/7p/5p2/4p1p1/8/6B1/1K2Q3/5qk1 w - -,e2h2
8/5r2/3R1pp1/4nk2/4r3/8/PPQ5/1K6 b - -,f5f4
