8/1RP5/7p/k1N2P2/7P/P7/K7/r5r1 w - -,a2b3
r1bq1rk1/pp2ppbp/2n2np1/8/3pP3/3P1NP1/PP1N1PBP/R1BQ1RK1 w - -,a2a4:d2b3
4r1k1/1bbq1rp1/ppn1p2p/2p5/2PpPPQN/PP1P4/3B2B1/4RRK1 w - -,e1e2
5rk1/1p1bpp1p/3p1npQ/q7/p3P1PP/P1P2P2/2P5/2KR1B1R w - -,h6e3
8/8/R6P/1P1n3r/P2k1P2/4p1K1/8/8 b - -,e3e2
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/5N2/PP1NPPPP/R1BQKB1R w KQkq -,d1a4
2r3k1/1b2p1bp/pq1p2p1/3Pn3/1P2NP2/7P/3BB1P1/2Q2R1K w - -,c1e1
r4rk1/p4pp1/3bp2p/1ppq3P/3P2R1/8/PPP1QPP1/1KBR4 b - -,g8h8
8/5R2/1P6/3Kp1k1/5p2/1r5p/8/8 w - -,d5e5
r6r/pn2kppp/1p2p3/4P3/3b4/2n3P1/PP3PBP/R1B2RK1 w - -,b2c3
8/R3k1r1/8/6p1/6Kp/8/8/8 b - -,e7f6
r1b1kbnr/pp1pqppp/8/3Pn3/1p6/8/PBPNBPPP/R2QK1NR b KQkq -,g8f6
r1bq1r1k/1p4bp/6p1/p2pp2n/3P4/P1N1P1P1/1P3PB1/1RBQ1RK1 b - -,e5e4
r1b1k2r/4bppp/p7/4q3/1p2pR2/1P2B1N1/1PP1Q1PP/R5K1 b kq -,f7f5
r2k2nr/pppn2bp/4p1p1/4p3/4P3/2N5/PP1B1PPP/2KR1B1R w - -,f1c4
8/8/6p1/2p3k1/5pP1/pr6/Rn1KB3/8 w - -,d2e1
rqb1k2r/p3ppb1/1n1p2p1/1NpPn1Pp/p3P2P/4BPN1/1PPQB3/R3K2R w KQkq -,b5a3
8/8/1p6/3pk3/3N1p1P/5K2/r7/3n2B1 w - -,h4h5
r1r5/1p3nkp/2p1bpp1/p7/P1P5/1P2B2P/3RBPP1/2K4R w - -,f2f4
2R5/1B4kp/4n3/p3Pp2/3P1p1q/8/P4R1P/5K2 b - -,e6d4
1r1kr3/p4pp1/5n1p/2p2B2/3p4/1P4P1/P1PR1P1P/5K1R w - c6,c2c3
3r1bk1/1b1p4/p3p1pp/1p2N1PR/4PP2/P1PBK3/1P6/8 w - -,e5g6
2kr3r/pppq1ppp/2np1n2/2b1p3/4P1b1/2PP1N2/PPBN1PPP/R1BQ1RK1 b - -,f6h5
8/7p/1p2N1p1/p4pP1/Pk6/1P2KP1n/7P/8 w - -,e6d4
r6k/6pp/4Bp2/p1qPn3/2p1P1P1/2Q5/3Nb1KP/2R5 w - -,d2b3
r2qk2r/p1p1ppb1/1np3pp/8/8/2NPBNPb/PP1QPP1P/R3K2R w KQkq -,h1g1
2r3k1/2r2p1p/pp4p1/8/1P1R2P1/1P5P/2PR4/2K5 w - -,d4d8
2r2rk1/pnp2p1p/1p4p1/3Pp3/Q1P1q3/4PN2/P4PPP/2RR1K2 w - -,a4a7
6k1/3q3p/1p2N1n1/n2p1rpQ/3P3p/P7/4RP1K/4R3 w - -,e6g5
r6k/pppbq2p/2np1r1b/5p2/2PP1Bp1/3NP2P/PP1QB1P1/R4RK1 w - -,a1e1
2r2rk1/p1q1bpp1/1pN1pn1p/8/2P5/2B5/PP2QPPP/RB3RK1 b - -,c7c6
6k1/1p3p1p/2p1p3/4P1p1/Pp3P2/1q2P2P/3Q2P1/6K1 b - -,g8g7
r3r1k1/pb4pp/1pn1p3/2b2p2/8/2P2N1P/PPB2PP1/R1B1R1K1 w - -,c2b3
rn1qkbnr/pbp2ppp/1p2p3/3p4/4P3/2PP1N2/PP1N1PPP/R1BQKB1R b KQkq e3,c7c5
r3k2r/1ppBq1pp/p2p4/3Pp3/P1Qb4/8/1PP2PPP/R1B2RK1 b kq -,e7d7
8/5pk1/R7/4nPKp/7P/8/8/8 b - -,e5f3
2r1r1k1/3q1pbp/bp4p1/p2pP1B1/P2P4/1PN3PP/3QN1B1/R5K1 w - -,c3d5
6k1/7p/2pb2p1/1pNpNq2/1PnP1P1P/1R2P1K1/r7/6Q1 b - -,d6c5
7k/8/4r1P1/6p1/4P3/1P2R3/6KP/8 b - -,e6e5
4rrk1/2q3pp/3np3/p2p4/1pp5/4Q1PN/PPP3BP/2KR1R2 b - -,d6f5
1n1b4/3n1k2/2p1p1pp/Q1Pp1p2/BN1P1P2/2B1P3/5P1P/6K1 b - -,d8a5
2rr2k1/p3qpb1/6pp/1pPP1P2/5p2/1P5P/P4PB1/2QR1RK1 b - -,e7g5
6rk/1b5p/1pp1p3/p2pPp2/2P4r/1P2PB1P/P5P1/2RR3K b - -,g8e8
8/5p2/2k1p3/8/P3K3/1P6/8/8 b - -,c6c5
8/4pp2/3p3b/2pP3P/1pP1K1B1/1P6/2k5/8 b - -,c2b3
1r1r2k1/1b2npp1/p4b1p/3p4/3N4/P5P1/P2RNPBP/3R2K1 b - -,b7c8
r1bq1rk1/pp2nppp/4p3/4N3/2BP4/2n5/PP3PPP/R2Q1RK1 w - -,b2c3
8/2R5/8/5b1p/5k2/8/r5PK/8 b - -,h5h4
r5k1/p4pp1/4rn1p/3q4/2Qp3B/P2P4/1P3PPP/R4RK1 b - -,e6c6
8/5p2/2r1k1p1/8/3BK3/r3PP2/PR6/8 b - -,f7f6:c6a6
4rk2/r2bp3/1p4p1/2pP1p2/p1P2P1p/P3RB1P/1P2R1P1/6K1 b - -,a7a5
r3n1k1/2pbq1b1/p2p3p/1p1P1rpP/2P1P3/2NBB3/PPQ5/2K3RR w - -,e4f5
5nk1/2p2pp1/2p4r/p7/q1P5/3Q2B1/4PP2/1R4K1 w - -,b1b8
6k1/1R6/4pp1p/p1r5/1p6/P3PBP1/1P3P1P/6K1 b - -,b4a3
2r1r1k1/2qn1pbp/1p2p1p1/2p4n/2PP4/1QB2NP1/1P3PBP/R2R2K1 w - -,d4d5
3b4/B6p/1P2k3/p2p1p2/8/5KP1/7P/8 b - -,d5d4
8/8/1p6/2p2p2/2P4p/1P1k3p/P4P2/6K1 b - -,f5f4
5rk1/7p/p3n2b/p3P1N1/2R2P2/4B1P1/P6P/6K1 b - -,h6g5
rnb1q3/pp4k1/5rpp/1Pp2pN1/2P2Q2/P4NP1/4PKBP/3R4 b - -,e8e7
rnb1k1nr/pp1ppp1p/6p1/2P5/4P3/2qB4/P1P2PPP/R1BQK1NR w KQkq -,c1d2
1rbr1nk1/2q2pbp/pp1pp1p1/5PP1/Pn2P3/1NN1B2R/1PP2QBP/R6K w - -,h3h4
8/p3b3/4kpp1/3p3p/3P3P/4BP2/PP6/6K1 w - -,g1g2
3Q1nk1/1p6/p3p3/P4q1p/1P6/5PB1/6PK/8 b - -,g8g7
8/Q2b2k1/5pp1/7p/1pN1P3/1P6/1PPK4/5q2 b - -,f1f4
3rr2k/1p1qnp2/2p1b1pp/p2pP3/3N4/2P1Q2P/PPB2PP1/R3R1K1 b - -,h8g7
3r1rk1/1b3pp1/3qpn1p/pp2N3/2pPP3/2P1R3/4QPPP/1B2R1K1 w - a6,e3g3
r1bq1rk1/pp2bppp/n2ppn2/8/3NPP2/1BN5/PPP3PP/R1BQ1RK1 b - f3,a6c5
8/6k1/1r6/4RK2/5P2/8/8/8 w - -,e5e7
r1b1r1k1/1p1nqppp/3b1n2/p2pP3/8/1P3NP1/PBQNPPBP/R2R2K1 b - -,d7e5
r1q2rk1/pppbppbp/1n1n2p1/3P4/3N4/1PN3P1/PBQ1PPBP/R2R2K1 b - -,d7h3
8/5ppk/7p/3p4/R4P2/2P3q1/2R1K3/8 w - -,a4d4
8/3N1k2/r3p2p/6p1/1KR2P2/P5P1/7P/8 b - -,a6d6
r3r1k1/pp1q1p2/3p1nnB/2pPp3/P1P1P3/2PB2Pp/5P2/R2QR1K1 w - -,d1f3
6k1/1p3p1p/p3p1p1/2N5/8/P1R2P2/1n2K1PP/3r4 w - -,c5b7
6k1/2p3p1/1bqp4/1p5Q/1P6/5PB1/6KP/8 w - -,h5f5
4rr1k/1p3pbp/2pR4/1p2P1Np/8/4B2P/PP3P2/5KR1 w - -,d6d7
3rr1k1/p5b1/2pp1qpp/8/2P5/1N2PpP1/P1QR1P1P/2R3K1 w - -,c2d1
3r1rk1/1p2nqpp/p1pbbp2/1P2p3/2P1P3/3PBN2/3N1PPP/RQ1R2K1 b - -,a6b5
r1b2rk1/pp1nbppp/4pn2/q2p4/2P2B2/2N1PN2/PPQ2PPP/3RKB1R b K -,d7b6
r2q1rk1/2nnppbp/3p2p1/1NpP2B1/P3P3/2N2P2/1P1Q2PP/R4RK1 b - -,f8e8
5rk1/1pqb2pp/p4n2/3pb1B1/N7/P2B3P/1P3PP1/2RQ2K1 b - -,c7a5
8/4k3/pQ1p4/2pPp3/q1P1P3/4K3/8/8 b - -,a4a3
3r3r/pp2kppp/2p1n1b1/4N3/5PP1/2P4P/P5B1/R3R1K1 b - f3,f7f5
5rk1/p7/4p1p1/1rp4p/8/1PB1P3/P1NP4/R5K1 b - -,f8f5
1r4k1/p2R1rp1/2B1p2p/2b2p2/2P3n1/1P2P1P1/1B3P1P/R5K1 b - -,b8b3
