8/4k3/2P2r2/1K1Q4/8/8/8/8 b - -,f6d6
1rr3k1/3q1pp1/Rp2p2p/1Pp1PnnP/2Pp1Q2/3P2P1/3N1PBK/R7 w - -,g3g4
4r1k1/pp1n1rRb/2n1pp1P/8/2pPp3/2P1B3/PP1NBP1q/R1Q1K3 b Q -,f7g7
8/5N2/1PK5/n7/5k2/8/8/8 w - -,c6c7
2k4r/1p2Bpp1/p1b1pn2/2P4p/8/P5P1/1P1r1P1P/R3RBK1 w - -,e7f6
6k1/p1B1bp1p/6p1/N1prP3/P4P2/r2b4/6PP/2R2RK1 w - -,f1e1
r1bqkbnr/pppp1p2/8/4P1p1/4PppP/1B6/PPP3P1/RNBQK2R b KQkq -,d8e7
4r1k1/pb1q1rbp/1p3p2/3pnPp1/6P1/2B5/PP2BQNP/R2R2K1 b - -,d7c8
8/8/6kp/6p1/4q3/R5B1/6RK/8 b - -,g6h5
rnbqkbnr/pp3ppp/2p5/3p4/2PPp3/2N1P3/PP3PPP/R1BQKBNR w KQkq -,d1b3
r4rk1/ppn1qpbp/3p1np1/3pp3/2P1P1b1/P1N1BN2/1PQ1BPPP/3R1RK1 w - -,c4d5
rnbq1rk1/pp1pppbp/2p2np1/8/1PPP4/2N1PN2/P4PPP/R1BQKB1R b KQ b3,d7d5
r3k2r/p2nppbp/2p3p1/qp1pPn2/3P1Pb1/1P3N2/PNP1B1PP/R1BQ1RK1 w kq -,c2c4
r2qk2r/pbpn1ppp/1p1ppn2/8/3P4/P1P1PBQ1/2P2PPP/R1B1K1NR b KQkq -,b7f3
r1bqr1k1/pppp1pp1/2nb1n1p/3N4/2P5/P2BP3/1PQ2PPP/R1B1K1NR w KQ -,c1d2
5r1k/4R1pb/p4n2/1p2Q1P1/8/2Pq3P/4RP1K/8 b - -,f6h5
1r4k1/4ppbp/3p1np1/1p1P4/2p1PP2/2P4P/qPB1Q1PB/5R1K w - -,c2b1
r1r3k1/1b1nqp1p/p3p1p1/1P6/2pNP3/P1R5/5PPP/1B1Q1RK1 b - -,e6e5
rnb1k2r/2q1ppb1/p1pp1np1/6Pp/1p1PPP2/4B3/PPPQBN1P/R3K1NR b KQkq -,f6g4
rn2kbnr/1bqp1ppp/p3p3/1p6/3NPP2/P1N5/1PP3PP/R1BQKB1R w KQkq -,f1d3
r2q1rk1/pp1bppnp/3p2p1/8/2P1P3/2N2P2/PP2B1PP/R2Q1RK1 w - -,d1d2
3r2k1/3N1ppp/p2N4/3P4/8/P3P3/2r2PPP/1R4K1 b - -,h7h6
r4rk1/2pn1ppp/1p2q3/p1n1p3/2P5/PPB1PP2/1Q2BP1P/R4RK1 w - -,g1h1
2r2r2/1bqnp1bk/pp1p2pp/2pP1p2/P3n1PN/N1P1P2P/1PQ1BP1B/R2R2K1 b - g3,e7e6
4r1k1/5p2/p2p3p/P2r2p1/8/4P1P1/1R3PKP/5R2 b - -,d5a5
r2q1rk1/2n1ppb1/p2p1npp/1bpP4/2B4B/1PN1P3/P2N1PPP/2RQ1RK1 b - -,f8e8
2bqk2r/rp3ppp/p1nppn2/8/4P1P1/1NNB4/PPP1QP1P/R3K2R b KQk g3,b7b5
2Q5/4r1kp/6p1/8/5N1P/6P1/5qBK/8 b - -,f2e1
8/2k5/3p4/3Pp2p/bp2Pp1B/4bP2/P3B1P1/2K5 w - -,c1b2
r1bq1r1k/p2n2pp/2pbp2n/3p1p2/2PP4/2NBPN2/P4PPP/1RBQK2R w K -,e1g1
8/8/8/5k2/3R4/5b2/r7/4K3 w - -,d4d2
5rk1/p1r1ppbp/2b3p1/8/2pN4/B1P3P1/P2RPP1P/1R4K1 w - -,d4c6
8/5p2/2p5/1b4k1/1p1P4/6P1/PP4B1/6K1 b - -,g5g4
rq2nrk1/1p2bppp/3pb3/p3p1P1/Pn2P2P/1NN1BP2/1PPQ4/2KR1B1R w - -,e3b6
1k6/1pp2p2/b1p5/8/4PP1P/1qNr4/2R3K1/2Q5 b - -,f7f6
3r1rk1/1p2qppp/1p4b1/6P1/p2N3P/P7/1P1QBP2/3R2K1 b - -,d8d4
2r3k1/R1b2ppp/8/2pBp3/1p6/8/1PP2PPP/5K2 b - -,g8f8
r2r2k1/p1qb1p2/3bpp1p/1p1p4/2P5/1P1Q1N2/P1B2PPP/R3R1K1 w - -,d3h7
4kr2/3bqp2/4p1p1/1p1pP1N1/p1pP1QP1/PnP2R2/1PB2P2/7K b - -,b3a5
6r1/8/2kbNp2/p4p2/1pp1b3/4B2P/PPP1R1P1/6K1 w - -,e6d4
1k1r4/p7/1pB1bp1p/8/7P/P1R1K1P1/1P3P2/8 b - -,d8d1
2rqrnk1/p3bppp/bpp1pn2/3pN3/2PP1B2/1P4P1/P2NPPBP/2RQ1RK1 b - -,f8g6
8/p2q2kp/5pn1/5p2/P7/5B1P/5QP1/5K2 w - -,a4a5
4r1k1/1p1b1p1p/p2p2p1/P1pPr1qn/4P3/2N1RQ1P/1P3PP1/1R3BK1 w - -,b2b4
1r3rk1/3n1p1p/1q1p1np1/1p1P4/2pP1QP1/5N1P/1P3P1B/4RBK1 b - -,f8e8
1k1n4/2p1p3/pp1r1b1p/3P2r1/2P3Bp/5P2/PP1N2PP/2KRR3 b - -,g5e5
6k1/p6p/4p1p1/1p5P/2b1q3/P7/1Q3PP1/3B2K1 w - -,d1f3
2r2rk1/1p2ppbp/pq2bnp1/3pN3/P2P3B/1B3Q2/1PP2PPP/3RR1K1 w - -,h2h3
6k1/8/1p3p2/p1n5/3N4/3K2P1/7P/8 w - -,d3c4
5k2/R1N2p2/6p1/6Pp/1p1r3P/1Pn1K3/P4P2/8 b - -,d4h4
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/P1NBPN2/1P3PPP/R1BQ1RK1 w kq -,d1e2:d3c2
3rn1k1/q1r2ppp/ppb3n1/2bpPB2/P2N4/1PN2P1P/3R1QPB/3R3K w - -,e5e6
1r2r1k1/p4ppp/8/q1P1nb2/8/1QP5/P3BPPP/3R1KNR w - -,b3d5
2q2r1k/3bb3/p1p1pnPN/3p1p1P/3P1PB1/4Q1K1/PP1B4/2R5 w - -,g4f5
r1b2rk1/1q3ppp/pp6/2npP3/P2N1P1b/N3B1nP/1P4P1/R2QRBK1 w - -,d4f3
r1r3k1/1p3ppp/1q1p1b2/3Qp3/p1P1P3/1P3N1P/P4PP1/R2R2K1 w - -,d5d3
8/6k1/p6p/4b1p1/P5P1/8/5BQ1/1q5K w - -,f2g1
r1b2r2/p3npkp/1pn1p1p1/2p5/2P5/2N2NP1/PP1qPPBP/R4RK1 w - -,f3d2
r5k1/2pn4/1pN1prp1/3n1pqp/3P3R/3KPQP1/PP3PB1/R7 b - -,a8a6
r3kb1r/ppq2ppp/2p1pnb1/4P3/8/3B2N1/PPP2PPP/R1BQR1K1 b kq -,f6d7
8/8/2N1k3/1nPn3p/5pp1/7P/3B1PP1/6K1 b - -,f4f3
8/6pk/4q2p/4rp2/2P1bQP1/3B3P/P3R2K/8 b - -,g7g6
8/p2r2p1/Rp1rpk2/7p/2PPR3/3K3P/6P1/8 w - -,a6a2
2q2rk1/3b1pbp/1p1p1np1/3Pp3/1NN1P3/1P4PP/5PB1/r2Q1RK1 w - -,d1a1
r1bqk2r/1pp1nppp/p1pb4/4p3/4P3/1P1P1N2/PBP2PPP/RN1QK2R b KQkq -,e7g6
r5k1/p1q1ppbp/1p2n1p1/3r4/8/1QP1BN1P/PP3PP1/3R2K1 w - -,d1d5
2r5/3rk3/p2pN1Bp/1bp2P1P/6P1/8/P1R3K1/8 b - -,e7f6
3r1rk1/pbqnbppp/1p6/2pp4/2N2P2/P1N1P3/1PQ2PBP/R2R2K1 w - -,c3d5
5r2/4qr2/1p1p2pk/p1pPp2p/Pn2P2P/1PN2PP1/3Q2K1/R4R2 b - -,h6g7
4R3/1p6/2pq1pk1/2rn1p2/p7/P5P1/1P3PB1/3Q2K1 b - -,c5c4
r5k1/2pR3p/8/1p6/2n1r3/P5P1/7P/1KB2R2 w - -,f1f7
r4rk1/p1pbq1pp/2p5/2bpPp2/3Nn3/4B3/PPPN1PPP/R2QR1K1 w - f6,d2b3
4b1k1/p3p1qp/1rp2b2/3p4/BP1P1Pp1/P2Q2P1/5B1P/2R3K1 w - -,d3e3
4R3/8/8/6P1/8/3bpBK1/3k4/6r1 w - -,g3f4
2R5/6k1/3r2p1/8/3Pb3/2P5/5PnP/4NK2 w - -,e1g2
r1q2rk1/pp1bppbp/n2p1np1/2p5/2PP4/1PN2NP1/PB2PPBP/R2QR1K1 b - -,d7h3
2r2k2/p4pbp/2rpp1pn/qp6/3PP2P/1P1QN1P1/PB2RP2/R5K1 w - -,a2a4
2k4r/pp1r3p/2q3p1/3R4/2P3QR/1P6/1P3PP1/1K6 b - -,h7h5
r1b2rk1/ppp2ppp/1bn3q1/4p3/8/2PPBNP1/P1P2PBP/R2QR1K1 b - -,c8g4
r2qk2r/1p3pbp/p1bp1np1/2p1p3/4P3/1PPP1N2/PB1NQPPP/R3K2R w KQkq -,d3d4
8/1p5k/1P1K2p1/3Q3p/7P/6P1/5P2/2q5 b - -,c1c8
rn4kr/2p1bpp1/p3pq1p/1R2N3/Q1P1b3/8/PB2BPPP/5RK1 w - -,b5b3
r4r1k/4bp1p/2b1p1pQ/pq2N3/2p1P3/1B3P2/1PP2RPP/3R2K1 w - -,e5c4
6k1/p1r2ppp/1b2p3/4PP2/R1p1P2P/5KP1/2r1B3/3N4 b - h3,g8f8
r1qr2k1/3nbppp/bnp1p3/p3N1P1/1ppPPB2/8/PPQRNPBP/3R2K1 w - -,e5g4
1R6/2r3kp/1p3pp1/1b1p4/2nN3P/3BP3/5PP1/6K1 b - -,b5d7
8/6q1/Q7/1p2p3/1P2k3/P7/5K2/8 b - -,g7f7
3r1k2/1R1nbppp/4p3/1p2P2P/1P1p4/3P2P1/3B1PB1/6K1 w - -,f2f4
5r1k/1p1r1qbp/2n2np1/p2p4/N7/PQ2PP1P/4BBP1/1R1R2K1 b - -,c6e5
