5k2/pRr3p1/2P4p/3nN3/8/7P/5KP1/8 w - -,e5g6
r1bqkb1r/pppn1ppp/3p1n2/4p3/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq e6,e2e3:c1g5:d4d5:e2e4:g2g3
r1b2rk1/pp3pp1/3p1n1p/2q5/3pPP2/P2B4/1B4PP/R2Q1RK1 w - -,d1d2
5rk1/br1q2pp/2pp2n1/1p3PN1/6P1/PPBQnR1P/4N2K/3R4 b - -,e3d1
r5k1/1p1b3p/p2bp1p1/2pp1q2/7Q/2P2B2/PPN3PP/R1B1K3 w Q -,c2e3
5k2/6p1/6rp/Rp6/4R3/6PP/P2rPPK1/8 b - -,g6b6
rnbq1rk1/pp2ppbp/3p1np1/2p5/3P1P2/2P1PN2/PP2B1PP/RNBQ1RK1 b - -,b7b6
rn1q1rk1/1pp1bppp/p1b1pn2/8/P1pP4/2N2NP1/1PQ1PPBP/R1BR2K1 b - -,f6d5:e7b4:c6f3
4Q3/q4rk1/5p2/P5pp/1P6/7P/6P1/4R2K b - -,g5g4
r2r2k1/1b1nbpp1/pqp1p2p/1p6/3PBB2/4PN2/PP2QPPP/2RR2K1 b - -,d7f6
4b3/8/3k2p1/6P1/5n1P/2B5/B7/2K5 b - -,f4g2
r1b2rk1/pp3ppp/2nq1n2/1B1pp3/8/1P2PN2/PBQP1PPP/R3K2R b KQ -,c6b4
1r3rk1/1q2ppbp/nP1p2p1/3Pn3/Q1p1PN1P/2N1B3/1P2B3/4K1RR w - -,a4b5
6k1/4bppp/4p3/p3q3/NrB2n2/1P6/2Q2PPP/5RK1 w - -,g2g3
2r2rk1/2q2ppp/pp2pb2/4p3/2n2P2/PnN2Q2/1P3BPP/1N1R1RK1 w - -,c3e4
2r3k1/2r2pp1/3bqnp1/1pp1p3/p3P3/P2PBPP1/1P1Q1NKP/2RR4 w - -,c1c2
r2qr1k1/pbp1bppp/1p1p1n2/1B2n3/3NPB2/2P5/PPQN1PPP/R4RK1 b - -,c7c6
2k1BK2/p1r5/1pp1P2p/6b1/PP6/2PR4/8/8 b - -,c7e7
3q1rk1/pp3ppp/3p1n2/3Pp3/4P1P1/2r1B3/P3BK1P/RQ5R b - -,f6g4
r3k2r/1bqn1p1p/p2p1pp1/1p6/4P3/1N6/PPPQ1PPP/2KR1B1R b kq -,d7c5
r3kb1r/ppp1npp1/2p1b2p/4P3/2P5/BP3N1P/P4PP1/RN1R2K1 b - -,e7g6
2rr2k1/1pqnbppp/p2pbn2/P3p3/4P3/2N1BP2/1PPQB1PP/R1NR2K1 w - -,d2e1
1r2r3/1pq1p1k1/3p1pp1/2nB3p/1PP4P/4Q1P1/4PP2/2RR2K1 b - -,c5d7
5k2/1p6/8/p7/7r/P7/1PP1r3/3RN1K1 b - -,h4e4
1n1qr1k1/1Q3ppp/pp1ppb2/2r5/P1PN4/1P4P1/4PPBP/R2R2K1 w - -,a1a2
r3r1k1/1b6/pP2qn1p/3pNpp1/2pP4/2P1PPP1/1RQ3BP/1R4K1 w - -,g3g4
4r1k1/6p1/7p/B3pp2/2P1b3/2Q5/1r3qPP/3R2RK w - -,d1d2
r1r3k1/pp2ppbp/3q1np1/3p1b2/PP1Pn3/1Q2PN1P/1B1NBPP1/2R1K2R w K -,e1g1
8/3n4/1p6/3N4/5K2/1k6/pr6/R7 w - -,a1c1
r4rk1/1pq2pp1/2pb1n1p/2Np3n/1P1P4/2PB1PPb/4NB1P/R2QK2R b KQ -,h3g2
5k2/5ppp/8/8/p1r2PP1/3K4/P1p4P/2R5 b - -,c4f4
2k3r1/1p3p2/p3pBr1/P3P1N1/7P/P2b1P2/2p3P1/2R3K1 b - -,c8d7
r1bq1r1k/ppp3p1/1nnp1b1p/4Pp2/4PB1P/1BP2N2/PPQN1PP1/R3K2R b KQ -,d6e5
2nr1rk1/p4pp1/2pq2bp/3p3P/8/1NP1R3/PP1QBPP1/R5K1 b - -,g6e4
r2q1rk1/p2n2pp/3b4/2p1p2n/N2pP3/1P3P2/P2BN1PP/R2QK2R w KQ -,e1g1
r3nrk1/1q1nppbp/pp1p2p1/2p3P1/b1BP1P2/N1P1P2P/1P1NQ2B/2R2RK1 w - -,f4f5
r1b1k2r/1p1nbppp/4pn2/p1P4q/1PB5/5N2/P1PN1PPP/R1BQK2R w KQkq -,c2c3
6k1/4np2/2p1b1pp/3pN3/3P2P1/1r1BP2P/5P2/2R3K1 w - -,d3f1
r3kb1r/5pp1/p3pn1p/qpp1N3/3PbBP1/1Q2P2P/PP2BP2/R4K1R w k -,f2f3
3r1bk1/r1nn1pp1/3q3p/p2pNR2/7P/1P4P1/PBRQ1PBK/8 b - -,d7e5
r2qkb1r/pppb1ppp/4p3/n2pP3/3Pn3/2P2N2/PP2NPPP/R1BQKB1R w KQkq -,e2g3
r3r1k1/1b3ppp/pqnp1b2/4p3/1pRPP3/1P3N1P/PB1Q1PP1/1BR3K1 b - -,a6a5
r1q2rk1/1R1b2bp/1Qpp2p1/4pp1n/2P5/3PP1P1/4NPBP/2B2RK1 b - -,g7f6
8/1P1r1k2/6b1/4Q3/6P1/7P/1P1p1KP1/8 b - -,d2d1q
8/p3p1qk/1p1bPprp/2pP3R/2P1P1p1/6P1/P4QKP/5R2 b - -,g7g8
8/1p4R1/p7/P5kp/2PK4/7P/1r6/8 b - -,g5h4
2r5/p2n1kbp/1ppnq1p1/4pp2/1P6/1QP1PN1P/P4PPB/R2R2K1 b - -,d6c4
1k5r/1q1n4/pp3p2/2b1pN1p/2N3r1/7Q/PP3PPP/2RR2K1 w - -,c4e3
3rr1k1/5p2/1q4p1/pPnp3p/1b3B2/1N2P3/1P2RPPP/2RQ2K1 b - -,c5b3
r1bq1rk1/pp1n2pp/2pbp3/3p1p2/2PPn3/2NBPN2/PP1BQPPP/2KR3R w - -,c1b1
3r2k1/1ppr1pp1/pb2qn1p/4p3/1P2P3/2P2N1P/1P2QPP1/2B1RR1K b - -,d7d3
5b2/p4rpk/1p3PRp/3pQ3/5K2/1P2P2q/PB6/8 w - -,e5d5
1rb2rk1/5pp1/1q1p4/2n1p1bp/1pP1P3/1P3P2/RBB3PP/R2Q1N1K b - -,c5e6
3rn1k1/1qR2p1p/4p1p1/pB1p4/P2P1QP1/1r3P2/7P/2R3K1 b - -,e8c7
2Rr2k1/ppbr1pp1/4p2p/1P1n4/P2P4/5NP1/1B3P1P/2R2K2 w - -,c8d8
8/1p3R2/p6p/P1P4r/1P1K2k1/4Nb2/5p2/8 b - -,g4g3
8/7p/P7/2Kp4/5pk1/2B5/7P/8 b - -,f4f3
8/1p4b1/6P1/3k1KB1/P7/8/8/8 w - -,g5e7
r3rqk1/1p3pbp/3p1np1/p1pP4/2PpP3/5P1B/PP1B1P1P/2Q1R1RK w - -,h3g2:d2g5
8/7p/4p1kb/4P3/5P2/pP1K4/P6R/2r5 w - -,f4f5
4B3/5p1p/3bp3/6kP/8/5K2/5P2/8 b - -,f7f5
6k1/pp2q1pp/2p2n2/3p4/8/P2n1PB1/1PQ3PP/1B5K b - -,d3f4
3r1q1k/3r1p1p/3NRP2/pp6/3Q1R2/P5PP/6BK/8 w - -,d4e5
r4rk1/1p1nq1pp/2p5/p2p1p2/3PN3/2NQP3/PP3PPP/1RR3K1 b - -,f5e4
2r1b1k1/pp3pB1/4pbp1/8/2q5/7P/PQ3PP1/3R2K1 w - -,b2f6
8/8/8/6p1/2p3P1/4b1kP/1P2K3/8 w - -,e2e3
7r/1p3k2/pPpPp3/P1PpPpp1/3K1p1r/5P1P/5RP1/5R2 b - -,f7e8
8/R3b3/4k3/2p3pp/8/1P4KP/P2r1PP1/B7 w - h6,g3f3
8/1p1bkn2/2pp2r1/p7/P1P1N1p1/1P3PKB/8/3R4 w - -,h3g4
8/5pp1/p1k1p3/2p1P1Pp/3rRP1P/8/P1P5/2K5 w - -,e4d4
rn3rk1/1b3pbp/pq3np1/1p2p3/8/1PN1PB2/PBN2PPP/R2Q1RK1 b - -,f8d8
3r2k1/2b3p1/p3pq1p/1pBn4/4Q3/P5PB/1P2PP1P/3R2K1 b - -,g8f7
1k1rr3/pbpnqpb1/Bp1pp2p/6p1/3PP3/2P1N1P1/PP1NQPP1/2KR3R b - -,b7a8
rn1q1rk1/pb2bppp/1p1ppn2/2p5/3PP3/2P2N1P/PPB2PP1/RNBQ1RK1 w - -,f1e1
8/1p6/3r1k1p/1PN2p2/8/2K1R3/7P/8 w - -,e3d3
r1bq1rk1/pp2npbp/2n3p1/2pp4/5B2/P1NP1NP1/1P2PPBP/1R1QK2R b K -,a7a6
8/8/4knp1/4p3/7P/3nN1K1/8/8 b - -,e5e4
8/p3kp2/1pr3p1/4p1n1/P3P1P1/1BPK1P2/8/5R2 b - -,c6c8:g5h3
6k1/1p6/2p2p1n/4r2N/p2r2p1/8/PP4P1/2R2RK1 w - -,h5f6
2rr2k1/5pp1/1q2p2p/p1b1P3/1p1Nn3/1Q3N2/PP3PPP/R2R2K1 w - -,b3e3
4r1k1/p3rNbp/1ppq1n2/3pp3/Q1P5/4B1PB/PP3P1P/3RR1K1 b - -,e7f7
3r4/8/2rpp2p/1p2p1pP/p1k1P1P1/P1P1RP2/1PK5/4R3 b - -,d8f8
3r2k1/p5p1/4p2p/8/P7/8/5PBP/2B3K1 w - -,g2f3
r1b2rk1/4ppbp/pq1p1n2/2pPn1p1/4P3/2N4P/PP1NBPP1/R1BQ1RK1 w - -,d2f3
rn1qk2r/1p3ppp/p2p1b2/3Qp3/4P3/5N2/PPP1BPPP/R3K2R b KQkq -,b8c6
5k2/8/5p1r/6R1/8/8/5PKP/8 w - -,g5g4
