4Q1k1/8/8/1p3PKp/2qp4/7P/6P1/8 b - -,g8h7
r2q1rk1/pp2bppp/2nppn2/2p5/4P3/2PP1Q1P/PPB2PP1/R1B1KN1R b KQ -,d6d5
r2q1r1k/2n3pp/p1Q1pp2/5b2/2BP4/4P3/P2B1PPP/R4RK1 b - -,e6e5
r2q1rk1/2p1bpp1/p2pbn1p/n7/Pp1NP3/6NP/1PP2PP1/RBBQ1RK1 b - -,c7c5
3rk3/1p3p2/2b1p3/p3P3/3Q1P1r/PRpB3P/2P2KP1/6R1 b - -,d8d4
8/4q3/3p2bk/6pp/1PP5/4n1PP/P4Q2/4R1K1 b - -,d6d5
r1b2rk1/ppq2pp1/2np1b1p/2pBp3/P3P3/2PP1N2/1P1B1PPP/R2QR1K1 w - -,h2h3
N7/3k2p1/5p1p/8/P5P1/4bK1P/8/8 b - -,e3g1
8/6kp/6p1/5p2/4p3/6PP/r2NKP2/1R6 b - -,g7f6
8/4kp2/2r1b1p1/3B3p/4p3/1P2P1PP/5PK1/8 w - -,d5c6
4r3/2pb1p1p/3p1kp1/pp1P4/5P2/2P5/PPB3PP/4R1K1 w - -,e1e8
8/8/2pk3K/1pR3pP/1P4r1/2P5/8/8 w - -,h6g6
rn1q1rk1/5pbp/1pp1pnp1/p3B3/2BP4/P1N2PP1/1P3P1P/2RQR1K1 b - -,a8a7
8/8/3n1pk1/p7/6Bp/1P1KB2P/6P1/4b3 w - -,e3f4
6r1/8/p1kbp3/P7/1P1RN1P1/3K4/8/8 b - -,d6e7
r4rk1/p1q1pp1p/1p3np1/2pP4/P1P1P3/5N2/2Q2PPP/R4RK1 w - -,f1e1
8/1p1r1p1k/1Rn1qRpp/4p3/P3P3/3rN2P/6P1/5QK1 b - -,e6e7
8/p1b5/7p/8/1Pk2pP1/P4KBP/8/8 w - -,g3f4
rn1qk2r/pb3pp1/1pp2b1p/3p4/3P2P1/2NBPN2/PPQ2P1P/R3K2R b KQkq g3,b8d7
r1bq1rk1/pp3ppp/1n6/4n3/3N1P2/PQP5/4B1PP/R1B2RK1 b - f3,e5c6
2rq1rk1/pp3p1p/4bbp1/2np4/3N1PP1/2NBP2P/PPQ5/2KR3R b - f3,f8e8
8/1n6/p4kp1/1p1K3p/P4P1P/8/2B5/8 w - -,a4b5
r2r2k1/4bppp/1p1pp3/2p1B3/2P5/1P4P1/P3PPKP/R2R4 w - -,e5c3
1rb1r1k1/2qn1pbp/pp1p1np1/3pp3/PP2P1P1/2NQ1N1P/2PB1P2/1R2RBK1 w - -,e4d5
r2qkb1r/pb1n1pp1/1p1ppn1p/1Bp5/3P3B/2P1PN2/PP1N1PPP/R2QK2R w KQkq -,h4g3
3k4/5K2/r3p3/4P3/p7/R7/8/8 w - -,a3d3
q1r2rk1/1b1nbppp/p2ppn2/1p6/4PP2/P1NB1N2/1PPBQ1PP/4RR1K b - -,d7c5
1r4k1/3R1b2/2p2PpP/1p6/4pK2/8/4B3/8 w - -,h6h7
b1r1k2r/2qnbpp1/p2pp3/1p5p/4PPn1/PN1B3N/1PPBQ1PP/4RRK1 w k -,h3f2
6Rk/6p1/3b3p/1p6/1P6/P3R2P/5PP1/6K1 b - -,h8g8
r5k1/3nnr1p/p4pp1/3p4/1Bp2P2/P3qB1P/6P1/1R1Q1RK1 w - -,g1h1
1rb2rk1/pp2q1pp/2pb1n2/3p1p2/3P4/P1N1PN1P/1P3PP1/R2QKB1R w KQ -,d1d2
2R2n2/5Pk1/8/1K1B4/1p5p/7P/P5P1/1r6 b - -,b1d1
8/3k4/2n2p2/3Q2p1/2P4p/3B1P1P/2K3P1/4q3 b - -,d7c7
8/1r1r4/1p1P1k2/1R6/2p1p3/1p6/5PPP/3R2K1 b - -,f6e6
r3r1k1/pp1q1ppp/nbp2n2/4pb2/1PPp4/PQ2PNP1/1B1P1PBP/R2N1RK1 b - -,c6c5
8/8/6p1/2Q5/8/8/K2q1p2/6k1 w - -,a2a3
5k2/2R1b2p/3r2p1/3B2P1/1p2KP2/1P6/5P2/8 b - -,d6d8
r2q1rk1/pp3ppp/1bn1bn2/1B1p2B1/3N4/2P2N2/PP3PPP/R2Q1RK1 b - -,c6d4
2brrbk1/1pp3pp/p1p2pq1/2P5/1P2Pn2/2B1NP2/P1QN2PP/4RRK1 w - -,g1h1
rn3rk1/pp3pp1/5q1p/P1p2p2/1bBP4/2N1P3/1P3PPP/R2Q1RK1 b - -,c5d4
rnbqk1nr/pp1p1ppp/4p3/2p5/2PP4/2b1P3/PP3PPP/R1BQKBNR w KQkq -,b2c3
r1bq1rk1/2p3p1/1p1p2p1/p1nPpp2/2P1PP2/4B1N1/PPQ3PP/4RRK1 b - f3,e5f4
7k/8/2Pp1q2/B3p3/4Pp2/7r/6RP/2r3QK w - -,g1c1
2rq1knr/R4ppp/8/p2Pp3/P3P3/3B4/5PPP/4QRK1 b - -,c8a8
8/8/5p2/4k1pN/4pnPp/7P/5P1K/8 b - -,f4h5
r3rb1k/1p5p/p1pBp3/2PpPp2/PP2pPq1/4P3/4Q1PP/2R3RK w - -,e2g4
1r3rk1/pbppnpbp/6p1/2p1P3/2P5/2B2N2/PPK2PPP/R4B1R w - -,a1d1
8/1b3p2/p3pkpp/1p1rN3/3P4/1P6/P4PPP/2R3K1 w - -,c1c7
3b4/3q1k2/1p2pp2/1Np5/2P1PPQ1/P3K3/8/8 w - -,f4f5
4r3/6R1/p4n2/1p1p4/3k2PP/P2B4/1PP3K1/8 w - -,g7g6
q3r1k1/3n2b1/p2p1rPp/Pp2p3/1PpPb3/2P1R2P/R4P1N/2BQ1NK1 w - e6,f2f3
r5k1/pp3q2/2pp1B1p/3b1Qp1/7P/6P1/PP3P2/4R1K1 b - -,a8e8
2r5/p2Rpk1p/4p1p1/2b5/4Pr1P/7n/PPP1B3/2KN1R2 w - -,d7d3
3r4/ppn1pk1p/4b1p1/2P1Pp2/N1B5/P3P3/1PR1K1PP/8 b - -,e6c4
r1b1qrk1/4n1pp/1p6/p1pp4/1n6/1N1NQ3/PPP2PPP/1K2RB1R b - -,a8a7
4R3/8/4p3/4kp2/6p1/3B2Pn/4P2K/5r2 w - -,d3c4
6k1/4pp1p/6p1/1Pp5/r1np3P/1N3PP1/6K1/2R5 w - -,b3c5
r1b2rk1/1p4pp/pBnbp2q/P1Np4/N4n2/R5P1/1PPQB2P/5RK1 w - -,g3f4
1k6/2pq4/1n1n1pp1/p1p1p3/P1P1P2P/2PB2P1/1NQ4K/8 w - -,c2f2
8/p7/p4k2/2b1pppp/2N1P3/1P3P2/P5KP/8 w - -,h2h3
4r3/2p5/1nb2kp1/pp2p2p/1P2Pp2/2P2P1P/P1B1KNP1/3R4 w - -,b4a5
8/p2rpk1p/2p3pb/Br1bPp2/8/1P1N1PP1/P3K2P/1R1R4 w - -,a5c3
2r4r/ppq2pk1/2n1pnpp/3p4/3P1PP1/2N1Q2P/PPP1B3/3R1RK1 w - -,e3f3
6k1/p4pp1/1p4p1/3p1r2/1P1Q4/P5PB/7P/4qNK1 b - -,e1e5
4kb1r/1b3ppp/p2pp3/Np6/PP2n3/4B3/2P2PPP/R4RK1 b k -,b7d5
1rr5/pp2kppp/2nbp3/2Np3q/Q2P4/4P1P1/PP1BbPBP/2R1K2R w K -,h2h3
rnbqkb1r/ppp2ppp/4pn2/3p4/4P3/3P1N2/PPPN1PPP/R1BQKB1R b KQkq -,b7b6:f8e7:f8c5:b8c6:d5e4:c7c5
3rk2r/4bpp1/1qn2np1/pp1p4/2pP4/5PP1/PP2PBBP/R1NQ1RK1 w k -,e2e3
5r2/1pkn1r1p/p1p5/4p3/PP1Q4/6PP/2R2PBK/3R4 b - -,e5d4
8/8/1R6/pBn1k3/1rP5/8/P7/6K1 b - -,b4b1
8/4N3/8/p7/k2b4/5p2/8/4K3 w - -,e7c6
3r2k1/1b2nppp/2pqp3/rpN5/3PP3/1QP3P1/5PBP/R5K1 w - -,a1a5
8/7p/1p4pk/p3q3/P1B5/1P2b2P/3Q2P1/7K w - -,d2e1
6k1/pp4p1/r4p2/2N5/8/2P1PKP1/Pb3PP1/3R4 b - -,a6a2
4rbk1/8/p2p3p/2n1n1p1/2q5/P1B1QP1P/6P1/1R1R3K w - -,c3a1
3rr1k1/1pp2ppp/2n5/1p1qp3/8/2QP1N2/PPP1RPPP/R5K1 w - -,a2a3
4b3/8/2p3p1/4k2p/1PPNp2P/4K1P1/8/8 w - -,b4b5
2kr3r/p4ppp/b1p1p3/4P3/2PbB3/P7/1B2KPPP/2R4R w - -,b2c3
r2qr1k1/1nppbp1p/p1n3pB/1p2PN2/6Q1/2P5/PP3PPP/RN2R1K1 w - -,f5g7
6k1/6p1/4r3/p3pn2/1p6/7P/2PR2K1/4R3 w - -,d2d5
r1b2rk1/pp1n1ppp/2q5/3p2B1/Pb1Q4/4P3/R3BPPP/1N3RK1 b - -,b4c5
r1r5/p2kbpp1/4bn1p/3p4/N7/4B1P1/PP3PBP/2R2RK1 b - -,d7e8
r2qkb1r/1p3ppp/p1n1pn2/2pp1b2/2PP4/1P2PN2/PB2BPPP/RN1Q1RK1 b kq c3,d5c4
r2r2k1/pbq2ppp/1p1bpnn1/3pN3/3P1P1P/1PPB2P1/PB1NQ3/R3R1K1 b - f3,g6e7
R4qk1/1B1rbp1p/1Q1N2p1/2P5/1p5P/1P6/8/6K1 b - -,e7d8
