6k1/pr6/8/6P1/3b1P1R/4p3/P3K3/8 w - -,e2d3
r2qkb1r/pp1n1ppp/2p1pnb1/2Pp4/1P1P4/3BPN2/P4PPP/RNBQ1RK1 b kq b3,d8c7
4q2k/ppp3r1/7p/n3p1BP/2P3Q1/8/PPB2PP1/4R1K1 w - -,g5f6
8/6p1/8/2n1P2P/5k2/8/2K4P/8 w - -,h5h6
r1r3k1/5pp1/4p2p/2p5/1n6/2RNPP2/P4RKP/8 w - -,d3b4
R7/8/8/P5kp/6p1/r7/6K1/8 w - -,a5a6
r1bq1n1r/ppp1npk1/7p/4P1p1/3PQ3/3BN3/PPP2PP1/2KR3R b - -,c7c6
1r4k1/2qnp2p/3p1pp1/2pP4/2P1PP1P/RR4P1/4Q2K/8 b - -,g8f7
r2nQ1k1/1pp1bpp1/6p1/6P1/p7/2P4P/PP2PPK1/R1Br4 b - -,e7f8
6k1/5p2/3p4/p2P4/P2b3p/7P/4B1PK/8 b - -,d4e5
3r4/5pkp/1p4p1/1N2r1N1/3b2P1/1P5P/P4PK1/3R4 w - -,b5d4
5rk1/pp5p/1q2p3/3pPp2/3P3Q/P5r1/1P3PP1/2R3K1 w - -,h4g3
2r2rk1/1bq1np1p/p3pnp1/2N1N3/1p1P4/P7/1PBQ1PPP/3RR1K1 b - -,b4a3
8/PR6/4pk2/5pp1/8/r3PPK1/8/8 b - -,g5g4
6k1/1p3p2/6p1/1np1r2p/7P/R3PBP1/7K/8 w - -,a3a8
r1bq1rk1/ppp1ppbp/2np1np1/6B1/2PPP3/2N5/PP2BPPP/R2QK1NR w KQ -,d4d5
r1bqk2r/ppp2ppp/1bn5/1B1pP3/3Pn3/4BN2/PP3PPP/RN1QK2R b KQkq -,e8g8
2b5/8/p2bpk2/1pp1p2p/4P1p1/P2P1NP1/1PPN1K1P/8 w - -,f3h4
r5k1/1p2n1pp/p1p2r2/3n4/1P1P1p2/P3q1P1/1B2P1BP/1Q2RR1K b - -,f4g3
8/2q2pkp/2b2bp1/1p1P4/rB6/2PB1P2/1P1Q3P/4rR1K w - -,d2e1
2b3k1/3q1p2/p2ppQp1/1p4Pp/3NPP1P/P2P4/1P6/1K6 b - -,d7e8
8/8/p4rp1/1p3k1p/7P/3R1pP1/PP3P1K/8 b - -,f5e4
3rr1k1/1p4pp/p1p5/5p2/nPRp4/P2P1BP1/2R1PP1P/5K2 b - -,g7g6
r3k2r/1b1pbppp/p3p2n/1p2q3/3pNPP1/1P5P/PBPPQ1B1/R4RK1 b kq f3,e5c7
1r4k1/2qrnppp/p3b3/1pp1P1B1/8/2P3P1/PP2QRBP/4R2K w - -,a2a3
4k3/7R/8/3Nr3/8/4p3/4K3/8 w - -,d5f6
8/4k3/4P3/pp1p1KR1/3P1p2/8/P1r2P2/8 w - -,g5g7
rn1q1rk1/pbp3pp/1p2pn2/3p1pN1/2PP4/2b3P1/PP1BPPBP/R2Q1RK1 w - -,d2c3
6k1/5p1p/3p1npb/2pPp3/2P1P3/1RNB2PP/5PK1/r7 b - -,h6d2
6k1/3nbpp1/q3p2p/3n4/1pN5/1N3P2/rPP2BPP/3R1QK1 b - -,e7f6
r3r2k/1p3p1p/p3b1p1/2q1p3/P3PbN1/3B1R1P/1PP1Q1P1/R6K b - -,h8g7
8/1n3kpp/3p4/3P4/8/3B1pP1/5K1P/8 b - -,b7c5
r2rb1k1/ppq2ppp/1bnNp1B1/4P3/1P6/P4N2/1B3PPP/R2QR1K1 b - -,f7g6
3rqrk1/p5pp/2p1p1n1/b1p1PpN1/P1Pp1P2/BP4P1/2P4P/R2Q1RK1 b - -,a5b4
r2q1rk1/1pp1bppp/n1b1pn2/p5B1/P1NP4/5NP1/1PQ1PPBP/R2R2K1 b - -,a6b4
r1bq1rk1/pppn2bp/2n3p1/2P1pp2/1P6/1Q3NP1/PB2PPBP/RN3RK1 b - -,g8h8
1R6/5K2/5P2/6k1/7p/8/8/4r3 w - -,f7g7
2r3k1/b2bq2n/p3p1pp/Pp1pPP2/1PrN1P2/2PQ3P/3B3K/RB3R2 b - -,g6f5
2bq1rk1/1p2n1bp/r2p2p1/1NpPp3/2P1P1n1/1N2B3/P1Q1B1PP/R2R3K w - -,e2g4
r4rk1/pp1b1ppp/4pn2/2B5/P1B5/2P1P1N1/5PPP/R2K3R b - -,f8c8
4r1k1/4r3/1p3p2/2b2P1p/R3p1pP/Pb4P1/1P2B1K1/2R2N2 w - -,a4a6
r4rnk/pp1q2bp/2ppb1p1/4pp2/2PnPP2/2NPB1PP/PP2N1BK/2RQ1R2 b - -,a7a6
8/6k1/2R1p2p/3pPr1K/3P1P2/6P1/8/8 w - -,h5g4
6k1/1q3p1p/1p2pPp1/pPb5/P1Pr1r2/6N1/2Q3PP/2R1R2K b - -,f4h4
2kr1b1r/1bq3pp/p3pn2/1pn3B1/2pNP3/2N5/PPB2PPP/R2Q1RK1 w - -,e4e5
rnbqk1nr/ppp1ppbp/3p2p1/8/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq -,f1g2
8/6k1/8/4ppp1/3n4/5PP1/r5N1/5RK1 w - -,f1f2
2k5/1pp4p/5p1q/p7/P1Pr1P2/5QPP/1P1bB3/2K4R w - -,c1c2
rn1qr1k1/1p3pbp/p2p1np1/2pP4/P3PPb1/2NB1N2/1P4PP/R1BQ1RK1 w - -,d1e1
3k2KQ/8/8/8/8/6P1/8/4q3 b - -,e1g3
8/8/3Pk3/1pK1P2p/pP5P/8/8/8 b - -,e6d7
8/2b3k1/6pp/8/6K1/8/3N4/8 w - -,d2e4
1q4k1/5p1p/4p1pP/4P1P1/Q3BP2/2p2K2/P7/4b3 w - -,a4c4
rn1qk2r/1p2bpp1/p2pbn2/4p2p/4P3/2N3PP/PPP1NPB1/R1BQK2R w KQkq -,f2f4
3q1r1k/4b1pp/2n2n2/2pp1NB1/8/6P1/1r3PBP/2RQR1K1 b - -,f6g8
r1b1k2r/ppppq1b1/5n1p/3Pnpp1/2P5/2N1BP1N/PP2Q1PP/2KR1B1R b kq -,d7d6
1r1qnrk1/3b3p/p2pp1p1/1np5/2N1PP2/1P1B4/1bP1N1PP/3RQR1K w - -,c4b2
5r1r/1b2kpb1/p1nppp2/1p3P1p/4P3/1N1B4/PPP1KRPP/3N1R2 w - -,d1e3
r1r3k1/1p2ppbp/3pbnp1/8/N1P1P3/1P2BP2/3qB1PP/1RR3K1 w - -,e3d2
r2q2k1/4ppbp/p2n2p1/P1pPP3/N7/8/1r1BQ1PP/R4RK1 b - -,b2d2
r7/1p6/1kp1bp2/p3p1pp/P1P1PnP1/1P2KP1P/2N5/3R1B2 b - -,b6c5
r5k1/ppp2r1p/6p1/3P4/1P2Rp2/3Qb1qN/P1P3P1/5R1K b - -,f4f3
8/1pp5/p5R1/1k6/1P6/2P2K2/P1r5/8 w - -,g6g5
5rk1/p3qpbp/5n2/1P6/2R2p2/4pPPB/P2pP2P/3Q1RK1 b - -,f6d5
r3kb1r/1bqp1ppp/p1n1pn2/1pp5/4P3/3P1N1P/PPP1BPP1/R1BQRNK1 b kq -,f8d6
3rr1k1/1ppqbpp1/p1n4p/3b4/3P4/P1QBBN2/1P3PPP/3RR1K1 w - -,f3e5
r1k2b1r/1p3p2/1np2p2/p7/1P1RPPp1/4N3/P1P1N2P/2KR4 w - -,d4d8
8/3k1p1p/p1bPp1p1/2r3P1/2PRpP1P/P7/3KB3/8 w - -,d2c3
r4rk1/4bppp/p1b3n1/3N4/4PP2/4B3/PPP4P/3R1RK1 b - f3,c6d5
7r/2q5/R3bk1b/4pp1p/1Q6/8/PPP3PP/1K2R3 b - -,h8b8
r3k2r/p1p1n1n1/1p1q1p2/3p2pp/3P2b1/P1PB1QN1/2P2PPP/1RB1R1K1 w kq -,f3e3
r1b2rk1/pp2qpp1/7p/2p5/4n3/5N2/PPBR1PPP/3Q1RK1 w - -,d2e2
r1b1nrk1/4qppp/pp1p4/2pP4/P1N2Q2/2NP3P/1P4P1/4RRK1 b - -,e7c7
8/6pp/pk2n3/5p1P/2N2P2/BPK3P1/P5b1/8 b - -,b6c6
r4rk1/1p1nb1pp/p4p2/2Pp4/1P1P1N2/5P2/4K1PP/R1B4R b - -,f8e8
4k2r/4b1p1/2rp1pPp/p3p2P/1p2P3/4NP2/PPP5/1K4RR w k -,g1d1
3rr1k1/p5pp/1pb5/2np4/6N1/1P3PP1/P2R2BP/2R3K1 b - -,c6b5
1R3rk1/B1p3pp/4p3/4P3/P4PP1/2Pn4/7P/R5K1 b - -,f8b8
5r1k/p5p1/8/2q5/3p4/6P1/1n4BP/2R1Q1K1 b - -,c5b6
r2nkbnr/pp1q1ppp/2p1b3/3Pp3/1P6/2NP2P1/P3PPBP/R1BQK1NR b KQkq -,c6d5
2r5/pp1bkn1p/4p1p1/4Pp2/5P2/2N2B2/PP4PP/3R2K1 w - -,d1d4
r2r2k1/p4p1p/1pnq2p1/2p1P3/5PN1/8/PR2Q1PP/2R3K1 b - -,d6d4
2r3k1/p4qb1/2p4p/4P1p1/5p2/2P2Q1P/P2B1PP1/4R1K1 b - -,f7a2
