6k1/5p1p/2Bp4/8/1b3N2/8/b4PPP/6K1 b - -,b4d2
r4rk1/5pp1/p5bp/1p1NP3/2p1nPP1/P6P/BP6/R2R2K1 b - f3,g6h7
2kr3r/1pp3p1/p2bNp1p/7n/1PB5/3P4/P1P3PP/5RBK b - -,g7g5
5r1k/p5pp/3P2br/1P2pp2/2B1Pn1q/2N1Q2P/PP3RPK/4R3 w - -,e3g3
8/p3k1p1/1p3p1p/nbr1p2R/4P1P1/P1PBKPP1/8/1N6 w - -,f3f4
r2q4/1R1n1r1k/p1p2b1p/2Pp2p1/P2Pp3/4PpPB/3B1P1P/R2Q2K1 w - -,h3f5
6k1/1q3pp1/4p2p/8/r2P1b2/5N2/1P2QPPP/1R4K1 w - -,e2c2
r2q1r2/1p1bp1k1/p2p1np1/2p1n3/6PP/2NP1P2/PPPQN1B1/R3K2R w KQ -,e1c1
3rk2r/1p4pp/p2npq2/8/P1N1p3/1Q3P2/1P4PP/R2R2K1 b k -,d6c4
8/6k1/b5p1/2p1b3/2P1P3/1B3Q1P/5PPq/4K3 w - -,f3g4
8/7R/5kp1/1p6/pr3P2/3K2PP/8/8 b - -,a4a3
5r1k/p5pp/1n2B3/2b1Bp2/5P2/6P1/4P1KP/R7 b - -,f8e8
2q2rk1/p2b2pp/1p6/3p1Pb1/3Bn3/1NP2Q2/P4P1P/3R2RK b - -,f8f5
8/6p1/4P2p/1n6/6PP/1kp1PB2/1rp5/2K5 w - -,f3d5
r3kb1r/pp2p1pp/1nnq4/6N1/3p2Q1/2P5/PP3PPP/RNB2RK1 b - -,c6e5
r4r1k/1pqn1ppp/2pbbn2/p2pp1N1/4P3/PP1P2PP/1BPN1PB1/R3QRK1 w - -,e1e2
6k1/1R3ppp/2p5/8/3r1PK1/r5PP/6B1/8 b - -,h7h5
1rbq1rk1/3pbppp/pPn5/2pQ4/2B1P3/5N2/PP3PPP/R1B1K2R w KQ -,e1g1
8/5pk1/4p3/p1n1P1p1/Pp1r4/1P2R1P1/7P/5BK1 w - -,h2h3
r3r1k1/1b1nqpp1/1p2p2p/1pppPn2/P4BQ1/2PBP3/3N1PPP/R4RK1 w - -,a4b5
r2qkb1r/1pp2ppp/p1n1pn2/7b/3P4/1P2PN1P/P3BPP1/RNBQ1RK1 b kq -,f8d6
2r1r1k1/pp1b2bp/1n1n2p1/3P1p2/3Q1P1q/1PN1N3/PB4BP/4RRK1 w - -,d4d2
2r5/p2k1pp1/1pn1p2p/3pP3/5PP1/P2P1K2/1P2RB2/8 b - -,b6b5
r2q1rk1/pb1nbppp/1ppp1n2/4p1B1/P2PP3/2N2N2/BPP2PPP/R2QR1K1 b - -,a7a6
6k1/5p2/2p1r1p1/2R4p/3P2PP/4Pp2/5P1K/8 b - -,h5g4
1k1r3r/1bq1bp2/pp1pp1p1/7p/2PNPPB1/1PN3P1/P1QR2P1/2K4R b - -,h5g4
8/7p/6p1/N7/1p2KPP1/2k3n1/8/8 w - -,e4e5
r2q1r1k/p1p3b1/1p2B1bp/1Q3pp1/3P3n/2P3NP/PP1B2P1/R3R1K1 w - -,e6d5
3rk3/5p2/np3Ppp/p1p1P3/2Pn2PP/4KB2/1P1R4/3R4 w - -,f3d5
r1b1rbk1/pp2npp1/q2p1n1p/2p1p3/4P2N/2PPNQP1/PP3PBP/R1BR2K1 w - -,e3f5
8/k4K2/5P2/7q/1P2Q3/8/8/8 w - -,f7e7
r4k2/2rnR1pp/p3Rp2/1p6/1P1B4/2P3P1/P6P/6K1 w - -,e6e2
7k/2p2p2/1pbprP1p/2p5/2P1PRP1/3B2KP/2P5/8 b - -,e6e5
8/8/6R1/4K2p/7k/8/5r2/8 w - -,e5e4
r4rk1/pb2qp1p/5npQ/2ppB3/8/1P1BP3/P2N1PPP/4RRK1 b - -,e7e5
4r1k1/2q4p/1ppRppbQ/2P1n3/1P4P1/2N2B1P/5P2/6K1 w - -,h6f4
2k4r/pp1bb1p1/1q2n2r/4Pp2/1pPp1P2/P2P1N1P/4Q1B1/R1B2RK1 w - -,a3b4
8/2N5/R4p2/3p4/1k1PbP2/8/3KB2r/8 w - -,a6d6
r4r2/1pp2pk1/p2p3p/4b1p1/PPB1PP2/1N4R1/8/5RK1 b - f3,e5f6
8/8/2P5/1P6/3K4/7r/6kp/1R6 b - -,h3h4
r1b2rk1/1pp1qppp/p1n1pn2/3p4/QbPP4/2NBPN2/PP3PPP/R1B2RK1 w - -,a2a3:a4c2
2bqk2r/pp4pp/4p1n1/3pPp2/1b1P3P/1P1B1NP1/P3NP2/2Q2RK1 w k -,a2a3
1r4k1/4N3/3p2B1/p1bP2p1/4PP2/n4R2/6PP/1r3R1K b - -,g8g7
r1bq1rk1/ppnnppbp/2p3p1/8/2PP4/2NB1N2/PP3PPP/R1BQR1K1 b - -,f8e8
8/2B5/5n2/5k2/7P/1r6/5NK1/8 w - -,c7d8
7b/4n2P/3k1p2/5B2/3P1P2/4K1N1/8/8 b - -,e7d5
3r2k1/1p4bp/2p3p1/4pp2/1N2p3/Pbn1B1P1/4PPBP/R3K3 b - -,g7f8
r1bqk2r/3nbppp/2npp3/p7/NpP1P1P1/4B2P/PP2NPB1/R2Q1RK1 b kq c3,b4c3
2r5/1R3p2/p1p2qpk/1pP2p1p/3P1P2/1P2Q1N1/P6P/6K1 b - -,c8d8
3rrbk1/pp3p1p/3n2p1/P1BPp3/1Q2P1qP/1PN5/6P1/3R1RK1 w - -,d1d3
r1bq1k1r/5pp1/2n1p3/pp1pP2p/2pP3P/P1P2Q1R/2PKNPP1/R4B2 b - -,f8e7
r1r3k1/1p2ppbp/p2pbnp1/q2N4/2P1P3/1P2BP2/P2QB1PP/2R1K2R b K -,a5d2
3r1rk1/1pp2pp1/4qn1p/pP2p3/2N1P3/2PPQ3/P5PP/R4RK1 b - -,a5a4
1r1qr1k1/1p3pbp/p2p2p1/2pP3n/P1n1BP2/N5PP/1PQ1P2K/R1B2R2 b - -,f7f5
4r1k1/1p3ppp/2p5/p1bpP3/P3P3/1BN3qP/1PP1R1P1/3R3K b - -,d5d4
5r2/p4k2/1p4B1/1P4RR/4p3/4P1KP/P3r3/8 b - -,f7f6
5bk1/5p1p/6p1/1p1qP1QP/5P2/8/r5P1/5R1K b - -,d5d3
1k6/p1pq1pp1/1p1n2rp/8/P1nP1P2/2PQ2P1/4RB1P/6KB b - -,f7f5
rnbqkb1r/1p2pp1p/p1p2np1/3p4/P1PP1B2/2N2N2/1P2PPPP/R2QKB1R b KQkq -,f8g7
1qr1r1k1/3bbppp/p2pp1n1/B7/1QPNB3/1P4P1/4PP1P/2RR2K1 b - -,b8b4
3brr2/1k1q1p2/2p1p1p1/1p2P2p/pPpP1P1P/P1P3P1/2R2B2/R2QK3 w - -,d1f3
4r2r/pBp1kppp/8/4Pb2/2P5/8/P1P2KPP/1R1R4 w - -,b7c6
8/6pk/2Q1P1p1/5p2/5PP1/3p1K1P/3q4/8 b - -,d2e2
1rqr2k1/pn1b1pbp/2pp1np1/4p3/2P1P3/1PN3P1/PB1QNPBP/1R1R2K1 b - -,d7h3
5bk1/8/p5p1/1pp2p2/2P5/1P1P1P2/Pn4PP/4R1K1 w - -,e1e6
8/8/5pk1/p2q4/4p1P1/1p6/1P3P2/2Q3K1 b - -,a5a4
2r4r/1p1pkp2/p3pnnp/2q3p1/4P3/P1N3Q1/1PP1BPPP/R2R2K1 w - -,d1d2
r1bq4/1p4p1/p2kpn2/2pp1n1r/5P1P/2NP2Q1/PPP3B1/2K1R1NR w - -,g3f2
r3kb1r/pp1n1ppp/2b1pn2/2p1N3/2BP4/1QP1B3/PP1N1PqP/2KR2R1 b kq -,g2h2
r7/1k3p2/1P5p/3nbN1N/8/7P/5P2/1R4K1 b - -,a8g8
5r1k/1p4b1/p1pQp3/P3Pqp1/1PP2p2/5P2/1B1R2KP/8 w - -,d6e7
r6k/pp4q1/2p1Q2p/8/8/1P2P2P/6P1/5R1K w - -,f1f6
6k1/5pp1/N3p2p/4P2n/5b2/P4P1n/4KB1P/8 b - -,h3f2
4r1k1/p2Q1p2/3p2p1/2qP4/2p1PP1p/5B1P/1r4P1/R4N1K b - -,c5b5
r4rk1/3b1p2/3p3p/3P2p1/1Nq5/1R4P1/5PP1/1Q1R2K1 w - -,d1c1
2r1k2r/1b1p1ppp/p3p3/1pq3Pn/4P3/2N1BP2/PPPR3P/2K2BR1 w k -,e3c5
r5k1/1p1nbppp/3p4/4p3/p1r1P3/P3B3/NPPR1PPP/R5K1 w - -,a2c3
rnbqkb1r/p2n1ppp/4p3/1pppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR w KQkq b6,d3b5
1r1rn1k1/2q2ppp/pp2pb2/2p5/P1P2P2/3PP1P1/Q5NP/BR1R2K1 w - -,b1b3
4r1k1/pp3pp1/2p5/7p/2QP1N2/P4PKP/1PPq2P1/8 w - -,d4d5
8/8/7P/r1K5/8/7R/4k3/8 w - -,c5b6
r3k2r/ppp4p/2n2ppb/2PpP3/3P1P1P/4B3/PP1KB3/R6R b kq h3,e8g8
r5k1/2q1ppbp/3p2p1/1P1P2B1/n1p1P3/5N2/2P1QPPP/5RK1 w - -,e2e3
4r2k/7p/p5p1/2p5/8/7P/Pb5P/R4R1K w - -,a1e1
