R7/8/1k6/8/p7/1pK5/2r5/8 w - -,c3d3
6R1/8/3kp3/1p4Pp/r2K3P/8/8/8 w - -,d4e3
3r2k1/pb3p2/1ppB1bp1/7p/P7/2P2B1P/1P3PP1/R5K1 w - -,d6f4
2n1kb2/3b1pr1/3p1p2/p3pP2/PqB1P2Q/1N6/2PR2PP/1K1R4 w - -,c4d5
rn1qkb1r/p2n1ppp/1p2p3/2ppP3/3P4/2Pb1N2/PP1NQPPP/R1B1K2R w KQkq -,e2d3
4r3/R3Pk2/1p6/6p1/PP5p/7K/8/8 w - -,a4a5
rn2k2r/p1pqnppp/bp2p3/3pP3/P2P4/2P2N2/2P2PPP/R1BQKB1R w KQkq -,f1a6
4rk2/1p4pp/2ppBn2/5Q2/1q6/5NP1/4RPKP/8 b - -,b4g4
6R1/3N4/r7/3Kp3/4P2k/8/8/b7 w - -,d7c5
rn1qk2r/pp3ppp/2pbpn2/3p4/2PP4/2N1PQ1P/PP3PP1/R1B1KB1R w KQkq -,f1d3
6rk/p2q3r/3p2Qp/3p4/4pp2/7P/PP3P1K/2RR4 w - -,g6h5
r5k1/5p2/6p1/p6p/1bR5/4R3/5PPP/5K2 w - -,h2h4
r3r3/6kp/np1ppqp1/p4p2/2PP1P2/PP3N2/3QR1PP/5RK1 b - -,a6c7
4r1k1/pp1b2pp/5n2/3p4/3N4/5P2/PP3KPP/1BR5 b - -,g8f8
1r1k1R2/7p/p5p1/2p1P3/2Q5/7P/1P3PPK/2qr4 b - -,d8c7
2r2rk1/p3bpp1/2n1pnp1/1p1p4/1P1P1B2/q1P2N1P/P2N1PP1/1QR1R1K1 w - -,f4g5
1r5r/1p2pk1p/2b3pb/p1RN1p2/3p4/3P2P1/PP2PPBP/1R1K4 w - -,g2f3
R4B2/8/4K1kb/4P3/8/8/2r5/8 w - -,f8h6
2rb1k1r/qb3pp1/p7/1p1Np2n/4P1B1/PN1Q3P/1PP5/1K1R2R1 b - -,c8b8
8/8/1k1n1p2/1qp1p2R/3bP3/1P3PP1/2QB2K1/8 w - -,d2e1
5r2/3b3k/p2p2p1/1ppPp2n/2P5/1P5P/P4P2/2K1R1R1 w - -,e1e2
4r2k/7p/2R1p1p1/1p6/1P6/6P1/1b1B1P1P/6K1 w - -,c6b6
8/5pk1/2p2rp1/1p1p4/1P1P2pP/4P1K1/R4P2/8 w - -,g3g4
r2qk2r/pp2ppbp/1np1bnp1/4N3/3P1B1P/2NB1Q2/PPP2PP1/2KR3R b kq -,b6d5
rn2k2r/ppq1nppp/4p3/1PppP3/3P4/2P2N2/2P2PPP/R1BQK2R b KQkq -,b8d7
8/8/5pk1/3r2p1/p5Pp/P1R2K1P/8/8 b - -,d5b5
r1q2nk1/pbp2rpp/1p2pp2/8/3P1B2/3B1P2/PPPQ2PP/2KRR3 w - -,d2c3
8/2R5/1p1rbkp1/pB3p1p/P4P1P/6K1/6P1/8 b - -,e6b3
r2q1rk1/pppn1ppp/3bpn2/3p1b2/3P4/P3PN2/1PPNBPPP/R1BQ1RK1 w - -,b2b3
2r2nk1/5Np1/5n2/p4Q1P/2p2PP1/P7/1q3NK1/3R4 b - -,b2b7
1r6/pp3R1p/6pk/2pB1b2/5P2/8/PPP2P1P/6K1 w - -,c2c4
6Q1/8/1q6/5n2/1p6/1P2p1k1/2P5/7K b - -,g3f4
r7/p2pqrpk/np6/5p2/5B2/4Q1P1/PP2PPKP/R2R4 w - -,e3e7
2rqnrk1/3bp1bp/3p1pp1/1p1NP3/7Q/4B3/PP2BPPP/1R1R2K1 b - -,c8b8
2r1k1nr/pp1b1ppp/3Q4/3P4/2B5/2P5/P2B1PPP/q4NKR b k -,c8c4
r4rk1/1bqnbppp/pp1ppn2/2p5/2PP4/PPNBPN2/1B3PPP/2RQR1K1 b - -,a8c8
8/3q3k/1p2b1p1/1P1pQ2p/5P2/5B1P/5KP1/8 b - -,e6f7
r2qk2r/pp2Bppp/8/3pn2b/8/5N1P/PPP2PP1/R2QR1K1 b kq -,d8e7
6R1/8/4pk2/2N2p1p/5b2/5P1K/8/3r4 b - -,f6f7
4q1k1/3R1p2/p1N3pp/1p1p4/nPn5/P2B3P/Q4PP1/6K1 b - -,e8d7
rn1qkb1r/pp3pp1/2p1p1bp/3pPn2/P2P4/1N3N2/1PP1BPPP/R1BQ1RK1 b kq a3,b8d7
1q2k2r/3nppbp/1r1p2p1/p1pP4/P1Q1P3/RpP2N2/1P2NPPP/5RK1 b k -,g7h6
5r1k/1b4pn/pp3r1p/8/2B1p2P/P7/1PN2PP1/R4RK1 b - -,f6d6
3R4/q3rkp1/p4n1p/1p1nBb2/3P4/P4P2/1P4PP/2RQ3K b - -,f5e6
5k2/p2r1p1p/4p3/1P2n3/R7/4P1P1/4B2P/5K2 b - -,e5g6
1r6/4kp1p/2Pr1pp1/1p1b4/3N4/4PP2/4B1PP/5RK1 w - -,c6c7
r2rb1k1/5pp1/4p2p/1p2b1q1/4p3/PQ2N2P/1PR1BPP1/2R3K1 w - -,e3f1
b4bk1/2q2pp1/7p/1p2p2Q/1Pp1P2N/2P4P/2B2PP1/6K1 w - -,h5d1
3r1r2/pbkn1p1p/1pp1p3/4Np2/2PP4/1P4PP/P1K2PB1/3RR3 w - -,g3g4
8/8/1p2rkp1/p1pR4/P1P1pR2/1P2Pn1K/8/8 b - -,f6e7
r6r/1p2kpRp/p3p3/3b4/3N4/2R1P3/PP2KP1P/8 b - -,e7f6
8/2r2p2/4k2R/4rp2/7P/5R2/5PPK/8 b - -,e6e7
rnbqkb1r/pp1p1ppp/5p2/2P5/8/8/PPP1PPPP/RN1QKBNR b KQkq -,f8c5
r1bqk1nr/ppp2ppp/2n5/2b5/2BpP3/5N2/PP3PPP/RNBQ1RK1 w kq -,d1b3:b2b4:c1g5:f3g5:b1d2
2kr4/pp4pp/q2r1p2/2p1pP2/2P5/1P1P2P1/P5QP/K1BR4 w - -,g2f2
r1b1k1nr/bp3ppp/p1nppq2/8/4P3/1NNB2Q1/PPP2PPP/R1B2RK1 b kq -,c6e5
3r2k1/p4pb1/2p1q1p1/2B1p1Pp/4Nn2/1P3P2/P1P2Q1P/2K4R b - -,a7a5
r1bq1rk1/1pp1bppp/p3pn2/8/1n1P1B2/2N2NP1/PPP1QPBP/2KRR3 w - -,c1b1
2rq1rk1/pp1bppbp/3p1np1/3N4/P1n1P3/1NP5/1P3PPP/R1BQRBK1 b - -,a7a6:f8e8
r3r1k1/pp2ppbp/2p2Bp1/3q4/3P2b1/2PB1N2/PP3PPP/R2QR1K1 b - -,g4f3
r1bq1rk1/ppp1npbp/3p2p1/3Pp3/2P1P1P1/2NnBP2/PP1QN2P/R3K2R w KQ -,d2d3
3r2k1/pp4n1/6Q1/4q3/8/1P3B2/2P2P2/1K4R1 w - -,f3e2
4rrk1/p5pp/2R4q/3p4/3Q3N/8/PP2BnP1/5RK1 b - -,h6c6
r1bq1rk1/2pn1pbp/p2p1np1/1p2p3/3PP3/2PB1N1P/PP2NPP1/R1BQ1RK1 w - -,e2g3
1rbqr1k1/p4pbp/p2p2p1/2pP4/P3NP2/3Q1N2/1P4PP/1RB2RK1 b - -,e8e4
7r/1k5p/4pp2/3p4/1n3P2/3P4/6PP/2R3K1 w - -,c1b1
r1b2rk1/ppq2pb1/2n1p1pp/2p4n/P3p1N1/2PP1N2/BP3PP1/R1BQK2R w KQ -,d3e4
8/p1Q1k2p/1p2p1p1/8/8/2P4P/Pq4P1/7K b - -,e7e8
rnbqk2r/4bppp/2P1pn2/pBpp4/3P4/2N1PN2/P4PPP/R1BQK2R b KQkq -,d8c7
r1b2rk1/ppq1bppp/2n1pn2/8/2B1N3/2P2N2/PP2QPPP/R1B2RK1 w - -,c4d3
1q3rk1/p4ppp/1p2p3/2b1n3/3N4/1P2P2P/PBR1QPP1/6K1 b - -,a7a5
1r1qr1k1/5pbp/p2p1np1/2pP4/2n5/1P4P1/PBQ2PBP/3R1RK1 w - -,c2c4
R7/5pk1/4p3/4P1p1/3r4/5PKP/8/8 w - -,a8a5
2r3k1/R4p1p/2P3pb/1pr5/3N1P2/2P3P1/7P/5RK1 b - -,h6g7
2r4r/1pqpkp2/p3pn1p/2b1n1p1/4P3/P1N1B1Q1/1PP1BPPP/R2R2K1 b - -,e5g6
3Q4/5pk1/p5p1/P3q2p/7P/8/4K3/8 w - -,e2d3
5k2/4r3/P3Q2P/4p3/3b4/6PK/8/8 w - -,e6e7
2r2rk1/1pp2ppp/p2bq1bn/P2N4/4p3/6PP/1P2PPBK/R1QRB3 w - -,d5f4
2r3k1/p3Rp1p/2p3p1/3r4/8/1PR1Q1Pq/P4P1P/6K1 w - -,e3f3
rn1q1rk1/2p2ppp/p2bpn2/1p6/3P3N/6P1/PPQBPPKP/RN3R2 b - -,d8c8
rnb1k2r/ppppqppp/4p3/8/1bPP4/5NP1/PP1NPPBP/R2QK2R b KQkq -,c7c6
8/R7/7k/6N1/2b3PP/4P2K/5n2/4b3 w - -,h3g3
5bk1/7p/p1q5/1pN2p2/1P2p3/6P1/PQ3P1P/6K1 w - -,b2e5
2b2bk1/p4r2/q3r1pp/2p1p3/2N1N3/1P1P1QP1/P1P2P2/R3R1K1 w - -,f3e3
6k1/6p1/7p/p4P2/2P5/1P1N3P/r4p2/5K2 w - a6,d3e5
