2b5/6pp/8/3k2B1/5P2/4n1P1/7K/8 w - -,h2g1
r1bq1rk1/ppp1n1bp/3p1np1/3Ppp2/2P5/2N2NP1/PP2PPBP/1RBQ1RK1 w - -,c4c5
2r2rk1/1q1n1ppp/p2bp3/Pp1p4/3Pb2B/1BP1N3/1P2QPPP/R3R1K1 w - -,h4g3
r3k3/pp3ppr/1nn1p2p/2b1P3/5B2/5N2/PP3PPP/R2R1NK1 b q -,b6d5
8/6bk/2R3p1/r7/4R1KP/6P1/8/8 w - -,e4e7
r6r/5p2/2R1bk1p/bpB1p1p1/1P2P1P1/2N2P2/6P1/2K4R b - b3,a5d8
8/p3k1p1/2p5/P1P3P1/2BKP3/2P5/6b1/8 w - -,c4b3
8/8/1k2p3/r4pp1/8/3K3P/3R4/8 w - -,d2e2
8/8/6p1/2kb1p1p/2p2P1P/2N1K1P1/8/8 b - -,d5c6
5r1r/1p5p/2p1k3/p5Q1/P4R2/4q1P1/1P5P/5R1K w - -,f4f6
r4rk1/pp3ppp/1qp2n2/5R2/2P2b2/2N5/PP2B2P/R4Q1K w - -,f5f4
3r3k/1p1q1Bp1/3r1n1R/8/p1P2R2/Pn1P2PP/1Q3P2/6K1 b - -,g7h6
8/8/8/2k4p/1r4bP/2R3P1/r1B2R2/2K5 b - -,c5d4
8/5p1k/6pp/pN1Pb3/Pr2P3/5P1P/1p4P1/1B5K w - -,g2g3
r2qk2r/pb1nbppp/1pp2n2/3p4/3P4/P1NBPN2/1PQ2PPP/R1B2RK1 b kq -,e8g8
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3PP3/P1N2N2/1P2BPPP/R1BQ1RK1 b kq -,f8e7
r2q1rk1/pb2bppp/1p2pn2/6B1/3P4/P2B1P2/1P1QN1PP/2R2RK1 w - -,g5e3
r3kr2/1p1qbpQp/pB6/P2P4/8/3B4/1PP3PP/4R2K b q -,d7d6
1rbr2k1/2qnbppp/pp3n2/2p1p3/P1N1P3/2P1BP2/1P2BNPP/R2Q1RK1 w - -,c4a3
6k1/2r2pp1/p3pn2/1pB1N2p/nP2P3/P4KPP/8/2R5 w - -,c1c2
r1br2k1/1p2bppp/p1nqpn2/6B1/P1Bp4/1N3N2/1PP1QPPP/3RR1K1 b - -,d6b4
8/8/5k1p/8/5PP1/r3R3/5K2/8 b - -,a3a1
r3nr2/1q2bppk/3pp2p/p1n1P2Q/1p1N1P2/6R1/PPP1N1PP/3RB2K b - -,a8c8
8/8/r5pp/2k1Kp2/2P5/5R1P/5PP1/8 w - -,f3f4
r5k1/pp2ppbp/4qnp1/3p1b2/PP1Pn3/1Q2PN1P/1B1NBPP1/2rR2K1 w - -,d1c1
r3kb1r/pp1n1pp1/1qp1pn1p/5b2/3P4/3N1NP1/PPP2PBP/R1BQ1RK1 b kq -,f8e7
r1bqk1nr/pp3pbp/2npp1p1/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq e3,g8e7
r2qkb1r/ppp2ppp/2n3n1/4P3/2Pp4/5NPP/PP2PPB1/R1BQK2R b KQkq -,d8d7
5rk1/5p1p/1p3Rp1/3Pr3/8/1B4KP/P7/8 w - -,f6b6
6k1/3qpp1p/1RQ3p1/p5N1/Pb6/5K2/1P1r2PP/8 w - -,c6a8
8/p4pkp/bp2p3/4n1p1/P1pNP3/2P2P2/1P4PP/5N1K b - -,e5d3
2rr2k1/5pbp/pp2p1p1/3p4/3P4/P1NR2P1/1P3PKP/3R4 w - -,f2f4
6k1/6bp/4p1p1/1B1pP1P1/3B3P/p1P3K1/P1n5/8 w - -,h4h5
rnbqk2r/pp3pbp/3p1np1/2pP4/4P3/3B1N2/PP3PPP/RNBQ1RK1 b kq -,e8g8
5rk1/p4qp1/3N2n1/1ppPp1p1/2P5/6PP/PP2QP2/4R1K1 b - -,f7d7
r1br2k1/pp4pp/5B2/2n1p3/2P1P3/P7/5NPP/R3KB1R b KQ -,g7f6
2r3k1/7p/2R3p1/3P4/N3pb2/1P6/5P1P/6K1 b - -,c8d8
rn1q1rk1/pb3ppp/1p1ppb2/8/3P4/2PB1N2/PP1NQPPP/R3K2R w KQ -,e1c1
rnb1k2r/pp2qppp/2pp1n2/4p3/2PPP3/2N3P1/PP1Q1PBP/R3K1NR b KQkq e3,e8g8
rr4k1/2p1p1bp/p3pnp1/P7/3P4/P1n2P1P/3BBP2/2R1K2R w K -,c1c3
8/8/1pkr3r/6K1/2Q5/8/P7/8 b - -,c6b7
r7/1N4bp/2pB1pk1/p2b4/3PpPp1/P3K3/1P4PP/2R5 b - -,a8a6
1q3b1k/1p1R2pp/1Qn4P/2pNp1P1/r3P3/8/2r5/1K3B1R w - -,g5g6
5k2/6p1/2p5/2Pp1Pp1/p2P2Pb/P3Q2N/7q/1K6 w - -,h3g5
r1bq1rk1/3nbppp/p1n1p3/2ppP3/1p1P1P2/4BN2/PPPQBNPP/R4RK1 b - -,a6a5
r3kbnr/5ppp/p2p4/1b6/4P3/5q2/PPP2PPP/RNB1K2R w KQkq -,g2f3
r5k1/5ppp/2pBbn2/1p6/3RP3/6PP/1R3PB1/r5K1 w - -,g1h2
r1b2rk1/ppq2p1p/2p3p1/4b3/8/1P4P1/PBQ1PPBP/R4RK1 w - -,b3b4
2qr1rk1/p1np3p/1p1R1pp1/2pR4/2P4P/1P3NP1/P2QPPK1/8 w - -,d5d3
6k1/2RR3p/4p1p1/p7/3p1q2/P6P/6P1/6K1 b - -,f4e3
b3r2k/p6p/2p5/8/2B3p1/8/PP3PPP/3R1K2 b - -,c6c5
1rn2rnk/6bp/1p1q4/2pPp1p1/Q1P1PpP1/3N1P2/1R1BB2P/1R4K1 b - -,f8f7
4k3/1r6/3PK3/8/3P4/5R2/8/8 w - -,d6d7
r3k2r/1b1nqpb1/p1p2npp/1p2p3/4P3/P1N1Q2P/1PPNBPPB/R2R2K1 b kq -,e8g8
r2qr1k1/3n1ppp/4pnb1/pp1p4/3P1Q2/2B2NP1/PP2PPBP/R2R2K1 b - -,b5b4
2r3k1/1p2ppbp/p5p1/3qP2P/2rP2P1/3Q1N2/PP5R/1K1R4 w - -,h2f2
r1b2rk1/1pq1bppp/p1n1p3/8/3P4/1BN1QN2/PP3PPP/2R2RK1 b - -,c7a5
r2qkbnr/pb1n1ppp/1p1pp3/2p5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,d8c7
r1r4k/6b1/p2Q1Npp/1p4p1/6P1/2B2q2/PPP4P/1K1R4 w - -,c3e5
8/1p2N3/p5p1/Pb4k1/3K3p/5P2/6PP/8 w - -,e7c8
r2q1rk1/2p1bppp/p4n2/1p1P2B1/2n3b1/1BP2N2/PP3PPP/RN1QR1K1 b - -,f8e8
8/8/1pR2k2/2p2pp1/6r1/2P4p/PP3P2/5K2 b - -,f6e5
r3r3/p4pkp/1p3np1/q1pP4/6b1/2PB4/PQ1N1PPP/2R2RK1 b - -,g4e2
8/p3k2p/1p1pr1p1/2p2p2/2P2P2/2P1P3/P2RK1PP/8 b - -,e7d7
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP1P2/6N1/PPP3PP/R1BQK1NR b KQkq -,b7b5
1r6/p1b3p1/4k2p/3p4/4p3/1P4PP/P2RPPBK/8 w - -,d2c2
r3k2r/1R2npp1/p1n1b2p/2Bp4/8/PN1B2P1/5PP1/3R2K1 w - -,f2f4
6k1/6p1/1p3p2/1P5Q/3rq2P/6K1/3p1P2/3R4 b - -,e4f4:d4d5
3r4/1p6/p1b2nk1/8/5p2/2P4P/PP3PP1/2R2NK1 b - -,d8e8
r2qr1k1/1p1nppbp/p4np1/3p4/3P1B2/2N2N1P/PPP1QPP1/R4RK1 w - -,f1d1
4r3/2R1p3/8/8/1k6/p3N1PP/5PK1/8 b - -,a3a2
1r3rk1/p5p1/1qp4p/3bpN2/2p5/Q1P5/P4PPP/R2R2K1 w - -,f5e3
r4qk1/1b1n2pp/pp1p2r1/2p2p2/1PPNnP2/P3PB2/1BQ3PP/3R1RK1 w - c6,d4e2
3r2k1/2q1np1p/1p2p1p1/p1p1P3/P1PrBP2/3P2P1/5Q1P/4RRK1 w - -,g3g4
b6r/P1k5/Nn1p2p1/Q1b2p2/4qP1p/4p2P/2P1R1P1/1R5K b - -,c7d7
r3k1nr/ppqn1pp1/4p1b1/1BbpP1Bp/3N1PPP/2N5/PPP5/R2QK2R w KQkq -,d1d2
r1bq1rk1/pp2bppp/2n1p3/2p5/3PP3/2P2NP1/P4PBP/R1BQ1RK1 b - -,b7b6
4k2r/pp2bppp/4p2n/4P3/2p3P1/1N6/PP5P/RB4K1 w k -,b3d2
4r1k1/1P2Pppp/2n3r1/pq6/4P1n1/PP3BQ1/1B3P2/3RR1K1 w - -,f3g4
rn1qk2r/pp2ppbp/2pp1np1/8/2PPP1b1/2N1BN2/PP2BPPP/R2QK2R b KQkq -,e8g8
4b3/4k2p/3p1p2/2pPp3/2P1P3/5K2/2B3PP/8 w - -,f3g4
