8/7k/3R4/2p5/1rK5/1P6/8/8 w - -,c4c3
8/2r3k1/2pR4/p1rp1P2/8/6K1/P7/1R6 b - -,d5d4
3b4/4k3/3R4/1r5p/4KB1P/6P1/8/8 w - -,d6d5
3r4/r4kpp/p2b1p2/1pp1p3/P3R3/1PBP1P2/2PK2PP/3R4 w - -,a4b5
2r3k1/4P1p1/pp6/7p/4p2P/6P1/PP3R2/6K1 w - -,f2f4
3r1nk1/1r2bpq1/N1np3p/4p1p1/1P2P3/4B1P1/P2RQPBP/3R3K w - -,b4b5
2r1r1k1/p4pb1/Qp1np2p/6p1/2qP4/2PR1BP1/P4P1P/2BR2K1 w - -,a6c4
r2q1rk1/pp2bpp1/4bB1p/1Bnp4/8/2N1P3/PPQ1NPPP/R2R2K1 b - -,g7f6
r3k2r/pp1nbpp1/2p1p1p1/3p2P1/1nPP4/1PN1P2P/1P1B1P2/R2K1BR1 b kq -,b7b6
3rr1k1/1bq3bp/pp2p1p1/4p1Q1/2P1P1n1/1P6/PBB1R1PP/3N1R1K b - -,e8f8
3r1rk1/5pbp/p1b3p1/2qp4/5P2/1RNQ1BP1/2PR2KP/8 b - -,f8e8
r1b2rk1/pppp1ppp/5n2/2q5/4PP2/2N5/PPPQ2PP/2KR1B1R w - -,e4e5
4kb2/p6R/2p1p3/3p1pP1/3P2b1/4B3/qP3K2/2Q5 b - -,a2a6
r1r3k1/1p1qbn1p/2n1bp2/p1P1p1p1/3p4/PP1P1NP1/2QN1PB1/1RB1R1K1 w - -,b3b4
6k1/8/r2rq1b1/p1p1Q2P/1p2P3/1Pn1BBR1/2P5/7K w - -,g3g6
8/5p2/R5pk/5p2/1p3P2/3BP3/P2K4/q7 w - -,d2e2
1k6/6R1/1K6/p3r3/P7/8/8/8 b - -,e5e6
2b1r3/1p5k/1R6/P1nP1p2/5PpP/Q3p3/2q1P2P/5RK1 b - -,c5e4
3r1rk1/pp3pp1/2p1pnp1/4q3/2B5/P2P1Q1P/1PP2PP1/R4RK1 w - -,c2c3
8/5pk1/4rp2/R6p/5P2/1P3KP1/P3r2P/8 w - -,a5h5
8/5ppp/1p1k4/p2n4/P1BP4/5K1P/1P4P1/8 w - -,g2g4
Q7/5ppk/8/8/1P1r2p1/2p2qP1/5P1P/R5K1 w - -,a8f3
8/5p2/2b2k2/pq6/8/4Q1P1/3K1P2/8 w - -,g3g4
r3qrk1/1pp1b1pp/4p3/p4p2/2PPp3/P1B1P2P/1PQ2PP1/R2R2K1 w - -,c2b3
2k1rb1r/B4ppp/2p5/3pPb2/8/1B6/PP2KPPP/R6R w - -,f2f4
r3k2r/ppqnnpp1/4p2p/3pP2P/b1pP2R1/P1P5/2P1BPP1/1RBQK1N1 b kq -,e7f5
3r1r2/pp3pkp/2n2Np1/4P3/3p1P2/8/PP4PP/R4RK1 w - -,a1d1
1r1q1rk1/1p1bppbp/p2pn1p1/8/PnP1P3/1PN1B1PP/4NPB1/R2Q1RK1 w - -,d1d2
2b2rk1/r3q1pp/p1p2p2/1pb1pP1Q/4P3/2NRB3/PPP3PP/4R2K w - -,h5e2
r3kbnr/pp1q1ppp/2n1p3/8/3P2b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,g8e7
2b2rk1/7n/p5p1/1p1pq2p/1P6/P2BPQNP/6P1/5RK1 w - -,f3e2
rnbqkb1r/pp3pp1/3p1n2/4pN1p/4P1P1/2N5/PPP2P1P/R1BQKB1R w KQkq h6,g4g5
r4rk1/pp1b1ppp/5n2/2p1q3/8/P1PBP3/2Q2PPP/R1B2RK1 w - -,a3a4
r3k2r/pp2bppp/1qn1pn2/3p1b2/2pP1B2/2P1PN1P/PP1N1PP1/R1Q1KB1R b KQkq -,h7h6
1rqB2k1/p3ppbp/6p1/3PP3/2n2P2/8/PP3QPP/2R2RK1 b - -,c8a6
r2q1rk1/1b1nbppp/p3pn2/1p1pN3/2pP1B2/2P1PN2/PPB2PPP/2RQ1RK1 w - -,h2h3
rnbq1rk1/1p2p1bp/2pp1np1/p4p2/2PP4/PP3NP1/1B2PPBP/RN1QK2R w KQ -,e1g1
5r1k/8/p5p1/1p6/3N4/PPPbR3/r7/2K4R b - -,h8g8
r2qk2r/1pp2pp1/p1pb1n1p/4p1Bb/4P3/2NP1N1P/PPP2PP1/R2Q1RK1 w kq -,g5h4
r1bqkb1r/3p1ppp/p1p1pn2/2p5/3PP3/2N2N2/PPP2PPP/R1BQ1RK1 b kq d3,c5d4
8/p3r1k1/1pp5/2r1PR2/6R1/6P1/8/6K1 b - -,g7h8
5rk1/2r1bppp/p3p3/1p1b4/3N1P1n/P2BB3/1PPR2PP/5R1K b - -,g7g6
3k3r/2n5/5qp1/2ppRN2/5PP1/2P3K1/PP1R2Q1/7r b - -,g6f5
r2qr3/pp4k1/3N3p/4PppQ/2P5/P5B1/1P2n1PP/R6K b - -,e2g3
r2q1rk1/4bppp/2npb3/p2Np3/1pP1P2P/1P4P1/P1N2PB1/R2Q1RK1 b - -,a8a7
R2b4/5pkr/1q1p1p2/3BpP2/Q1p1P2p/7P/1PP3PK/8 w - -,a4e8
1rr5/k1q2b2/p1pb1pp1/1p1p1p1p/n2P3P/PNPNPQP1/1PK2P2/RR3B2 b - -,c7e7
r4rk1/pbpnqppp/1p1bp3/3p4/2PPn3/3BPN2/PP1BQPPP/R2R1NK1 w - -,c4d5
r4rk1/1bq1bp1p/p1p1nnp1/1p2p3/4P3/2PBBNNP/PP2QPP1/R3R1K1 w - -,d3c2
1rr5/p2k2b1/6pp/1n1pp3/1PR5/3PB1P1/3N1P1P/1R5K w - -,c4g4
r2q1rk1/1bpnbppp/pp2pn2/3pN3/2PP1B2/2N3P1/PP2PPBP/R2Q1RK1 w - -,c4d5:a1c1
rnb2rk1/1pq2ppp/p3pn2/4p3/2PN4/B1PB4/P4PPP/R2Q1RK1 w - -,a3f8
r1bqrbk1/p4p1p/4p1p1/2npP3/N2B1P2/P3PR2/4B1PP/R2Q2K1 b - -,c5a4
8/7k/1p4pq/p7/2P2bQ1/4p2K/PP6/4R3 w - -,g4h4
8/6k1/p2q2p1/2p2p2/1P1p4/3P2nN/Q4PPK/8 b - -,g3h5
r1bq1rk1/1pp1nppp/2np4/p1b1p3/2P5/P1NPP1P1/1P3PBP/R1BQK1NR w KQ -,g1e2
r7/P4p1k/1Q2p1pp/3q4/6nP/1p3PP1/1P3BK1/R7 w - -,b6d4
r2qnrk1/pp2bppp/2bpp3/2p5/4PP2/1PNP1N2/1PPBQ1PP/4RRK1 w - -,g1h1
rq1B1rk1/1p3pp1/p1npbn1p/P3p3/R3P3/2NQ1N2/1PP1BPPP/5RK1 b - -,f8d8
r3k2r/pp1bbppp/1qn1pn2/8/3p4/1PN1BB2/P1P1NPPP/R2Q1RK1 w kq -,e2d4
2r3k1/3n1ppp/b1q2n2/p2p4/Np3B2/1B3P2/PP1Q2PP/4R1K1 w - -,d2d4
3rr3/pp4k1/1np2bp1/5p1p/8/PN1P1NP1/1PR1PP1P/4R1K1 b - -,b6a4
rn1qr1k1/1p3pbp/2pp1np1/p4p2/2PP4/P1N3P1/1P2PPBP/1RBQ1RK1 w - -,b2b4
8/8/k7/8/1P1K4/N7/1P6/8 w - -,d4d5
rnbq1rk1/pp3pbp/3p1np1/2pP4/4P3/2N2NP1/PP3PBP/R1BQK2R b KQ -,b7b5
2R5/5ppk/3q3p/p7/P7/6PP/1PQ2PK1/3r4 b - -,g7g6
rn3rk1/p4pp1/b1p1p2p/3n2N1/P2q4/1QN3P1/1P2PPBP/R4RK1 w - -,g5f3
r1b1r3/pp3pbk/2p2npp/2q1p3/2P1P3/2N5/PP1NBPPP/R1QR2K1 w - -,a1b1
r2r2k1/1bq2ppp/pp2p3/2b1P3/Pn1NpP2/1PP5/1B2B1PP/2R1QR1K b - -,b4d3
7k/p1R2pr1/1q2p1r1/3p1p1p/5Q2/1P4PP/P1R2P2/5K2 b - -,h8h7
1r1q1rk1/1b1nbp1p/pp1ppnp1/8/1PP1PP2/P1N1BB2/3N2PP/2RQ1RK1 b - -,d8c7
5rk1/2pb1ppp/1b1prn2/4P1Bq/1P6/2Q2N1P/1PB2PP1/R3R1K1 b - -,d6e5
r1b1kb1r/p1qp1ppp/1p2pn2/8/3QPP2/2N1B3/PPP3PP/R3KB1R w KQkq -,f1e2:c3b5
r1bq1rk1/p2nbppp/1p2pn2/2pp2B1/3P4/2PBPN2/PP1NQPPP/R4RK1 b - -,c8b7
2rr2k1/1bq1bppp/p2p1n2/4p3/1P2P3/1RNQBN2/P1P2PPP/5RK1 w - -,e3g5
2r2bk1/5p1p/3pp1p1/7r/R1N5/5PP1/4PK1P/3R4 w - -,c4d6
r1b2rk1/1pq1bppp/p1nppn2/2p5/4PP2/3P1NPP/PPP1N1B1/R1BQ1RK1 b - -,e6e5:c8d7
r1bqrbk1/pp3p1p/2n2np1/2Pp4/3N4/2N2P2/PP2BBPP/R2Q1R1K b - -,c8d7
8/8/2Q4p/1p2PPpP/1P2K1P1/1kP3r1/8/8 w - -,e5e6
7k/2p3b1/3p3p/1P1Qp1p1/2P3q1/3P2P1/P2N1r1P/4R2K w - -,d5a8
5k1r/ppq1bp2/4p1n1/2Pr3p/Q5p1/1N2B3/PP3PPP/R3R1K1 w - -,a1d1
8/pp4pk/4q2p/1P3p2/3R4/P2R3P/5P2/6K1 b - -,e6e5
3r2k1/p4p1p/1p6/3N1p2/P2pP3/1n3P2/5KPP/3R4 w - -,d5e7
r1b1k2r/2q2ppp/p3pn2/1pb5/2BN4/2P5/PP2QPPP/R1B1R1K1 w kq b6,c4b3:c4d3
1r4k1/1r5q/3p4/1b1Pp1pp/p3Pp2/2Pp1P1P/RP3QPN/3R2K1 w - -,d1d2
