6k1/7p/4N1p1/1p4P1/4B3/1P4K1/r6P/8 w - -,e6d4
1r1q1rk1/n1p1ppbp/p2p1np1/2PP4/Qp1N1B2/6P1/PP2PPBP/2R2RK1 b - -,f6d7
4k3/p3r2p/1pp1p3/4Bp2/P6q/1P1R2R1/6P1/6K1 b - -,e7f7
r1bqk2r/ppp1npb1/2np2p1/7p/2Pp4/2N1P1PP/PP2NPB1/R1BQK2R w KQkq -,e3d4
3q1rk1/3bpp1p/3p2p1/p1rP4/1p6/PB2RP2/1PPQ2PP/2KR4 w - -,a3b4
1r4k1/1r4p1/2n1qpbp/p1Ppp3/Q5N1/P1B2PP1/4P2P/2RR2K1 w - -,e2e3
5r1k/p3q1p1/1p1Q3p/8/2P3P1/P4p1P/KP1R1P2/8 b - -,e7f7
1r2nrk1/pp1bpp1p/2n3p1/q1P5/5N2/1N2P1P1/PQ3PBP/R1R3K1 b - -,a5d8
2k2r2/p1pp4/5r1p/2p1N3/8/8/PPP1QPqP/2K1R3 w - -,e2d3
2q2rk1/Qp2npb1/3p2pp/1P2p2n/8/2NP1NP1/1B2PP1P/2R3K1 b - -,c8d7
3r2k1/pp3pbp/n5p1/1Np1n3/2P5/3B1P2/PP1K1P1P/R6R w - -,d2e2
2r5/3b2k1/pr3pp1/1p1Pp1n1/2p1P1Pp/P1P1N2P/1P3RBK/5R2 w - -,f2d2
r3qrk1/pbpp2bp/1pn1p1p1/6B1/2PPB3/P4N2/1PQ2PPP/R4RK1 b - -,c6a5
rn1q1rk1/p4pbp/bp1p1np1/2pP4/4P3/2N2PN1/PP2B1PP/R1BQ1RK1 b - -,a6e2
3b4/3r3p/2k2pp1/2p5/p1K1PPP1/2B5/1P5P/4R3 w - -,e4e5
5r1k/7p/3bp3/1p1p2q1/1PbPp3/4P1P1/1B3NRP/4Q1K1 w - -,b2c1
r2qkb1r/pp2pp1p/2n2np1/3p1B2/3P1B2/2P2N2/PP3PPP/RN1QK2R b KQkq -,g6f5
rnbqkbnr/pp3ppp/4p3/4P3/1P1p4/5N2/P2P1PPP/RNBQKB1R b KQkq b3,f8e7
4r2k/1p5p/p4n2/3q2p1/bP1p4/3B1PQP/3RN1P1/6K1 w - -,h3h4
2brr1k1/1p3ppp/p1p1n1n1/P2P4/4P3/1N2BPP1/2BR1K1P/3R4 b - -,c6d5
8/2k2p2/b1p1p1pp/P1K1P3/5P2/6PP/6B1/8 b - -,a6b5
r4rk1/p1q1ppbp/1pn3p1/8/2BPP3/4BP2/P3QP1P/R2R2K1 b - -,e7e5
1r4rk/2p2pp1/1qp4p/2NpPb1P/PP1Q4/1R3R2/5PP1/6K1 b - -,f5c2
4r3/1b3pkp/pp4p1/8/3qp1n1/1BP3P1/PP3PP1/3R1NK1 w - -,d1d4
r1b1r3/3R1pkp/6n1/q7/2p1p3/4N2Q/PPP2PPP/5RK1 w - -,e3f5
5k2/p6p/2p3p1/2P2b2/1P1b4/5N1P/P1KN4/8 w - -,c2b3
4qr1k/p1p4p/4nbp1/1p1R1p2/4p3/1NP3P1/rP2PPBP/3Q1RK1 w - -,d1b1
8/6k1/R7/6p1/P7/6KP/r5P1/8 b - -,g7h7
r2q1k1r/p4pb1/1pp1p1pp/2p1Pn2/4R3/3P1N1P/PPP2PP1/R1BQ2K1 b - -,f8g8
r1b1kbnr/pp1p1ppp/2n1p3/2q1P3/1PNp4/2P2P2/P5PP/R1BQKBNR b KQkq b3,c5d5
r1b2rk1/1p1pp2p/2q1n1p1/pNP2p1n/P3P3/2PBBP2/5QPP/R3K2R b KQ -,h5f4
8/6p1/6n1/1p1p1kPp/1P1P1p1P/5P2/3BK3/8 w - -,d2e1
5rrk/1p5p/p1p5/3pR1Pq/3P1nQ1/5P2/1P5P/1B4RK w - -,g4g3
r1rn3k/4qn1p/2pp1pp1/1p2p3/1P1PP1NP/1BP3P1/3Q1PK1/R3R3 b - -,h8g7
rn3k1r/pppb1ppp/3p4/6q1/3P4/3B3P/PPP2PP1/RN1QR1K1 w - -,b1c3
r1br2k1/pp2bppp/5n2/1N2p3/8/2P2B2/PP3PPP/R1B2RK1 w - -,f1e1
2r3k1/4p2p/4P1p1/2q2p2/5Qn1/1bbr1N2/1P3PPP/R1B2RK1 w - -,b2c3
2q1kb1r/1p1b1pp1/1nr1p2p/p2pP2N/3P4/PP3N2/R1nBBPPP/3Q1RK1 b k -,c2a3
7k/8/3RB2r/2pP4/2P5/1r6/7P/7K b - -,b3b2
1qr1r1k1/3nbppp/b2ppn2/1p6/1P2P3/P1N2NP1/1B1QRPBP/3R2K1 b - -,d7b6
5rk1/R4pp1/8/2Q1PPPp/2p1p2q/2r1B2P/P3PR1K/8 b - -,f8d8
r3nr2/pp2q1bk/2p3pp/2P1pb2/8/4BN1P/PPQ1BPP1/3RR1K1 w - -,c2b3
4r1k1/p4pp1/8/2B4p/2q3n1/1NP2QP1/P4P1P/6K1 w - -,f3d1
r3r1k1/p1q2pb1/3p2p1/4pn2/1NP5/P2PP1P1/7P/1RBQ1RK1 w - -,e3e4
r4rk1/p2b2pp/1pnbp3/3p3q/3P4/P3BN1P/1PQN1PP1/2R1R1K1 w - -,b2b4
2r5/4N1bk/3Q2p1/3B1p1p/2P1p1n1/6PK/q4P2/8 b - -,g7f6
1r2k2r/3bp1bp/p2p2pn/q1pP1p2/2B1PB2/2N2Q1P/PP3PP1/1R2R1K1 w k -,e4e5
r1bq1rk1/3nppbp/p1pp1np1/1p4B1/2PP4/2N1PN2/PPQ1BPPP/3R1RK1 b - -,b5c4
r1bq1b1r/pp3kpp/5p2/1Bpp4/3n1P2/2NP4/PPP2QPP/R1B2RK1 w - -,b5a4
1r6/p2r4/2p1b1k1/2B1p1b1/1p2P1P1/1PpB4/P1P1K3/6RR w - -,c5e3
2rq2k1/p2B1pp1/1pn2b1p/1Q6/2Pp4/5NP1/P2R1P1P/4R1K1 b - -,d8d7
7k/1p3ppp/8/3pP3/3P4/1q6/1B3PPP/R6K b - -,h7h6
r1r4k/3b2pp/3P2q1/1pp1R3/4NR2/7P/1P4P1/1Q4K1 b - -,d7c6
1rbr2k1/q3pp1p/pp3np1/2pP4/4P3/2QP2P1/P2N1PBP/1R3RK1 b - -,c8d7
4rrk1/p1p2ppp/8/2pqP1P1/6b1/4QN2/PPP3PP/R3K2R w KQ -,e1g1
2R3k1/p3Br1p/4p1p1/1B1b1nP1/PP1P1p2/5P2/5K1P/8 b - -,g8g7
rnbq1rk1/5ppp/1ppp1n2/pP6/P1PPp3/2Q1P3/3N1PPP/R1B1KB1R b KQ -,c6c5
r4rk1/pp2ppbp/2p1b1p1/8/2B1n3/2P1B3/PPKN1PPP/R3R3 w - -,c4e6
2r1k2r/1b1n1pp1/pq2p2p/1pb3B1/6n1/2N1PNP1/PP1Q1PBP/3R1RK1 b k -,b7c6
2r3k1/pp2qppp/8/1B3b2/1P2p3/P1b1P3/5PPP/R2Q1K1R b - -,e7e5
r1b1k2r/pp1p1ppp/1qn1pn2/8/1bP1P3/1NN5/PP3PPP/R1BQKB1R w KQkq -,f1d3:c1e3
1r3qrk/3P1p1p/1p2p3/1P2Pp1n/3Q1P2/4NBP1/5K1P/3R4 b - -,f8h6
2r1b1k1/6pp/q3p3/p2p1p2/Pp1Pn3/1B1NP1P1/1P2QPP1/5RK1 w - -,f1d1
r1bqr1k1/pppn1pbp/3p1np1/8/2PN4/1PN3P1/P1Q1PPBP/R1B2RK1 b - -,d7c5
6k1/1p6/2b4p/4B1p1/4P3/1r4P1/3r1NBP/R5K1 b - -,b3e3
2k1rbnr/2pb2pp/pp3p2/2p5/4P3/1NN1B3/PPP2PPP/3R1RK1 w - -,f1e1
r4rk1/ppp1ppbp/1n4p1/1P1q4/3Pn3/PQ1NPN2/3B1PPP/1R3RK1 w - -,b3d5
8/r4pp1/Pp1kpnp1/3n4/3P4/1R1B1PP1/3BK2P/8 w - -,d2c1
8/p5Bk/bp1p3p/2nP4/2q2N1P/P5P1/5P1K/4Q3 b - -,c5e4
r2q1rk1/pp2bppp/2npbn2/4p3/4P3/2N1B3/PPP1BPPP/RN1Q1RK1 w - -,e2f3
r2qk2r/pb1p1ppp/1p1bpn2/2p1n3/2P1P3/1PNB1N2/PB1P1PPP/2RQK2R w Kkq -,d3b1
Qn1q2k1/3P1p1p/1Np1bbp1/8/8/6PP/5BB1/6K1 b - -,b8d7
R7/5pk1/8/8/P7/8/r5PK/8 w - -,h2g3
8/pp1k3p/5p2/r6b/3P4/1P1RK1P1/1P1N3P/8 b - -,a5a1
r3k1nr/1pp2pp1/p1pb4/8/4P1p1/2PN4/PP1P1PP1/RNBQ1RK1 b kq -,d6h2
6k1/5p2/p1r5/8/1P6/1K6/8/Q7 b - -,c6e6
