1k6/R4r2/8/2p5/1b2R3/4P3/KP6/8 b - -,b8a7
r4rk1/p3pp1p/2p1b1p1/q2n4/N2Q4/1P3P2/P1P3PP/2KR1B1R b - -,f8d8
r2q1rk1/ppp2pbp/1nnp2p1/8/3PPP2/Q1NBBR2/PP4PP/R5K1 b - -,c6d4
q5k1/1bpp1p1p/1p2pp2/1Pn5/2P5/2QPPN2/r3BPPP/4R1K1 b - -,g8g7
rn1qkbnr/pp3ppp/2p1p3/8/2PP2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,e1g1
2rqr1k1/1bb2pp1/ppn2n1p/3p4/1P6/PQN1PN2/1B2BPPP/2R2RK1 w - -,f1d1
2r3k1/p4pp1/1pb1q1p1/2p5/8/P2R4/1P1Q1PPP/3R2K1 w - -,d1e1
8/6R1/2p1r1p1/3k1pP1/5P1P/4P3/4K3/8 w - -,g7d7
3rR1k1/2p2p2/q1pP2p1/p1n4p/2Pb1P1P/1PQ3P1/P5BK/3R4 b - -,d8e8
rn2r1k1/1b3pb1/p1n1pBpp/1pp1P3/4B1N1/2P2N2/PP1R1PPP/3R2K1 b - -,h6h5
4b3/6pp/2pk4/3p4/P2P4/5BKP/3b4/2R5 w - -,c1c2
r2qk1r1/pp1bp2p/4p1p1/3PB3/5nP1/2N5/PP5P/R2QKB1R b KQq -,f4d5
1r6/8/8/5k2/1K6/3PR3/8/8 w - -,b4c3
2kr3r/p2bq1pp/1pn1p3/2p2p2/2P1n3/1QN1PN2/PP1BBPPP/R3K2R w KQ -,h1f1
8/1p1rNqpk/3Pb2p/4Q3/r5P1/7P/1P1R1B1K/8 b - -,f7f4
5k2/5p2/R3p1p1/1p6/6P1/PP6/1KP5/6r1 b - -,g1g4
7k/6p1/p2Bp2p/1p2P2P/3q4/PP3QK1/8/8 b - -,d4g1
b1r5/3R2b1/5pk1/6p1/8/1P2PPB1/P2N4/6K1 w - -,g1f2
rn1qkb1r/ppp2ppp/4pn2/3p1b2/3P1B2/2P1PN2/PP3PPP/RN1QKB1R b KQkq -,b8d7:f8d6
1k1rr3/pp4p1/2p2nQ1/2Nn4/PP1q4/7P/5PB1/R1R3K1 b - b3,e8e2
7k/1p2n2p/p1q3p1/4Pp2/P4P2/1P4N1/1bQ3KP/8 w - -,c2c6
2rk4/1R4pp/p2P1n2/R1P1KpN1/5P1P/4P3/3r4/8 b - -,c8c6
8/8/rp2k2p/1R3ppP/pPP5/P4K2/5P2/8 w - -,f3e3
4r1k1/p4pb1/7p/6p1/6n1/2Bq2P1/PP3PBP/3R2K1 w - -,d1d3
r2qk2r/pp2bpp1/2p1p2p/3p4/2PPn3/3Q2PB/PP2PP1P/R1B1R1K1 w kq -,h3g2
qr4k1/1r1nppbp/bn1p2p1/2pP4/P3P3/1PN2NP1/1B3PBP/1R1QR1K1 w - -,d1c2
r1br2k1/p3pp1p/p5p1/2P5/8/2P1PN2/P4PPP/R3K2R w KQ -,f3d4
2rr2k1/pp3p1p/2q1pbp1/8/5P2/1Q4P1/P1B2P2/RKR5 w - -,a2a4
rnr3k1/1pq1bppp/p2pbn2/4p3/P3P3/1NN2B1P/1PP2PP1/R1BQR1K1 b - -,b8d7
3r4/p3kp2/4p3/2p3R1/1nB2Pp1/2P1P3/P3K3/8 b - -,b4d5
r2q1rk1/1p2ppbp/3pb1p1/p1n5/2P1PP2/1PN2B2/PB1Q2PP/2RR2K1 b - -,d8b6
6r1/3q1p2/p2p3k/2pP1p2/n1P2P2/4R2P/P1QN1K2/8 b - -,g8b8
8/6k1/R7/7P/8/p6K/r5P1/8 b - -,g7h7
1rb5/2k2pR1/p3p1p1/1p6/3P3P/5B2/P2KP3/8 b - -,c8d7
r3k2r/1p1n1pp1/pq1ppnp1/3p4/3P4/2NBPQ2/PPP2PPP/R4RK1 w kq -,a1b1
r1bq1rk1/1pp2p2/3p1b1p/p1nPp1BP/2P1P1p1/2N5/PP2BPP1/R2QKN1R b KQ -,f6g5
6r1/p4k2/1p2pbp1/2q1p3/4B1Q1/P1nP2P1/5P1P/2R2RK1 w - -,c1c2
2r2r2/pb1k4/1p1p3p/1NnP1p2/2P1pP2/B3P3/P4KPP/2R2R2 w - -,a3c5
8/1P3p2/5kp1/4b3/7P/4B1P1/2p1KP2/8 b - -,f6e6
3r1r1k/2p1q1pp/1pn5/p1p1p3/P3Pnb1/2P1QN1P/1P1N1PP1/R3RBK1 b - -,g4h5
r4rk1/ppp1n1pp/3qp3/8/3Q4/2N5/PPP2PPP/R4RK1 w - -,d4d6
1r3rk1/p1p2ppp/6n1/2bPp3/2Q1P1q1/2P2N2/P4PPP/R1B2RK1 b - -,c5d6
5k2/5p1p/1p2b1p1/p2B4/1bnR4/1K2p1P1/4P2P/6R1 b - -,c4d2
2r2rk1/pp1q2pp/3nppn1/2bp4/2P2PP1/1P1BPN2/PB5P/1R2QR1K b - -,d5c4
1k1r4/1p2q1p1/2p2p1p/pr6/2RPp3/4P2P/PP2QPP1/1KR5 w - -,c4c5
r4rk1/pp2ppbp/5qp1/4Bb2/8/1NP2P2/nP1Q2PP/3KRB1R b - -,f6b6
8/5p2/b3p1kp/2p5/3P1PP1/2R1PK2/2B5/2r5 b - -,g6f6
2rr2k1/1p2ppbp/1qn3p1/pQnp4/P2N4/2P1PP1P/1PB3P1/R1BR2K1 b - -,b6a7
8/1p4K1/1k5p/3n3P/Pn6/8/8/7R b - -,b6a5
1Q5k/6p1/7p/8/3r4/P2qp3/6PP/4R1K1 b - -,h8h7
R3nk2/5pp1/8/4PK2/5NP1/8/8/5r2 w - -,g4g5
8/5pkp/p2R2p1/8/8/1r4P1/4PP1P/5K2 b - -,b3b1
2r3k1/5p1p/3p2p1/1R1P4/8/4P1P1/5P1P/1rq2QK1 w - -,b5b1
r1q2rk1/pp1nbpp1/2pp1n1p/4p3/1PP4N/1QNP2P1/P2BPPKP/1R3R2 b - -,f8e8
3r3k/p5p1/P6p/5R2/1Pp1r1P1/3p1R1P/8/6K1 w - -,f5f8
r5k1/p1r3pp/2pqb3/3pN3/1b2p3/PP2P3/1BQ2PPP/R1R3K1 b - -,b4a5
8/7p/5p2/2pkpp2/5P2/2RPK1P1/r6P/8 b - -,e5e4
6k1/3b1rpp/1Np1pq2/1rP1Rp2/3Q4/p7/5PPP/R5K1 w - -,g2g3
7r/R6P/6k1/8/6K1/8/8/8 b - -,h8h7
3r4/4kpp1/1prp4/p3P3/P5n1/BP1R2P1/3R1P2/6K1 b - -,e7e6
r4rk1/1p2ppbp/3p2p1/p1nP4/4PP2/6PP/PPRBK1B1/7R w - -,d2e3
b4rk1/p3nppp/1rP1p3/1P1pN3/8/8/5PPP/R1R2BK1 b - -,a8c6
rnbqkb1r/pp1n1ppp/4p3/3pP3/3P4/3B4/PP1NNPPP/R1BQK2R w KQkq -,e2g1
r3kn2/1pq5/p1p3pr/3pP2p/4Q2P/2N4R/PPP3P1/2KR4 w q -,d1d5
rnbqk1nr/4ppbp/2pp2p1/p2N4/Pp1PP3/2P1B3/1P1Q1PPP/R3KBNR w KQkq -,d5f4
2rrn1k1/2q3pp/pB2p3/np2p3/7b/P1NB4/1PP2QPP/4RR1K w - -,b6c7
3rk2b/pp3p2/2q3p1/2p1pb2/2P5/2B2NP1/PP1QPP2/R3K3 w Q -,d2e3
3r4/6k1/6pp/4Rb2/3r4/1PN3P1/2P3P1/2K1R3 w - -,e1d1
1r3rk1/p1qn1ppp/2pbpn2/1P1p4/P2P2b1/1QN3P1/1P1NPPBP/R1B2RK1 b - a3,c6c5
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/2N2N1P/PP3PP1/R1BQKB1R w KQ c6,c1e3:d4d5
r3k2r/3p1ppp/p1b1p1n1/1pq5/4P3/P1NBQ3/1PP2PPP/R3R1K1 b kq -,c5e5
5k2/1p3p1p/3p1p2/3P2p1/4P1Pb/1P3Q2/rqB4P/5R1K w - -,f3f6
8/1pk5/8/3K4/1P6/P7/8/8 b - -,c7b6
rn1qk2r/pb1pbppp/1p2pn2/2p5/4P3/1PN2N2/PBPPQPPP/2KR1B1R b kq -,d7d5
1b1r1rk1/1pq2pp1/p5p1/3p4/3N4/1PPQ1P1P/P5P1/R3RK2 b - -,d8c8
2r1k3/5p2/p3p3/qpr5/4P2P/P7/1QP3P1/1K1R3R w - -,h1f1
3qk2r/4bppp/pn1p4/1p2pP2/4P3/1NP1Q3/P1P3PP/1K1R2R1 w k -,d1d3
8/8/8/1Pk4p/4K1pP/5P2/8/8 b - -,g4f3
3rr1k1/2pR1ppp/1pn2q2/p7/8/Q1P1P2P/P3BPP1/3R2K1 b - -,d8d7
r4rk1/2qn1ppp/1pp2n2/p1b1p2b/P1N1P2N/6PP/1PPB1PB1/R3QRK1 b - -,f8e8
8/8/3R3p/p1p2p2/2P1b3/1Pk1K3/5P1P/r2B4 b - -,h6h5
1r3rk1/3bppbp/3p1np1/qp2n3/p2NP1PP/P1N1BP2/BPPQ4/1K1R3R w - -,c3d5
2r5/R1b2pp1/P1Pk4/3P4/8/5PB1/8/5K2 b - -,d6d5
5rk1/7p/p2q2p1/1p3pP1/2p2P2/5Q2/2P4P/4R1K1 b - -,f8d8
5k2/5p2/7p/ppp1PP2/3r4/R7/3bK2P/6R1 b - -,c5c4
2r2rk1/pb1nqppp/1ppbp3/8/2PPn3/1P3N2/PBQ1BPPP/3R1RK1 w - -,c2e4
2qrr1k1/1p2nppp/p1b2b2/2Pp1P2/3N1QP1/P1N4P/1P2RB2/1K2R3 w - -,b1a1
