8/8/7p/6p1/4k1P1/PR5P/5K2/r7 b - -,a1a2
2r1r1k1/1p3pbp/4q1p1/3N4/4Q3/P4NP1/1PR3KP/4R3 b - -,e6e4
r4rk1/p4ppp/q1p2b2/3b4/2pP4/1P2B1P1/P1Q2PBP/R2R2K1 b - -,d5g2
4r1kn/5pp1/1qNp1n1p/2PPp3/4P2P/1r2P1PB/RPQ2R1K/8 b - -,d6c5
8/4kp1R/3n1p2/2Kp4/7P/6P1/3r4/8 w - -,g3g4
r2qk2r/1p3ppp/p1n1bb2/1B1p4/8/2N1QP2/PPP3PP/2KR2NR w kq -,d1d5
5k2/p2b1pp1/2p4p/2N5/1r1P4/4r3/PP1R2PP/2R3K1 b - -,e3e7
1qr4r/3bbpk1/p2p1npp/1p2p3/1NP1P3/3QN1P1/PP1B1P1P/2R1R1K1 b - -,b8b7
8/6R1/4pP2/4P3/5r2/PK4p1/5k2/8 b - -,f4f5
r3k2r/pp2bpp1/8/2pP4/3Q4/2N2B1p/PP6/4RK1R b kq -,c5d4
2r2rk1/1pq1bpp1/p2pbn1p/P1n1p3/4P3/2N1BN1P/BPP2PP1/R2QR1K1 w - -,f3d2
5rk1/5pp1/p4q2/1p1P3p/1Q1R1nB1/2r4P/P4PP1/R5K1 b - -,c3c4
4rqrk/p4p2/1p3P1p/2pbP1pQ/3p4/1P1B3P/P1P4K/4R1R1 b - -,d5e6
6k1/1p6/p1p1p2p/7P/8/1P1PKP2/P7/8 b - -,g8f7
r2bk1r1/1b3p2/p1q1p3/2pNP3/2P3pp/1P2B3/P2Q2PP/2RR2K1 w q -,d5f6
5bk1/R7/7p/1p6/P1p5/5KP1/1P3P1P/4r3 b - a3,e1a1
6rk/7p/2pp2r1/p3Bp2/2P1nq2/PP5P/1Q4P1/1R1R1B1K b - -,d6e5
1r2kb1r/pp1q1p2/n1p1pp2/5b2/2PP3p/PQ2BN1P/1P2BPP1/2KR3R w k -,e2d3
2R5/8/5k2/1B3p2/3K4/8/8/r7 w - -,d4e3
2r1r1k1/1p1qbppp/4b3/pPp1p3/2PnP3/2NQB1P1/P4PBP/2R2R1K w - -,c1d1
RR3n2/5Pk1/6p1/P3p2p/8/6P1/r6n/4K3 b - -,h2f3
r2q2k1/pp3p2/4p1p1/3pb3/3P2Pr/8/PP1Q1P2/1KR1R3 w - -,d4e5
2bN4/p1r3kp/1p3R2/3p1P2/P3p1PP/1P2P3/3K4/8 w - -,g4g5
6k1/p6p/6p1/P2np3/1P1p4/5r2/2NK1P1P/6R1 w - -,g1g2
r2q1rk1/1p3ppp/p2pn1b1/3Np1b1/4P1P1/1B1Q1N1P/PPP2P2/R3R1K1 w - -,f3g5
6nk/7p/4P3/2pP4/3bQB2/7P/1q6/5B1K w - -,e6e7
rnbqkb1r/ppp1pp1p/3p1np1/8/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,f8g7
2rr2k1/p3q1pp/1p3p2/3p4/3QbN2/1P2P2P/P4PP1/2R2RK1 b - -,e7e5
r1bqk2r/pp2bp1p/2p1pn2/5p2/3P4/P1N3P1/1PP1NPBP/R2QK2R w KQkq -,d1d3
7R/8/4k1r1/4p3/4P3/5P2/5K2/8 b - -,e6e7
r6k/1pp3qp/3pb3/p1n5/2P2Q1N/1P2P1P1/P2R2BK/8 w - -,f4d4
r3nrk1/ppqN1p1p/3bp1p1/3p4/3P1PP1/2PB1Q2/PP5P/R1B1R1K1 b - -,c7d7
r5k1/p1q1bpp1/1p2p1np/1Qp1P3/2P5/5N2/PP3PPP/3NR1K1 b - -,a8d8
8/1p6/1p1Q1k2/4p2p/1P4r1/P4K2/8/8 b - -,f6f5
r1b2rk1/pp2pp1p/1qnp2p1/8/3BPPB1/2NQ4/PPP3PP/R4RK1 b - -,b6d4
2k4r/ppq2pp1/3np2p/4N2P/1QpP1P2/4R1P1/rPP5/2KR4 w - -,c1b1
r4rk1/1pqb3p/p1n1pbp1/3p4/P2P4/2PQBN1P/2B2PP1/R4RK1 w - -,e3h6
5k2/1N1K4/1b3p2/6p1/4P1P1/5P2/8/8 b - -,f8f7
2R5/8/8/8/8/2p5/2k1K3/8 w - -,c8c7
rn1qkb1r/pp3ppp/4pn2/3pNb2/8/1Q4P1/PP1PPPBP/RNB2RK1 b kq -,d8b6
1r2k2r/2q1bp2/2p1pp2/p6p/2P4B/1P6/P3QPPP/R4RK1 w k h6,a1d1
r1b1rbk1/1p3pp1/1qpp1n1p/p7/PnPNPQ2/BPN3PP/5PB1/1R1R2K1 w - -,a3c1
b5k1/3q1pb1/p2p4/3P4/6p1/1Q2n1P1/5PK1/1B5R w - -,f2e3
r3r1k1/1ppbqpb1/2n2npp/pB2p3/4P3/2P2N1P/PPNB1PP1/R2QR1K1 w - -,d1e2
5Q2/p5pk/1br3p1/3Rq3/P3P1P1/5P2/7P/3R3K b - -,e5c3
r1bqkb1r/1p1p2pp/p1n1pP2/3n4/4Q3/2P2N2/PP2BPPP/RNB2RK1 b kq -,d5f6
5r2/p1q1pk1p/2p1npp1/2p5/2P1Q2P/1PN1P1P1/P4PK1/3R4 b - -,f8d8
6k1/1bp2pp1/q3p2p/1p2N3/1PpP3n/2P2P1P/2QN1K2/8 b - -,a6a1
1r6/5knR/r2p1q2/2pPp1p1/PpP1Pp1B/5P2/1P2K3/6QR w - -,h4g5
3r1rk1/p3npbp/1pp3p1/2p1p3/2P1P3/2Pq1N1P/P2PQPP1/R1B1R1K1 w - -,e2d3
2r3k1/5pp1/pq3n2/3P2Bp/4p1nP/1N6/1PP1Q1P1/1K1R4 b - -,a6a5
8/3r4/pr1b1p2/3kp1p1/1BR3P1/P2PK3/2R2P2/8 w - -,d3d4
5nk1/b4pp1/p1qN2n1/1pp1P1N1/5PPp/1P5P/P2Q4/5R1K w - -,d2g2
3r1rk1/Qpp3q1/1n2pb1p/5b2/2PP2p1/1PN2N2/P1n1B1PP/3R1RBK w - -,f3e1
3kb3/2p1r3/6p1/2p1p1Pp/p1P1P3/2R2N1P/P4PK1/8 w - -,f3e1
r2qkb1r/1b1npp1p/p2p1np1/1pp5/4P3/2PP1N2/PPB2PPP/RNBQR1K1 b kq -,f8g7
8/8/5bk1/2Bp1rp1/p2p4/P2P4/2P1K3/6R1 b - -,f5f4
8/5k1p/6p1/p3r3/R1P1P3/2P5/6PP/6K1 w - -,g1f2
3r2k1/6pp/pR1pbr2/8/2P5/N4pP1/P3PK1P/3R4 w - -,e2f3
r3k1nr/pp3ppp/2n5/3q4/3Pp1b1/2P2N2/P3BPPP/R1BQ1RK1 w kq -,f3d2
4k3/7Q/3r4/4K3/8/8/8/8 b - -,d6c6
r4rk1/pb1nqpp1/1ppn3p/3p4/3PP3/2NB2N1/PPQ2PPP/R3R1K1 b - -,d6e4
r1bqkb1r/pp2pppp/2p2n2/8/2BP4/8/PPP2PPP/R1BQK1NR w KQkq -,g1f3
6k1/1p6/2p4p/2P2p2/2n3r1/8/6BP/5R1K w - -,g2h3
r2r1k2/n1p2pp1/bpq2b1p/p2Np3/P3P1P1/1NP4Q/1P3PBP/R3R1K1 w - -,e1e3
1rbq1rk1/2p1p1bp/3pp1p1/np1Pn3/1P1N4/2N3PP/P4PB1/R1BQ1RK1 b - b3,c7c5
r1b2rk1/p1q2pp1/1p2p3/2n3p1/1PP5/8/P1B1QPPP/R4RK1 w - -,b4c5
7r/6Qp/1P1pkpp1/2r1p3/2P1P2P/6P1/5PK1/8 b - -,c5c8
6b1/7k/p1p2Bq1/P3Q2p/1P5P/8/6P1/6K1 b - -,g8d5
2r3k1/2B2pb1/2RPp2p/5p2/2p5/6P1/5PKP/3rN3 b - -,c4c3
2r5/5kp1/pp1P1r1p/8/8/1PP1Rn1P/P4P2/R5K1 w - -,g1f1
r5k1/1b1nrppp/pq2p3/1pp5/3P4/2NBP3/PP2QPPP/2R2RK1 w - -,d4c5
r3r1k1/2q5/2bb1npB/p1n1p3/1pPpP3/1P1P2PP/4QP1K/1R1R1NN1 b - -,c7h7
rn1qkb1r/pbp1pppp/1p3n2/3p4/5P2/5NP1/PPPPP1BP/RNBQ1RK1 b kq -,g7g6
4k2r/3p1ppp/p3p3/4Pn2/5P2/1P4PP/P1q5/R1Q2KR1 b k -,c2d3
r1bqr1k1/pp2bp1p/4pnpB/n7/3P4/P1N2N2/BP3PPP/R2QR1K1 b - -,f6d5
2r3k1/p1rn3p/1pp1q1p1/3N1p2/3p4/1P1QPNP1/P1R2P1P/2R3K1 b - -,h7h6
r1b1k2r/2q1npp1/p1pb3p/3p4/3P1N2/1QN5/PP1B1PPP/2R1R1K1 b kq -,c7b7
r6r/2p2ppp/bppn1k2/8/8/1BP5/PP1N1PPP/R3R1K1 b - -,h8e8
5rk1/3n2bp/q3pnp1/2p5/P3p3/1P2BP2/3QN1PP/1R2K2R w K -,e1g1
7r/p1b1n3/B1p2k1p/P1P1p1p1/1P3p2/2B3P1/5P1P/3R2K1 b - -,e7d5
2kr4/p2nqp2/4p1r1/3pP1N1/1pnp1P2/6NR/PPP1Q3/2K4R w - -,g5f3
