8/7k/2R5/7P/7P/2p1K3/8/2r5 b - -,c1e1
r2qrk2/pp2b2p/2p1p1p1/3p2P1/3P1BN1/2P5/PP1Q1PP1/R5K1 w - -,a1e1
r1bq1rk1/pp3ppp/2n1p3/3n4/2BP4/P1P2N2/3BQPPP/R3K2R b KQ -,d8d6
2b1k2r/1p3ppp/2pbpn2/3p4/1n6/2N1P2N/1B1PBPPP/5RK1 b kq -,b7b5
r2q1rk1/1pp1bpp1/2n1bn1p/p2pp3/P3P3/2PP1N2/1PQNBPPP/R1B1R1K1 b - -,d8d7
2bqknr1/r3bp1p/2p1p1p1/1pPpP3/pP2PP2/6PB/PBQN1R1P/5R1K b - -,h7h5
r1r3k1/p2n2pp/1pppp3/1P3p2/P1PP4/4P3/1B3PPP/R2R1K2 b - -,c6b5
r4k2/6pp/1b3p2/2p1p3/bPB1P3/2K2PN1/6PP/4N3 w - c6,e1d3
rn2k2r/pp2qpbp/2p2np1/4p3/2B1P3/2N1BQ1P/PPP2PP1/R4RK1 w kq -,f1d1
r3r1k1/p1pn3p/2p2Ppb/2Pp4/1P1B1P2/4qN2/P5PP/2K1RR2 w - -,e1e3
4n3/4k3/2R1p3/4p1p1/2P1P1Pp/4KP1P/1r2B3/8 b - -,b2b3
2r2rk1/p2bp1bp/3p2p1/2p2p2/2P5/Pn1B1N2/RP1B1PPP/5RK1 w - -,f1e1
8/3n1k2/1p1B2p1/1P1K2P1/2P5/8/8/8 w - -,d5c6
3qQ1nk/rpNn3p/3P2p1/p1p5/2Pb1P2/1P5P/P5B1/2R2R1K b - -,d8e8
2r3k1/4ppbp/prnp2p1/q1p1P3/1p3P2/2PP2PP/PPQB2BK/1R2R3 b - -,d6e5
3r1r2/4n1k1/p1qp1p2/2p1p1pp/2P5/1P1QPPP1/P4NKP/2RR4 w - -,d3e4
r1b1k2r/ppp1qppp/2n2n2/2b1p3/4P3/2P2NP1/PP1N1PBP/R1BQ1RK1 b kq -,a7a5
r7/2k5/2p5/1p2R1NP/p7/P7/1P3P1r/1K6 w - -,e5f5
6R1/1b6/3Np3/4P2k/p2K2p1/Pr6/8/8 w - -,d6e8
8/1p5p/1n1k1pp1/p1p5/4PP1P/1PK3P1/PN6/8 b - -,d6c6
rn1qk2r/pbpp1ppp/1p2pn2/8/2PP4/2P1PN2/P3BPPP/R1BQK2R b KQkq -,e8g8
2r3k1/1R3ppp/4p3/2Np4/2nP4/r3P2P/5PP1/2R3K1 w - -,c1b1
2r1k2r/bp2npp1/p3p2p/n1q1P2P/2P1Q3/3B1NB1/P4PP1/2R2RK1 b k -,a5c6
3rk2r/p4ppp/qnpbpnb1/8/3P2P1/1PN4P/P1P1QP2/R1B2RK1 w k -,e2a6
r4rk1/1p2bppp/pqn1bn2/3p2B1/Q2N4/2N1P3/PP2BPPP/R4RK1 w - -,a4b3
8/p3Q3/5Pp1/2pk4/r7/2q4P/P7/5RK1 w - -,e7d7
r7/6pk/pn1rpp2/Np4p1/1P1P4/P5P1/4RP1P/2R3K1 w - -,a5b7
1rbqk2r/3n1ppp/p3p3/3pP3/p2Q1P2/2NB4/1PP3PP/R3K2R w KQk -,e1g1
6k1/3q2pp/b1p1p3/5r2/5P2/PPB1Q3/4PP1P/5RK1 b - -,d7d5
r1bq1rk1/p3npbp/1pn3p1/2pp4/5P2/2NPBNP1/PPPQ2BP/R4RK1 w - -,d3d4
8/8/ppBk4/1P1p4/1K1P4/4N3/8/r7 w - -,c6d5
3r2k1/pp3pb1/2p1qnpp/8/2R1P3/1P2B1PP/P4PB1/3R2K1 w - -,d1d8
2r3k1/pp3p1p/5bp1/3r4/2p5/2BPP1P1/PP3PKP/1R1R4 b - -,f6c3
6k1/5p2/5p1p/3pr3/br3N2/2b3PP/R1B2P2/5RK1 b - -,a4b5
3r1rk1/3nq1bp/p1pp1p2/4pPp1/2P1P2P/1P2BBP1/P3QR2/5R1K b - -,g7h6
r1b1r3/pp1k1pQp/3n4/q2P4/1n6/5N2/P2PPPPP/R3KB1R w KQ -,g7h7
1rbqk2r/4ppb1/p1np3p/4n1p1/1p2P3/1NN2P2/PPPQ1BPP/2KR1B1R w k -,c3d5
Q3kb1r/p6p/4bp2/8/1p2P3/8/PP2q1PP/R2R2K1 b - -,e8f7
2rr2k1/pb2qp1p/1p3np1/2bp4/3N4/3BPN2/PP2QPPP/3R1RK1 b - -,f6e4
r2q1rk1/pQ2bppp/1n2p3/3n4/1P1p4/P2B4/2PBNPPP/R3R1K1 b - -,e7f6
5k2/1p3p1p/2r2np1/p4P2/Pb3PnQ/3q4/BP4PP/R4R1K w - -,f5g6
8/p2p2pk/3B2rp/3QPnrq/8/R5RP/P4P1K/8 w - -,g3g5
6r1/pp3r1k/3p4/2p1bP2/6q1/2PP2Nb/PP1Q1PB1/R3R1K1 w - -,e1e4
8/r7/P5K1/8/8/5k2/R4P2/8 b - -,f3e4
5k2/7p/2p2np1/3p1p2/3q1P2/1P1B1KPP/P1P1Q3/8 w - -,e2e5
4r3/7k/8/p1pB4/P2KP3/8/8/8 w - -,d4c5
5R2/8/1r2pp2/5k1p/5P1P/3KR1P1/1r6/8 w - -,e3e5
4r1k1/R4prp/5R2/1p6/3Bp3/2P1Pb1K/5P2/8 b - -,h7h5
6k1/8/2p1p1K1/1p1p2P1/1P1P4/2P4R/6r1/8 b - -,g2e2
2r5/2k5/R1p3p1/4pn1p/2P1N3/4P1P1/5PKP/8 b - -,c7b7
4kb2/p2n1p1p/1p2p1p1/1P1p4/PBnP1PP1/3NP3/7P/3B2K1 w - -,b4f8
rnb2rk1/ppqn1ppp/4p3/2P5/1Q2P3/P1P1BP2/5KPP/3R1BNR b - -,b8c6
8/4p3/4Pkp1/2pP1p2/2Pb1P2/3B2Pp/1p1K3P/1Rr5 w - -,d2e2
2r1k2r/1q2b3/3pp1p1/p1n1p1P1/4P1Qp/2N4P/NPP2P2/K2R3R b k -,a5a4
r4rk1/p1qn1pp1/B1p2b1p/2Pp4/1P1P1p2/P1N5/3Q1PPP/R3R1K1 b - -,a8e8
r1bqk2r/5p2/p1pbp1np/3p1Pp1/1P1N4/1NP1B3/P5PP/R2Q1RK1 b kq -,e6f5
4r2k/1p4p1/p1bb4/P1pN4/2P1pPqp/4Q1P1/1P1R3P/6RK w - -,g3h4
8/1k4pp/4R3/1rP1p3/4P3/2K4P/6P1/8 b - -,b5c5
3r1k1r/pb4pp/1ppb1NB1/2q5/2p5/5QP1/P4P1P/2RR2K1 b - -,f8e7
3R4/5kp1/pp2p2p/r4p2/2r1N3/4P1P1/P4P1K/3R4 w - -,e4d6
1r3rk1/3bppbp/q2p1np1/n1pP4/P6Q/2N3P1/1P1NPPBP/R1B2RK1 w - -,e2e4
r1bq1rk1/ppp1n1b1/3p1n1p/2PPppp1/4P3/2N1BPP1/PP2B2P/2RQNRK1 b - -,f5f4
rn1qr1k1/p1p2ppp/bp1p4/8/2PPn3/P1P1PP2/6PP/RBBQK2R w KQ -,b1e4
1r3rk1/pbq5/2p1pbQ1/3pp3/5P2/4PNP1/PB3K1P/1RR5 b - -,c7g7
8/p4Rp1/7p/4pnk1/4B3/r7/6PK/8 b - -,g7g6
8/7k/p6p/1p3Npn/5p2/1P1r3P/5PPB/5K2 w - -,g2g4
2rrb1k1/4ppbp/6p1/pp2P3/3P4/P1N2P2/1P2BKPP/3R3R b - -,b5b4
4r1k1/5pp1/p2P4/1pN2b1p/5P2/1P5P/1P4P1/3R2K1 w - -,c5a6
8/1R3k2/8/5Kp1/8/P5r1/1P5p/8 b - -,f7e8
rnb2rk1/pp3pbp/2pp1np1/2q5/2PN4/P1N3PP/1P2PPB1/R1BQ1RK1 w - -,d4c2
r1b3k1/1p5p/p2n1qp1/3p4/3P4/1NPB4/PP4PP/5RK1 w - -,f1f6
3r4/p3kp2/1p4p1/2p1P1P1/2P2K2/r4B2/P1R2B2/8 b - -,d8d3
1r3rk1/p5pp/1pnppq2/2b2p2/2Pn1P2/1PNBQ1P1/PB3PKP/2RR4 w - -,e3e1
3r4/2p1bnkp/pp2pNp1/4P1P1/2P2R1P/2B1Pb2/P1B5/6K1 b - -,f3d1
rn1qkb1r/pb1ppp1p/1p3np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,e1g1:d2d3
8/7p/8/B4kb1/4p3/7P/6K1/8 b - -,g5c1
8/8/4k1p1/1p3p1p/1R2PP1P/1P2KP2/8/3r4 w - -,b4b5
2rq2r1/1p1bkp2/4p1p1/4P2p/p1pPNP2/Pn6/1P2N1PP/RQ3R1K w - -,b1e1
k2r4/r5bp/R4pp1/3p1P2/2nPp2P/2NnB1PB/P6K/1R6 w - -,a6a7
8/1pb4p/5k2/3p2p1/1r1P2P1/2p1P2P/2R5/2B2K2 w - -,c2c3
8/8/R4p2/3k3p/3P4/3r2P1/5P2/5K2 b - -,f6f5
1qr1r1k1/1b1nbppp/pp1ppn2/8/1PPNP3/2N1BP2/P2Q2PP/2RR1B1K b - b3,e7d8
r6r/p3kppp/3qn3/Qp6/1P2p3/P3B3/5PPP/R4RK1 w - -,a5b5
4R3/6k1/ppn2rpp/6P1/1PNp3P/P4P2/5K2/8 b - -,h6g5
