5k2/1R3b1p/6r1/p7/P7/3N2K1/3P3P/8 w - -,g3f4
2q4k/3b2bp/2p3p1/2p3Nn/2P1p3/6P1/2Q1PPBP/1R4K1 b - -,e4e3
rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 w - -,f3e5:b2b3
rnbqk2r/pp2bppp/3p1n2/2pPp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8d7:e8g8
r2q1rk1/5pp1/1np2np1/p7/PbB1N3/1Q1P1P2/1P4PP/R1B2RK1 w - -,c1e3
3Kb3/6B1/3P4/8/4k3/8/p7/8 b - -,e8a4
2r2rk1/p2q2p1/4p2p/1p1nP3/2PP4/PQ4B1/5PPP/2R2RK1 b - -,b5c4
r3kb1r/3q1p2/2p1p1p1/1p1pP2p/pPnP1P1P/P1Q3P1/2P2B2/R3RBK1 b kq -,c4b6
8/p2n2r1/2p1k3/2P2p1p/4p2P/P3P1P1/4BK2/6R1 w - -,g1c1
r1q2rk1/pb1n2pp/1p3b2/2pp4/4PP2/P5PP/1PQN1BB1/2RR2K1 b - e3,d5d4
R2bk3/7R/3r2p1/4p3/8/6KP/6P1/8 w - -,g3f3
6k1/p4p1p/1p4p1/4p3/2P5/1q3P2/5RPP/3R2K1 w - -,d1c1
6k1/6pp/p3bp2/1p2p3/1P6/3P2PP/4PPBK/2r3N1 b - -,c1b1
8/3k4/6K1/7P/3n4/2B5/4p3/8 w - -,h5h6
1r2qrk1/2pb1pb1/7p/2Q5/3p3N/2P3P1/P4PB1/2RR2K1 w - -,c3d4
r1b2rk1/pp1nqpp1/2pb1n1p/4p3/2BPP3/2N2N1P/PPQ2PP1/R1BR2K1 w - -,c1e3
rnbq1rk1/pp1pp1bp/2p2np1/5p2/2P5/1QN2NP1/PP1PPPBP/R1B2RK1 b - -,d7d6
r1bqkb1r/pppn2pp/2n1p3/3pN3/3P4/2PB4/PP1N1PPP/R1BQK2R b KQkq -,d7e5
6N1/8/p4p2/2p2K2/P1Pb2P1/1Pk5/8/8 b - -,c3b3
2rr2k1/pb3ppp/1q2p3/n3P3/1p1p1P2/P2R1NP1/1PP1NQKP/R7 w - -,e2d4
6k1/4pp1p/3p2p1/1q1P4/1p1QP3/1p3P2/P5PP/4K3 w - -,a2b3
1r2r1k1/2qn1pbp/ppn1p1p1/2p1P2P/2P1Q3/PP3NP1/1B3PB1/3RRK2 b - -,e8d8
8/p3rpk1/3n1n2/6p1/7p/3B1NPP/PP5K/5R2 b - -,e7e3
2kr1b1r/pbppqppp/2n5/2p1P3/2P5/PP6/1B1NQPPP/R2K1B1R w - -,d1c2
r1bq1rk1/1ppn1pbp/p2p1np1/8/P2BP3/2N3NP/1PPQ1PP1/R3KB1R b KQ -,f8e8
4r1k1/1pqb1pp1/5b1p/2Pp4/1P1P4/3Q1N2/5PPP/2BR2K1 w - -,c1e3
r2r2k1/pp1q1ppp/n1p5/2n1PP2/2P3Q1/4B3/P4PBP/1R3RK1 b - -,d7e8
5rk1/1p4p1/2bqpr1p/p2p4/P5R1/1PPQ1P1P/2B1R1PK/8 w - -,h2h1
8/3n4/p2bRrk1/1p1B2p1/2pB2P1/2P4R/PP1r3P/7K w - -,d4f6
r2q2k1/bpp2pp1/p1nprn1p/4p3/4P3/2PP1NN1/PP3PPP/R1BQR1K1 w - -,c1e3:d3d4
8/8/2K4R/4r3/3kn3/8/8/8 b - -,d4c4
r1b3k1/ppp1qppp/2n5/8/1b6/4nN2/PB1PBKPP/RNQ4R b - -,e3g4
r4r2/2nbNp1k/3p1P2/p1pPq1p1/1pP1P1P1/1P6/P2Q2B1/4RRK1 w - -,f1f5
3r2k1/1p3pp1/7p/pP6/q2p4/P1r1PPB1/4BP1P/Q4RK1 w - -,e3d4
2r2rk1/p6p/Pp1qP1p1/1Pnp4/3N4/4Q3/6PP/R2R2K1 w - -,e6e7
6r1/5k2/2P4p/b1KN1N2/1p4P1/3P4/2P5/8 b - -,f7e6
R7/2r3p1/1kPb1pP1/5P2/3pB3/3P4/4K3/8 w - -,a8d8
3r2k1/7p/3rp3/6p1/5n2/2Pq4/PP3Q2/2K1RR2 w - -,f1g1
3b1r1k/2q2ppp/6n1/p3PN1P/B2n4/2P3Q1/Pr4P1/R3R1K1 w - -,c3d4
6k1/7p/1P6/8/R3b3/4B1P1/1q3P1P/2R3K1 b - -,e4d5
2r3k1/3b2p1/1p2pr1p/pPn1n3/P1Pp2B1/5P1N/3N2PP/R1R3K1 b - -,e5g4
rnbqkb1r/2p1p1pp/p4p2/P2nP3/1ppPN3/2N5/1P3PPP/R1BQKB1R w KQkq -,c3a4
1r1r2k1/2p1npp1/7p/R2nP2b/1p6/1B3N1P/1PP2KP1/2B2R2 b - -,h5g6
1r3rk1/2qnppbp/2np2p1/1p2P3/1p3P2/3PB1PP/N1P2QB1/1R3RK1 w - -,d3d4
4kn1r/1brq1pp1/1p2p2p/p2pP3/Pn1P2Q1/5N1R/1P1B1PP1/1B2R1K1 b k -,f8g6
2kr3r/pp5p/3bPp2/2p5/2B2p2/4B1K1/PP4PP/2R5 w - -,e3f4
5k2/8/P1n1p1K1/3pP1P1/3n1r2/2R2P2/8/8 b - -,c6e7
r3k3/pp4p1/2p2nN1/6Br/7P/2b4R/Pp3PP1/3R1K2 b q -,a8d8
6r1/pp1b1k2/q2p1ppQ/4P3/2r3p1/1N3P2/PPP5/1K1R3R b - -,f6e5
8/1R4p1/4pbk1/4p2p/4PP2/6P1/6KP/8 b - -,e5f4
r1bq1rk1/pp2ppbp/2n3p1/3pP3/1Q1P4/4BN2/PP3PPP/R3KB1R w KQ -,b4d2
8/5k2/PN6/8/8/4b3/1pK5/8 w - -,a6a7
2Q1n1k1/5q1p/p5p1/1pp2pN1/7P/1P2P1P1/P4PK1/8 b - -,f7e7
8/4k3/4p3/p4q2/4R3/4R3/5PKP/8 b - -,f5g5
4r1k1/3n1pp1/1p5p/p1r5/P1P5/5P2/5KPP/R1RN4 w - -,d1e3
8/p4k2/7R/2p3p1/4N3/P2KP3/1P3PPP/3r4 w - -,d3c2
r4rk1/pp4pp/5q2/3pp1N1/5nnP/3P4/PPPQN3/1K3R1R w - -,g5h3
8/8/1b1npk2/6p1/5pP1/3K1P2/2N5/3N4 b - -,f6e5:d6f7
1q1r2k1/1b1B1ppp/3p1n2/2pP4/8/2Q2NP1/1B2rP1P/1R1R2K1 b - -,d8d7
r2qkb1r/pp1n1pp1/2p1pnp1/6N1/3P2P1/7P/PPP2PB1/R1BQ1RK1 b kq -,f8d6
r1bq1rk1/pp2ppbp/n1p2np1/8/3PP3/1QN2N2/PP2BPPP/R1B1K2R b KQ -,a6c7
r5k1/4B1p1/6P1/4pK2/5b2/5P2/2R5/8 w - -,c2c7
r3k2r/1b1p1ppp/1p1Pp3/p7/1PPB4/P7/3nBPPP/R4RK1 w kq -,f1d1
7Q/pp3q2/2p1p3/4kp2/8/P7/1PP5/1K6 b - -,f7f6
8/p1q1pk1p/1pn2p2/2pr1Pp1/2Q5/3P2P1/PR2P2P/5RK1 b - -,c7e5
6k1/1p2qp2/3p3p/BQ1P2p1/3bP1P1/5PP1/7K/8 w - -,b5c4
4r1k1/1p1bqpbp/p2p2p1/3P4/NP2rP2/R3B3/3QB1PP/5RK1 b - -,e4e3
r4rk1/1p2qpp1/1np3Q1/p3P3/5P2/8/BP4PP/R4R1K b - -,b6d5
rnb1k2r/pp2qpp1/2p1p2p/3p4/2PP4/1Qn1PN2/PP3PPP/R3KB1R w KQkq -,b3c3
1r4k1/6pp/p4p2/2pp4/2b5/RNP1P3/P2BrnPP/3R2K1 w - -,d1e1
r3n1k1/3nqpp1/rp1p3p/1N1Pp3/1P2P3/3Q1P2/6PP/1RBR2K1 w - -,c1e3
r4rk1/5pbp/p1Rp2p1/q1np4/P3PP2/3BB2P/2P2QP1/5RK1 w - -,e3c5
r3kr2/pbnq3p/1pN2np1/1P1p1p2/8/6P1/PBQ1PPBP/R2R2K1 w - -,a2a4
3q4/3r1pp1/1pQP2pk/p2R4/P5P1/7P/5P2/5K2 b - -,h6h7
r1bq1rk1/pp2bppp/4pn2/2p1N3/1npP4/2N1P1P1/PP3PBP/R1BQ1RK1 w - c6,d4c5
r3q3/p4kbp/2p1bpp1/2Bp4/3P2Pn/1PNN4/P1P2Q1P/2K1R3 b - -,g6g5
3n1bk1/2q3p1/2r1p2p/p2pP3/1p1P1NpP/1Pr1B3/P2RQPK1/3R4 w - -,e2g4
rnbq1rk1/p1p1ppbp/1p3np1/8/2PP4/2N2N1P/PP2BPP1/R1BQK2R w KQ -,c1e3
8/4kP2/1B1b2Pp/3P3P/2K5/8/8/8 b - -,e7f6
r4rk1/1pp1b1pp/P4p2/P2q4/3p4/3P2P1/4PP1P/1RBQ1RK1 b - -,a8a6
r3k1nr/pp1qbppp/2npp3/2p5/2PPP3/2N2N2/PP3PPP/R1BQ1RK1 b kq d3,c5d4
2r3k1/3q1ppp/p7/8/1P2Q3/P6P/3p1PPK/3R4 b - -,g7g6
2k2n1r/1r1qb1pn/pp1p1p2/2pPpP1p/P1P1P2P/2N3P1/1PQB1N2/2K3RR b - -,e7d8
