2R5/k2K4/8/2P5/8/8/8/1r6 w - -,c5c6
r1bqkb1r/1p2pppp/p1np1n2/8/P2NP3/2N1B3/1PP2PPP/R2QKB1R b KQkq -,f6g4
rn1qk2r/pbp1bppp/1p1p1n2/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQK2R b KQkq -,e8g8
5k2/6p1/2K1Qp1p/2P2P2/8/8/1q6/8 b - -,b2b4
1r1b3k/R5p1/p1r4p/P6P/5P2/R2B2P1/6K1/8 b - -,c6c5
3r1k2/p3Rppp/q1prnn2/8/N5P1/P2P3P/1PQ2PB1/5RK1 w - -,e7e6
8/1p3kb1/2p3pp/2r3p1/P2p4/3K3P/P1P2PP1/3NR3 b - -,b7b5
r4r1k/p5p1/5npp/qpQ5/2B1P2P/2p2P2/PPP3P1/2KR3R b - -,f8c8
r4rk1/1bq1bppp/pp3n2/2pp1N2/Pn1P1P2/2N4P/BPP3P1/R1BQ1RK1 b - -,f8e8
3r2r1/1pkn2p1/p3pp1p/7P/2P3P1/2B2P2/PP1R4/2KR4 b - -,b7b6
r2q1rk1/4bppp/pn1p4/1ppQ4/2P5/1P2P1P1/PB3P1P/R3NRK1 w - -,d5d3
rq1r2k1/pp1b1ppp/2nbpn2/8/1P1P1B2/P1N2B2/4NPPP/R2Q1R1K w - -,f4g5
8/1p3kp1/p7/7p/Pr6/5P1P/2BK2P1/8 w - -,d2c3
2k5/pp3p1p/1bp2p2/3r4/3PrP2/2BR2P1/PPKR3P/8 b - -,c8d7
r2rk3/1p2bp2/1qn1R1p1/p2p1B1Q/3p1p1P/P7/1P3PP1/2R3K1 w - -,e6g6
r1b1k1r1/4p3/p2p4/2pP4/4PpNn/P3bP2/NP2B3/1R1R1K2 b q -,c8g4
8/4k2p/p2n4/1p3P2/1Pp3P1/P1B1K3/8/8 b - -,d6f7
8/8/1R6/5k2/p1b2p2/P4P2/1P1r1K2/8 w - -,f2g1
1r4k1/5p1p/p3bnp1/q1b1p3/1p2P1P1/P2B3P/1BPQ4/K2R3R w - -,c2c4
2r2nk1/5p1p/1p1q1np1/pB1p2Q1/P2P4/2rNPP2/5PRP/6RK b - -,g8g7
2n3k1/3q1pp1/1p5p/3PQP2/4p3/7P/r5P1/1R1R2K1 b - -,c8d6
6k1/3b1q2/1p1p1ppp/p1pP4/P1Pb1PP1/1P4QP/2B1R1K1/8 w - -,g3f3
rnbqk1nr/4ppbp/p1pp2p1/1p6/2PPP3/P1N1B3/1P1Q1PPP/R3KBNR b KQkq -,b8d7
r2q1rk1/1p1b1pb1/2pp1npp/2nPp3/p1P1P1P1/2N1BQ1P/PP1N1P2/1K1R1B1R b - -,a4a3
r2qk2r/ppp1bppp/2n2n2/8/2Pp1P2/P6P/1P2BPP1/RNBQ1RK1 w kq -,b2b4
b3r1k1/5ppp/np1rp3/p7/2RPP1N1/P5P1/1R3PBP/6K1 b - -,f7f6
r2qk2r/pp1nbpp1/2n1p1p1/2ppP3/3P4/2P2N2/PP2BPPP/R1BQ1RK1 w kq -,c1e3
4rrk1/pbqn2p1/1p1pp1np/5p2/P1PP4/2PB1PB1/3N2PP/R2QR1K1 b - -,d7f6
2rqrbk1/1b3p1p/p2p1np1/1pnPp3/4P3/1P3NN1/P2B1PPP/1R1QRBK1 w - -,h2h3
2rq1rk1/1p1bbpp1/p3pn1p/4N3/1nBP4/1P3N2/PB2QPPP/R2R2K1 w - -,a2a3
2r2rk1/pb2q1pp/1p1n4/2pp1pN1/3P2PP/3BPP2/PPQ5/1K1R3R w - c6,g4f5
q2r3k/pb2n1pp/1pn5/4Pp2/1p1P4/PQ3BP1/5P1P/2R2RK1 w - -,f3c6
r6k/pp2q1p1/2bp1p1p/3B4/3PP3/1QP4P/P5P1/R5K1 b - -,a8e8
3k4/1r4p1/4p3/1PR1Pb1p/2B2P2/5KP1/7P/8 b - -,b7c7
3r3k/1pp3p1/4n3/p3Pq2/P1Q1R2P/6B1/1P3P2/6K1 b - -,d8d2
r3r1k1/pp1nbppp/2p1p3/3q4/3PQ3/5NB1/PPP2PPP/3RR1K1 w - -,a2a3
5r1k/2qb3p/1p1p2pb/3Bp3/1RPpN1P1/P2P3P/4QP1K/8 b - -,h6c1
r5k1/pp3b1p/1np2p2/5P1r/8/2N3P1/PP4BP/3R1RK1 b - -,g8g7
r1br2k1/1p2nppp/p3pn2/8/2N5/2N3P1/PP2PPBP/R2R2K1 b - -,d8f8
r2q2k1/6B1/1p2p3/p2p1rP1/2p5/2P1P3/PPQN1P2/R3K2R b KQ -,g8g7
r2q1rk1/p4p1p/1pb2bp1/3p4/3P4/2NB4/PPQ2PPP/3R1RK1 w - -,d3a6
r3k2r/1bq2ppp/pp2pn2/2b1N3/P1B1P3/1PN5/2Q2PPP/R1B2RK1 b kq -,c7e5
4k2r/1pr2ppp/pn1qp3/3pNb2/N2P4/1Q2P3/PP3PPP/R1R3K1 b k -,b6a4
B4k2/p4p2/2pNrn2/2Pp2B1/b2P4/1P3K2/8/8 b - -,a4b3
8/p2r1p1k/1p1P1n2/2p4b/8/1P2qN2/P2R1QP1/3R2K1 b - -,e3f4
r3r1k1/2b2ppp/b1p1qn2/2np4/p4P2/3P2N1/PBN1B1PP/2RQ1R1K b - -,a4a3
r4rk1/2qb2bp/2npp1p1/ppp1Pp2/5P2/PN1P1N2/1PP1Q1PP/1RB2R1K b - -,a5a4
5r2/8/4k1R1/p2pPp1P/1ppB4/5K1P/PP1b1P2/8 b - -,e6d7
8/8/1p4B1/p7/P7/1P2k3/2P1r1K1/4bR2 w - -,g2h3
r3kb1r/1pqb1ppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/2KR1B1R w kq -,g2g4
8/2p4p/pp1k2p1/5p2/PnP2P2/4K1PP/3N4/8 b - a3,d6c5
6k1/1p1b1p2/3R1Qp1/2p5/PpP5/1P6/2q2KP1/8 w - -,f2g3
8/5k2/2R2n2/5p1P/5N2/5PK1/8/r7 w - -,c6c7
8/5qk1/4p3/pB1pP1p1/Pp1P2P1/4P1K1/1P5p/2Q5 b - -,f7g6
8/1k2r3/8/1K1R4/P2N4/8/8/8 b - -,b7a8
r6r/1p1q1pkp/p4bp1/2pp1N2/P4P2/2P5/1P1P2PP/R1BQR1K1 b - -,d7f5
8/1p4pp/2p1kp2/p1n5/P1N1P3/1P1p1PPP/2P2K2/8 w - -,f2e3
rnbqk2r/pp1pbppp/4pn2/8/3p4/1P2PN2/PBP2PPP/RN1QKB1R w KQkq -,e3d4
5k2/3R2Np/4P3/5K2/8/3p4/8/4r3 b - -,d3d2
8/8/p5pk/3Q4/7P/1KP5/1P3qP1/8 w - -,d5d4
r1bqk2r/pp2bppp/2np1n2/1N2p3/2P5/6P1/PP2PPBP/RNBQK2R w KQkq -,e1g1
4k3/p1q2p2/4r1p1/1PpR3p/P1P4P/2Q3P1/5PK1/8 w - -,c3a3
1r4rk/5pp1/Rp3n1p/1Pp2P2/2PpP3/3P1NP1/8/R6K b - -,f6g4
r1b2rk1/ppbn2pp/2p1p3/2P2pq1/2NPp3/1P2P3/PBQ1BPPP/2KR3R b - -,b7b5
1r1r1n1k/2R3pp/p2P4/n3B3/8/P2P2P1/4PP1P/2R3K1 b - -,d8d7
1r4k1/4npp1/p2Nqn1p/1pP1p3/4P3/P3QN1P/5PP1/3R2K1 b - -,e7c6
8/8/4bkp1/8/p1pP3P/2R1KB2/Pr4P1/8 w - -,d4d5
8/8/8/3p4/p5K1/P3k3/1P6/8 b - -,d5d4
r1q1r1k1/pbpnppbp/1p1p1np1/8/2PP1B2/2N1PN2/PPQ1BPPP/R2R2K1 w - -,h2h3
8/3N4/4p3/5kpp/3p4/2r3P1/6K1/8 w - -,g2f2
r1bqkb1r/pp3p1p/2nn2p1/4p3/8/2Q2N2/PPP2PPP/RNB1KB1R w KQkq e6,f1e2
1n3rk1/1p1b1pbp/3p2p1/q2Pp3/2N1P3/P4P2/4B1PP/R2Q1RK1 b - -,a5c5
r1b2rk1/pp2ppbp/6p1/2p1P2n/1nP2P2/5N2/PP4PP/RBBNK2R w KQ -,c1e3
2rr2k1/pp1b1pp1/2n1p2p/8/1bBPNq2/5N2/PPQ2PPP/3R1RK1 w - -,c2e2
3qr1k1/r2n1pbp/b1pp2p1/8/1PpPPNP1/7P/PB1Q1RB1/R5K1 w - -,a2a4
8/4k3/1p2N1P1/p2B4/P2K3p/1P4rP/2P5/8 w - -,e6f4
r1bq1rk1/pp1nbppp/3p1n2/3Pp3/4P3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,d7c5
6k1/2p3n1/1p1p1r2/pP1P2p1/P1P3p1/6P1/4Q2P/6K1 w - -,e2e7
3k4/8/4p1B1/1b2P3/1pR2K2/1r6/8/8 w - -,c4c5
1r2nrk1/2nqppb1/p2p3p/2pPP1p1/P1p5/1P1B1N1P/5PPB/R2QR1K1 w - -,b3c4
r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R w KQ -,a2a3
r4rk1/1ppb1p1p/3p2p1/p2P4/N7/1P6/P1P2PPP/3RR1K1 w - -,a4b2
r7/2n5/1p2k1P1/3p4/3N1p2/1P6/6P1/3R3K b - -,e6f6
r4b2/pp2r2k/2p1bqp1/3PN3/Q2Pp2p/7P/PP3PPB/3RR1K1 b - -,c6d5
