8/4k3/3bpp2/8/2K3Pp/3N1R1P/8/1r6 w - -,c4d4
r1bq1Rk1/1p1n2b1/p3p1pp/2p1P1N1/2Pn4/2NB4/PP4PP/R1BQ3K b - -,d8f8
8/6R1/2p4p/1p1b2p1/p7/P3K1Pk/1P5P/8 b - -,h3h2
r1b2rk1/2q1pp1p/pp4p1/2pPp3/P1B1Pn1P/2N1Q3/1PP2PP1/R3R1K1 b - -,g8g7
rnbqk1nr/pp3ppp/2pp4/2b1p3/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq -,f2f4
5rk1/5p2/4P1pp/8/1KB1bP2/PP2Q3/3R4/2q5 b - -,f7e6
2b2r2/1p3k1p/p7/5p2/2PR4/1P3P1P/P5P1/6K1 w - -,g1f2
4rrk1/p1pb1qpp/2p1p3/2bp1n2/3P4/P1PN4/1P2QPPP/R1B2RK1 w - -,d3c5
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq c6,c1b2
1r3rk1/4nbbp/1p6/2p5/2P1NP2/1P1p1BPP/P4NK1/5RB1 b - -,b8a8
4r1k1/1p3pb1/p2p4/P2P4/1P3P2/3Q2nP/6P1/6K1 b - -,g3e2
r1bq1r2/4npbk/1pn1p1pp/p1pp4/2P5/P1NP1NP1/1P1BPPBP/1RQ2RK1 w - d6,c3b5
7k/1P4p1/5q2/8/1B2Q3/4P3/3K4/8 b - -,f6b2
8/5rk1/pp3q2/4pn1p/4Q1pP/P5P1/1PBR2PK/8 w - -,d2f2
r3kb1r/p2n1ppp/2p1p3/qp1pP3/2nP4/2NQ1P1P/PPP2P2/K1BR1BR1 b kq -,a8b8
2B1b3/ppk5/5n1p/2pp2p1/6P1/5PN1/PPP2K1P/8 w - -,c8f5
1k1r3r/pP4p1/2QNp3/7p/5p2/P3P3/2RPKPR1/1q6 b - -,f4f3
8/1k3p2/1pp3p1/5p2/7r/4B3/P4P2/K7 b - -,f5f4
1r2k2r/2q1bp2/2b1p1pp/3pP3/1pnP1Q2/3B1NN1/R4PPP/1R4K1 w k -,h2h4
2r3k1/5p1p/p1B1p3/4P1p1/4QnP1/1Pq3K1/P6P/5R2 w - -,f1f3
2r1k2r/1b3p1p/2n3p1/p2Bq3/Qp6/P5P1/4NB1P/1R3RK1 w k -,d5f7
r1bqk2r/pppnbppp/3p1n2/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1d3
r2q1rk1/p1p1b1pp/1nppp3/8/4P1Q1/2N3B1/PPP2PPP/2KR3R b - -,d8c8
r4rk1/pp1qb1pp/3ppn2/8/3Q4/1P4P1/PB2PPBP/2R2RK1 w - -,g2h3
2r1rbk1/1bqn1p1p/pp2p1p1/2p1P3/3PNP2/P1PB3P/1B2QRP1/R5K1 b - -,b6b5
8/p3kp2/1p2n1p1/r3p3/P3P1P1/1BP2P2/3K3R/8 w - -,d2c2
r7/2k5/pRp1p3/P1KpP2p/8/4P3/7P/8 w - -,b6c6
r3r1k1/1b1q1pbp/pp2p1p1/3pn3/P2P1PP1/2PB3P/1P3Q1B/R3R1K1 w - -,f4e5
2r1k1r1/1p1bn1pp/4pp2/p2pP3/P1qN1P1P/R1P3Q1/1P1BRKP1/8 b - -,f6e5
2rqk2r/1p1bppb1/p1np1np1/8/3NP2p/2N1BP1P/PPPQB1P1/1K1R3R w k -,f3f4
8/4k3/5p2/5K2/4P3/8/5P2/8 b - -,e7f7
5r2/ppk2r1p/2p3p1/3p1n2/3Pp3/1P2P2P/P4PP1/1K1NR2R b - -,f5h4
1rb2rk1/5q1p/p3pP2/4p1QN/1p6/7P/PPP3B1/3R2K1 b - -,f7g6
2rnk3/1ppqb1pr/p2p2N1/5p2/2P1P1B1/6P1/PP2QPK1/R1B2R2 b - -,f5g4
3nr2k/pp2r1qp/3p2pn/2pBPpNb/2P2P1Q/2PP4/P2B2R1/4R1K1 w - -,d3d4
5rk1/1p2p1q1/3p4/p2P1b2/8/5N1Q/PP4B1/6K1 w - -,h3h4
3q1rk1/R2npp1p/3p1np1/1QpP2B1/4P3/2P3P1/3N1PKP/8 b - -,g8g7
1n1q1rk1/1b3p1p/pp1r2p1/3PRB2/P2P4/1QN4P/5PP1/4R1K1 w - -,f5g4
1r1q1rk1/p3bpp1/b1p4p/n3pB2/5n2/P1NP1QN1/1PP2PPP/R1B1K2R b KQ -,g7g6
2r4r/pp2npk1/1np3p1/7p/3RP2P/5P1N/PPP1B1P1/1K5R b - -,c6c5
8/6p1/4pkR1/7P/1K3P2/6P1/8/2r5 b - -,f6f7
8/8/2n5/p4Bp1/Pp6/1P2k1K1/2P5/8 w - -,g3g4
r1bq1rk1/3n1pbp/p2p2p1/1pnP1PB1/2p1P3/P1N2N2/1PB3PP/R2Q1RK1 b - -,d8b6
r1br2k1/p2n1pb1/2p2qpp/4p3/2B1P3/2N2N2/PP3PPP/R2QR1K1 w - -,d1c2
r4rk1/1b2bppp/pp1qpn2/8/P2P4/2PB1N2/3BQPPP/R3R1K1 w - -,f3e5
rnbq1rk1/p4pp1/3p1b1p/2pPp3/2B1P3/2N5/PP1N1PPP/R2Q1RK1 w - -,c4e2
2rq1rk1/pb2ppbp/1pnp1np1/2p5/P2P4/2P1PN1P/1P2BPPB/RN1Q1RK1 w - -,b1d2
2r1r1k1/pp1b1ppp/1n1q1n2/2pp4/3P1N2/2NBPPP1/PP3Q1P/3RR1K1 w - -,d3f1
8/5k2/p1p2n2/P2p1p1p/3P1B2/4KP1P/6P1/8 b - -,f6h7
8/Pb6/1k4Kp/1P6/2n5/6P1/3pB3/8 w - -,g6h6
3r1rk1/1p5p/p1b1p3/2P1qpp1/PPB1p3/1Q2P3/5PPP/3R1RK1 b - -,c6d5
r1bqk2r/pppnbppp/3ppn2/8/3P1B2/3BPN2/PPP2PPP/RN1Q1RK1 b kq -,e8g8
r2q1rk1/ppb2ppp/2p2n2/3ppb2/B3P3/2PP1Q2/PP3PPP/R1B2RK1 w - -,f3f5
1r2r1k1/5pbp/p3p1p1/R2p4/5P2/3R1Q2/1PqN1BPP/7K b - -,b8b2
r4rk1/1p2ppb1/1qn1b1pp/p2nP3/2p1NP2/2P2NP1/PP2Q1BP/R1B2R1K w - a6,f1e1
r1q1k2r/pp1bppbp/2np1np1/8/4P3/2N3PP/PPP1NPB1/R1BQK2R w KQkq -,a2a4
r2qr2k/1p4bp/2p2pp1/p7/3PP1bP/3BPN2/P4QP1/2R2RK1 w - -,f2g3
2rr1k2/p2b1qpQ/7p/1p3p2/3B2P1/2PB4/PP5P/1K2R3 w - -,h7h8
r3qrk1/2pb2p1/1p1p1b2/p2Pp3/2P1BP1p/1P4P1/P3QN1P/4RRK1 w - -,f4f5
r1b2rk1/p4pbp/1p1q2p1/n1pPp1B1/4P3/2P2N2/P3BPPP/2QR1RK1 w - e6,f3d2
1r4k1/1q4pb/4pp1p/1P6/p1pP1P2/4PNP1/1Q5P/2R3K1 w - -,f3d2
5r2/1P6/3K4/5k2/8/8/8/8 w - -,d6c7
8/8/8/1K6/6qp/7k/5Q2/8 b - -,g4g3
8/2N5/8/p1bk4/P7/1P3p2/8/4K3 b - -,d5e4
r1bq1rk1/1pnpppbp/p5p1/4P3/2P4Q/2N2N2/PP3PPP/R1B2RK1 w - -,c1h6
r4rk1/ppq3bp/3pbnp1/2p3B1/2PpPN2/1P3PP1/P5BP/R2Q1RK1 b - -,e6f7
r5k1/ppp3bp/n2pN1p1/3P1r2/2P2pBq/2N5/PP3P1P/R2Q2KR b - -,f5e5
8/5p1p/4b1p1/8/6P1/p2R3P/2k1PP2/K7 b - -,e6c4
r1b2rk1/1pbnqppp/p1p5/2Pnp3/3PN3/P4N2/1PQ1BPPP/R1BR2K1 w - -,e2c4
4rk2/1bb2ppp/ppr2n2/1P2p3/P1N1P3/5P2/4BBPP/R2R2K1 b - -,a6b5
3b4/R2k4/4p3/8/Pr2NP2/3K4/P7/8 b - -,d7c6
r5k1/1p3p2/2p2bp1/p3p2p/Pq1nP2P/2NQ2B1/1PP2PPK/3R4 w - -,f2f4
r4rk1/1pp2ppp/p3b3/3pb3/B1PNn2q/5Q2/PP3PP1/RNB1RK2 w - -,d4f5
r1bq1rk1/p1p2ppp/2p2n2/3pN3/1b1P4/2N5/PPP2PPP/R1BQ1RK1 b - -,b4c3
r2q1rk1/ppp2ppp/2B5/3bp3/5n2/2PP1N1P/P1PB1PP1/R2Q1RK1 b - -,d5c6
r1bq1rk1/1pp2pp1/p1np1n1p/4p3/2P1P3/2PP1NP1/P4PBP/R1BQ1RK1 w - -,a2a4
4rnk1/pp1brppn/2pq3p/4NP2/2BP1RPP/2N5/PP4Q1/5RK1 b - -,d7c8
r2q1rk1/1p1nbppp/p2ppn2/8/2PNP3/2N5/PP3PPP/R1BQR1K1 w - -,b2b3
r3k2r/pp1b1ppp/1q2p3/3pPn2/1B1P4/5N2/PP2BPPP/R2QK2R b KQkq -,b6b4
1Bbqr1k1/4rpb1/p4np1/1ppP4/8/2N5/PP2BPPP/R2QR1K1 w - -,d5d6
1rb1r1k1/2q1bp1p/pp1p1npB/2pPp3/P3P1P1/R1NQ3P/1PP2P2/1R3NK1 b - g3,g8h8
1Q6/4Qpbk/6pp/4n3/4p3/6PP/1P2rPK1/8 b - -,e5c6
