8/7k/3N2p1/1P2P3/4P2p/6RP/6PK/r7 b - -,h4g3
8/5k2/3p4/pp3p1p/2r3bP/P1P1N1b1/1P1K1R2/5R2 b - -,g3f2
r4rk1/1p2bppp/3p1n2/1q2n3/p3PB2/5B2/RPP3PP/2NQR2K w - -,h2h3
6nr/2r1kpp1/Q3p3/1Bp4p/5q2/3P4/PPP2P1P/R4RK1 w - -,a6a8
2r4k/7p/p2p4/7P/1pnP1r1N/2P2P2/PP1K1P2/4R2R w - -,d2c2
2rq1rk1/pp1b2bp/5np1/3Pp3/n7/2N1BP2/PP1Q2P1/K2R1BNR w - -,g1e2
2kr3r/ppp2pp1/2qb1n1p/3p4/3P4/2N2Q2/PPP2PPP/R1B1R1K1 w - -,c1f4
3rrbk1/p2b1p1p/5P2/1pp1Q3/3pP2B/P6P/1PP3B1/R4RK1 b - -,e8e5
r3k2r/1p3ppp/2p2n2/p3qb2/Pb6/1QN3P1/1P2PPBP/R1B2RK1 b kq -,e5e6
2r2rk1/ppqb2bp/2pp2p1/3Pp3/2P1p3/PN2P1P1/1PQB1P1P/R4RK1 w - -,c2e4
r4k1r/pppb1p1p/1nn1p1pR/3pP3/3P4/2N2N2/PPP1BPP1/2K4R w - -,h6h7
6rk/5p2/pR1p3p/3P4/2P2RBn/4r3/PP6/6K1 b - -,e3g3
r2qr1k1/pppbbppp/3p1n2/8/3NPB2/2NQ3P/PPP2PP1/3R1RK1 b - -,e7f8
5r1r/4qpk1/p4Rp1/2p1P1N1/Pp1p4/1P1P2Q1/2P3P1/6K1 b - -,a6a5
r4r1k/pp1n3p/3q2p1/1Np2n2/2Qb1P2/7P/PP3BB1/R4RK1 b - -,d6f6
1n1qk2r/rb1pbppp/p3pn2/2p5/2P5/2N2NP1/P2PPPBP/1RBQ1RK1 w k -,d2d3
r2br1k1/p1q4p/1p2p1p1/2p1N3/2P1n3/1P1Q4/PBB2PPP/R5K1 w - -,d3e4
6k1/1p1n2pp/8/8/p1NP3P/1p3KP1/r4P2/3R4 b - -,b7b5
3rrbk1/p4ppp/6n1/2p1P3/qP1N1P2/1Q4B1/P5PP/1R1R2K1 b - -,a4b3
5r1k/4n1rp/2pNpqp1/1pP1R3/p2PQP1P/P5K1/1P5R/8 b - -,e7f5
4r1k1/1p1q1r1p/8/2PbBn1N/1P4p1/2Q1P2P/5RP1/4R1K1 b - -,g4h3
4rbk1/1q3ppp/pp1p4/8/P2Nr3/1P2nQ2/2R1RPPP/6K1 w - -,f2e3
8/7K/pr4p1/7p/7P/2k3P1/8/R7 b - -,c3d3
8/8/p4k1R/b2P1P2/1pK5/4p3/7P/8 b - -,f6f5
3r2k1/2q2pp1/1p3n1p/2p1pP2/1pB1P3/1P3PP1/P1Q4P/3R2K1 b - -,g8f8
1r6/p4p2/2n1pkp1/1p1r3p/P3RP2/1NP2KP1/1P2R2P/8 w - -,a4a5
2rr4/1pq1kpp1/p6p/3pPb2/5Q2/2P2B2/PP4PP/2KR3R b - -,f5e6
1kr4r/1ppbn1p1/1p5p/1N1pP3/1P1N1P2/6P1/P4K1P/2RR4 w - -,b5c3
8/pp2p1k1/8/6PQ/5K2/3b4/4r2P/8 w - -,h5f3
2rq1rk1/1p1nbppp/p2pbn2/4p3/2P1P3/N1N1BP2/PP2B1PP/R2QK2R w KQ -,e1g1
6r1/p2qnrpk/1pn4p/1RP4P/4pp2/2B3Q1/P1P2PP1/1R3BK1 w - -,g3h4
r1b1r1k1/ppqn1pbp/2p2np1/4p3/2P1P3/1P3N2/PBQPB1PP/RN3RK1 w - -,b1c3
5b1k/5q1p/3p4/3PpNQ1/4Pp2/5PpP/1PN3P1/r4BK1 b - -,f7a7
4rb1k/1p6/p1p1P2p/2P3pq/P1b5/5NQ1/5RBP/4R2K b - -,f8g7
r3nrk1/p1q2ppp/1n1bp3/1p3P2/2pPN1P1/2P2Q1P/PPB2R2/R1B3K1 b - -,c7d7
8/1p3RNp/1q3r1k/6p1/4pnQ1/7P/6PK/8 w - -,g7f5
2r2rk1/1pqnbpp1/p2p1nb1/2pPp2p/1PP1P1P1/P1NBB2P/3N1PK1/2RQ1R2 b - -,c7d8
rn1q1rk1/pp3pp1/2pb1n1p/3p1b2/3P3N/2N3P1/PP2PPBP/R1BQR1K1 b - -,f5h7
8/8/2n5/2kp4/7R/8/1KP5/8 b - -,c5d6
r3r1k1/1bq3pp/8/3P1P2/2PBp1Q1/pn2P3/Rp4PP/1B3R1K w - -,f5f6
rnbqkb1r/ppp2p1p/3p1np1/3Pp3/4P3/2PB1N2/PP3PPP/RNBQK2R w KQkq -,c3c4
2rq1rk1/pp2ppbp/n3bnp1/3P4/2p1P3/P1N2N2/1PQ1BPPP/R1B2RK1 b - -,e6g4
r1b2rk1/1p3pb1/1q1p2np/2pP2p1/1PPpP3/5N1P/2B2PP1/1RBQR1K1 w - -,b4c5
2k1r3/p7/1p2b3/2p1RqBP/6p1/1PQ5/P1P5/1K6 b - -,f5f7
2rqk2r/pp1nbppp/2n1p3/1B1p1b2/3P1B2/2N1PN2/PP3PPP/2RQ1RK1 w k -,b5d3:c3a4
8/R5k1/7p/5p2/4pP1P/6K1/6P1/5r2 b - -,g7f6
5k2/2p2p2/r4p2/2p5/2P2PbP/1P2RBP1/5PK1/8 b - -,g4f5
r1b2rk1/pp4pp/1qp1p3/3pP3/2PPp3/2Q1P3/PP1B2PP/R4RK1 b - -,c8d7
8/5k1p/2p5/3b4/4rP1R/1P6/4BK2/8 b - -,e4b4
3r2k1/2nrb2p/4b3/p1ppPpP1/1p6/1P2P1PP/PB2BK2/2RRN3 b - -,a5a4
r2qkb1r/4npp1/pp5p/2pp4/P2n4/1BNP3b/1PP2PPP/R1BQ1RK1 w kq -,g2h3
rnbqk2r/pp2ppbp/3p1np1/2p3B1/3PPP2/2N5/PPP3PP/R2QKBNR w KQkq c6,d4d5
5rk1/q1n1ppbp/p2p2p1/2pP4/P1B1PP2/3Q3P/2P1N1P1/1R4K1 b - -,f8b8
4r3/8/8/6k1/1PpP1p1p/7P/1P3KN1/8 b - -,e8b8
2rq1rk1/p2B1ppp/b2b1n2/4p3/3pP3/2N2N2/PP3PPP/R1BQR1K1 b - -,d8d7
7r/kb6/3BN1p1/p3P3/2PK4/5pr1/P3B3/1R6 w - -,e2f1
3rr1k1/1q2npbp/1pbpp1p1/p1p5/2PP4/PP2PPP1/1B1NQ2P/2RR1BK1 b - -,e7f5
2r2r1k/2qnbp1p/p2p2p1/1p1Pp1PP/4Q3/1N1BP3/PPP5/1K3R1R b - -,f7f5
2rb2k1/1R5p/8/pP6/P1pB4/2P5/6PP/6K1 b - -,h7h5
1kr4r/1p1bbB2/pq1ppp2/8/2n1PP1P/1NN5/PPP1Q1P1/1K1R3R b - -,h8f8
8/2p2p2/p1bpk3/5p2/1R6/1P6/2PK1P2/8 b - -,c6b5
3r2k1/p2r1pp1/1pR1p2p/3n4/3Pn1P1/P4PBq/1P2Q2P/2R3K1 w - -,e2e4
rnbq1rk1/p3bppp/3p1n2/2pPp1B1/2B1P3/2N2N2/PP3PPP/R2Q1RK1 w - -,f3d2
2rq1rk1/3bbppp/p1n1pn2/1p1p4/3P1BPP/2N1PP2/PP2NK2/1BRQ3R b - h3,f6e8
4r3/8/1R2pk1p/4p2K/3pP3/3P2P1/7P/2bB4 w - -,d1b3
1R6/pp2kpp1/4p1p1/1P6/3r1n2/1B3PK1/1P3P1P/8 b - -,f4e2
8/8/2p3p1/6Pp/5K1P/1p1k4/8/3N4 b - -,d3d4
8/6p1/q6p/2Q5/3P3P/6P1/k4PK1/q7 w - -,c5d5
8/2p2kp1/1p1brp1p/pP1R1N1P/P3P1P1/5P2/6K1/8 b - -,d6f8
3r2k1/2r3p1/pb2p2p/1p2Pp2/1PpP2qP/P1N1K3/3R4/Q4R2 w - -,f1f4
r1bq1rk1/p4pbp/1pn2np1/2ppp3/4P3/1PPP1N2/PB1N1PPP/R2QRBK1 b - -,f8e8
r3k1nr/p2q1pp1/2p1p1bp/2bpP3/Q7/2P3P1/PP1N1PBP/R1B2RK1 b kq -,g8e7
q4rk1/3nppbp/r2p1np1/2pP4/4P3/2N2N2/PP3PPP/1RBQ1RK1 w - -,d1c2
2rbk3/1pn3pp/p4p2/P1p5/2P1P3/6B1/1P2B1PP/3R2K1 w - -,e2g4
r6r/4Pp2/3p1Pp1/k1p5/p1P5/Rp1P2KP/1P2R3/8 w - -,g3g4
r1b4r/pp3k2/2p2p2/Pnn3p1/6P1/5NB1/2P1BP1P/2KR3R w - -,f3d4
2r3k1/1p3pp1/4bb1p/pP6/8/P3PQ2/1r3PPP/3R2K1 w - -,f3b7
r1b1k2r/ppp2ppp/2n5/2q1p3/4N3/1Q1PnNP1/PP2P2P/R1B3KR b kq -,c5c2
4k3/1p2rp2/6pp/1R6/3P2P1/7P/5KP1/8 w - -,d4d5
8/7k/P5p1/2q4p/4pp1P/4P3/5PP1/5QK1 w - -,e3f4
r2r2k1/pp1bqpb1/1np1p1pp/8/3PN3/P3PN2/BPQ2PPP/3RR1K1 b - -,d7e8
2rqr1k1/3b1ppp/1p3n2/pn1p4/3RP3/P1N2PP1/1P4BP/1QB2R1K w - -,c3b5
8/8/2p2kp1/p4p1p/2P1p2P/3r2PN/1K4R1/8 b - -,a5a4
8/pkr1bp1p/4p3/2p2p2/P1N5/1P2P1P1/2R1KP1P/8 b - -,e7f6
8/p2b1rbk/1p1q2pp/3Pp3/4P2P/4B3/P2Q2P1/2R1K1N1 w - -,g1f3
