8/5pk1/1R6/4P2p/5K2/6PP/8/4r3 w - -,b6b3
5k2/4b2p/p5p1/1p2R3/1P2N1P1/2P1qB1P/P5K1/8 b - -,e7d8
8/p7/1p3p2/r5pp/P1P1k3/1P2P1RP/4K3/8 b - a3,a5f5
r1bk2r1/pp1nqp2/3p1n2/2pP2p1/B1P1p3/2P1P1B1/P2KNPP1/R2Q3R b - -,d8c7
r2qk2r/1p1nbppp/p1p1pn2/3p3b/2PP1B2/2NBPN1P/PP3PP1/R2Q1RK1 b kq -,b7b5
1r1q1rk1/bppb2pp/p2p4/5p2/P1PP1BnP/2NQ2P1/1P3PB1/R4RK1 b - h3,h7h6
8/8/8/8/1kp3r1/5R2/2K5/8 b - -,g4h4
1r3rk1/p2bpp1p/3p2p1/2qP4/2pN4/2Q2P2/PPP3PP/2KRR3 b - -,f8e8
1r1q2k1/Q2b1p1p/1pp3p1/2n1N3/4Pn2/P1N4P/1P3PP1/3R1BK1 b - -,b8b7
rn1qk2r/pppbppb1/6pp/8/3PP3/Q1P5/P4PPP/R1B1KBNR w KQkq -,g1f3
1r5k/5R1p/R2P2p1/2p5/1pBbQp2/7q/1P6/6K1 w - -,e4d4
r1bq1rk1/2b1npp1/p1n1p2p/1p1pP3/3P4/2NQ1NP1/PP1B1PBP/R4RK1 w - b6,c3e2
1r3r1k/p3p1b1/3pnnpp/q1p2p2/2P1P3/P5P1/1BQN1PBP/1R3RK1 w - -,e4f5
6k1/b3q1r1/p6Q/P5P1/1P2B3/6P1/6K1/8 w - -,e4d5
4r2k/p5p1/2qp3p/3R4/5P2/6P1/4r2P/1Q1R2K1 b - -,c6c3
1rq1r1k1/1p2pn2/p4pp1/2P2n1p/P1R4P/2NP2P1/3QPPB1/1R4K1 w - -,d3d4
r2qkb1r/pp1b1ppp/2n1pn2/3p4/2pP4/2P2NP1/PPQNPPBP/R1B2RK1 b kq -,f8e7
8/5kb1/1Bp4p/5pp1/2b5/6P1/5NKP/8 w - -,f2d1
r1bq1rk1/pp2ppbp/3p2pn/4n3/2PN4/1P2P1P1/PB2NPBP/R2Q1RK1 b - -,a7a5
4r3/1p3k1p/1r1p2pB/1bpPpp2/p3P2P/2P2PP1/PP1R1K2/4R3 w - -,e1h1
r1b3k1/4b1pp/2rpp3/1N2n1P1/p3P3/B6B/2P2R1P/3R3K w - -,b5d6
5rk1/pp3ppp/1q2b3/8/3bN3/1P1Q4/P3BPPP/2r2RK1 w - -,f1c1
rn2kb1r/1bq2pp1/p2pp2p/8/PP1N2P1/4BP1P/NP6/R2QK2R b KQkq -,d6d5
6k1/5pb1/4p1p1/3nP2p/p2pBP1P/Pq1N2PK/1P6/2Q5 w - -,d3c5
r2q1rk1/4bpp1/p1R4p/3p4/P7/1P2BN1P/Q4PP1/5K2 b - -,d8d7
2k5/ppp5/3r1p2/7p/1P3P2/n1P3PK/4R3/8 b - -,a3c4
r2q1rk1/1p1nbppp/2p1p1b1/p7/PnNPPB2/2N3P1/1P2QPBP/R4RK1 w - a6,f1d1
r1bqr3/p3ppkp/2pn2p1/2pp4/5P2/1P1PP3/P1P1B1PP/RN2QRK1 w - -,e1c3
2r3k1/1p2pp1p/p2P2p1/3P3P/3Q4/P4P2/1Pq3P1/5RK1 b - -,e7d6
8/pbk3p1/1p2pp1p/4P3/1PPK2PP/5B2/P7/8 w - -,f3b7
2r1r1k1/p4p1p/1p2p1p1/4P1P1/5R2/4B3/1P2RPKP/2n5 w - -,e3c1
3q1rk1/1bppb1pp/1pn1p3/1NP2p2/1P1Pn3/4PN2/3BBPPP/Q3K2R w K -,a1b2
1r2k2r/p2qnp1p/3p2pb/N3p3/1P1pPPb1/P2P2P1/3QN1BP/R4R1K b k -,e8g8
r3k2r/ppqnppbp/2pp1np1/8/P2PP3/2N2B1P/1PP2PP1/R1BQ1RK1 w kq -,a4a5
r3r2k/4bpp1/3p1n2/1p1P1B1p/5N2/pP2q2P/P1PQ2P1/1K1RR3 b - -,e3d2
4r2r/p7/Pp1B1k2/1b2pP2/3p2B1/2pP3P/2P1R2K/R7 w - -,a1e1
rnbq1rk1/pp2bppp/5n2/3p4/2pP4/1P3N2/P1P2PPP/RNBQRBK1 b - -,c4b3
r3k2r/pppb1p1p/6p1/3qb3/Q7/B1P5/P3PPPP/3RKB1R w Kkq -,a4b4
6k1/5p2/4p1pp/bq2B3/p1pPP3/5P1P/1P2Q1P1/3K4 w - -,e5f6
2r2rk1/1p1bb1pp/1n2n3/3pPp1q/p2P1P2/2NBBN2/PPR2Q1P/2R4K b - -,h5g4
4r1k1/6pp/1BQP1n2/4p3/2P1p3/6Pq/5P1P/1R5K b - -,e8c8
2R5/3r1pp1/5n1p/8/2pk4/1p4PP/1P2KPB1/8 b - -,f6d5
rnbq1rk1/4bppp/p2p1n2/1ppP2B1/4P3/3B1N2/PP3PPP/RN1Q1RK1 w - -,a2a4
r5k1/q3pp2/3p2p1/3P3p/2Q1P3/7P/5PP1/2R3K1 b - -,a8b8
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
1qr2rk1/pb3ppp/1p1bpnn1/3pN3/3P1P2/P2BP2P/1P1N2PB/RQ3RK1 b - -,b8a8
1qrrnk2/1p3ppp/1Pbp2n1/1p2pN2/2P1P2P/2N2P2/3QB1P1/R2R2K1 w - -,c4b5
r4rk1/pp2ppb1/2n3pp/3P4/4P1b1/4BN2/q3BPPP/1R1Q1RK1 b - -,c6a5
8/8/1r1k3p/8/8/6P1/4R2P/6K1 b - -,b6b5
1r2r3/2nq2kp/3pb1p1/p1p2p2/P1Pp1P2/3N1BN1/3Q2PP/R1R3K1 b - -,b8b6
R7/6pk/1p2pq1p/3p4/1P2pP2/2r4P/6P1/4Q1K1 b - -,c3c4
8/1p4p1/3Pk2p/5p2/5B1P/1P3PP1/2p1rb2/2R4K w - -,h4h5
q4rk1/1pp2ppp/1p1pbn2/6B1/r3P3/P2P4/1P1N1PPP/R2Q1RK1 b - -,f6d7
2rq1rk1/4bppp/p1n1pn2/1p1p4/5B2/2NP1BP1/PP2PP1P/R1RQ2K1 w - -,a2a3
2r2rk1/pp3pp1/4qn1p/2b5/3N4/PbB1P2P/1P2BPP1/1QR2RK1 b - -,c5d4
8/p1k5/5K1p/4P2P/6P1/8/8/1q6 w - -,g4g5
2r3k1/ppp1Rrp1/3pRn1p/7P/2P3q1/P2Q2P1/1PB2PK1/8 w - -,e6f6
r2qk2r/1p3pp1/p1npb3/3Np1b1/P3P2p/2N4P/BPP2PP1/R2Q1RK1 b kq -,e8g8
5rk1/4bppp/3pn3/3qp1P1/4B3/1p2BP2/2p1QK1P/2R4R b - -,d5a5
8/8/2B1N3/k1K5/8/8/8/8 w - -,e6d4
r1b1k3/b4p2/p3p3/1p1p4/1Q1N1q2/2P2rpP/3N2P1/2R2K1R w q -,d2f3
r4rk1/pp1qbppp/1P2p3/3pPn2/N2P4/1Q2B3/5PPP/2R2RK1 b - -,e7d8
5rk1/6pp/4p3/2Pp1Q2/2r5/6PP/2R2PK1/1R6 b - -,f8f5
2r3k1/5pp1/pp1bpn2/3p3p/1PqP4/P2NPPP1/1B2Q2P/5RK1 b - -,c4b5
r4rk1/1pqnb1pp/3p4/pP1Ppp2/2P5/1N1QBP2/1P4PP/R4RK1 w - f6,a1c1
3n2k1/2p2pbp/p5p1/8/1p3B2/1PP4P/1P1N1PP1/6K1 w - -,f4c7
8/8/3pk1K1/5R1P/4P3/8/8/7r b - -,h1g1
r3kb1r/pp1npp1p/1qp2np1/5b2/3P1B2/1Q3N2/PP1NPPPP/R3KB1R w KQkq -,e2e3
8/R4p2/1pr1nkp1/7p/2B4P/3K2P1/P4P2/8 b - -,e6c7
r1q2rk1/p3pp1p/1p1p2pb/n1pP1b2/2P1n3/1PB2NP1/P2NPPBP/R1Q2RK1 w - -,c3b2
rn1qkb1r/pb1ppppp/5n2/2pP4/2p5/5NP1/PP2PPBP/RNBQK2R w KQkq -,b1c3
r1b2rk1/pp4bp/3q2p1/2pp2N1/3p1P2/3B2P1/PPP4P/1R1Q1RK1 b - -,c8d7
6r1/1p2kb2/2p2pp1/p1n1pP2/P3P1P1/1PN5/2PR1KBr/3R4 w - -,f2g3
2r1k2r/1q2bpp1/p2pbn1p/4p3/4P3/2NQN3/PP3PPP/R1BR2K1 w k -,e3d5
r6k/6pp/5bb1/N3p3/BP6/P3n1BP/8/K1R5 b - b3,e3f5
1r2r1k1/7p/pp1pq1p1/2p3N1/P2bpPn1/3R2P1/6B1/3QBR1K b - -,e6f5
3k4/p1n2p2/1pB1b1pp/2pNP3/2P5/1P5P/P2K2P1/8 w - -,d5f6
8/1p2k3/pPBp1p1p/3P1Pp1/1pP3P1/2nK3P/8/8 w - -,c6b7
r1bqr1k1/5pbp/p2p1np1/2pP4/R1n5/1NN3P1/1P2PPBP/2BQ1RK1 b - -,c4b6
5k2/5p2/4b1p1/p1rNp2p/3pP2P/2bP2P1/5PB1/R4K2 w - -,a1a2
8/1p3k1p/8/3pb3/P5p1/8/4KBPP/8 w - -,g2g3
3r2k1/1pq1bpp1/p6p/3p1Q2/8/P1P2NPP/1P3PK1/3R4 b - -,e7f6
4r3/5k2/R4pp1/4p3/6P1/5PK1/8/8 w - -,a6a7
8/8/5R1P/8/2r1pp2/5k1K/8/8 b - -,c4c1
