4k3/8/8/2R1pp2/8/5K1P/7r/8 b - -,h2h3
3r4/2R2pp1/p4k1p/1p2p3/4P3/1P2KP2/PP1r1P1P/2R5 w - -,c1c6
8/1p3bk1/p7/P1p2P2/8/5P1p/1P6/5K1R w - -,h1h3
3q1rk1/pp3ppp/4pb2/3p4/8/1Pr1PN1P/P1P1QPP1/1RR3K1 b - -,d8a5
6k1/6pp/p1r1ppb1/3p4/3P3q/1PN1Q1R1/P4PP1/6K1 w - -,c3d5
r4k1r/pp2bp2/1qn1b2p/3pPppN/3P3P/5N2/PP3PP1/R1BQ1RK1 w - g6,h5f6
8/1p4pp/p4p2/8/2k1n3/P2NP2P/1P3PP1/3K4 w - -,d1c2
6k1/3nq3/3p4/p1pPpPb1/PpP1R1N1/1P3B1r/1B2R3/6K1 w - -,g1g2
r2qk2r/pp2bppp/2p5/3pPb2/P4P2/2N1B3/1PPQ2PP/R4RK1 b kq -,e8g8
r2q1rk1/2p2ppp/p1np1b2/1p5b/P2pP3/1B3N1P/1PP2PP1/RN1QR1K1 w - -,b3d5
2r3k1/5pp1/1pq4p/2rp4/p6P/P2QP1P1/1P1R1P2/3R2K1 w - -,d3d4
8/2k5/P6p/1K4pP/6P1/1B6/8/6b1 b - -,g1a7
3r1rk1/pbq1bppp/8/2p1p3/PpP1P3/1P2B1P1/4QPBP/3R1RK1 b - -,d8d1
1r1q1rk1/3bbppp/p1pp4/n3p3/Pp2P3/3PB2P/BPPN1PP1/R2Q1RK1 b - -,e7g5
3r1rk1/1b4b1/3P2pp/2q2p2/2p5/2P2B1P/2QN1RP1/3R2K1 b - -,b7f3
r2qk3/pp2npb1/2p1pnp1/7r/3pP2P/3P2Q1/PPPBBP2/1NKR3R b q -,h5h7
3r2k1/p3b1p1/1p1rb2p/2p2p2/2P5/B3P2P/P3BPP1/2RR2K1 b - -,d6d1
r4rk1/1ppnq2p/n2pp1p1/p7/2P1P3/2N1Q3/PP2BPPP/3R1RK1 b - -,e6e5
1rb2r1k/7p/p2p3n/p1pP4/P1B1NP2/1P5P/5K2/4R1R1 b - -,b8b6
r5k1/1p3p2/6pp/1P6/2NN4/3nQ2P/5qPK/8 w - -,e3d3
r1bqr1k1/pp2bppp/2p2n2/3p2B1/3P4/P1NQ4/1PP1NPPP/R3R1K1 w - -,e2g3
r1b2r2/1ppn2bk/6pp/p4p2/1PBP3B/P1P1qN2/6PP/R2Q1RK1 w - -,g1h1
8/p4Rpk/1p5p/8/5n2/P5PP/1r6/5K2 w - -,g3f4
r2q1rk1/1bpn2bp/1p1ppnp1/pP3p2/2PP4/P1N1PN2/1BQ1BPPP/R4RK1 b - -,d8e7
8/5k2/4p1p1/1Bp3B1/1bP1P1PP/1K1b1P2/8/8 w - -,h4h5
4rr1k/2p2qb1/p2pb2p/1p1N1p2/2P2BP1/P3P2P/1PQ2P2/2KR3R w - -,g4f5
4r2r/5R1P/p1p5/3P3P/8/1P1k4/P2B4/3K4 b - -,c6d5
5k2/1p3q1p/p1b1p3/2BpP1Qp/P4P2/1Pb1P3/5K2/1B6 b - -,f8e8
r5nr/3p2kp/p2Bpp2/1p6/4b1Q1/2P5/P1P2PPP/3R2K1 b - -,e4g6
8/8/8/4Kpp1/6k1/R7/8/8 b - -,f5f4
4r1k1/R4p1p/2N3p1/2pp4/5Q2/8/5PKb/5B2 b - -,h2f4
8/1p6/p1b1k3/5n1p/PPR5/5p1P/5K2/8 w - -,c4c5
8/7p/3pk1p1/8/1p3bP1/1P1P1N2/5K2/8 w - -,f2g2
3B4/8/8/1p5p/1Pp4P/2P2k1n/3K4/8 w - -,d8e7
r3r3/1q3pkp/2bp2p1/p1p4n/2PpP3/1P1Q2P1/P2N1PBP/R3R1K1 w - -,e1e2
8/4nN2/4Pk1P/6p1/4R1P1/3p4/r4P2/4K3 b - -,f6g6
2r2rk1/1b3ppp/pqpbp3/1p6/3PB3/3NP3/PP3PPP/2RQ1RK1 w - -,d3c5
3R4/pr4pp/2k1Np1n/4p3/6P1/4P2P/P4PK1/8 b - -,b7e7
2br2k1/p4p2/3q1bn1/3p1pN1/3P1Pp1/1PP3P1/P1Q2KB1/4R3 w - -,c2e2
r2qk2r/1p2npp1/1np1p3/p3PbBp/2BP3P/P1Q5/1P2NPP1/R3K2R w KQkq -,e2f4
1r1qr1kb/4pp1p/2n2npB/1p1p1b2/1P1P4/2N2NPP/4PPB1/1RQ2RK1 w - -,b1b3
3rr1k1/ppq3p1/5bp1/1PPpNp2/P2Q1P1P/4R1P1/4R1K1/8 w - -,e3c3
r1bqk1nr/pppnppbp/3p2p1/8/3PP3/2N2N1P/PPP2PP1/R1BQKB1R b KQkq -,a7a6
r1bq1rk1/3n1pbp/p2p2p1/5P2/Np1pP3/3BBR2/PPPQ2PP/5RK1 w - -,e3h6
5k2/5p2/5n2/5P1p/3K1P1P/1B4P1/8/8 w - -,b3a2
6k1/5pp1/p2r3p/1p6/1b6/P4P2/2R2PKP/8 w - -,a3b4
6k1/5pp1/4p2p/8/1r1P4/3qP3/1r3PPP/R1R1Q1K1 w - -,a1a8
r3rbk1/1b2qp2/p4npp/1pp5/2n1PR2/2P1B1NP/PPB1Q1PN/5RK1 b - -,f8g7
1n3r1k/1p2RBrp/p2p4/5Q2/1PP2P2/8/P4qPP/4R2K w - -,e1g1
r3r1k1/6b1/p1pp4/2p1pPP1/2P3B1/4B3/PP6/5RK1 w - -,f5f6
r1bqr1k1/3nbppp/p2p1n2/1p1Pp3/4P2N/2N3P1/PP3PBP/R1BQ1RK1 w - b6,h4f5
r1b1kbnr/5ppp/p1p1p3/q2pP3/N2Q4/5N2/PPPB1PPP/R3K2R b KQkq -,a5b5
r3k2r/pp3p1p/1nbqp1pB/3nN3/3P2Q1/1B6/PP3PPP/R2R2K1 b kq -,h8g8
8/8/8/3R1pp1/2RP4/6k1/1p5r/1K6 w - -,d5f5
r1bbk2r/1p3ppp/p1qp4/3Np3/1Q2P1n1/4B3/PPP2PPP/2KR1B1R w kq -,d1d3
5r2/3q2bk/p2pP2p/1pp2p2/3p1P2/1P1P2P1/P2Q2BP/4R1K1 b - -,d7c7
rnbqkb1r/pp2nppp/4p3/2p5/2PP4/5NP1/PP1P1PBP/RNBQK2R b KQkq -,c5d4
8/8/5qk1/6p1/R7/4R3/5P2/6K1 b - -,g6h5
3r2k1/pp1rnppp/3p4/2p5/2P1P3/P4N2/1P1RKPPP/3R4 w - -,f3e5
r4rk1/pp3p1p/6p1/8/1q1n4/4RBP1/3PP2P/3Q1RK1 w - -,f3g2
6k1/R4pp1/3r3p/4r3/3N4/3KP1P1/P4PP1/7R b - -,e5f5
r2r2k1/1b2q1b1/3p4/pNpnnp2/2P1p2p/1P2P3/PB1Q1PBP/1R3RK1 w - -,c4d5
8/2B5/8/1p1k1p1p/2Pb1P2/3K4/7P/8 b - -,b5c4
r1bq1rk1/pp1n1ppp/2pbpn2/8/2pP4/2N3P1/PPQNPPBP/R1B2RK1 b - -,d7b6
2r1k2r/pp1bbppp/1q2p3/3pP3/3P2PN/3B4/PP3P1P/R1BQ1R1K b k -,e7h4
4r1k1/1p2qrbp/pBp3p1/P4pP1/3P4/4P3/6QP/4RRK1 w - -,f1f4
8/5p2/1kq1p1b1/2pn2P1/1p1p2Pr/pP1P1QNr/P1PB2R1/4R1K1 b - -,c6c7
r2q1rk1/pp3ppp/2nbb3/2pnp3/8/1P1P1NP1/PB1NPPBP/R2Q1RK1 b - -,f7f6
2r5/6k1/3pq1p1/1R2n2p/1PpQPp2/8/5PP1/3B2K1 b - -,e6f6
5rk1/1b2R2p/1q3bp1/pP1p1p2/P7/2pQ1PP1/6BP/1R5K w - -,b1e1
rnbqk1nr/ppppp1b1/7p/5pp1/3P4/6B1/PPP1PPPP/RN1QKBNR w KQkq -,e2e3
2r2rk1/p1q3p1/3bp2p/2n5/P1R2P2/B3Q3/5PBP/2R3K1 b - -,d6f4
8/8/5pk1/8/3RK1P1/5P2/8/1r6 w - -,f3f4
1k6/1b6/pp4Q1/2q4r/8/3B4/PPP5/1K1R1R1q w - -,g6g3
Q7/8/1Nbk4/3p4/3P4/5K2/8/8 b - -,c6a8
3r1k2/5p2/1p3Pp1/pP1pPb2/B1pP1K2/2P5/8/7R b - -,f8e8
8/8/3p1k2/p1pPp2p/1pP1Pn1P/1P4K1/P7/1B1b2N1 w - -,g3f2
rn1q1rk1/ppp2ppp/3pbn2/4p3/2P1P3/2P3P1/P2PNPBP/R1BQK2R w KQ -,d2d3
1r4k1/6pp/4p3/p2R4/3N1p2/1P3K2/5PPP/8 b - -,e6d5
3r2k1/pbq1pp1p/1pn3p1/2p5/2P5/1P2PN2/PQ2BPPP/3R2K1 w - -,d1d8
3r2k1/p3q3/1npp2pb/8/2b4N/8/P4P1P/1R2R1K1 w - -,e1e7
2k5/ppb2pp1/4p2p/8/2q4P/P1P3P1/1P3P2/2KQ2N1 b - -,c4e4
5nk1/p4ppp/5q2/3Q4/8/2r1PN2/P4PKP/1R6 w - -,b1d1
r3k2r/1b2bppp/pqnpp3/1p1nP3/3P4/P2B1N2/1P2QPPP/RNB1R1K1 w kq -,e2e4
3r2k1/3b1p2/1N1p1Pnp/p5r1/3pP1P1/P1p3K1/2P1B3/3R2R1 b - -,d7e6
rn1q1rk1/pp2ppb1/2p2npp/6B1/3P4/2PB1QNP/PP3PP1/R4RK1 w - -,g5f4
