8/1P6/2k2p2/1n1p4/5P1p/3K3P/8/4N3 b - -,c6b7
r3k2r/pppqnppp/2n5/3p4/3P4/P1Pb1Q2/2P1NPPP/1RB2RK1 w kq -,c2d3
r3r1k1/p2q1pbp/2p2np1/1p1pn3/5B2/2N1P2P/PPPQBPP1/R2R2K1 w - b6,a2a4
1n3r1k/6bp/p5p1/3R2N1/1r1p1P2/2qB2P1/Q6P/3R3K b - -,b4b2
2r1kb1r/1bqp1ppp/p3pn2/5P2/1p1B4/3BQ3/PPP1N1PP/2KRR3 b k -,f8c5
8/p7/1p1Pk3/1Pp3K1/8/PP6/8/8 w - -,g5f4
2krrb2/p1n4p/2p2p2/N1P1pb2/1PP3p1/N4P2/P2B1KPP/3R3R b - -,g4f3
3q1rk1/p2b1ppp/1r1b1n2/3pn3/3N4/2N1P3/PP2BPPP/R1BQ1RK1 b - -,d6b8
r3rnk1/1bq1bpp1/p2ppn1p/1p6/3P3B/1B3N1P/PPPNQPP1/3RR1K1 w - -,c2c3
rn2kb1r/pp2pppp/2pq1n2/8/2B5/2N3Q1/PPPPbPPP/R1B1K2R w KQkq -,g3d6
R7/5k1p/P5p1/1K6/6P1/7P/2r5/6b1 b - -,c2c7
1q1b2k1/5p2/R3p1p1/3pP2p/3Q4/2P1B1PP/5P1K/1r6 b - -,b8b5
r3r1k1/1b1n1pp1/p2q3p/P1bpp3/4P2B/2p2N2/1P1NQPPP/R1R3K1 w - -,b2c3
2r1k2r/pp3pp1/q3pb1p/1b1p4/1n1P1P2/2P2N2/PP1QNRPP/RB4K1 b k -,b4d3
r1br2k1/1pq2pb1/p1n2n1p/2P1p1p1/N1Q5/4PNPP/PB3PB1/R1R3K1 b - -,c8e6
r4rk1/1p1n1pp1/5n1p/p2pqb2/8/PP2PN1P/3NBPP1/2RQ1RK1 b - -,e5e7
1b2r3/1p1qrpk1/p1b1p3/P1PpRnQp/1P1P3P/2N3P1/5PB1/4R1K1 b - -,g7h7
r3r1k1/pp1bbpp1/3p1n1p/5P1q/2BQ4/2N3B1/PPP3PP/2KRR3 w - -,c3b5
8/8/8/p7/1k2n3/8/K7/8 b - -,e4c3
r1b1r1k1/p4pbp/2Np1np1/1PBPp3/2B4q/P1N4P/1P2QPP1/R4RK1 b - -,d6c5
4r1k1/rqpRbpp1/p1Q4p/4p3/4N3/1P6/P1P2PPP/3R2K1 w - -,d7c7
5r2/1kp5/1n5q/1P1r1p2/5Ppp/3B2P1/2Q2R1P/1R4K1 w - -,b1c1
8/5r2/2k2p2/p1p2Pp1/3bP1P1/1P1n1B2/6K1/2R5 w - -,e4e5
3rq2r/kpQ1bppp/pN2p1b1/8/2P3P1/7P/PP3PB1/R2R2K1 b - -,d8d1
r3k2r/ppp3pp/3p4/2bP4/2Qnq3/4N3/PPP2PPP/R1B2RK1 b kq -,e8g8
3rrnk1/ppqb2p1/3p1n1p/2pP1p1P/2P1pP2/BPN1P3/P2QB1P1/2R1K2R w K -,a3b2
r2q1rk1/pp2bppp/2n1pn2/2pp1b2/5P2/1P1PPNP1/PBP3BP/RN1Q1RK1 b - -,d8b6
r5k1/6pp/p7/4pn2/1R6/1P4P1/P1r4P/B3R1K1 w - -,a1e5
rn2kbnr/pp1bpppp/1qp5/4P3/2pP2PP/2N5/PP3P2/R1BQKBNR b KQkq -,d7e6
2rr2k1/1bqnbppp/pp1p1n2/4pN2/2P1PP2/1PN3P1/PB2Q1BP/3RR1K1 b - -,e7f8
7r/1R6/8/8/8/p7/k2K4/8 b - -,h8h2
r1r3k1/p1p2ppp/5b2/8/2P5/2P1B3/1P3PPP/R2R2K1 b - -,a7a6
1k1r3r/p1q2ppp/Ppp5/3n4/1P1P4/1Q3B1P/5PP1/2R2RK1 b - -,c7d6
5r2/1RR2p2/1p1rp1kp/p5p1/P5P1/1P5P/5PK1/8 w - -,c7e7
8/3R1p2/5Pp1/p1p1p1rp/8/kP5K/P7/8 w - -,d7f7
2kr4/2pbbp2/pn4p1/1p6/2p1PBP1/5PN1/PPPN4/2K4R w - -,h1h7
rn1qk1nr/pp3pbp/2p1p1p1/3p4/3PP3/2PB1Q2/PP1N1PPP/R1B2RK1 b kq -,a7a6
5b2/1pNq4/5nk1/2PP1Qpp/4Pp2/5P1P/2r2BP1/3K4 b - -,d7f5
8/1R4pp/p1p3kb/r7/2P3NP/3K2P1/P7/8 w - -,b7b6
r1qr2k1/p2p1ppp/2bBpb2/2p5/1nP5/4PNP1/PP3PBP/RQ1R2K1 w - -,a2a3
1r3k1r/2pbqpp1/B2p3p/3Pn3/1p1NQ1P1/4P2P/PPP2R2/2KR4 b - -,b8a8
8/4B2p/8/3p1p2/k2Pn2N/p5P1/2Kb3P/8 b - -,a3a2
R2R4/4r1pk/4bp2/2q1p1nP/4P3/2P2PQ1/PP5P/1K6 b - -,e6a2
8/1p1n1P2/p1n5/3k2N1/5K2/PPB5/8/8 b - -,c6d8
rnbqk2r/pppp1ppp/8/4P3/1bP1n3/5N2/PP1BPPPP/RN1QKB1R b KQkq -,e4d2
2r1r1k1/p4pp1/2p3qp/1p6/1PP1nR1P/P1Q1P2b/1B2BRP1/6K1 w - -,f4e4
1r6/5pk1/3p2p1/p2Np2p/4P2P/6P1/K1P2P2/5B2 b - h3,g7f8
4rr1k/q1pb2pp/1b1ppn2/1p6/1Pn1P3/P1QN1PP1/1B2N1BP/R3K2R w KQ -,b2c1
N5k1/3b2pp/p3p3/2Pn1p2/8/P3P1P1/1r3PBP/5RK1 b - -,b2c2
1R6/p2b1p1p/4k1p1/8/8/2PrBP2/P4PKP/8 w - -,b8b3
r4rk1/pp1nppbp/2np2p1/7q/2P1PP2/2NBBb2/PP3QPP/2R2RK1 w - -,g2f3
4r1k1/pp3p2/1p1P2p1/6np/6b1/1B1Q1P1q/PP5B/5RK1 b - -,g4e6
rnbq1rk1/p1ppbppp/1p2pn2/6B1/3P4/3BP3/PPPNQPPP/R3K1NR b KQ -,c8b7
r1bq1rk1/1pp3bp/6p1/p1pPpp2/2P1P1B1/2N5/PPQ2PPP/R3NRK1 b - -,f5g4
r1bq1rk1/1pbn2pp/2p1pn2/p1Pp1p2/3P1B2/2N2NP1/PP2PPBP/1R1Q1RK1 w - -,c3a4
1r1q1rk1/4n1bp/2npbpp1/1p1Np3/1pP5/3P2P1/2NBPPBP/1R1Q1RK1 w - b6,c2b4
r1b2rk1/pp5p/6pQ/4R3/3p3P/P2B4/1PP2qP1/R5K1 w - -,g1h1
r1bq1rk1/pp2bppp/2n1p3/3n4/3PN3/8/PPB1NPPP/R1BQ1RK1 w - -,a2a3
5rk1/5pp1/2Bb1n2/P2P1q2/1p2p2p/4P1PP/P4PK1/2RQ4 w - -,a5a6
8/4kp2/1K2p3/p1p3pP/4B1P1/8/4P3/8 w - -,b6a5
1k2r3/8/B4R2/2KP4/8/p4p2/1r6/8 w - -,a6b5
r1b1kb1r/1pq2ppp/p1nppn2/8/4PPP1/PNN2Q2/1PP4P/R1B1KB1R b KQkq g3,b7b5
1q6/p6k/5p1p/2p4N/2B2PR1/2P3K1/PP6/8 b - f3,b8d6
2r3k1/R5p1/3B1p1p/2Pb1P2/5PP1/6K1/8/8 w - -,g3h4
6k1/p4pp1/2B4p/1p2Pb2/8/5N2/Pb5P/7K b - -,b5b4
2rqr1k1/1b3p1p/pp3np1/2npb3/8/1PN1P1P1/PB2NPBP/1QRR2K1 w - -,b3b4
r3rnk1/1b3p1p/p2p1qp1/P1pP3n/1p2P3/3B1N2/1P1N1PPP/R2QR1K1 w - -,d2c4
8/7k/p2q1p2/1p1r3p/1P2RQ1P/8/5P1K/8 w - -,f4d6
8/8/3kp1p1/6P1/1p1PK3/1P6/8/8 w - -,e4e3
5rk1/1b3qpn/p2p2r1/2pPpNp1/P1p1R1PP/2P2P2/5RK1/2BQ4 w - -,h4g5
r1b1r1k1/2qn1ppp/1p1bpn2/p1ppN3/2PP1P2/PP1BPQ2/1B1N2PP/R4RK1 b - c3,c8b7
5r1k/1p2Nr1p/n1pQ1Pp1/p1q1p3/P3P3/1P5P/2PR1P2/3R2K1 b - -,f7f6
2r1r1k1/1RPq1p2/1Q1p3p/6p1/8/6P1/5PP1/3R2K1 b - -,e8e6
6r1/3rpk1p/2pPR1pP/pbP5/1p1Q4/1P6/P4PP1/6K1 w - -,d4e5
r1bq1rk1/pp3ppp/2np1n2/4p3/2PPP3/N5P1/1P2NPBP/R2Q1RK1 b - -,f8e8
6k1/p2r1p2/1p1qp1p1/3n3p/1P2BP1P/P3Q1P1/2R2PK1/8 w - -,e3f3
5bk1/4np2/4q1p1/1p2p3/2p1B3/2P4P/1P1BQPP1/7K w - -,g2g4
2r3k1/p3qp1p/6pB/1bN5/1P1bB3/4QP2/P3nPK1/4R3 w - -,e3g5
8/3k1p2/1p2p3/p2p1n2/P2P1P2/bP1KPBn1/N7/4B3 b - -,d7c6
r2q1rk1/1b2ppbp/ppnp1np1/2p5/P1P1PP2/2NP2P1/1P4BP/R1BQNRK1 b - a3,f6d7
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq d3,d8b6:c5d4:f8e7:h7h6:c5c4
1rbqk1nr/p2pppbp/2p3p1/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 w k -,c2c3
2r2rk1/p2Q1ppp/q7/2pb4/8/1P2P1P1/P4P1P/R3R1K1 w - -,d7d5
1qr2rk1/1p1bbppp/p2ppn2/8/P1P1P3/2N1BP2/1P1QB1PP/R4RK1 b - -,d7c6
