8/3n4/P2p4/3P1k2/R1p2P2/7r/5KN1/8 b - -,c4c3
8/8/2k2Bp1/5p2/8/4KP2/1P1n4/8 b - -,d2c4
2rr2k1/pp2b1pp/2n1qp2/2pnp3/2N5/PP1PPNP1/1B2QP1P/2R1R1K1 b - -,b7b5
8/8/2k5/3p4/8/1nBK4/8/8 b - -,b3c1:c6c5
2r5/3bn1k1/prnq2pp/1pp1p1Q1/2PpP3/1P1P1NP1/P5BP/1RR2NK1 w - -,g5d2
rr4k1/5p2/P2p2pb/1N1Pp3/4P1nq/3Q2N1/5PP1/RR4K1 b - -,h6e3
rnbq1rk1/4ppbp/p1p2np1/1p1p4/2PP4/2NBPN2/PPQ2PPP/R1B2RK1 w - b6,c4d5:b2b3:c4c5
r4rk1/3b2pp/1ppp1n2/2n1pp1q/2P5/P2PP1P1/2QBNPBP/R4RK1 w - -,f2f3
r4rk1/ppp2q2/3p1b1p/3Ppbp1/1PP2nN1/3Q3P/PB3PP1/R4RK1 w - -,d3f5
r1bq1rk1/pp1nbppp/3p1n2/2pP4/8/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,a8b8
r1bq1rk1/pp3ppp/2n1pn2/2bp4/2PN4/2N1P1P1/PP3PBP/R1BQ1RK1 b - -,c5d4
8/1Q2bk2/4pp1p/pp6/2q2PPP/2P5/PP6/1K1R4 w - -,f4f5
r1bq1rk1/pp2bpp1/2n2n1p/3pp3/7B/2P1PN2/PP1NBPPP/R2Q1RK1 b - -,e5e4
r4rk1/1p2n1pp/2bq4/p2pNp2/3P4/P2BP3/3Q1PPP/R1R3K1 w - -,f2f4
rnbq1rk1/2p1bppp/1p1p4/p1nPp3/2P1P2P/P1N1BNP1/1PQ1BP2/R3K2R w KQ -,f3d2
1nr3k1/4npp1/pp2p2p/3pP3/P2P4/1P2RNP1/N4P1P/6K1 w - -,e3c3
r5k1/5ppp/1q2pn2/2b1n3/1p1pP3/3P2PP/1P1BBP2/N2Q1RK1 b - -,c5f8
8/6p1/p3k3/1p5P/1P3K2/P7/8/8 w - -,f4g5
8/p3k1bp/1p4p1/2pPq1P1/2PpB1Q1/1P5P/P5K1/8 w - -,e4d3
r2r2k1/1bq1bppp/p1p2n2/4pP2/3pP1P1/P2B1Q2/1PP2B1P/1N2RRK1 b - -,f6e8
5k2/3b4/pB2p3/3pP2p/3Pp2P/1P4P1/P3PK2/8 w - -,a2a4
8/4k3/2K2n2/5B2/8/2B5/8/8 w - -,c3b4
2r5/1p3pp1/pB1nk2p/1b1p4/8/1P2PP2/P5PP/1BR3K1 w - -,c1d1
3k2N1/1p2R3/p2n4/2p2p1N/2P5/8/PP1K4/6r1 w - -,h5f6
6k1/3q3p/3nrpp1/p2p4/2nP3Q/P2B1PBP/6P1/5RK1 w - -,f1b1
r2r2k1/1pp2pp1/2n1b3/p1q1p1pB/P3P3/2P1N2P/1PQ2PP1/R2R2K1 b - -,d8d1
8/1p1K4/8/1P5p/8/7k/8/8 b - -,h5h4
r4k1r/pp1b1pp1/2n1p3/3pPn1p/q1pP1Q2/P1P2N2/R1PBBPPP/5RK1 w - -,f3g5
8/5k2/6p1/1q1p1p2/3P1P2/1pQ1P3/P7/2K5 w - -,a2b3
r4rk1/pb1nqppp/1p1b1n2/2p1p3/2BPP3/1P3N2/PBQ1NPPP/R4RK1 w - -,d4d5
3rr3/5bkp/1p4p1/p1p5/3bB3/1P2BP1P/P4KP1/2R1R3 w - -,h3h4
r1bq1rk1/ppp2ppp/2n5/3pP3/3P4/5N2/PP1bBPPP/R2Q1RK1 w - -,d1d2
8/1b6/p1n3pp/1p3k2/4p2P/P3K1P1/1PB2P2/3N4 b - -,c6a5
2r1b1k1/1p4pp/4p3/pP2n3/4P3/P1N3PP/4N3/5RK1 b - -,a5a4
8/3QNkp1/4q2p/2P4P/8/p1P3P1/5P2/4n1K1 w - -,d7a7
r4r1k/p3Nppp/b7/3q4/P7/4P3/3P1PPP/2R1R1K1 w - -,e7d5
4R3/8/8/6pp/4p1k1/6P1/1r2KP2/8 w - -,e2f1
8/8/3rp1p1/1R1pkp2/4R2P/6P1/6K1/8 b - -,e5e4
rn2k2r/pp2bpp1/1qp1pn2/3p2p1/2PP2P1/1QN1P2P/PP1B1PB1/R3K2R b KQkq -,b8d7
8/8/5R1k/1B2PP1p/P6P/1K6/8/2q5 b - -,h6g7
7q/p2r1k2/p3pp2/2Q5/1R6/2P1PP1p/P4P2/6K1 w - -,g1h2
r2q1rk1/1p3pp1/3bb2p/p1p1P3/3p4/PP4P1/1BQ1PPBP/R4RK1 b - -,d6e5
r3rk2/pp1b1p2/2p4p/2npPP2/8/2NBP1RP/PP5K/6R1 w - -,f5f6
4qrk1/8/6r1/p2PN3/1b1QPPpp/1P4P1/8/2R2RK1 b - -,g6g7
r1b1kn1r/pp2bp2/1qn1p2p/3pP1p1/3P4/1P2BN2/P1B1NPPP/R2Q1RK1 b kq -,c6b4
r3k2r/4p2p/p1p5/4P3/3R2P1/4B2P/bP6/2K4R w kq -,c1c2
8/6k1/5p2/1nK4p/5Pp1/1p6/1R5P/8 b - -,b5c7
8/1R3pk1/6pp/4N3/1Pbp1P1P/6P1/2r5/6K1 w - -,b7d7
8/3bQ3/3P2k1/5r2/p2K4/8/P7/8 b - -,f5f7
5r1k/7p/R2pBp2/4pP2/2p2n2/2P1Q1RP/1r1q1P1K/8 w - -,e3d2
1q1n2k1/3br1bp/p2p1ppn/2pP4/2P1PP2/2BN3P/P1QN2BK/1R6 b - -,b8c7
2r5/1r1kpp1p/p2p2p1/3P4/RP1N1P2/4BKP1/7P/8 b - -,c8c4
3r2k1/2q1b2p/2n1p3/p1p1Ppp1/NrNn1P2/1P2B1P1/P2R1Q1P/4R1K1 b - -,g5g4
1b6/4k1pp/1p2pp2/n1p5/NnP2P2/1P2P1P1/1B1NK2P/8 b - -,b8c7
3rb3/4N1k1/3PPR2/pP4Pr/P4B2/2p5/6K1/8 b - -,c3c2
4r3/pp1bPk1p/6p1/n7/8/2r3P1/PR3PBP/3R2K1 w - -,d1d7
r6r/pb1k3p/1qp1p1p1/1p1nBp2/PbpP4/2N1PB2/1PQ2PPP/R4RK1 b - -,h8f8
1nbqnrk1/r5bp/pp1pp1p1/2p3N1/P1B2P2/2N5/1PP3PP/R1BQ1RK1 w - -,c4e6
r3k2r/1pqb1p2/p2Rp3/2P5/5Qp1/PN6/6PP/R5K1 w kq -,d6e6
8/5pk1/6pp/4p3/3qP3/2nB2P1/2Q2P1P/5K2 w - -,f1g2
r6k/3Q4/p2p4/3P1pB1/1pp5/8/PPr3PP/7K b - -,a8f8
8/5K1N/3k4/8/8/8/6r1/8 w - -,h7f6
8/pp6/2p2k2/5pp1/2PP1n2/PP3P2/5K2/5B2 w - -,f2e3
1R4b1/6kp/6p1/8/1p1r1p2/5B1P/5PPK/8 w - -,b8b7
3b4/7R/p1k1p3/4p3/1PP2P2/2P1B2p/1K6/7r w - -,f4e5
r1b2rk1/pp3pp1/4pn1p/q1b3B1/7P/2PB1N2/PP2QPP1/R3K2R b KQ -,f6g4
5k2/1p5R/2p1P1p1/1r2P3/p4K2/6P1/5P1P/8 b - -,a4a3
2rr4/4kp2/1p1pn1p1/p2Rp3/2P1P2p/1P2KP1P/P5P1/3R1B2 b - -,c8c5
3r4/p2bq1k1/1p1p1ppr/2n1n3/3NP3/4R1Q1/P1P1B1P1/B2R2K1 w - -,d4f5
1nr1k2r/1p2b1pp/pq3p2/1b2pPP1/1B1pP2P/P2B2N1/1PP2QK1/R6R w k -,b4e7
rnbq2k1/ppp1prbp/6p1/3p4/3P4/5NNP/PPP2PP1/R1BQK2R b KQ -,b8c6
2bkr1r1/p1p2p2/1p1b2pp/2nPp3/2P4P/6P1/PBPN1PB1/1K1RR3 b - -,c8f5
r2r2k1/pp3pp1/3Bpb1p/2Pp4/qP1P4/3Q2P1/P4P1P/R3R1K1 w - -,a2a3
r1b1q2k/6b1/pBP2nn1/3Pp2p/4P1Pr/5Q1P/P3BNP1/1R3RK1 b - -,h5g4
8/pp3pk1/2p3p1/7p/3q1r1P/1B1nQP2/P5K1/7R w - -,e3d4
1qr1r1k1/3bbppp/p2pp1n1/B7/2PNB3/1P4P1/3QPP1P/2RR2K1 w - -,d2b4
8/8/3NB1b1/4P1kp/3P2p1/4K1b1/8/8 b - -,h5h4
1r3rk1/6pp/1pqbpp2/p2p4/P2P1P2/1QP1PN1P/6P1/4RRK1 w - -,e1b1
4b3/8/1k1p1Pp1/1Pp1p2p/5r1P/P2BKP2/8/6R1 w - -,d3g6
2r3k1/5pp1/7p/1nrp4/3N4/4PP2/2R2P1P/R5K1 w - -,c2c5
r4rk1/qp2ppbp/3p1np1/p4b2/2P5/PP4P1/1B1NPPBP/2RQ1RK1 b - -,a8b8
8/4Rp2/5P2/1Kpr1kP1/1p6/1Pr1B2P/8/8 b - -,c3b3
2R5/8/1p3b2/p2b2k1/P5P1/6K1/8/8 b - -,f6e5
