8/8/1K1k2p1/8/PbP3B1/7P/8/8 w - -,a4a5
4k2r/p2bqpp1/1p2p3/4Pn1p/P1Q4P/5N2/2PB1PP1/4R1K1 b k -,e7c5
r3n1k1/pp2qbpp/2p1np2/4pN2/P3P3/NP2Q1PP/2P2P2/R4BK1 b - -,e7c5
6k1/1q2pp2/r2p2p1/2pP3p/4P2P/rP4P1/P3RPK1/RQ6 b - -,a6b6
8/8/1R6/K3pk2/P3b3/4P1Pp/8/8 w - -,b6h6
8/6pk/2pQp3/1pP2p2/1PbPpq1p/8/8/1KN5 b - -,f4d2
r3k2r/1ppqbpp1/p1n1bn1p/3pp3/5PP1/NP2P2P/PBPPN1B1/R2QK2R b KQkq -,e5f4
3k4/7p/2Bppnp1/4P1B1/1P3P2/p7/Kb4PP/8 b - -,d8c7
1k1r4/1p3p2/p2b1nrp/q1pP1Q2/P1P1P2R/2N5/1P2B3/R4K2 b - -,d8g8
1rbqr1k1/p4pbp/2np1np1/1pp1p3/4P3/P1PPBN1P/1P1N1PP1/R2QRBK1 b - -,h7h6
5rk1/1N3ppp/1br5/1p1p4/5B2/1Pn2P2/2PR2PP/4R1K1 w - -,g1f1
5k2/8/pB2p1b1/3pP2p/P2PpK1P/1P4P1/4P3/8 b - -,g6f5
2rr2k1/pp1qnp2/8/3p1b2/3P4/1P2N2P/P2QN1B1/5RK1 w - -,e3f5
8/3r3k/1p3Qp1/p2q1p1p/7P/1P1p2P1/P2R1P1K/8 b - -,b6b5
1k2rr2/1p1q3p/p1n1p1p1/3pP1B1/2pP3P/2P2B2/P1Q3PK/1R6 w - -,a2a4
6k1/b5q1/5pQ1/p1P5/Pp6/1P4PP/7K/8 w - -,g6e8
6k1/3R1p1p/1b4p1/p7/1r6/7P/4K1P1/8 b - -,a5a4
r4rk1/ppq1bppp/2n1b3/4p3/4B3/PN2P3/1PQ2PPP/R1B2RK1 b - -,f7f5
r1bq1rk1/pp3pbp/5np1/3Pp3/2B5/5Q2/PPPPNPPP/R1B1K2R b KQ -,c8f5
2B4r/4kp2/3p3b/1p2p3/2q5/5QP1/PP3PKP/R6R b - -,h8c8
r1b1k1nr/1pqnbp1p/p2pp1p1/8/P3P3/1NNB4/1PP1QPPP/R1B2RK1 b kq a3,b7b6
3r1rk1/p1q1bppp/1p2pn2/1P1b4/Q1pP4/5NP1/PB2PPBP/2R2RK1 b - -,c7b7
8/4k1p1/4p2p/5p2/1p3P1P/1P2PN2/2NK4/7r b - -,h1b1
r2q1rk1/pp2ppbp/2p3p1/4P3/2pP4/1P1QP3/PB4PP/R4RK1 w - -,d3c4
7Q/2p1k3/8/4K3/5P2/2P5/8/1q6 b - -,b1e1
5rk1/p2q3p/3pp1p1/2pR4/2Q1P3/8/P4PPP/6K1 w - -,d5d1
2r1r1k1/1bq2ppp/p3p3/3pP3/2nNnP2/2P2B2/2P2QPP/R1B1R1K1 w - -,f3e4
8/6pp/5pk1/4p3/p3P1Q1/Pp3P1P/1Pq3PK/8 b - -,g6f7
4bk2/8/4p3/1p2Pp2/1b1B1Pp1/7P/5K2/3B4 w - -,h3g4
4N3/5k2/8/2b2pp1/2r5/6PP/1R3P1K/8 w - -,e8c7
2r1r1k1/3b1pbp/q2p2p1/3P4/2nN1B2/6PP/4PPB1/1RRQ2K1 w - -,d1d3
5b2/2k2P2/4K3/1R2N3/4r3/8/8/8 w - -,e6f5
4r1k1/p6r/1b6/5P2/1p3P1B/1P1R1K1P/3N4/8 w - -,f3g4
4r1k1/p2q2np/1p3pp1/2pP4/2n2B2/2P2QN1/P5PP/5RK1 w - -,g3e4
r1b1r1k1/4ppbp/p5p1/Np6/n2Nn3/2P1B3/PPR1BPPP/R5K1 b - -,e7e5
3r3k/6p1/p1n1p1p1/8/8/1P2P3/P4PPP/3R1K2 w - -,d1c1
2b2rk1/1p2b1pp/3q1p2/4p3/4Q3/1P2BN2/P1P2PPP/R5K1 b - -,f8d8
r1bqr1k1/1p3pp1/2p2n1p/p1bppP2/3nP2B/P1NP4/BPPN2PP/R2QK2R b KQ -,c8f5
8/1R6/3p2p1/1p4k1/3n1R2/3r2PK/P7/8 b - -,d4f5
r1bqkb1r/p1p2ppp/2p2n2/3p4/4P3/3B4/PPPN1PPP/R1BQK2R b KQkq -,f8c5
2kr4/8/R1p2ppp/8/2P4K/8/PP3P1P/8 b - -,d8d4
6r1/1k3r1p/1p2q1p1/pK2p3/8/R1P1B3/PQ1R1P1P/8 w - -,e3b6
r1b1r1k1/ppqn2p1/2n1p1p1/2p1Pp2/2Pp1B2/3P1NP1/PP2QPB1/R4RK1 w - -,f3g5
8/p4pkp/4p1p1/1p1qP3/1P1pNP2/P2P2P1/2Q4P/3n2K1 b - -,d1e3
r4rk1/1bq1bppp/4p3/p1npP3/1p1n1P2/4B3/PPPQBNPP/3R1R1K w - -,e3d4
r1bq1rkb/1p1npp1p/2pp2PB/p1nP4/2P1P3/P1N2P2/3Q2P1/1RN1KB1R b K -,f7g6
5rk1/pppbb1pp/3p2q1/1P2PN2/P7/2P2N1n/6P1/R1BQRK2 b - -,d7f5
2r2k2/2r1nppp/2N5/1P1P4/2B5/2K3P1/7P/4R3 b - -,e7c6
8/1r3k1p/6p1/3Pp3/P7/2N1p3/1P6/1K2R3 b - -,g6g5
r2q1rk1/pp1npp1p/2npb1p1/6P1/3QPP2/1NN5/PPP1B2P/R3K2R w KQ -,d4d2
r2r2k1/pp2bppp/1np1pn2/7q/3PPB2/PPNQ3P/4NPP1/R2R2K1 w - -,e2g3
6k1/5p1p/1p2q3/p1b2N2/3B1PP1/1PPQ4/P6P/1K2r3 w - -,b1c2
r4rk1/p2q1bb1/2p1n1pp/3ppn2/N1P2p2/3PPNP1/P1QB1PBP/1R3RK1 w - -,g3g4
2brrnk1/1p2qppp/p1p5/8/PP1PN2b/3BP1N1/5QPP/1R2R1K1 b - -,f8d7
2rr1k2/6p1/p4b1p/1q1p1P2/2n1p3/1B6/PP2Q1PP/2RR3K w - -,e2e1
r1bqkb1r/ppp4p/1nn2pp1/4p3/8/2QP1NP1/PP2PPBP/RNB2RK1 b kq -,c8e6
2r2rk1/pb2qppp/1ppbpn2/4N3/2PP1B2/1P4P1/P3QPBP/R2R2K1 w - -,g3g4
r1bq2k1/2p1n1b1/1p1p1n1p/2PPp1p1/1P2P3/2NNB3/4B1PP/R2Q2K1 b - -,a8a1
r2q1rk1/ppp1ppbp/2n3p1/3n1b2/3PP3/P1N2NB1/1PQ2PPP/R3KB1R b KQ -,d5c3
1q3nk1/3r1ppp/p2bp3/3b4/1P3P2/PN4P1/2Q2B1P/4RBK1 b - -,b8b7
2r3k1/R6p/1p2p1p1/8/P3P3/4K3/5PPP/8 w - -,a7b7
rnbqk1nr/ppp2ppp/3bp3/3p4/3P1B2/3Q4/PPP1PPPP/RN2KBNR w KQkq -,e2e3
8/4nk2/1R4p1/pR2P2p/Pb3P2/2r3PK/7P/8 b - -,c3a3
r2q1rk1/1p1bppbp/p2p2p1/3P1n2/P1P5/2NQ2P1/1P3PBP/R1B1R1K1 b - -,a8c8
2r2rk1/pb2bp1p/1p2p1p1/6N1/1PnP1q1P/P7/2B1QPP1/R2RN1K1 w - -,e1f3
1r1q1r1k/1bn1p1bp/p2p2p1/P1pP3n/2N1Q3/2N4P/1P3PPB/3RRBK1 b - -,e7e5
5r2/R6p/1p6/2b1kP2/3p2Pp/3Kp2P/6R1/8 b - -,e5f4
rnbq1rk1/4ppbp/p2p1np1/1PpP4/P3P3/N4P2/1P4PP/R1BQKBNR w KQ -,g1e2
r1bq1rk1/1p4b1/3p1nn1/2pPp2p/P1P1PpP1/1QN2P2/2K1B1P1/R1N1B2R b - -,h5g4
2kr2br/p2q4/1pnp2p1/2p2nNp/5P1P/3P4/PPPQ1NB1/4RRK1 w - -,g2h3
1k4r1/pp3R2/4p3/4R2p/r7/7P/P4PP1/6K1 w - -,e5b5
8/1Q6/p2bqp2/5kpp/4p2P/2P1B1P1/5PK1/8 b - -,d6e7
3r2k1/pp2rpbp/2n1bqp1/1N1pN3/3P4/P5PP/1PR2PB1/3QR1K1 b - -,e6f5
6rr/1p1k1p2/pBn1b2b/3p3p/8/P2B1N1P/1PP3P1/3RR2K b - -,d7c8
r4rk1/pb2q1pp/1p1p4/2pP1p2/2Pn1R2/2NP2P1/PP4BP/R2Q2K1 w - -,g1h1
4rrk1/Nb1p3p/np1p3n/3P2q1/1PP1Pp2/P4Q1P/6B1/R1B2RK1 b - -,g5e5
r5k1/B1b2ppp/4p3/3n4/1Pp5/P4BPb/5P1P/2R1R1K1 w - -,c1c4
3r3k/6p1/7p/p3p3/2Kn4/1P2N1P1/R6P/8 b - -,d8c8
6k1/1p5p/p3P3/5p2/5P1B/8/P5K1/8 b - -,b7b5
r2qkb1r/pp1n1pp1/2p1pn1p/5b2/1PN5/3P2P1/P3PPBP/RNBQ1RK1 b kq b3,f8e7
r5k1/3nrppp/p2b4/3P4/2BB4/P5P1/1P1R3P/5R1K b - -,a6a5
8/5pk1/r7/2R2K1P/6P1/8/8/8 b - -,a6f6
6k1/2q1bppp/p7/Pb4P1/1P2p3/2P1B3/3Q3P/2R3K1 b - -,b5d3
r3q1k1/ppp2ppp/1bn5/8/2PP2b1/5NP1/P4PBP/R1BQ2K1 w - -,c4c5
