8/8/2r5/P2pK2p/1B2n3/1kP1R3/8/8 b - -,b3c4
8/1p3rpk/2pn4/4Rb2/1P3rNP/4QP1K/6P1/8 b - -,f4b4
5rk1/2q4n/pn4pp/1p3pb1/8/P3p1NP/1PP1QPP1/R1B2BK1 b - -,h7f6
6k1/p2r1pbp/1prPp1p1/2P1P3/6PP/6B1/P4R1K/2R5 b - -,b6c5
3q2k1/1b1n1rpp/p2Q1b2/1p5N/1P2PP2/P2PB3/6PP/2R3K1 b - -,d7f8
6k1/2r2pb1/p4n1p/1p4p1/2bP2P1/P2B1P2/3K2P1/4R2R b - -,g7f8
2r3k1/1p4b1/1q1p1p2/p1nPp3/2P1P3/Q5N1/PP2B3/1K1R3R w - -,g3f5
1R3nk1/r4qb1/5p1p/3p2pN/2pP2P1/2P1N1P1/5PK1/1Q6 b - -,f6f5
5rk1/p2R3p/6b1/3Q4/4p3/2P1N3/1PK2PPP/q7 b - -,g6f7
3q1rk1/6pp/p7/1p1p4/PQ1Pp3/3bPrNP/1P1R1P2/K1R5 w - -,g3h5
5rk1/2b2ppp/3n4/5bP1/4nB2/Pp6/1P4BP/1KN1R3 w - -,b1a1
4k3/4bp2/p7/3pp3/Pr2q2p/1P1RB1rP/6P1/4RQK1 w - -,d3c3
1r1r1bk1/1pn2p2/p1p1b1pp/N3p3/PP6/3P2P1/2RBPPBP/1R4K1 b - -,e6d5
2rr2k1/2b2ppp/p4P1q/7R/3P2P1/1P2p2P/6Q1/2BR3K b - -,h6f6
r1bq1rk1/pp1nppbp/2p3p1/3nP3/8/2NB1N1P/PPP1QPP1/R1B2RK1 b - -,d5c3
r2qrbk1/pp3pp1/2p1bn1p/3p4/3P1B1P/2NQ1PN1/PPP3P1/1K1R3R b - h3,f6d7
5r1k/4rpp1/1p3n2/p1p1P1p1/8/8/PP1R3P/3R2K1 w - -,e5f6
3r1bk1/q5pp/2p1pp2/1bp1p3/3r4/1P1P1Q2/PN3PPP/R1B1R1K1 w - -,c1e3
4r1qk/1ppn1p1n/7R/r3PN1Q/1p1Pp3/1B5P/PP3PP1/6K1 b - -,e8f8
2b1rbk1/2qn1p2/p1p2npp/1rP1p3/N1Q1P3/4BNPP/P4PB1/1RR3K1 b - -,d7b8
5rk1/pp4p1/1p1p4/3Prq1p/2R1p3/1P2P1P1/P4PKP/3Q1R2 w - -,c4d4
5qrk/1p3rp1/p4pRp/4pP1P/3P1Q2/P7/1P3R2/1K6 w - -,d4e5
3rr3/n1q2pp1/1k2b2p/1p1pPp1P/2pP1B2/2P2B2/1QPK1PP1/R7 w - -,b2a3
1brq1rk1/pp1n1ppp/5n2/1N1p4/1B1Pp3/1P2PP2/P3B1PP/R2Q1RK1 b - -,e4f3
r1b1k2r/ppq1nppp/2n5/3p4/2PQ4/P3PN2/5PPP/R1B1KB1R w KQkq -,d4g7
2kr3r/Bp1b2p1/2n1p3/7p/P3P1n1/3B2PN/6P1/R1R4K b - -,h5h4
8/5pk1/6p1/R7/4P1KP/5P2/8/1r6 w - -,h4h5
3r2k1/1b3pp1/1q2p2p/2b5/1p6/4P3/1P1BBPPP/R3Q1K1 b - -,e6e5
r1b2rk1/2qnbppp/2p2n2/pp2p1B1/4P3/P1NB1N1P/1PP1QPP1/R4RK1 b - -,d7c5
4r3/5pkp/2p3n1/pp4N1/3R4/1P5P/1P3PP1/7K b - -,e8e2
r1bq1rk1/p2nbppp/1p2pn2/3p4/3P4/5NP1/PPQBPPBP/RN2R1K1 w - -,b1c3
r2qr1k1/pp1bppbp/6p1/P3N3/n1Pp4/3P2NP/2P2PP1/R1BQR1K1 b - -,a4c3
4r2k/1R3p1p/p2p1Pp1/2p1n1r1/P1P5/4N3/2P2K1P/5R2 b - -,h7h5
1rb3k1/r4pp1/2qp1b1p/p3pP2/N1P1P3/1P1Q4/3NR1PP/3R2K1 b - -,f6g5
r2q1rk1/pbppbppp/np3n2/3p4/2P4N/6P1/PP2PPBP/RNBQ1RK1 w - -,c4d5
1r3k2/2p2rb1/2BpR3/1PpP1p1q/5P2/P7/1P3QR1/6K1 w - -,g2g5
8/1R3p2/p3rk1p/5p1P/1P3P2/2R5/5K2/r7 b - -,a1a2
1r1qk2r/pp3pbp/2n1b1p1/2pnp3/8/2NP2P1/PPNBPPBP/R2Q1RK1 w k -,c2e3
1r1q1r2/6bk/p2p1np1/2pP1bBp/P1N1p1PP/2P2P2/3QB3/R4RK1 b - g3,h5g4
3r2k1/5p2/5Pb1/1p2Q2p/3P3P/8/8/7K w - -,d4d5
rnbqk2r/ppppppbp/5np1/8/1PP5/8/PB1PPPPP/RN1QKBNR w KQkq -,e2e3
6k1/4R3/2b2p1p/3p4/1p6/1P6/2n3BP/7K w - -,e7c7
4rk2/R4p2/3p1qp1/3P2bp/3N4/3QPB2/2N1K3/8 b - -,f8g8
3r2k1/bp5p/p1q1n1pP/3rPpP1/5P2/1Q1p2K1/P1PB1N2/3RR3 w - -,c2c4
r2qnrk1/pp2bpp1/2ppn1bp/4p3/4P1P1/2PP1N1P/PPB2PK1/R1BQRN2 w - -,d3d4
8/8/4kp2/6pp/1R5P/4N1P1/4KP2/7q b - -,e6d6
2r1r1k1/pp2pp2/3p4/4P2p/1n6/1NN5/PPPB4/1K5R w - -,a2a3
r1b1r1k1/1p2bpp1/2pq3p/p1nN4/P1BB3N/7P/1PP1QPP1/3R1RK1 b - -,c6d5
r3k1r1/ppp1qp1p/4np2/4p3/2B1P3/N1P3Pb/PP3R1P/R2Q3K w q -,c4f1
r1bq1rk1/pppn2pp/3bp3/3pNp2/3PnP2/3BPN2/PPP3PP/R1BQ1RK1 b - -,c7c5
8/1k6/2p2B2/5P1K/n4P2/8/8/8 w - -,f6d4
1r3k2/4ppbp/3p2p1/2nP4/4P3/1rN2P2/2RB2PP/3R1K2 b - -,f7f5
r5k1/pb2bppp/2p1pn2/qpP1N3/4P3/4B1P1/P1Q2PBP/3R2K1 b - -,a8d8
1rb2r2/1p1p1pkp/p1n1pNp1/1B6/4P3/8/PPP3PP/2KR1R2 w - -,b5c6
8/7p/5p2/4pqp1/8/8/1K2Q1k1/4B3 b - -,g2g1
1r3r2/2q1npkp/1p2b1p1/pPp5/P3PP2/1P2N3/2Q3BP/1R3RK1 b - -,f7f5
7r/1p2kp2/1r1pbb1p/1Bq5/Q1PpP3/3P1N2/R5PP/5R1K b - -,b6b5
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/2P5/1PNP1NP1/PB2PPBP/R2Q1RK1 b - -,b8d7:e6e5
rn2kb1r/pp3ppp/4pn2/3q4/3P2b1/2N2N2/PP2BPPP/R1BQK2R b KQkq -,d5d6:d5a5
r1bqkb1r/2p1n1pp/p1pp1p2/4p3/3PP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r1bqkb1r/1p2pp1p/p1n3p1/8/B2P4/1QN2N2/PP3PnP/R1B1K2R w KQkq -,e1f1
rr2n1k1/1q4bp/1pbp2p1/1Nn1p3/p1P1P1P1/4BPN1/PPB1Q3/2KR3R w - -,b5d6
r2q1rk1/p1nnbppp/2p1p3/1p1p2P1/3PP2P/2NB1Q2/PPPB1P2/2KR3R b - -,c6c5
5rrk/1b2q1b1/1p2p2p/pP1pP2n/6p1/3N2P1/P2BPRBP/1Q3RK1 w - -,d2e3
3rrb1k/R5pp/1p2p2q/4B3/6P1/2P2Q2/P4PKP/4R3 b - -,h6g6
8/1B4p1/P2k1p1p/8/1K6/6P1/7P/r7 w - -,b4c4
8/4k1pp/5n2/p1P5/8/PP1r2P1/2R2P1P/6K1 w - -,c5c6
8/8/8/8/5k2/1qp5/1N2B3/2K5 w - -,b2c4
r2q1r2/1b3pkp/8/p3P3/3P1N1b/Pp2Q3/6PP/R4R1K w - -,f4h5
8/5p2/4p1k1/R3P1p1/3r4/5PKP/8/8 w - -,a5b5
3rRn1k/p2q2p1/1pbb1p1p/3p4/3P1B1P/P5Q1/1PB1NPP1/6K1 b - -,d7e8
7k/8/R2p1r2/4q3/5NpP/1p2P1K1/2bQ4/8 w - -,a6b6
6rk/p1q4p/n1p1pQ2/2n2N1p/1p6/7P/PPP2PP1/4R1K1 b - -,g8g7
8/p5pk/7p/8/3bK1P1/7P/r4P2/8 b - -,d4f2
2rr2k1/pp2bppp/4p3/3qPn2/1PpP4/P1B5/2NQ1PPP/3R1RK1 b - -,b7b5
r3k2r/1p2bppp/p1Rp4/3bp3/1Q2P3/8/PPP2PPP/2K2B1R b kq -,d5c6
8/4k3/K7/N7/P7/8/8/4b3 b - -,e1a5
2r2rk1/pp2p2p/2np2p1/7n/2P2P2/1N1P3P/P5PB/R4R1K b - -,c6b4
r1b2r2/7k/p1p2q1p/5p2/4pQ2/P6P/1P3PP1/1BR2RK1 b - -,a8a7
5rk1/p5q1/1p5p/3p2pP/2rn1pQ1/R2N4/P4PP1/1R3K2 w - -,b1d1
3rrbk1/1p3ppp/1q3nb1/p2p4/2Pp4/PP1P3P/1B1NBPP1/R2QR1K1 b - -,d5c4
3k4/3P3R/p4P2/1p1p2p1/8/4rP2/PPP5/6K1 b - -,e3f3
r1b1k2r/ppppqppp/2n5/4P3/1bP2Bn1/1QN2N2/PP2PPPP/R3KB1R b KQkq -,a7a5
r1bqk2r/pp1nbppp/2p2n2/3p4/3P1B2/2N1P3/PPQ2PPP/R3KBNR b KQkq -,f6h5
6k1/p2b1p1p/6pB/2N5/1P1br3/P7/5PK1/2R5 b - -,e4g4
r1q2rk1/ppp1b1p1/3n1n1p/3Pp2P/8/4B1P1/PP1NQPB1/2R1K2R b K -,c8e8
