8/8/6P1/6r1/3k4/1K6/2B5/8 b - -,g5g3
rnbqkb1r/pppnpppp/8/3pP3/5P2/3P4/PPP3PP/RNBQKBNR b KQkq f3,c7c5
b4rk1/4ppbp/1p1p2p1/3n4/3PNqB1/1QP1P2P/5PP1/3R2K1 w - -,e3f4
1rbqr1k1/1p3pbp/p1n2np1/2ppp3/P3P3/1PPP1N2/1B1N1PPP/R2QRBK1 w - -,d1c2
r1b3k1/2q2pbn/3p2p1/1p1P2Pp/Ppp2P2/7P/RPQNP1B1/R5K1 w - -,g1h1
8/6k1/n1pB2p1/P1Pp1pKp/5P1P/2P5/6P1/8 b - h3,g7f7
rnb1kb1r/pp3ppp/2p2n2/6B1/8/2N2N2/PPP1BPPP/R3K2R b KQkq -,f8e7
4rbk1/5r1p/2q2Pp1/3pP1P1/p2p2N1/6B1/5RBK/8 w - -,g2h3
8/2B1q1pk/p1P4p/5p2/P3p3/6P1/2Q2PKP/8 b - -,e7c7
1r1r1k2/1p2ppb1/pNbp2pp/2n5/2P1P1PP/1P2BP2/P1RKB3/7R w - -,h1d1
5R2/6pk/1p4bp/2p2N2/2n3P1/p1P4P/P1R2B1K/2nr4 b - g3,h6h5
1r3rk1/p3qpp1/Bn2pnp1/2p5/1b1P4/1QN1P2P/1P1B1PP1/R4RK1 w - -,d4c5
6r1/1p3p2/p2ppPk1/4b3/8/8/PP4PP/2R2RK1 w - -,c1c4
rn1qk1nr/1b2bppp/p3p3/1pppP3/5P2/2NP1NP1/PPP1Q1BP/R1B2RK1 b kq -,g8h6
8/7p/6k1/5pn1/8/7P/6K1/2B5 b - -,g6f6
1r2r1k1/2q3pp/p2b1p2/2p1nP2/1pPp1BP1/3P2QP/P1B2P2/R3R1K1 w - -,e1e4
5rk1/ppr3pp/3R4/3P1pq1/2P5/PP1Q2P1/5P1P/4R1K1 b - -,f5f4
5k2/Rp6/2p3p1/4P3/2PKPb2/1P5b/6Bp/8 w - -,g2h1
1r2r3/1p2q1kp/pN1p1pp1/2PP4/2PQnR2/4P1P1/P5KP/4R3 b - -,e4c5
r1bqk1nr/p3p1bp/2p2Pp1/3p4/5P2/2N1B3/PPPQ2PP/R3KB1R b KQkq -,e7f6
r2k3r/pb2pBbp/1np3p1/Bp6/3P4/8/PPP1N1PP/3R1RK1 b - -,d8c8
8/1pr3kp/3R1p1p/2n2B2/p3P2P/P4PP1/6K1/8 b - -,c7c6
1k2r3/p4p1p/2B2p2/1p6/3P4/nPP3P1/P6P/5RK1 b - -,e8e2
r1b1k2r/1pp2ppp/p2b3q/3N4/1n2PPn1/1P2P1P1/PBP1Q2P/R3KB1R b KQkq -,b4d5
rnbqkb1r/1p2pp2/p2p1p2/7p/2BNP3/2NQ4/PPP2PPP/R3K2R b KQkq -,d8a5
3r4/p2q3k/1p1p2pp/3Nbp2/1Q2p2P/4B1PB/P1r1PP2/3R2K1 w - -,h4h5
6k1/p1Qb1r2/4p2p/2P4P/7q/P7/2B2NP1/5RK1 w - -,c2g6
3r2k1/1nq4p/p3bPp1/1p2p1P1/2p1P3/2P1Q3/PP1R1KBP/2N5 b - -,d8d2
r4rk1/1p1b2pp/p1n1pn2/3p4/1q3P2/PNN3P1/1PPQ2BP/R4RK1 b - -,b4b6
r3kb1r/pppb1qpp/2n1pp2/3pPn2/1P1P4/P1B2N2/2P1BPPP/RN1Q1RK1 b kq -,a7a6
4n3/1p4k1/3pb1p1/pPr1pr2/P1P5/2N2P2/7P/1R1R1BK1 b - -,e6c4
6k1/p1b2ppp/1p6/2pBPb2/P3p3/2P1B2P/1P3PP1/6K1 w - -,e3f4
2rq1rk1/p2p1ppp/1pn1p3/2b2n2/2P2Q2/2NB1PP1/PP3PKP/R1BR4 b - -,f5d4
r2q2k1/3b1ppp/2nb1n2/p1pp4/8/1P1PNNP1/1BP2PBP/R2Q2K1 b - -,d5d4
rr6/pp1knNpp/3b4/2pnp3/8/2PP2P1/P4PBP/R1B2RK1 w - -,f1e1
r1b2rk1/1p2qppp/n2p1n2/p1P1p3/1p1PP3/P4NP1/1P1N1PBP/R2Q1RK1 b - -,d6c5
5rk1/6pp/p5p1/8/5bP1/P6P/1r3PB1/1R1R2K1 b - -,f4e5
8/1pR2pk1/1q1p2p1/1P3p2/P2br3/1Q6/5P2/2R2K2 b - -,d4f2
2rq1rk1/1p1nppbp/p2pbnp1/8/2P1P3/PPN1N3/4BPPP/1RBQK2R w K -,c1d2
2rrb3/5kBp/2n1pN1P/1p3pP1/8/1P3N2/1P4K1/2R5 w - -,f6h7
r1bq1rk1/ppp1ppbp/2np1np1/6B1/2PPP3/2N2P2/PP4PP/R2QKBNR w KQ -,g1e2:d4d5
r1b2r2/ppq2pkp/5np1/2n1p3/2ppP2N/3P2P1/PPPQNPBP/R4RK1 w - -,h2h3
r1b2rk1/pp2ppbp/n4np1/1N1q4/2BQ4/2P1BN2/PP3PPP/R3K2R b KQ -,d5f5
rn2qrk1/p4ppp/n1p5/1p5b/1b2N3/1B2QN1P/PBP2PP1/R2R2K1 b - -,g8h8
1r3k2/2r3np/1p1p1qp1/pP1Bp3/4P2P/1P3PP1/P2Q2K1/2R5 w - -,c1c7
2r1r1k1/1bqn1pbp/pp1pp1p1/6P1/Pn2PP2/1NN1B2R/1PP2QBP/5R1K b - -,c7c6
2R5/2p3r1/1p3kP1/pP1PpB1K/P3P3/b7/8/8 b - -,a3b4
r1bqr1k1/6bp/p2p2p1/1PpPnp1n/4P3/N1N3PP/1P3PB1/R1BQ1RK1 b - -,a6b5
8/r6p/3Nn3/6k1/8/1P3R1P/1K4P1/8 b - -,e6d4
5rk1/pp1n1p1p/5Np1/2b2p2/P2BP3/5P2/6PP/1R5K b - -,d7f6
r1b1k2r/1p1nb3/p4p1p/4p3/1qB1N3/4PN2/P1QR1KPP/7R b kq -,b7b5
r4rk1/ppp1bppp/8/3q1b2/2PP4/3Q1N2/P4PPP/R1B2RK1 w - -,d3b3
r3kb1r/1pp2pp1/p1p2qn1/4p2p/4P1b1/3P1N1P/PPPN1PP1/R1BQR1K1 w kq -,d2f1:d3d4
r1bq1rk1/1pp1bppp/2n5/p2np3/8/1B1P1N1P/PPP2PP1/RNBQ1RK1 w - a6,a2a4
r4k2/p4ppp/1p3n1N/2b1r1B1/5P2/1BN5/PP5P/2K2R2 b - -,c5e3
r5k1/1p3ppp/p1n2b2/P1R5/3PqP2/2Q3P1/1P3B1P/5RK1 b - -,a8d8
r1bq1rk1/4p1b1/p2p2pp/2pP1p1n/1pB2P1P/4P3/PPPQ1NP1/2KNR2R b - -,c8d7
r4rk1/pppq2B1/2npb1pp/2nN1p2/2P5/1P3NP1/P2QPPBP/3R1RK1 b - -,d7g7
r4rk1/3nppbp/b2p2p1/q1pP4/6n1/2N2NP1/PPQ1PPBP/1RB2RK1 w - -,c1d2
6k1/1R6/p7/6B1/1P3pPn/3K4/5r1P/8 b - -,f2h2
rn1q1rk1/p5bp/3p2p1/1PpPp3/4P3/4B3/PPQ1N1PP/R3K2R b KQ -,a7a6
3r4/pp6/2p1bk2/6pp/4Nn2/N3R2n/PPB5/1K6 b - -,f6g7
r4rk1/1pp3bp/p2p2p1/2PPp3/qP2P3/4B3/P1R1Q1PP/1KR5 w - -,e2c4
5k2/p4p1p/1pB3p1/2n5/3r4/P5P1/5P1P/2R3K1 w - -,c1e1
6k1/1p5p/p3pp2/8/P3N3/3K4/1P3bPP/8 b - -,f2g1
r1b2rk1/3n2pp/1q2pp2/2bpP3/1p1B1PPP/pP5R/P1PQ1N2/1K1R1B2 w - -,e5f6
2r3k1/p3pp1p/2Pp1bp1/q5B1/8/P2BQN1P/1r3PP1/4R1K1 b - -,f6g5
3r1r1k/pbp2pp1/1p2p3/2b1P3/2P1Q3/2B3P1/P3BP1P/R4RK1 b - -,b7e4
1nr1r1k1/p4ppp/4p3/1p6/1BpPP1P1/P3K3/1P3P1P/2R2R2 b - g3,b8c6
r1bq1rk1/pp2ppbp/2n3p1/2p5/8/2PP1NP1/P3PPBP/1RBQ1RK1 b - -,d8d7
rnbqk2r/ppp2pbp/3p1np1/4p3/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq -,e8g8
r1b3k1/p4r2/1p2p1pQ/2q1p3/4p2N/P1P3K1/1Bn3PP/5B1R w - -,f1e2
r3k2r/ppqn2p1/4ppNp/3p4/3P1bP1/7P/PPP1QP2/2KR3R w kq -,c1b1
2r1r1k1/p4p1p/1pb3p1/1N2p3/2P5/1P2b2P/PB2Q1Pq/3R1K2 w - -,e2e3
rn2r3/pb3k1Q/1p2p1p1/2b1q1P1/8/2NB4/PP4PP/2R4K b - -,f7f8
8/2p5/1p6/p2Pk2P/2P1r1p1/4p3/PP4R1/5K2 w - -,h5h6
1rb1kbr1/3qnppp/p2p4/3P1PP1/1pPBQ3/1P4N1/P6P/1R3RK1 b - -,e8d8
2bR4/2r2p1k/6pp/7P/4P3/5PP1/r5B1/1R4K1 w - -,b1b8
8/6K1/1p5P/p1pk4/R5Pr/8/8/8 b - -,c5c4
4R3/p4pk1/1p4p1/8/1P3P1K/P1r5/3q4/7Q b - -,d2f4
br1r2k1/2q2pp1/pp1ppb1p/2n5/P1P1PP2/1P2B1P1/2QR2BP/2RN3K b - -,a8c6
8/2k4r/2r1p1R1/1R2Pp2/2pP4/P1P2K2/1P6/8 w - -,g6g8
