5R2/p5r1/8/8/2P1N1n1/1P4k1/P3K3/8 b - -,g3g2
3qr2k/5rb1/2pp2Rp/1p1pPp2/p1nP1P2/P1P2N1P/1P4Q1/2B3RK b - -,d8d7
2k4r/1pp1n1b1/p3b1pp/2p2p2/4PB1P/4NP2/PPP1N1P1/2K4R w - -,e4f5
r3k2r/pp1qppbp/2np2pn/3N1b2/2P5/1Q3NP1/1B1PPPBP/R4RK1 b kq -,e8g8
2r1nr1k/3q2p1/1nb1pB1p/p2p4/1p1P2QP/3B2P1/PP3P1N/R3RNK1 b - -,f8f6
6k1/1q3pp1/ppQbpn1p/4N3/3P4/5NP1/PP3PP1/5K2 b - -,b7c6
8/7k/3np1p1/p2p2P1/3P1PN1/2p1P3/2K5/8 w - -,c2c3
2b2rk1/4q1bp/r2p1p2/2p2Pp1/ppP1P1Q1/3R2N1/PP4PP/2B2RK1 w - -,h2h4
1rq1k2r/3bnpb1/2pp1np1/1p1Pp1B1/1P2P2N/2N5/1KPQBP1P/3R2R1 w k -,d5c6
r2r2k1/pq3p1p/1p4p1/4PP2/PbNp4/1P1P4/5Q1P/2R2RK1 b - -,b7d5
r2qk2r/ppp2pbp/3pb3/4n1P1/2P5/2N3B1/PP2PPP1/R2QKB1R w KQkq -,e2e3
3B2k1/7p/p7/P7/4K3/8/3b4/8 w - -,e4d5
r2k3r/pp1bppbp/6p1/2B1p3/6n1/2N3PP/PPP2PB1/R3K2R b KQ -,g4f6
5bk1/6pp/4q3/2p5/1p2p3/6PP/1B2P2K/R4R2 b - -,e6e8
r1bqk2r/pp1nbpp1/4pn1p/2pp4/4P2B/P1NP1N2/1PP1BPPP/R2QK2R b KQkq -,b7b6
2k4r/1p3p2/2p2q2/p1b1nN1p/P3Q3/6P1/1P2PPB1/3R2K1 w - -,d1c1
4R3/p7/3r3p/2b3p1/2PkB3/3P3P/3K2P1/8 b - -,d6b6
1rB5/pP5p/2pR1bpk/4q3/5p2/8/P5PP/3Q3K b - -,c6c5
8/1R3pk1/p2Br2p/2P3p1/1P2p3/4P3/5PPP/3b1K2 w - -,f1e1
1rbq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/1P3NP1/PBQNPPBP/R4RK1 b - -,c8d7
8/1pp1nkpp/4qp2/2P5/4b3/P5P1/1B1RPPBP/2R3K1 w - -,f2f3
r5k1/5p2/4b1pp/bNp5/3pP3/1P5P/P3BPP1/2R3K1 b - -,a5b4
3Bk3/1r2p1b1/p4pp1/7R/8/8/P4P1P/4R1K1 b - -,g6h5
8/2k2p2/4pPnp/1PB3p1/6P1/7P/6K1/8 w - -,g2f3
rnbqkb1r/pp2p2p/2p2np1/6B1/3Pp3/2NQ4/PPP3PP/R3KBNR w KQkq -,c3e4
2bqrr1k/ppp3np/3p2p1/1Pn5/P1P5/4N1P1/3NQPBP/R4R1K w - -,e2d1
1Q3rk1/p1r2pbp/4p1pn/3pPn1P/3P4/2NBBP2/PP2KP2/R6R b - -,f8b8
r1b2rk1/2qp1ppp/p1pb1n2/8/4Pp2/2N1B3/PPPQB1PP/3R1RK1 w - -,e3f4
rnbqkbnr/pp3ppp/2p1p3/8/2pP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,g8f6:b7b5
r1b4k/ppp2n1p/1n5P/3P1rp1/8/2N2N2/PP2B3/2K3RR w - -,f3d4
r1r3k1/1Q3p1p/6p1/p7/4PB2/7P/P4PP1/b5K1 b - -,a5a4
3r4/8/6pp/2p1kp2/P4RPP/4P3/2K2P2/8 w - -,g4f5
3rr1k1/p4p1p/b2p1qp1/2pR4/1pNbP3/3Q1PP1/PP4BP/3R3K b - -,a6b7
B7/2k5/1np5/p6p/P3pK1P/1Nb5/8/8 b - -,b6a8
R7/P5p1/8/8/4p3/r3k1KP/8/8 b - -,e3e2
2r3k1/p3p2p/4p3/8/5p2/1Pp3K1/P3P3/2R5 w - -,g3f4
8/6k1/5rp1/4b2r/1B1p2K1/pP1Pp2P/P1P1R1R1/8 w - -,b4e1
rn3rk1/pb3ppp/1ppb3q/3p4/3P1N2/2NBP1P1/PPQ2P1P/1K1R3R w - -,h2h4
r1bqk1nr/1p2bppp/p1npp3/8/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq -,c1e3
2b5/2k3p1/p4p1p/1nN1p3/1PK5/5B2/5PPP/8 b - -,b5d4
8/7p/p5p1/P2k2B1/1Pp5/1bPp2KP/5RP1/4r3 b - -,b3a4
8/2n3rk/1q1B1p2/1B1R1P1p/P3P2P/1K6/2R5/8 w - -,d6c7
8/5k2/2B2p2/p2p3p/2bP3P/2P2P2/P2K1R2/7r w - -,d2e3
1rb5/pp2k1pp/4p3/8/3RBr2/8/PPP3PP/1K1R4 w - -,e4h7
5rk1/1p3ppp/2b1p3/2q5/n3PPP1/3B1K2/P1P1N2P/1R5R w - -,e2g3
r3k2r/ppbqnp2/2p1b1p1/2Pp4/3PnP1p/3BNR1P/PP1BN1P1/R2Q2K1 w kq -,d2e1
r2qrbk1/ppp2pp1/6nP/3pp1N1/2B5/P2PP2P/1PP3Q1/R3K2R b KQ -,g7h6
r2qr1k1/pp2bpp1/1np2nbp/4R1B1/3P4/1BN2N2/PP3PPP/R3Q1K1 w - -,g5h4
r2q1r1k/pb1nb1pp/1pn1p3/3pPp2/2pP1P2/P1N1B1P1/1PPQN1BP/2RR2K1 w - -,g1h1
8/5pk1/1bq1pn1p/1B4p1/P2P4/3Q1NPP/5PK1/8 b - -,c6d6
r3kb1r/1bq2pp1/ppnppn2/8/P2NPPp1/2N1B2P/1PP3B1/R2Q1RK1 w kq -,h3g4
1r3rk1/p3bpnp/1q4pB/1p2P3/3p4/1Q1B4/PP2RPPP/2R3K1 w - -,e2c2
4r3/1p4p1/2kb1p1p/Rbpp4/1p6/3P1NP1/1B2PP1P/5K2 b - -,c6b6
r4rk1/pbp1ppbp/2q3p1/1p6/2nPP3/2PB1N2/P1Q2PPP/2BR1RK1 b - -,a8d8
1r3rk1/pp1q1pbp/6p1/4p3/P1P5/1b3B1P/1P2QPPB/R1R3K1 w - -,a4a5
r2qnrk1/1b1nbppp/p3p3/1p2P3/3N4/P1N5/BPP1Q1PP/R1B2RK1 w - -,c1f4
4R3/p1r1b1k1/7p/2p2B1P/3pK1P1/1P1P4/P7/8 w - -,e4d5
r1b1k2r/pp3pp1/2n1p2p/q1ppP3/3P4/2PB1N2/P1PQ1PPP/R2R2K1 b kq -,c5c4
r1bqk1nr/3nbp1p/pp1pp1p1/8/2PNP3/3B4/PP2QPPP/RNB2RK1 b kq -,c8b7
2R5/8/4KP2/1kP5/1p6/8/8/4r3 w - -,e6d6
8/6k1/6r1/R4p2/4p2p/8/6PK/8 b - -,g7f6
r3r1k1/4bpp1/p7/7n/P3P3/3BBPq1/1P3Q2/2R2RK1 w - -,f2g3
2b2r2/2p2k1p/p1p5/5pP1/2P5/1P1N2P1/5K1P/4R3 b - -,f8d8
R1br2k1/1pb3qp/3p4/2p5/1PP2R2/4P1P1/3Q1PB1/6K1 w - -,g2d5
3rR2k/1p3b2/p4p1p/3p2p1/1b1P2P1/1B4BP/PP2RPK1/8 b - -,f7e8
8/R5p1/5p2/5P1k/5K2/8/8/6r1 w - -,a7b7
2r1r1k1/1p3pb1/p3p1p1/q3p3/2BN2b1/8/PPP4Q/1K3R1R w - -,h2h7
r5k1/p1q1p1bp/b1r3p1/2p1p3/P1PpNP2/BN1P2P1/2P1Q2P/5RK1 w - -,f4e5
3r1rk1/2q3pp/1p1Npp2/2n1P3/p2R3P/P3Q3/1P3PP1/2R3K1 b - h3,c7e7
2br2k1/Nq4pp/1p2Pp2/1N3P2/2rpn3/4Q3/PP4PP/R2R2K1 w - -,b5d4
r1b2rk1/2qnppbp/2pp2p1/p7/P3PP2/1nPPBN1P/4N1P1/1R1Q1R1K w - -,d1b3
5rk1/3R1p1p/1rN1pp2/3p4/8/6P1/5P1P/2R3K1 b - -,b6a6
rnbqk2r/pppp1ppp/4pn2/8/2PP4/2b2P2/PP2P1PP/R1BQKBNR w KQkq -,b2c3
2rr2k1/5ppp/2n1p3/PQ1q4/3P4/4B2P/4BPb1/R3R1K1 b - -,d5e4
r1br2k1/pp2ppbp/2n2np1/2BN4/2P1P3/5P2/PP4PP/R3KBNR b KQ -,f6d7
r1b1qrk1/ppp3b1/n2p1npp/3Ppp2/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 w - e6,d5e6
8/8/1k6/1p6/7r/R7/2K5/8 b - -,b6c5
5k2/b3n3/q2pP1p1/p4p2/Pp3P1P/1Q3N2/1P2R1P1/2r1BK2 b - -,d6d5
2rnq1k1/p1pNp3/2p3pb/4Pb1p/2P2P1Q/BP5P/P2R4/3R2K1 b - -,g8f7
r1b1nr1k/6bp/1pp2q2/4pp2/2B5/2N2N1P/PP1RQPP1/5RK1 b - -,e8d6
rr4k1/1ppqpp1p/1n4pb/p7/P1pPb3/2P1P1B1/2QN1PPP/RR4K1 w - -,d2e4
2kr3r/pp1n1pp1/1np1p2p/3p3P/3P1PP1/qPN1QPK1/P1P5/R1N4R w - -,c1d3
8/4q3/5R2/4P3/7P/4R1P1/3k1P1K/8 w - -,f6d6
r3qrk1/ppp3pp/3pbn2/5p2/2PPpB1P/2Q1P3/PP2BPP1/R3K2R b KQ -,e6f7
8/8/5p2/2R4p/5Pk1/pP1K2P1/P6P/4r3 w - -,c5a5
b1rr1qk1/4bp2/ppnppnp1/7p/P1P1PN2/BPN3PP/3R1PB1/1Q1R2K1 b - -,c6e5
