8/1k5p/4R1p1/P5P1/1P3P2/2r2K2/8/8 w - -,f3g4
3B4/1p3p2/4k1p1/7p/1b2PP2/1P6/4K3/8 b - -,b4d6
r4rk1/pp1nq1pp/2pb4/4pp2/2PP4/PP4P1/1B3PBP/R2Q1RK1 b - -,e5e4
r4rk1/pp4b1/3p2p1/4pn2/2P2Ppq/B2P4/PP1NQ1K1/R4R2 w - -,d2e4
r2r3k/2p3pp/p4p2/1pQ1pP2/PR6/2P3P1/3q1PKP/8 w - -,c5c6
4q1k1/ppQ2ppp/2p5/3p2N1/3P4/2P4P/P1Pn1PP1/6K1 w - -,g5f3
r4b1r/1pk2ppp/n1p1b3/p1n1p1B1/2P1P3/1PN2P2/PKB1N1PP/3R3R w - -,d1d2
4r2k/1b1nqp1P/pp3bp1/3Nn3/P1r1pN2/4B1QR/1PP3BP/5R1K b - -,b7d5
Q7/3q1k2/3p1pp1/2pP4/p1P2PP1/5K2/P7/8 b - -,d7e8
2r2rk1/ppq2ppp/2nbpn2/3p4/2PP2b1/1P3N2/PB1NBPPP/2RQ1RK1 w - -,a2a3
3r2r1/1p5k/p2p1p1p/2pP1P2/2P1p2Q/1P2P3/P7/2R1K3 b - -,g8g5
r5k1/B4p1p/5bp1/8/5P2/1Bn5/P5PP/5RK1 w - -,a7c5
6k1/1p3p1p/p3R1p1/8/BPbb4/P5B1/5PPP/6K1 b - -,f7e6
b5k1/6n1/4p1pp/2b1Pp2/1B1N1PP1/7P/2N4K/8 b - -,c5b6
2rq1rk1/pp1bppbp/2np1np1/8/3NPP2/1BN1B2P/PPP3P1/R2Q1RK1 b - f3,d8a5
1rb1r1k1/3n1pbp/pq1p1np1/2pP4/4PP2/2N2N1P/1PB3P1/R1BQ1RK1 b - -,c5c4
rn3rk1/pbq2ppp/1p2p3/2p1P3/2BPn3/P1PQ1N2/1B3PPP/R3K2R b KQ -,f8c8
1n1r2k1/1b6/p3R2p/1p3np1/8/P2P1N1P/1P4B1/R5K1 b - -,b7f3
1rr3k1/2qbbnnp/3p1pp1/1ppPp3/1P2P3/2P1B2P/R1BNQPP1/R4NK1 w - -,d2b3
B7/b7/3n4/3Nk3/8/3Kp3/8/8 b - -,d6c4
5rk1/2rp1qp1/4p2p/2b1P3/1pP1Q2P/pRP2N2/5PP1/4R1K1 b - -,b4c3
3r1r1q/p4p1k/1pp1b1p1/4P3/4PQp1/1PN3P1/P1PR3P/3R2K1 w - -,f4f6
6k1/7p/4b1p1/1PQ2p2/4q3/3NP1P1/5PKP/5B2 w - -,f2f3
4nk2/4nppp/1P1p4/4p3/N3q3/1PR3P1/P6P/2R3K1 w - -,a4b2
r2q1rk1/pbpn2pp/1p1p4/3Ppp2/2P1n3/4PN2/PP2BPPP/2RQBRK1 w - -,f3d2
3rr2k/1bq2ppp/p4b2/1p2pP2/2p1P3/P1N4Q/1PP1B1PP/3R1RK1 w - -,e2f3
8/4kp2/4p1p1/p3p2p/PpP1P3/1Pr4P/1R2KPP1/8 b - -,f7f6
r5k1/1p2b1pp/2n5/1p1rpp2/8/PN1PBKP1/1P3P1P/R2R4 w - f6,f3e2
6R1/5p2/5k2/pBr1pP1p/1p5P/1P6/2PK2P1/8 b - -,c5b5
5r2/4k3/4b1p1/ppb1p2p/2p1Pp1P/P1P2BP1/1PN1KP2/6R1 b - -,e6g4
r4r1k/pppn2pp/3b1n2/4Np1q/2QP4/4PN2/PP1B1PPP/R4RK1 w - -,e5d7
1n1r4/p1r1qkp1/P3p2p/1P2Pp1P/R2P1P2/3Np3/4Q1P1/4R1K1 b - -,b8d7
6k1/5p2/3p1pp1/P1pB4/3p4/3P2P1/1r5r/R3K3 b - -,h2e2
r5k1/p1p1rpp1/2pb1q1p/8/Q7/2N4P/PP3PP1/R3R1K1 w - -,c3e4
2r3k1/1qr1bppp/p1npp3/8/2P1PP2/3NQ1P1/P2N3P/2RR2K1 b - -,c6a5
r1r3k1/p4ppp/bp2pn2/8/2P5/P2BPN2/1P2K1PP/R2R4 w - -,b2b3
8/3N4/3b1k2/3n1pp1/3P3p/3BPK1P/5PP1/8 b - -,f6e6
5k2/3n1p2/1P2p1p1/3pP3/6PP/N3PN2/5K2/8 b - -,d7b6
r2q1rk1/ppp2pb1/2npbnpp/4p3/2P5/PPN2NP1/2QPPPBP/1RB2RK1 b - -,d8d7
4rr1k/1pq3pp/4PRn1/p1pB4/2Pp4/1P4Q1/P2PP2P/R6K b - -,c7g3
1r4k1/4rpb1/p1Rp1p1p/3PqB2/1p1p4/1P3QP1/P3PP1P/4R1K1 b - -,a6a5
1rb1kbnr/3pp2p/pp3p2/8/3NN3/2P2P2/PP4PP/2KR1B1R w k -,f1c4
2r2rk1/pp2p2p/4pnpb/4B3/3P4/N4P1P/PPP1KP2/R6R b - -,f6d7
8/8/6P1/1p6/pkbN1K2/3B4/1P6/6r1 w - -,d3e4
r4rk1/bpp1q1pp/p2p1n2/5P2/4pP2/1P1PP3/PB4BP/R2Q1R1K b - -,c7c6
Q5k1/5p2/3Bp1p1/7p/3b4/2n3P1/5PKP/4qB2 b - -,g8h7
r1b1rbk1/1pqn1ppp/2pp1n2/p7/P1PNPB2/2N5/1PQ1BPPP/3RR1K1 w - -,f4g3
8/3r2kp/1R3bp1/8/3pB2P/3P1PPK/8/8 w - -,g3g4
2rqr1k1/1p3pbp/p1bppnp1/8/2P1P3/1PN1BP2/P2QB1PP/1R3RK1 w - -,f1d1
2q1n1k1/3r2pp/1pb1pN2/2p2p2/2P5/P3P2P/1B1R1PP1/2Q2BK1 b - -,e8f6
r1bq1rk1/pp2ppbp/1np2np1/8/3PP3/5NP1/PPQ2PBP/RNB2RK1 b - e3,c8g4
r2q1knr/1p1n1ppp/p2p4/2pPp3/4P3/2N3QP/PPP1BPP1/2R1K2R w K -,e2g4
r2q1rk1/pb2bppp/1pn1pn2/6B1/3P4/P1NB1N2/1P3PPP/R2QR1K1 w - -,d3c2
8/5kpp/2N5/p7/3PK3/1r5P/6P1/8 b - -,a5a4
6k1/5bp1/5p1p/1Q6/3q3P/1p3PB1/3N2PK/8 b - -,d4d2
5k2/5ppp/1p1Rr3/pP6/P1b5/7P/6P1/3R3K w - -,d6e6
6k1/5p2/2R3pp/2P5/8/1r4PP/5P1K/8 w - -,g3g4
r1rq2k1/3bbnnp/R2p4/1p1PpP2/1B6/2P1NN1P/2B1QP2/R5K1 w - -,f5f6
2r3k1/r5bp/3Bppp1/ppP1N3/3Pb3/1P5P/5PP1/R1R3K1 w - -,e5f3
rnb1kb1r/p4ppp/1ppqpn2/8/3P4/2NB1N2/P1P2PPP/1RBQ1RK1 w kq -,c1g5
4kb1r/1p1nppp1/p1rp4/6Bp/2B1PN1P/5P2/PPPR2P1/1K5R b k -,c6c4
r2qk2r/pp1nbp1p/2p1ppbB/8/2BP3N/8/PPP2PPP/R2QR1K1 b kq -,d7b6
5rk1/2q3pp/1pp5/p1p3nb/2P4n/1PNPP1PP/P2B2BK/2R3Q1 w - -,h2h1
2r2rk1/1b1n1pbp/p2p2p1/1pn5/4Pp1B/PNNB4/1PP3PP/4RR1K w - -,b3c5
1kr5/1pr1bpp1/pq2p1p1/n2pP3/Q2P1P1P/3R1NP1/1P4K1/3B3R w - -,b2b3
1r2r1k1/1qn1ppbp/pNbp2p1/B7/1P2P3/4QPPB/7P/2RR3K b - -,c7b5
4k2r/qpnrnpp1/p1p1p3/4P1Bp/P2P3P/1P3Q2/3R1PP1/1B1R2K1 b k -,c7d5
r1b1k1nr/pp3pb1/2p3pp/1N1q4/8/4B3/PPP2PPP/R2QKB1R b KQkq -,d5e5
8/p2q1k1p/1p6/2PprppP/3Q4/8/PP3PP1/2R3K1 b - -,e5e4
r4rk1/1bqnbpp1/p1npp2p/8/Np2PPP1/3PB2N/1PP3BP/R2Q1RK1 w - -,g4g5
r4r2/pp1b3k/2n1p2p/2b5/2N1p2P/4B3/PP2PP2/R2R2K1 w - -,d1d7
r1bqk2r/1p2npbp/p1npp1p1/8/4PP2/2NB1N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
2r3k1/p4pp1/1bRr4/6qp/8/4PQP1/PB3P1P/2R3K1 b - -,d6c6
r2q1rk1/pp2bppp/2pnpnb1/8/3PP3/1N3PP1/PP2Q1BP/RNB2RK1 b - -,f6d7
r1b1k2r/ppp1qpp1/2np1n1p/2bNp3/2B1P3/3PBN2/PPP2PPP/R2Q1RK1 b kq -,f6d5
2rq1r1k/p2nb1pp/bp2Qn2/3p1p2/P2P4/1P3NP1/4PPBP/RNBR2K1 w - -,e2e3
4r1k1/5p2/p4rpq/1pNP1P2/1P1R2Q1/P5RP/8/7K w - -,c5e4
r1bq1rk1/pppnppbp/3p1np1/8/3PPP2/2NBBN1P/PPP3P1/R2QK2R w KQ -,d1d2
3rbr1k/1p2q1pp/2p1p3/p1bpP3/P1P2P2/1P4P1/1B2Q1BP/3R1R1K w - -,c4d5
3rk1r1/1p2qp2/pNbpp3/7R/2P1P1nQ/P1N5/1P6/1K3R2 w - -,h4h3
r5rk/3P1p2/3P2p1/2Q2n1p/2P2P1q/8/5RBP/5RK1 b - -,a8d8
5rrk/1p4q1/4Rn1b/p2p4/2PN4/1P3B1R/P1Q4P/7K w - -,c2c1
1r6/ppp1k1p1/3p1pb1/PP2p1n1/2B1P1P1/2PPKPN1/8/7R b - -,b8d8
1r3rk1/1bqpbpp1/2n2n1p/p1p1p3/2P1P3/PP1N2P1/1BQN1PBP/R3R1K1 b - -,b7a8
r3r1k1/2q2pb1/2p3pp/p1p5/P1P5/2nRBN1P/2Q2PP1/2R3K1 b - -,c3e4
3Qr1k1/rp4pp/1Np4b/p1P5/3PRP2/1PB3P1/P7/6K1 b - -,e8d8
6k1/1p6/p1p4p/2Pr2p1/1P1p4/P2R3P/5PP1/5K2 w - -,f1e2
