8/4k3/2K1p1N1/3p2P1/3P1P2/8/4n3/8 b - -,e7f7
r4rk1/1b3Npp/p3Qn2/qp1B4/3P4/2N5/PP3PPP/2RR2K1 b - -,f6d5
8/pR3pk1/P5p1/7p/6n1/6P1/3r1PK1/2RN4 w - h6,b7a7
r1bq1rk1/1p1np1bp/n1p3p1/p2p1p2/1PPP4/P1B1PPP1/3N3P/RN1QRBK1 b - -,a5b4
8/8/2p5/3p1k2/3P1Pp1/3K2P1/4N3/4b3 b - -,e1f2
8/8/8/pNb5/P7/1P1k1p2/8/4K3 w - -,b5c7
rnbq1rk1/pppp1ppp/4p3/8/1BPPn3/P4N2/1P2PPPP/R2QKB1R b KQ -,d7d6
1nq2r2/2p3kp/p5p1/1bP5/1pB5/5P2/QP1R2PP/2KR4 b - -,c8e8
r1bqr1k1/ppbn1ppp/2p1pn2/8/1PpP4/P1N1P1N1/1B2BPPP/2RQK2R w K -,e2c4
r1bqr1k1/3pbpp1/p4n1p/1pp5/3QP2B/1BN5/PPP2PPP/R3R1K1 w - c6,d4d3
5k2/4bpp1/1q1p2p1/4p3/2QnB3/1p2BP2/2p2K1P/7R w - -,h1a1
r4rk1/pp4bp/2p1qpp1/N4P1n/P7/3PB3/1P3Q2/R4RK1 b - -,e6e5
6k1/6p1/7n/p2RR3/1p6/2r4P/5K2/8 w - -,e5e3
r2q1rk1/p4ppp/8/1p2n3/4Qn2/1B2N2P/PP3PP1/R3R1K1 b - -,e5d3
2k4r/pb1q1p2/1p2pBpp/2p1P3/2n2P2/P1P5/6PP/3BQRK1 b - -,h8g8
1rb1r1k1/1pq2p1p/p2b1np1/P1p1n3/3N4/2N1P2P/1PQBBPP1/R2R3K w - -,d4b3
8/pp2n1p1/8/4Np2/3k4/6PP/PP2KP2/8 w - -,e5f3
3B2n1/1Q5p/1P3ppk/pKq5/1b2R3/6PP/P7/8 w - -,b5a6
8/p5b1/8/1Ppk1r1p/3p1P2/P5P1/2R3KP/2R5 b - -,g7f8
4r1k1/R2Nr1p1/1pp4p/3n4/3P1p2/3KP3/5P1P/R7 w - -,d7e5
6k1/1r2r3/4qpPQ/1pp2b2/3p4/1P1B4/1BP2PP1/3R2K1 w - -,b2a3
rnbqkbnr/p1p2ppp/1p2p3/3p4/8/2PP1N2/PP1NPPPP/R1BQKB1R b KQkq -,c8b7
r2qr1k1/2p3b1/1p1pBnp1/pN2p3/2P1P3/1P2B1P1/P3QP2/3R1RK1 b - -,e8e6
r1bqk1nr/pp1pppbp/2n3p1/2p5/4P3/2NP2P1/PPP2PBP/R1BQK1NR b KQkq -,b7b6:a8b8:d7d6:g8f6:e7e6:e7e5
2r2bk1/3R2p1/p3np1p/4pN1P/P5P1/4BP2/2q3K1/4Q3 w - -,g2g3
3r1kr1/1ppq2p1/p1p2pQp/2b1pP2/2P4R/3P4/PBP2PPP/4R1K1 w - -,h4h6
3r2k1/2p1q2p/1p1p1r2/p2Pnp2/2P1p1p1/1P2P1P1/PQ3PKP/2RRN3 w - -,e1c2
r1b1qrk1/bpp2ppp/p2p2n1/4p1Bn/4P2N/1BPP3P/PP3PP1/R2QRNK1 b - -,h5f4
2r3k1/p1qb1pp1/Bp1p3p/n1rPp3/PR2P2P/2P1N1P1/2RKQP2/8 b - -,c8f8
1k1r4/1pp3p1/1bnp4/1R2p1q1/P1P3bp/2N1PQ2/3P1P2/2B1K2R w K -,f3e4
r7/8/P7/1K3pkp/R5p1/6P1/5P2/8 b - -,h5h4
2b2rk1/pr1n1pb1/2Bp1q1p/2pP2p1/4P3/R1N2N2/1PQ2PPP/4K2R b K -,b7b4
r5k1/1p1r1ppb/1qp1pb1p/p1n5/2P1P3/PPQ5/1B1NBPPP/3R1R1K w - -,e4e5
7k/6p1/5pbp/4p3/1nP1N3/6P1/r3B2P/4RK2 w - -,e4d6
r3r1k1/1pB2pp1/p5bp/8/8/Pn5P/1P3PP1/3RRBK1 b - -,e8e1
5k2/8/4BP2/4r1p1/1p2N2p/2pK1P2/8/8 w - -,e6g4
2R5/5p1k/n3p1p1/2n3Pp/2P2P1P/3rNK2/5N2/8 b - -,d3d4
1rr3k1/p3q2p/3bb1p1/5p1n/3BP3/P4PP1/1P2BN1P/R2QK2R b KQ -,e6b3
8/4N3/5pKp/6bP/6k1/8/8/8 w - -,e7f5
r1bqkn1r/ppp1bppp/5n2/3p2B1/3P4/2NB1N1P/PPP2PP1/R2QK2R b KQkq -,f8e6
r5k1/q3pp1p/3p2p1/3Pb3/b3P3/P4QPP/5PB1/2B2RK1 b - -,a4b5
8/8/2kbN1p1/2p2p2/P1K1p3/1P3P2/8/8 w - -,f3e4
r5k1/1p3pp1/8/p3rNnP/Pn3K2/3pP2B/1P6/R6R b - -,f7f6
r1b2rk1/pp1n2p1/2n1pq1p/3p4/8/2PB1NB1/P1P1QPPP/2KR3R w - -,h1e1
2rq1rk1/1b1p3p/p3pbp1/1p3n1P/3PN3/2P5/P1B1QPP1/R1B2RK1 b - -,f6g7
5rk1/p3Qppp/qp6/8/2n2PP1/P6P/1PP5/1KB1R3 w - -,b2b3
8/8/2p4p/3p4/5P2/r1Pk3P/7P/2R3K1 b - -,d3e4
8/p2p3p/3Pk1p1/1P2p3/1B1b4/8/P3K1PP/8 b - -,e6d5
r2qr1k1/1pp1npb1/3pb1pp/pP2p3/2P5/P1NP2P1/2QNPPBP/1R3RK1 b - -,a8b8
8/8/Prp5/K5k1/8/8/7p/R7 b - -,b6b5
r1bqk2r/1p2bppp/p2ppn2/6B1/3QP3/2N5/PPP2PPP/2KR1B1R w kq -,f2f3
3r3r/pp2k1pp/2p1n1b1/4Np2/5PP1/2P4P/P5B1/R3R1K1 w - f6,a1b1
r1b2k2/1p2np2/p1n1p3/2rpP3/7P/P1PB1NP1/5P2/2R1R1K1 b - -,c8d7
r4rk1/1p1q1pp1/2pP1np1/4p3/npB1P3/4BP2/1P2Q1PP/R2R2K1 b - -,f8c8
rn1qkb1r/pb1p1ppp/1p2pn2/2p3B1/3PP3/2P2N2/PP1N1PPP/R2QKB1R b KQkq e3,c5d4
1r6/p2r2b1/2p1b3/2B1p2k/1p2P1p1/1PpB1P2/P1P1K3/R6R b - -,h5g6
1r3rk1/1b1qbp2/4n1p1/2p1P2p/1p4Q1/5N1P/1P1N1PP1/RBB1R1K1 w - h6,g4g3
r1b2rk1/2q1b1pp/2p2n2/p1Ppp3/Np1P3B/1P1BP3/P3Q1PP/R4RK1 w - -,h4g3
8/2R5/8/2p2kp1/3r4/4K3/8/8 b - -,d4d5
B1b1nrk1/q4pbp/p2P1np1/8/3P1B2/2p2N1P/PP3PP1/2RQ1RK1 b - -,a7a8
R7/2B5/2p3p1/2bb1kP1/5P2/6K1/8/8 w - -,a8d8
2b5/R5p1/5k2/5n1p/5P2/5K2/8/8 b - -,g7g6
7R/8/1bkp4/7P/8/7r/3K4/8 b - -,b6d4
2b5/1p6/p1p5/P1Nk1p2/1P4p1/3K2P1/7P/8 b - -,d5e5
5k2/6pp/5p2/2n1p3/2N1P3/5P2/5KPP/8 w - -,f2e3
2b5/p4pk1/1n1K3p/n1p5/2P5/P2BP3/3N3P/2R5 b - -,b6a4
r3k2r/ppqn1ppb/2p1pn1p/2bp4/3N1P2/2PPB1PP/PP2P1BK/RN1Q1R2 w kq -,b2b4
r3k2r/pp2qpp1/2p4p/3nnP2/8/1P2P2P/P1QNBP2/R3K1R1 b Qkq -,e8c8
r1b1nNk1/3n2pp/p2p1b1B/8/1p2P3/6Q1/PPq1NPPP/3R1R1K b - -,g8f8
2r3kr/p6p/1p3Bp1/2p1N3/8/4R2P/PPP3b1/2K5 b - -,c8f8
2q1rrk1/p2b2pp/2pp4/2p1p1b1/2P2n2/1PBP2NP/P4PPK/3RQRN1 b - -,d6d5
8/6pk/3P4/4p2p/4P2P/3R1p1r/7r/4RK2 b - -,h2a2
4rb1k/1p1qrpp1/p1p4p/2P2b2/1P1pBP2/PQ1P2P1/3NRK1P/4R3 b - -,f5g4
rnb1k2r/pp2ppbp/6p1/q1p5/3PP3/2P1BN2/P2Q1PPP/R3KB1R b KQkq -,c5d4:b8c6:e8g8
qr4k1/5p1p/p1bpp3/P1p1b1P1/1r2P1P1/1P3B2/R1P1Q1KP/3NR3 b - -,c6b5
3r2k1/p4ppp/8/N2b1q2/3QnP2/4P1P1/P6P/3R1BK1 b - f3,f5g4
r4rk1/1b1pq2p/1p1ppn2/5pp1/1pPP4/3BPPNP/PP4P1/R3QK1R w - -,e1b4
1r2rbk1/p4p1p/n3bNp1/2p1p3/2B1P3/1P2B3/P2q1PPP/1RR3K1 b - -,g8h8
r1b2r2/p1p2p1n/1p1ppk2/6RP/3PP3/2NP1qN1/PP1Q4/1K5R b - -,f6e7
3r2k1/p3rpp1/Nppq4/8/1Q1P3P/P5n1/5P2/2R2RK1 w - -,c1e1
8/4b3/pk4r1/2p1p1pp/2P1P3/4BP1P/1P2K1P1/R7 w - -,a1d1
8/3r2k1/pp5p/2b1pp2/2P2Pb1/1P1B2P1/P2B3P/2R2K2 w - -,b3b4
2rqkb1r/1b3p1p/pn1p1np1/1p2pP2/4P2P/P1N1NB2/1PPBQ3/2KR3R w k -,h1g1
r1b2rk1/ppqn1ppp/2n1p3/1BP5/1Q2P3/P1P1BP2/6PP/R3K1NR w KQ -,b4a4
r1bnr1k1/p1q2p2/3b1PpQ/1pp1p3/4P2P/2P3P1/PP1N2B1/R1B1R1K1 b - -,d6f8
4rqk1/2bn2p1/1p3r1p/p1p2p2/P1P5/2P2N2/2QB1PPP/1R2R1K1 b - -,d7e5
r2qkb1r/pbpp2pp/1p2pn2/2nP1p2/2P5/P1N2NP1/1P2PP1P/R1BQKB1R w KQkq -,f1g2
r1bqnrk1/3n1pbp/pp1p2p1/2pPp1PP/P3P3/2N1B1N1/1PP2PB1/R2Q1RK1 b - -,a8a7
