8/R6k/6p1/4B3/4P2p/5B1P/4K1P1/2q5 b - -,h7g8
8/p4pk1/6p1/3r2P1/8/2P1R3/PPK5/8 b - -,d5g5
2rq1r2/1p2p1kp/p2pQppb/8/2P1PP2/1PNn4/PBR3PP/5RK1 b - -,d3f4
1r2k3/5p1p/p1p1r3/1qb5/2p1b2P/2B1P1P1/P3BP2/R1Q1K1R1 b Q h3,b8d8
8/p2r4/1pp5/4p2R/P1P2k2/1P6/4K2P/8 w - e6,h5h4
1rbq1rk1/4bpp1/p2p1n1p/2p5/2P1Pp2/2NP3P/1P4PN/R1BQ1RK1 w - -,f1f4
r1bqkb1r/p4ppp/2p1pn2/3p4/3P4/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,f8d6
8/1p2kp1p/4n1p1/8/Pr4P1/4RK2/7P/8 b - -,b4b3
7Q/4rk2/8/5K2/8/8/8/8 b - -,e7e1
r1b1nrk1/pp1pn1pp/4p3/1N2Pp2/8/2N5/PPP2PPP/2KR1B1R b - -,e7g6
3r2k1/p3rb1p/2R2ppb/2N1p3/3q4/1P3BP1/P3QPP1/5RK1 b - -,f6f5
5Q1R/7p/p5pk/1p3p2/3q4/6PP/P4P1K/3r4 b - -,d4g7
8/4bk2/8/3nN3/R6p/5P1P/P5K1/8 b - -,f7e6
4R3/7p/6p1/2p5/pp5P/1k2p1P1/1P6/4K3 b - -,b3b2
r3r1k1/pp1nqpbp/2p2np1/4p3/2PP4/2NBP2P/PB2QPP1/R2R2K1 w - -,e2c2
2k5/pp3Q2/4p3/5p2/2qrp3/6P1/P4P2/4KR2 w - -,f7f8
r4rk1/pb4p1/1pnqp2p/3n1p2/8/PN1BPN2/1P3PPP/R2Q1RK1 w - -,d3c4
1rr3k1/pq2n1pp/4p3/3PP3/2PR1p2/P1Q1pP2/1B5P/1K2R3 b - -,e7d5
8/6pp/5p1k/P1R5/5KP1/r7/8/8 w - -,c5h5
8/b4pk1/p5pp/r2b4/3PB3/5P2/3R2PP/1R5K w - -,h2h3
r3b1k1/4nrn1/p2pN1pR/qppP1p2/2P1p3/1P2P1P1/P3NPB1/Q2R1K2 w - -,e2f4
3bk3/7p/6pP/p6r/2N5/8/8/3R3K w - -,h1g2
8/1p4p1/p6k/P7/1P3q1p/2Q5/5PK1/8 w - -,c3e1
8/8/5nb1/5k2/3P2p1/4K1Bp/8/5N2 b - -,f6d5
4q2k/p3r1pp/1p6/3P1p2/2P5/R4P2/P1nQ2PP/3K4 w - -,d1c2
r5k1/ppp4p/3pb1p1/4n1q1/2P2N2/4P3/PP4PP/2RQ1BK1 b - -,e6f7
r1b2rk1/1p2bp1p/p3p3/4qp2/2B5/1P2P1N1/P1Q2PPP/2RR2K1 b - -,e7a3
r1bqr1k1/p1pp1ppp/2p2n2/2b5/4P3/2NB4/PPP2PPP/R1BQ1RK1 w - -,c1f4
6k1/R7/P7/7P/2K2r2/8/8/8 w - -,c4d5
r5k1/1pq1bpp1/2p1p1p1/p1nrP3/8/1P2QNP1/PBP2PKP/R3R3 w - a6,b2d4
r1bqk2r/pp3ppp/2n1pn2/2bp4/4P3/3B1N2/PPPN1PPP/R1BQ1RK1 w kq -,c2c3
5rk1/1pp2rp1/3pp2p/p3Q3/4P1R1/2P3RP/PP3PP1/6K1 b - -,d6e5
3rr3/pp2q1kp/6p1/P1pP4/2P1Pp2/2Q4P/5P2/R2R2K1 b - -,g7g8
3r2k1/4bppp/p3p3/P3P3/2P2P2/1QNpq3/1P6/3R2K1 w - -,g1g2
r5k1/b5p1/p2B4/1p2pr2/8/2PbP2P/1P1N2R1/R3K3 b - -,a7e3
1kr4r/1p3p1p/p3p1p1/PP1b4/3q1P2/R2B4/2P1Q1PP/1R5K b - -,a6b5
r5k1/1bp1rpp1/p6p/1p3n2/4pB2/P1N4P/BPP2KP1/3RN3 w - -,g2g4
3rr1k1/1b1qb1pp/p7/3pPp2/1p1P1N2/1QR5/PP3PBP/3R2K1 w - -,c3c2
8/3k4/7p/p1P5/r1B1p1P1/PK4P1/7P/8 w - -,b3a4
r4k2/2pq2bp/p1np2p1/5p2/P1QP4/5N2/1PPB1PPP/R5K1 w - -,a1e1
1rbqr3/p1n2pkp/1p1p1np1/3P4/2B4Q/2N2N2/PP3PPP/R4RK1 w - -,f3d4
3r2k1/4q2p/1p4p1/p1pppr2/P4P2/2P5/2PQ2PP/RR4K1 w - -,b1b6
5bk1/1bp1rr2/1p2p3/1B1pP1p1/PP1P2N1/5pPP/1PR2P2/2R3K1 w - -,g4f6
2r3k1/3qn1bp/p2p2p1/1prPpp2/4P3/PQNP1PP1/3B2KP/R1R5 w - -,a3a4
r1bq1rk1/ppp2ppp/8/4b3/2BnP3/2N2Q1P/PPP2PP1/R1B2RK1 w - -,f3d3
r2r2k1/2q2ppp/n4n2/p1p2Q2/PpN2N2/1P2P3/5PPP/R2R2K1 b - -,d8d1
8/p7/1p2k3/5R2/3Bp3/1P2K1P1/8/2r5 w - -,f5b5
8/7p/8/1pB2k2/1P3P2/1r3PK1/7P/8 w - -,c5d6
6k1/1p5p/2b1pqp1/pN6/2PpP1Q1/1P1Bb1P1/P4r1P/4R2K b - -,h7h5
4r3/1p3pk1/p1p5/2P3p1/4b1P1/P2B3K/1P3P2/2R5 w - -,d3e2
r1bqk1nr/pp2bppp/2n1p3/2p5/3pPPP1/3P1N2/PPP1N2P/R1BQKB1R b KQkq g3,c8d7
8/8/pp2b3/4k3/P3p3/1PK4p/2N2b2/7B b - -,e6g4
r5k1/1pq1rppp/p3bn2/3p4/3N4/PQ5P/1PP1NPP1/R3R1K1 w - -,b3c3
rnbqkbnr/pp4pp/2p1p3/3p1p2/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,g8f6:f8d6
r3kb1r/pp1bnppp/1qn1p3/3pP3/3P4/P2B1N2/1P3PPP/RNBQK2R w KQkq -,d3c2
2rq1rk1/1p2bpp1/1np4p/p2pP3/P2P1P2/1P1QB1NP/6P1/3R1RK1 w - -,f4f5
r1bq1rk1/1p2bppp/5n2/pP1pn3/8/P1NBPP2/2Q1N1PP/R1B1K2R b KQ -,c8e6
r2r4/2pbqpbk/p5pp/np1Bp3/4P3/4BN1P/PPPRQPP1/5RK1 b - -,a8c8
r7/2b2kp1/2p2n1p/1pP2N1P/pP1Prp2/P7/2K2BP1/3RR3 b - -,a8e8
r1bq1rk1/p4pbp/1pnpp1p1/2p2P2/4P3/2NP1QP1/PPP2BBP/R4RK1 w - -,f2e3
r2q1r2/1p1nppkp/2p3p1/p2n4/8/1P1P2P1/P3PPBP/RN1Q1RK1 w - -,e2e4
3R4/8/r1pp2k1/7p/8/2P5/6K1/8 w - -,d8d6
r5k1/3q1pb1/1np1p1p1/1p5p/rP1P3P/2P2RP1/2Q2P2/1BB1R1K1 w - -,c2e4
5k2/4qbpp/8/1P2p3/4B3/1P2P1P1/3Q1PKP/8 w - -,b5b6
rq2r1k1/1p1n1pp1/p1p1n1p1/2Pp2b1/1P1P4/5PP1/P2BNR1P/1BRQ2K1 b - -,g5f6:a6a5
4k3/p1R5/1p3p1p/2b1nNp1/4P3/6P1/r4P1P/2R3K1 w - -,c1d1
4r1k1/5p2/p5p1/P2P1b1p/2P1q2P/2Q3P1/5P1K/2R5 b - -,e4e2:f5g4
r2qkn1r/pp2bpp1/2p2n1p/3p4/3P4/2NbPPN1/PPQ2BPP/R3K2R w KQkq -,c2d3
r1bqr1k1/p1p2p2/2p2n1p/8/3P2pN/2N3P1/PPQ3PP/R4RK1 b - -,d8d4
8/4k3/3p2K1/3Pp3/2N1P3/P1n5/8/8 w - -,c4d2
2r5/1k1p3p/p3p3/R1P1Ppp1/1P6/6PP/5K2/8 b - -,c8a8
2r5/1b3q1k/4p2p/p2pPp2/1p3P1Q/4P1R1/PP1KB2P/8 w - -,e2h5
2r4k/8/4p1pp/3p4/3n4/1Bp5/P5PP/2KR4 b - -,d4b3
r2r1k2/1p3pb1/p2p2pp/8/PnRP4/5NBP/1P3PP1/4R1K1 b - -,b4d5
r1bqkbnr/pp3ppp/2n5/3p4/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,f1b5
4r1k1/p1r2pp1/2p2q2/3p3p/3P3P/1P1NPPPb/5Q2/2R1R1K1 b - -,g7g5
r2qr1k1/1p1n1pp1/2p3p1/p1Pp4/1n1P2Pb/4B2P/PPNQBPK1/R4R2 b - -,b4c2
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2N2N1P/PPP2PP1/R1BQKB1R w KQ -,f1d3:f1c4:c1e3:f1e2:c1f4:c1g5
6r1/p7/k2p3Q/2p5/2n5/2B2qPP/P4P2/1R4K1 w - -,h6h4
3r1rk1/pppn1ppp/4p3/2q1P3/2P2P2/1PN1R3/P1Q3PP/R5K1 w - -,a1e1
r2r2k1/2q2pp1/p1P1bn1p/NpQp4/1P1Rp2P/6P1/P3PPB1/R5K1 b - -,g8h8
8/1p2r1k1/2p5/p1N2p2/P2P1n2/1P3P2/2R2K2/8 w - -,f2g3
1r1r1qk1/1p3ppp/p3p3/3n4/3N4/1Q2P3/PP3PPP/2R2RK1 b - -,f8b4
