8/8/4p3/2Pk1p1p/3PpP2/4Pn2/5BK1/8 w - -,g2h3
1r1qr1k1/5pbp/p5p1/1bBP4/8/R6P/2P1NPP1/3Q1RK1 w - -,a3e3
1rr3k1/1n1bqpbp/2pp1pp1/1p6/1Q1PN3/1P2P1P1/P3NPBP/2RR2K1 w - -,b4d2
2rqrbk1/1b3pp1/4p2p/p2pP2n/1pnN1P2/8/P1B1RQPP/B1RN3K w - -,g2g4
8/2q1bkp1/1p3pp1/pQn1p3/P1P3NP/1P2B1P1/3r1P2/6K1 w - -,e3d2
r3qk2/1pp2p1Q/3p4/p1nP3p/2P2n2/6RP/PP3PBK/8 b - -,f4g6
2r4r/pp2kpp1/2p3n1/2N1P3/2P4p/5b1P/PP1R1PP1/4R1K1 w - -,d2d7
k2q1rb1/pp2n1p1/2n1p2p/3pP2P/P1pP2BN/Q1P1B3/2PK1P2/R7 b - -,g8f7
2rqnrk1/p2bpp1p/1p1p2p1/1B2b3/2P1P3/1PNQB2P/P4PP1/2RR2K1 b - -,e5c3
r5k1/pp3ppp/1n2p3/2q1P3/3rb3/6Q1/PPPB2PP/1K1RRB2 w - -,f1d3
r1bk1b2/2R1pp2/ppNP2pp/nB2P3/8/6B1/P4PPP/6K1 b - -,a5c6
r1k1r3/1p5p/p1nQ1pq1/3R1p2/5R1P/4P3/PPP3P1/2K5 w - -,d6d7
r6r/1pkn1pp1/p1pNp1b1/2Pp4/1P1PP1Pp/2P2P1P/8/2R1KBR1 w - -,c1a1
4rbk1/2q2ppp/5nb1/1p2B3/3Q2P1/1B3N1P/1P3P2/4R1K1 b - -,c7a5
5bk1/5ppp/3p4/2p3N1/8/2Pb4/1P3PPP/q1B2QK1 w - -,f1e1
r4rk1/1q4p1/p3Q1Np/1pp1p3/6P1/7P/PP3P2/3RR1K1 b - -,g8h7
1r2qrk1/1p2ppbp/p2p1np1/2nP4/P7/RP4PP/1BNQPPBK/5R2 w - -,c2d4
8/R4P2/3pn1P1/4p3/4k3/8/5r1K/8 w - -,h2h1
5k2/7R/1r6/5P2/5K2/8/8/8 w - -,f4g5
8/1p6/p4rpp/2b5/PnB1k1P1/1P4K1/3R1p1P/3R4 b - -,h6h5
1k3br1/1p3p2/1q1pbp2/pB3N1p/P3P1rP/5Q2/1PPR2P1/1K5R w - -,h1d1
4r2k/1r3pp1/3p2qp/1p3Nb1/p2nP3/2P4P/1P2Q1P1/R4R1K w - -,c3d4
r7/5p2/1P2p1pp/7P/1R1PkP2/8/5K2/8 b - -,e4f4
8/4k3/2P3R1/3p3p/2pN1P2/2Pn2PK/r6P/8 b - -,d3f2
2r1r1k1/pp1np2p/3p1pp1/3b1P2/q1nBP2Q/2P5/P3B1PP/R4R1K w - -,e4d5
2r3k1/6p1/1n3q1p/1Bpp4/6Q1/rP6/5PPP/4RRK1 b - -,a3b3
qR3nk1/5pp1/4rnbp/4p3/1Q2P1P1/4rPN1/7P/1R3BK1 b - -,a8b8
2r3k1/1b2q1bp/6p1/3pP3/rPp3P1/P3P2P/1Q2B2B/1K2R2R b - -,c8a8
2rr2k1/pbq1bpp1/5n1p/2pp4/8/1NN1PBP1/PPQ2PP1/2RR2K1 w - -,c3a4
r1r4k/p2bq2p/2p1p1p1/1pPpPp2/1P1P4/P2BPR2/5QPP/5R1K b - -,h8g7
8/8/1p1k1p2/p2ppBPp/1P3P1P/P3Pb2/8/4K3 b - -,f6g5
5r2/pp5R/2b1p1B1/8/6k1/4K3/PPP4P/8 w - -,g6e4
r1bqk2r/p5b1/2p3pp/n2npp2/8/1P1B2N1/P1PP1PPP/RNBQ1RK1 w kq -,c1b2
r1bqkn1r/pp2ppbp/2p3p1/2p5/P3P3/3P1N1P/1PP1QPP1/RNB2RK1 b kq a3,e7e5
r1bqkbnr/1p1ppppp/p7/2p5/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,g7g6:b7b5
4r3/kp6/2p3r1/p2p1ppR/3P4/2P1PP2/P3R1P1/4K3 w - -,e1d2
2krb2r/p2n1pRp/2p5/q3pP2/1pP1P3/4B3/P1P1B2P/1K1RQ3 b - -,d7c5
r4rk1/5pp1/1np1pq1p/p7/2PPR3/P5P1/3B1P1P/R1Q3K1 w - -,a1b1
r1bb1rk1/pp3ppp/2n5/8/2B1N3/P4P2/1PP3PP/2KR2NR b - -,c8f5
4r3/ppnk3p/1b2p1p1/8/P3B3/1RB3P1/4RPKP/3r4 w - -,a4a5
2kr4/6pp/P1p1q3/1p4r1/3Bb3/2Q4P/1P3RP1/R6K w - -,a6a7
8/1p6/p2R3p/2P1n1p1/1P2P1k1/Pr1B4/5K2/8 w - -,d3e2
8/N1pk1p2/K2p1b2/3PpPp1/2P1P1Pp/7P/8/8 w - -,a6b7
8/p4pkp/1p4p1/2n5/8/2N5/Pr3PPP/2RR2K1 w - -,g2g3
3r2k1/p3bppp/2p1p3/4P3/P4B2/1P6/5PPP/1R4K1 w - -,g1f1
1r1qr1k1/QPp2pp1/5n1p/8/2P5/3N1bP1/P4P1P/1RB2BK1 b - -,f6e4
r2q1rk1/1p1n1pbp/p2p2p1/2pP2B1/P3P1Q1/2N5/1P3PPP/R4RK1 b - -,d8c7
2r2rk1/p3pp1p/2q1n1p1/1Q6/8/2P1B3/P4PPP/R4RK1 w - -,b5c6
1b6/8/1PB4p/5k2/5n2/4BK1P/5P2/8 b - -,h6h5
r3r1k1/2b2ppp/pp4bP/4p1P1/8/5PN1/PPPN4/2K3RR w - -,d2e4
r2qk2r/1p2bppp/p1n1p3/8/3P1B2/1PP2N2/5PPP/R2Q1RK1 b kq -,e8g8
2r5/5n2/5k1p/1p1pP3/p7/3N3P/2NK2P1/8 b - -,f7e5
rn1qk2r/pp2b1pp/2p1bp2/3P1p2/3P4/2NBP3/PP3PPP/R2QK1NR b KQkq -,e6d5
6r1/8/p1k4P/2P1p3/1pP5/1P2K3/8/2N5 b - -,g8h8
1r2rbk1/1R3p1p/4q1p1/1ppn2B1/1P2B3/5n1P/4NPP1/3QR1K1 w - -,e4f3
2q3k1/pp4pp/4p2r/1b2Np2/PP1PpP2/4P1P1/5P2/R2Q2K1 b - -,b5c6
r1b2k2/1pq3pp/p2pP1n1/3P4/4P2b/1NN1p2Q/PP4PP/R5K1 w - -,g2g3
8/8/8/5pk1/R7/5K2/7r/8 b - -,h2b2
3N2k1/6pp/1pR2n2/2b5/1q2r3/5Q2/P5PP/5R1K b - -,e4e1
rn1q1rk1/pn1p1ppp/1p2p3/1N6/2P5/2P1Q1P1/P3PP1P/R1B1K2R w KQ -,c1a3
r4r2/1bpqbpk1/pp2pNp1/3nP2p/P2P3P/3B1NQ1/1P3PP1/2RR2K1 b - -,e7f6
r1b2rk1/pp2qppp/1bn2n2/3p4/3N4/2P2N1P/PP2BPP1/R1BQK2R b KQ -,f8e8
8/6kp/2q1pNp1/p2p1nPP/1p1P1P2/1P1QP3/P4K2/8 w - -,h5g6
r3r1k1/2qbbp1p/1n1p1np1/pp2p3/1PpPP3/P1P2NNP/1BB2PP1/R2QR1K1 w - -,d1e2
3r2k1/2q2ppp/4p3/2rbP1P1/1R5P/Q7/1BPR4/2K5 b - -,d8c8
8/3nrpk1/2p1P1p1/8/2B3PP/4R3/6K1/8 b - -,d7f8
8/2q2ppk/1n3b1p/1p2p3/1Pp1P3/P4N1P/1B1Q1PP1/6K1 b - -,b6a4
8/1pk4p/p1n2B2/1bP1p3/5p1P/P6B/1R2PP1K/r7 b - -,a1a3
1Q3k2/4b2p/b4pp1/8/N4P2/6P1/PPP4P/1KBq4 b - -,f8f7
8/1BP5/4bkp1/8/2P5/4K3/8/8 w - -,c7c8q
rnb2rk1/p3p1bp/1q2Ppp1/2N5/2pP4/5Q1P/PPP2PP1/R1B1K2R w KQ -,e1g1
r2q1rk1/1p3ppp/2p1pn2/p6b/1bPP4/5NPP/PP2RPB1/R1BQ2K1 w - a6,g3g4
8/4r1k1/1p1p2pp/3Prp2/PpBq4/1P2bQP1/2P1R1K1/4R3 w - -,e1h1
2r3k1/5r1p/1q2n1p1/3RPpP1/pp6/6NQ/PPPR4/1K6 w - -,d5d6
r1bqk2r/pp3p2/2p2np1/5p2/1bPP3p/2N1P1P1/P3NPBP/R2Q1RK1 w kq -,a1b1
5bk1/p1p2rq1/1p1p2np/3P4/1PPNRpp1/P2Q4/5PPP/2R4K w - -,d4e6
r3k2r/1p1b1ppp/p1n1pq2/8/3P4/3B1N2/PP1Q1PPP/R3R1K1 b kq -,e8g8
rn3rk1/pbq1b1pp/1pp5/8/2PP1p2/4B3/PPQ1NPBP/2KR3R w - -,e2f4
r1b2rk1/pp1n1pbp/2pp1np1/q3p3/P2PP3/2NBBN1P/1PP2PP1/R2Q1RK1 w - -,d3c4:d4e5
8/2rbkppp/1R2p3/r3P3/2pR1P2/2N5/P2K2PP/8 w - -,h2h4
