8/2p5/p3nk1p/1p6/1P3P2/1B6/P6P/6K1 w - -,b3e6
r1b1k2r/p1q1bppp/2pp1n2/2p1p3/2N1P2N/3P4/PPP2PPP/R1BQR1K1 b kq -,g7g6
8/p4b2/1p2k3/2p1p3/2P1K3/2P5/P3BPP1/8 w - -,f2f4
r1bqr1k1/pp1n1ppp/2p2n2/3p4/3P4/P1b2NP1/1PQ1PPBP/R1B2RK1 w - -,b2c3
r1r2nk1/pb2qppp/1p6/3pN2n/3P4/2NBP3/P1Q2PPP/1RR3K1 w - -,d3f5
8/p2b2k1/1p4pp/3P4/1Q2NP2/7P/P7/q5K1 w - -,g1f2
2r1r1k1/1pqn1pbp/p2p1np1/P2P4/Q1p1PP2/R1B2B2/1P3NPP/5RK1 w - -,a3a1
2r2rk1/pp2b1pp/4p3/2P2p2/bq1R4/1N2PP2/PPQ3BP/5R1K b - -,b4b5
8/6n1/8/2N1K1k1/8/3B4/8/8 w - -,c5e4
rnb1k2r/pp3ppp/8/2b1q3/4P3/P2B4/3B1PPP/R2QK1NR w KQkq -,g1f3
8/8/3p2kp/5R1N/4n1P1/7P/1r6/6K1 w - -,h3h4
rn5r/ppp1kpbp/3pbnp1/6B1/3P4/2N2N2/PPP2PPP/R3KB1R w KQ -,d4d5
8/8/6p1/2k1Bp2/1r1p3P/3P2P1/4K3/8 w - -,e2d2
8/p2R2pk/7p/p7/8/6KP/1r6/8 b - -,a5a4
8/1B4p1/8/5Pp1/6P1/4k1K1/8/3n4 w - -,b7a8
r1r1n1k1/p4N1p/b2qp1p1/n2p3Q/Pp1P4/4P1P1/1P1N1P1P/R1R2BK1 b - -,g8f7
5k2/r3bp1r/3p1p2/2q1pPP1/ppB1Q3/8/PPP4P/1K1R3R w - -,g5g6
rn2kb1r/p4ppp/1q3n2/2p3B1/3p4/1N1P4/PP3PPP/R2QK1NR b KQkq -,f8e7
1r4k1/5pp1/2Q4p/3p1q2/p4N2/P4PPb/1P3P1P/4R1K1 b - -,b8b2
1r4k1/5ppp/4p3/2P1P3/1p2QP2/pP6/P2rBKPP/8 b - -,d2a2
8/4kp2/6p1/7p/R6P/4K3/pr3PP1/8 w - -,g2g3
r1b1k2r/pp2qp1p/1np3p1/3p3n/3P4/2NBP2P/PPQ2PP1/2KR2NR w kq -,g1f3:g2g4
7R/3r3p/4pkp1/8/2P2P2/PK6/1P6/8 w - -,c4c5
8/p1R2p2/3k4/8/2p1r3/2P5/P4K1P/8 w - -,c7f7
4rbk1/1b1R3p/pp3p2/4pN2/P7/4P3/1P2Q1PP/2r3K1 w - -,g1f2
3r2k1/1p3pp1/p3p3/P2Q4/3P4/8/1P3PPP/3R2K1 b - -,d8d5
5r2/p6Q/2q3p1/2P1p1k1/6PP/5rR1/5P2/5RK1 b - -,g5f4
2N3k1/2b3pp/4p3/2P1P3/8/K5P1/3B3P/3b4 w - -,d2c3
r4r1k/1ppbb1pp/2np1n2/p3P2q/2Q1N3/PP3NP1/1BP2PBP/R4RK1 b - -,d6e5
rnbqkb1r/p1pp1ppp/1p3p2/8/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,c8b7
4k3/p2n2p1/1pp2pp1/3p4/3P4/1NP2PP1/PP3KP1/8 w - -,f2e3
7k/8/2Pp1q2/B3p3/4P3/5p1r/6RP/2Q4K w - -,g2f2
4rk1r/1b2q3/1p3bp1/1P1p1p1n/P1pP1P2/2N1PNP1/Q4KB1/2R1R3 w - -,e1e2
r1b1k2r/ppp1qpb1/2np1npp/8/2PN4/2N1P3/PP2BPPP/R1BQ1RK1 b kq -,c8d7
rnbq1rk1/1pp1ppbp/p4np1/3p4/3P1B2/2N1PN1P/PPP2PP1/R2QKB1R w KQ -,b2b4
1r2r1k1/p4p1p/2p2p2/2q5/2p1p3/b1Q1P1PB/P2P1P1P/3R1RK1 w - -,c3f6
r1b2rk1/1pq2ppp/p1n1p1n1/2bpP2Q/8/2NB1N2/PPPB1PPP/R4RK1 w - -,a1e1
8/4K1k1/4P3/7P/r7/8/7R/8 w - -,h2g2
2r1kb1r/1p1b1p2/p2pp2p/3nP3/2nN2P1/7P/P2B2B1/R2NK1R1 w Qk -,e5d6
8/1N1k2p1/7p/p1P2P2/8/1P5P/r4p2/5K2 w - -,b7d6
2r5/p7/Pn1R1pp1/BPp4p/2P4k/1K6/6P1/8 b - -,c8b8
3r2k1/Np2bppp/q1b1pn2/4p3/PP2P3/2Pr1B2/R3QBPP/4R2K b - -,c6e8
r4rk1/1p4p1/p1p2nnp/2P1Bp2/1P2p3/P3P1PP/3N1PBK/2RR4 b - -,g6e5
r3kb1r/p2q1ppp/2p1bn2/3pp3/4P3/1QNP2P1/PP3PBP/R1B1K2R w KQkq -,b3c2
8/1p1r2kp/p3p3/P2P1p2/R1P2R1P/5K2/5P2/4r3 b - -,g7f6
r5k1/1b2r1p1/pp1pp2p/8/2q1Pn2/2N1Q1R1/PP1N2PP/5R1K b - -,f4g2
5k2/8/5p1R/7K/6PP/5q2/8/8 b - -,f8f7
3rk2r/1pp3p1/p1b2n2/5p1p/1b2P3/2N3P1/PP1BPPBP/R3K1R1 b Qk -,b4c3
rn1qk2r/pp3p1p/2pbpp2/8/3P1Bb1/5N2/PPP1BPPP/R2QK2R w KQkq -,d1d2
5r2/1p3R1k/p2p2pq/3Pp3/1P1pP1b1/P2P1B2/5QKP/5R2 b - -,f8f7
3r1k2/1pq2pp1/2p2n1p/2P1p3/1PNnP3/2QR1BPP/5PK1/8 w - -,c4d6
5rk1/1p4bp/2bp2p1/p7/2P2q2/1P1Q4/P5P1/1R2RBK1 w - -,b1d1
2rq1rk1/1p3p2/1np2p1p/p2pP1b1/P2P4/1P1QB1NP/6P1/3R1RK1 w - -,e3g5
3rr3/1b1q2k1/pP4Np/3pPPpn/2pP4/2P2P2/1RQ3BP/1R4K1 w - -,g2h3
r1bq1rk1/pp3pbp/2npp1p1/2p5/4P3/2PPBNP1/PP2nPBP/1R1Q1RK1 w - -,d1e2
7r/4kP2/b3p1Bp/3pP3/1pp2P2/8/2K5/8 b - -,h6h5
3r2k1/p3rpbp/1qp3p1/8/3pPN2/Pb4P1/1P1R1PBP/2Q1R1K1 b - -,g7h6
4r1k1/1p3pbp/p1qp1pp1/4rP2/4P3/1PNQ4/1PP3PP/3R1R1K b - -,e8d8
r1bqkb1r/pp3ppp/3npn2/3pN3/3P4/1QN3P1/PP2PPBP/R1B2RK1 b kq -,f8e7
4rrk1/p5bp/1p4p1/2p2b2/PPPnp2q/R1B1Q3/3N1PPP/3B1RK1 w - -,f1e1
8/5p1k/4pqpp/2p5/2P2r2/1P1Q3P/P4PP1/5RK1 b - -,f6b2
5k2/8/1R6/6pp/1N6/6P1/1r4KP/8 w - -,g2f3
rnbq1rk1/ppp2pbp/5np1/3pp3/2P5/N2P1NP1/PP2PPBP/R1BQ1RK1 b - -,b8d7
rnbq1rk1/5ppp/3p4/p2Pp3/1p4PP/3BPQ2/PPPN4/2KR3R b - -,b8a6
6k1/7p/3p2p1/RBbPp3/2P1P3/6P1/6KP/4r3 b - -,e1e4
8/4Q3/8/6kp/P7/2q4P/6K1/8 b - -,g5f5
3qr2k/pp3r1p/2p5/2Pp4/3Pn1pN/6P1/PPQ2P2/R4RK1 b - -,e8f8
r1b1r1k1/6n1/pq6/3pN2p/3N1P2/1PP3QP/1P3R1K/R7 b - -,b6f6
r1b1kb1r/pp2nppp/2nqp3/1BpN4/2P5/1P3N2/P2PQPPP/R1B1K2R w KQkq -,d5e7
6k1/pp3ppp/2p5/8/1P3P2/4P3/n1bB1PBP/5K2 b - -,g8f8
8/P4pk1/8/2N1p2p/1P1b4/8/2K1p1PP/8 w - -,c2d2
r7/8/2bk2p1/4p2p/2P1P3/3N1B2/3K2PP/8 b - -,a8c8
5r1k/1p4q1/p1n1pr1p/2Rp2p1/PP1P4/6P1/3QNPP1/5RK1 b - -,f6f7
8/8/p4b2/8/5N2/1P3KBp/8/6k1 w - -,f4h3
r5k1/1b1npr1p/3q2p1/pBnp4/Pp6/4P3/1P2NPPP/R1BQ1RK1 w - -,b2b3
r4rk1/p4ppp/bqn1p3/1N1pPn2/P4P2/8/1PPQ2PP/2KR1BNR w - -,f1d3
8/8/5k2/2p4q/8/1B1KN3/8/8 b - -,f6e5
8/8/2k1P3/2r2P2/1p4p1/4N1P1/3K4/8 b - -,c6d6
r4rk1/p3bpp1/4p2p/1p1pP2P/3P4/2P5/PP1B2P1/2KR3R w - b6,h1h3
3R2B1/7p/1n2Pkp1/1p3p2/pP3P2/4r3/7P/7K w - -,d8b8
4Q3/6pk/pp5p/2q2P2/8/6P1/6KP/8 w - -,e8g6
2r2rk1/p3bppp/2bp1n2/q2Np3/1p2P3/1B3N1P/PPP1QPP1/1K1R3R b - -,c6d5
2rqrbk1/1bpn1pp1/pp3n1p/4p3/P7/2P1PN1P/1PQNBPPB/2R1R1K1 w - -,e3e4
r1b2rk1/p7/2N1n1p1/4bp2/2P1p3/P3P1qP/2Q5/1RBR1B1K b - -,e5c7
r3rbk1/1p3p1p/pBp2p2/5b2/5P2/1P3B2/1PP1R1PP/4R1K1 b - -,e8e2
