8/8/7p/p2b3P/P2K1p2/6k1/8/3B4 b - -,d5f3
3r2k1/6pp/1p1r1pb1/3P4/Np6/nP3BP1/4RK1P/2R5 b - -,a3b5
6k1/8/8/1p3PKQ/2qp4/7P/6P1/8 w - -,h5e8
4r1k1/pn1r2bp/1p4p1/P1pnp3/3pN3/NP1P4/2PB1PPP/R3R1K1 b - -,b7d6
6r1/1b2r1pk/1p3qNp/p1p2P1P/P4QP1/2P1R1K1/8/4R3 b - -,e7e3
1r2r1k1/5pp1/4p1p1/p1qpP3/1p4P1/1PP1R3/P2Q1PP1/3R2K1 w - -,d1c1
r2qk2r/1b3pp1/p2p1n2/1pp3Qp/3pP3/P2P2PP/1PP1NPB1/R3K2R b KQkq -,g7g6
rnb2rk1/pp2q1pp/2p1pn2/3p1p2/P1PP4/bP1BPN2/5PPP/RN1Q1RK1 w - -,b1a3
8/p4p2/1p3k2/1P4R1/5P2/r7/5KP1/8 b - -,a7a5
2k3rr/pppq1p2/5P2/3p3p/3Q1P1n/2P3P1/PP1N3P/R4RK1 w - -,d2f3
r2r4/1pq2pkp/3pbnp1/p3p3/NQP1P3/1P3B2/P4PPP/2RR2K1 w - -,b4b6
rR1n2kb/7p/3B2pP/3Pp1p1/4P3/5P2/P7/4K1R1 b - -,a8b8
2kr1b1r/pp4p1/1qb1Pp2/2pp3p/2PP4/1P2P3/PB2Q1PP/RN3RK1 b - -,d5c4
r3rnk1/ppn1q1b1/2ppbpp1/8/2PP4/2N1BN1P/PP1QBKP1/R3R3 w - -,d4d5
1r2rbk1/1bnq1pp1/p2p1n1p/R3p3/1PB1P3/1QNP1N2/3B1PPP/4R1K1 b - -,b7a8
5r1k/p5b1/1p1P2pp/5pN1/3p4/1P4PP/5P2/3R2K1 w - -,g5e6
8/3b2k1/5pp1/p1K5/2B5/1P4P1/P3R2P/3r4 w - -,c5b6
8/1ppr3p/p5p1/3kp3/P5RP/2P3P1/1P2KP2/8 b - -,d5e6
1Q6/8/8/6p1/3q4/4k2P/1K6/8 w - -,b2c2
2rrb1k1/n2nqppp/4p3/1pNp4/1P1P4/2N1P3/4BPPP/1QRR2K1 b - -,d7b6
1rbqr1k1/ppp2pp1/3p1n1p/4n3/3NP3/PPB3P1/2Q1PPBP/R4RK1 w - -,a1c1
r1b3k1/p5bp/3B1pp1/qp1Pr3/8/2P5/P2QBPPP/2R1K2R b K -,e5e8
r2qr1k1/pp1b1pb1/2n4p/1BPpp1pn/3P4/2N2P2/PP2NBPP/R2QR1K1 w - e6,d4e5
2r3k1/5pbp/2p3p1/4p3/3pP3/2rN2PP/4RPB1/2B3K1 w - -,e2d2
5r2/1p2b1p1/p1ppk2p/4p2n/P1P1P3/2N1BR1P/1PP1K1P1/8 w - -,f3f8
8/6k1/5bPp/p3qp2/2B1p1b1/1Pp3N1/P2r4/2K1R1Q1 b - -,f6g5
r2q1rk1/1pp2pbp/p1n1b1p1/2n1p3/P7/2N1PN1P/1PP1BPPB/R1QR2K1 b - -,d8e7
r2qkb1r/pp1n1ppp/2p2n2/3p4/3P1B2/2NQPN2/PP3PPP/R3K2R b KQkq -,f8e7
8/3P4/1R2k1p1/p7/1pr5/8/7P/7K b - -,e6d7
rn1q1rk1/pp2ppbp/2pp1np1/3P4/2B1P1b1/5N2/PPPNQPPP/R1BR2K1 w - -,h2h3
r3r1k1/pp1nbpp1/2p1pn1p/q2pNb2/2PP4/PP4P1/1B1NPPBP/R2QR1K1 b - -,a8d8
4k3/7p/2K3p1/6P1/2PQ3P/4P3/6q1/8 w - -,d4d5
b2q3k/5pb1/2p4p/2N1pQ2/1p2P2P/1B4P1/1PP4K/8 b - -,d8f6
2r2k2/p5Rp/1p6/8/P1p3P1/2B4P/6P1/6K1 b - -,c8d8
8/3R4/1p5p/1B6/4k1Pb/3pr3/P5KP/8 w - -,b5c6
2b2r2/pp2q1nk/1np4p/5p2/1b2B3/1P1QN1PP/PB2N2K/3R4 w - f6,e4f3
2bq1rk1/1p3pbp/2pp1np1/2nPp1B1/2P1P1P1/1PN4P/3NBP2/Q3K2R b K -,c5a6
r4rk1/pp2ppbp/2n3p1/5b2/3P4/1P3NP1/1P2PPBP/R1B2RK1 b - -,c6d4
6k1/5p1p/p4Qp1/1p6/1P1B4/P4P2/4K1Pb/2q5 b - -,c1c2
8/3k4/3P3R/8/5P2/1p3r1p/1K6/8 w - -,b2a3
5rk1/4b1p1/p1b5/1P2pq1p/2p1N3/2Q2P2/2P3PP/3RR2K b - -,a6b5
5B2/5n2/2k5/4p1p1/1K1p1pP1/3P1P2/4P3/8 b - -,f7d6
r1bq2k1/2pn1r1p/1p1p1bp1/1NnPp3/p1P1Pp2/P4P1P/1PQ1BBP1/RN1R2K1 b - -,c5b3
r4rk1/4bppp/1q1p4/3Pp1P1/pp3n1P/5P2/PPPQ4/1KN1RB1R w - -,c1e2
4B1k1/5pPp/4q3/8/8/8/6PP/3Q3K w - -,e8d7
4r1k1/2q2pbp/6p1/2P1p3/4RB2/1PR2NP1/5PBP/r5K1 w - -,c3c1
2bqr1k1/1p2ppbp/r1p2np1/p7/P2P1B2/1NN5/1PP1QPPP/R3R1K1 b - -,a6a8
8/3b1k2/1p1p3p/3Pp1pP/1p1r2P1/6R1/PPPK4/6R1 w - -,d2e3
rn1q1rk1/ppp1ppbp/5np1/3p4/1PPP2b1/2N1PN2/P3BPPP/R1BQK2R b KQ -,d5c4
r1b2rk1/1pp3pp/p2bp3/3pN3/1P3PQP/q1PB4/P1P3P1/2KR3R w - -,c1d2
4k3/6p1/p1p1p3/2B5/1PN1K3/P7/8/r7 b - -,a1c1
2r1k3/p4pp1/1ppq1n2/3p4/N2P2P1/3QP3/PPR1KPPr/2R5 b - -,h2g2
8/3k1p2/4bP2/Q2p2P1/8/3q4/8/2B1K3 b - -,d3e4
2k3r1/3b1p2/p2p4/1ppP1Pqp/2PbQ3/1P1N3P/P3NR2/7K w - -,f2f1
r3r1k1/3n2bp/q4np1/3pp3/8/p1BP4/3NBPPP/2R1QRK1 b - -,d5d4
2k5/p5N1/1p5p/6p1/6K1/2P3P1/Pr5r/5R2 b - -,b2f2
8/7p/5K2/3k4/5P2/7P/8/8 w - -,f4f5
8/r1p5/1pR5/4kp2/2P5/1PK5/8/8 w - f6,c4c5
r3k2r/1p1b1pp1/p2q1n1p/3Pp3/2Q4N/8/PPP1B1PP/2KR1R2 b kq -,a8c8
rnbqr1k1/1p2ppbp/p2p1np1/2pP2B1/2P1P3/2N5/PP1QBPPP/R3K1NR w KQ -,g1f3
r1bqr1k1/pppp1ppp/2n5/1B6/3bnN2/2N5/PPPP1PPP/R1BQ1RK1 w - -,c3e4
r5rk/1pp4p/1p2pq2/1P2p3/P1N1Pp1n/2P2N2/4QP1P/R4R1K b - -,g8g2
r2rb1k1/pp3pp1/1q2pn1p/4N3/2P5/3B4/PP2QPPP/3R1RK1 w - -,b2b3
8/5p2/3k4/1R1P1n2/7r/2B2PK1/8/8 w - -,g3f2
rn1q1rk1/pp2ppbp/5np1/3p4/3P1B2/2NB1b1P/PPP2PP1/R2Q1RK1 w - -,d1f3
rnb2k1r/2p4p/p2b1p2/3P4/3P1p1P/1B4p1/PPP3P1/4N1KQ b - -,c8g4
5rk1/1pq2p2/b2Rp1p1/p1r1P3/P1p2P2/2Q3P1/1P2P1B1/3R2K1 w - -,d6d7
8/8/8/2kb1p1p/1p2pP2/1P2P3/1R2K2P/8 w - -,e2d2
r3rnk1/pp3pp1/2pbbq1p/3p4/3P2P1/2NBPN1P/PP3PK1/2RQ3R w - -,c3e2
5rk1/ppq4p/2pb2bQ/3p2p1/3P4/2P5/PP3RPP/R1B1rNK1 w - -,f2f3
2r1r1k1/1pqnb1p1/p5Pp/8/4N3/1PP1QB2/1P5P/2KR3R w - -,c1b1
r2qk2r/p4pb1/1nn1p1pp/1p1pP3/2pP1N2/1PP2N1Q/P4PPP/R1B2RK1 b kq -,a7a5
8/5N2/1p4p1/p1nk4/P4K1P/8/1P4P1/8 w - -,f4g5
8/8/r7/P4pkp/RK3p2/5P2/6P1/8 b - -,g5h4
2R5/7p/4rpk1/7p/2P2R1K/7P/5PP1/2r5 w - -,c8g8:c8c5
8/8/7p/R1nk1KP1/8/7r/8/8 b - -,h6g5
r2q1rk1/pp1bbppp/4p3/8/3P4/2NQ1NP1/PP3PP1/R2R2K1 w - -,f3e5
2bq4/1pb3k1/2p2pp1/2Pp1p1p/1P1P1P1P/2N1PBP1/1Q3K2/r7 w - -,b2a1
r5k1/4bpp1/4b2p/3pPp1P/2pP1B2/1qP3P1/3N1PK1/2R1Q3 b - -,b3b2
r3qr1k/p2b2p1/1pp1nb1p/3p1p2/2nP1B2/2NNPPP1/PP2R1BP/3QR1K1 w - -,b2b3
