8/6k1/p1R5/6KP/6P1/8/8/r7 b - -,a1a5
5r1k/3q1ppp/1p6/p2r4/3PPn2/P5NP/1P1R1PQK/2R5 w - -,g2f3
2r3k1/7p/1p1qp1p1/2n5/1p1r4/P4PP1/2B4P/2R1QRK1 w - -,a3b4
2r2rk1/pp2pp1p/4b1p1/2n5/2P1pB2/2P1P3/P3BPPP/1R1R2K1 w - -,h2h4
8/8/1K2Q3/3r4/3k4/8/8/8 w - -,e6e2
6k1/1p5p/p5p1/3p1b2/1P6/8/1PPNr1PP/2K3R1 b - -,g8g7
r4k2/5pp1/4p1p1/p1R5/PpK3P1/4P2P/1P3P2/8 b - -,f8e7
r1b1kbnr/pp1p1ppp/1qn1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,d4c6:d4b5
r3k2r/ppp1qpbp/3pb3/4n3/2P5/2N1P1B1/PPQ1BPP1/R3K2R b KQkq -,h7h6
8/p2b2kp/1p4p1/n1rPpp2/4P2P/3BKP2/P2N2P1/7R b - -,c5c3:h7h6
1B3r1k/6bp/p5p1/2p5/2N1P2q/6Q1/PP4PP/R3K2R b KQ -,h4e4
6k1/5p2/6p1/pp2p1bP/3pP3/1P1P4/1R4K1/2r2B2 w - -,f1e2
r1b1k2r/ppqp1ppp/2n1pn2/1N6/1b2P3/2N1BP2/PPP3PP/R2QKB1R b KQkq -,c7b8
5rk1/1p3rbp/3pb1p1/p1qNpp2/2P1P3/1P3P2/P2QB1PP/3R1R1K w - -,d5c3
r2r1bk1/p4p1p/2p1b1p1/3p4/N1P2P2/3PB3/1PP3PP/R4RK1 b - -,d5c4
6k1/4b1rb/1p2P3/1q1N1p2/2p5/5B1R/3B4/4Q2K b - -,e7c5
2r2rk1/pp1b1pp1/nn2p2p/q3N3/1b1P4/2NB4/PP1B1PPP/2RQ1RK1 b - -,d7c6
2r2rk1/3R2b1/p6p/4Pnp1/4N3/1P3N2/P5PP/3R2K1 w - -,h2h3
2kr4/pp3p1p/3r4/2P5/8/P1BnP2P/5PP1/3R1RK1 b - -,d3c5
r1bq1rk1/p1b1n1pp/2p1p3/2p1Pp2/3p1P2/3P2N1/PPPNQ1PP/R1B2RK1 w - -,d2c4
8/3r4/1p6/p1p2pk1/2P3p1/1P4P1/P4R2/5K2 w - a6,f2e2
8/2Q3pk/7p/2P5/3q4/7P/6P1/5NK1 w - -,g1h2
6k1/R4p2/6pn/1P6/5p2/2r2B1P/6P1/6K1 b - -,h6f5
r3k2r/pp1n1p1p/1qp1b1p1/2b1pP2/4P3/1P1B4/PBPNNRPP/R3Q2K b kq -,c5f2
r1b1qr1k/pp2b2n/2p1p2Q/2P1Np2/3P3P/P5P1/1P2RPB1/3R2K1 b - -,f8f6
5R2/3r4/8/8/8/2Kbk3/8/8 w - -,f8h8
r2qk2r/p4p2/2p1p3/b2pPn1p/Q4p2/2P2N2/5PPP/R1B2RK1 b kq -,a5b6
r3kb1r/ppp2ppp/2p5/3n1b2/3P4/2P3B1/PP2BPPP/RN2K2R b KQkq -,e8c8
r1bq1rk1/pp2bppp/2n1pn2/2P5/8/2P2N2/PPN1BPPP/R1BQ1RK1 b - -,d8d1
1kbr3r/1pp2ppp/1p2pn2/8/R5P1/1PP5/PBP3BP/2K4R w - -,g4g5
8/7p/7P/2Bnk3/2p5/1p6/1PK5/8 w - -,c2d2
8/4kp2/1p2pn1p/pr2N1p1/1P2PP1P/P2RK1P1/8/8 w - -,d3d4
r1bq1rk1/ppp2pbp/1nn3p1/8/3BP3/2N2N1P/PP3PP1/R2QKB1R w KQ -,d4g7
8/2B2nk1/pR1p4/P2Pp3/4Pp1b/2Nb4/6P1/6K1 b - -,h4e1
8/7p/R5pk/n2r4/5p2/5N2/1P2K1PP/8 w - -,a6f6
r1bq1rk1/ppp1n1b1/3p1npp/3PppN1/1PP1P3/2N2P2/P3B1PP/R1BQR1K1 w - -,g5e6
6k1/R7/p1p3pp/5p2/2b2K1P/2N2P2/PP4P1/6r1 w - -,g2g3
r4rk1/ppq2pp1/2nbpn1p/3p4/3P4/1QP1B1P1/PP1N1P1P/1B2RRK1 b - -,b7b5
8/1p1r2pk/1B3pn1/8/8/1PPp4/P1rR3P/RK6 b - -,c2d2
8/4kp2/1p2p3/p1n5/P1PK2P1/5B1r/5R2/8 b - -,e7d6
rnbqkbnr/ppp2p2/3p3p/6p1/2BPPp2/5N2/PPP3PP/RNBQK2R w KQkq g6,h2h4
6r1/8/4k3/4P3/6P1/6K1/4R1P1/8 w - -,e2e3
r3r1k1/pp2q1bp/1np1NnpB/4p3/7R/1QNP2P1/PP2PPB1/R3K3 b Q -,e7e6
r1bqkb1r/1pp1nppp/p1p5/8/3pP3/5N1P/PPP2PP1/RNBQK2R w KQkq -,d1d4
1r4k1/5pp1/2q1p2p/bN2P3/P1r4P/5bP1/RQ3P1K/2B3R1 b - -,a5c3
1q1r3r/1p3pk1/p5p1/2NP4/2Rp1bn1/1Q3B2/PP3PK1/4R3 w - -,f3g4
3rr1k1/p7/2pp1q1p/6p1/2PR2P1/4Pp2/P4P1P/2RQ2K1 w - -,h2h3
r2qk1nr/bpp2ppp/p1npb3/P7/4P3/1NN1B3/1PP1QPPP/R3KB1R b KQkq -,a7e3
2r5/2P2p2/4pk2/8/8/6P1/2R2P1K/8 b - -,f6e7
7r/3rkpb1/p1bp1npp/Bp6/4P1P1/2N2P2/PP1RB2P/1K1R4 b - -,h8a8
8/5p2/4b1k1/6p1/3r4/1P3PK1/P2rQ1P1/1R6 w - -,e2e5
r1bqk2r/pp2ppbp/2np1np1/8/2P5/2NQ1NP1/PP2PP1P/R1B1KB1R w KQkq -,f1g2
rnb1k2r/pp2ppb1/1qp3p1/3pPnBp/P2P1N2/1NPB4/1P3PPP/R2QK2R b KQkq -,e7e6
2krr3/2q3p1/p6p/1p2N3/8/1P6/4QPPP/4R1K1 w - -,e2g4
8/p3k2p/1p1rbpp1/4p3/PP2B1P1/4P2P/5PK1/2R5 b - -,f6f5
rn1q1rk1/pb3ppp/1p2pn2/2pp4/2PP4/P1BBPN2/1P3PPP/R2Q1RK1 b - -,d5c4
6k1/1R6/6K1/P7/7P/r7/8/8 b - -,a3g3
2b5/5k2/pp3pp1/7p/1P5P/P1B2P2/5KP1/8 b - -,b6b5
7r/5k1r/pp2p1R1/5p1P/2Pnp3/2K5/P1P5/3B1R2 b - -,d4f3
r1bq1rk1/4bppp/p1np1n2/2p1p3/Pp2P3/2PP1N2/BP1N1PPP/R1BQR1K1 w - -,d3d4
1q2r1k1/r4pb1/4p1pp/2R5/p2P3P/2Q1B3/1P3PP1/2R3K1 b - -,a7b7
6k1/5bq1/5R1p/3rP1p1/pp2Q3/4B3/PP4PK/8 w - -,e3d4
r4rk1/1p3ppp/p1nqp3/3p1b2/P2P4/1QP5/1P1NBPPP/R3R1K1 w - -,b3b6
2r2rk1/p1qn1ppp/1p2p3/2pp4/P2P1N2/2P1P3/1BPnQPPP/R1R3K1 b - -,d2c4
3rr1k1/p4p2/1p3n1p/2b5/6p1/1P2PBP1/P4P1P/1RB2RK1 w - -,f3e2
r1bq1rk1/1p1nbppp/p1p1pn2/8/3PPB2/P1N2NP1/1P3PBP/R2Q1RK1 b - -,d7b6
1q2r1k1/p2b1p1p/6p1/PP1pr3/1Q6/3B2P1/2R2PP1/2R3K1 b - -,e5e6
3r1k2/1p2rb1p/p1p1pnp1/R4p2/1P1P1P2/2P1PKN1/BP5P/6R1 b - -,d8a8
r3rbk1/1pp2p1p/4n1p1/1P5n/p1P5/PN2B1P1/2N2PKP/1R1R4 w - -,b3d4
2q5/p2n1ppk/2r3p1/2BP4/PP6/5P2/6PP/2R2RK1 b - -,c6c7
r1bqkbnr/pp1n1pp1/2p1p2p/8/2BPN3/5N2/PPP2PPP/R1BQ1RK1 b kq d3,g8f6
r3r1k1/1pp1qpp1/p4b1p/2PPnn2/1P2pBN1/P6P/3QBPP1/3R1RK1 b - -,e5g4
4r3/p5kp/6p1/2P2p2/5n2/3P4/PN1R3P/2rN1K2 w - -,d3d4
5bB1/R7/2N2pp1/1P2Pk2/8/p3P1Pb/2r2K1P/8 w - -,f2e1
R2Q4/5kp1/7p/8/3K4/3n1PP1/6P1/1q6 b - -,b1g1
8/2r3k1/6p1/R5K1/6PP/8/8/8 w - -,h4h5
1rr3k1/pq1n1ppp/4p3/3n4/3P1B2/6P1/P3QPNP/2R1R1K1 b - -,c8c1
4r3/2k5/3n2p1/1p1Prp1p/p1p4P/P4BP1/1P1R1P2/3R1K2 b - -,c7b6
7r/3kb3/2pnp3/2Bp2pp/pPbPp1P1/P4r1P/2N3K1/2R1R3 b - -,h5g4
3r4/8/3ppk1p/1pr1p1pP/p3P1P1/P1P1RPK1/1P6/3R4 w - -,d1e1
5rk1/1p2Np1p/4bnp1/1P1p4/3BPb2/1Q1B1PqP/P1R3P1/3R2K1 b - -,g8g7
6k1/p1q3b1/1p4bp/1B1p2pn/3P4/1N2BP2/P5PP/2Q3K1 b - -,c7c1
1rb1k2r/2pnqpbp/p2p1np1/4p3/P1BPP3/2N1BP2/1P1QN1PP/R4RK1 b k -,e8g8
3r1rk1/3nbppp/2q1p3/4P2N/1p6/1P6/PB2Q1PP/3R1R1K b - -,d7c5
r7/4k2p/1b1Rq1p1/p3P3/P7/3Q4/1PP4P/1K6 b - -,e6g4
