8/8/1R2bp2/2B1k2K/8/1p4P1/5r2/8 b - -,f2f5
r3k1nr/1p1q1pbp/pn1pp1p1/8/P2PPB2/2N2N2/1P3PPP/2RQ1RK1 b kq -,g8e7
r3rnk1/pp2qppp/2p5/5b2/3PN3/4PP1P/PPQN2P1/2KR3R b - -,f5e4
5R2/8/8/5kpp/4p3/6P1/4KP2/1r6 b - -,f5g4
r4qk1/1pp1b1p1/3p3p/3Pp3/pPb1N3/P3QB2/5PPP/3rR1K1 w - -,e1d1
7r/p2npkb1/2q2p2/1p1b2p1/2pP2P1/2P1BPN1/PP2BK2/1Q4R1 w - -,g1h1
4r3/pp4k1/1np1Pppp/8/5PP1/1P5P/P5B1/3R2K1 b - -,e8e6
r2q1rk1/pp3ppp/2n1bn2/8/1b6/2N2N2/PPQBPPPP/R3KB1R w KQ -,e2e3
2kr3r/ppp1qppp/1n2pn2/4N3/3P1P2/P2BP3/1P1Q1P1P/2KR3R w - -,c1b1
8/5pk1/2R4p/6p1/PpN3n1/1r6/2r2PP1/5RK1 w - -,c4e5
rn1q1rk1/p1ppppbp/1p4p1/8/2PPb3/4BNP1/PP2PPBP/R2Q1RK1 b - -,c7c5:d7d6
3k4/8/1r1P1Rp1/1P5p/8/8/5KPP/8 b - -,b6b5
r4rk1/p4ppp/2p1p3/q2p1b2/1b1P1B2/1QP1PP2/P3B1PP/2R1K2R b K -,b4a3
2rq1rk1/1b1n1pp1/2n4N/pp2p2p/4PP1b/1PP1N2P/2BB2PK/R2Q1R2 b - -,g7h6
1R6/4kppp/8/p3pP2/P1r2b2/5PNK/3r3P/5R2 w - -,b8b7
r1bq1rk1/1p1nppbp/3p2p1/p7/P2pPP2/1B1P4/1PP1NQPP/R1B1K2R b KQ -,d7c5
5rk1/1bq2ppp/3rn3/3Np3/1p1nP3/4B3/BPP2QPP/4RR1K b - -,b7d5
8/8/8/6pp/7k/R7/1r6/6K1 b - -,g5g4
3r2k1/5p2/3q2p1/2p2P2/p1Pb4/3P1R2/p3Q1K1/3R4 w - -,e2a2
8/1R1Q1p1k/4pbq1/7p/5P2/2r1B1P1/5PK1/8 b - -,h7g7
3Rk2r/1p2bp2/p3p2p/8/4n2p/5N2/PPP1NPPP/5RK1 b k -,e7d8
r3r1k1/p3bppp/1n2p3/4q3/1P1BQ3/P5N1/2R2PPP/2R3K1 b - -,e5e4
5q2/5k2/3p2pN/3Pp1Q1/4P1P1/1P4K1/4b3/8 b - -,f7g7
1r3r2/4bpkp/b1B1p1p1/p1p5/8/1PNR2PP/P1P2P2/3R2K1 w - -,d3d7
2b2rk1/p1q3Bp/3ppnp1/2p5/1nP1P3/2N2N1P/1P3PP1/1BQ2RK1 b - -,g8g7
8/6p1/pP1p4/3Bn1kp/1q6/3b3P/P4QP1/4R2K w - h6,b6b7
6k1/2p2r1n/2Np4/1bpP2p1/P3R3/6P1/1P4BP/6K1 b - -,b5d3
8/1p4k1/7p/2p1Pp1B/P4P2/6P1/P2b2KP/8 w - -,h5f3
8/p4pp1/1k2p3/1P4P1/P1K5/5P2/8/8 w - -,c4b4
8/pp1knp2/r7/5p1R/P2P4/1P1K2P1/2P1NP2/8 w - -,e2f4
rnr3k1/1p1n2pp/p7/1q1ppQ2/1B6/1B2PN1P/P2PKPP1/7R w - -,d2d3
r1b1r1k1/2qnbppp/p1pp1n2/4p3/2BPP3/PPN2N2/1B3PPP/R2QR1K1 b - -,d7b6
8/1K3R2/4k3/7p/5Pp1/8/8/8 w - -,f7f8
2r1r1k1/2q1bp2/pp3npp/3pR3/3P1n2/2N2PNP/PP1Q1BP1/5RK1 b - -,g6g5
r3r1k1/pp1b1ppp/5n2/3p4/3N1P2/2PB4/PP3PP1/R4RK1 b - -,g8f8
r1bqr1k1/pp1n1ppp/2pb4/3p1p2/2PP4/4P1P1/PP1NNPBP/R2Q1RK1 b - c3,d5c4
8/5k2/p4p2/1p1p1qnp/1P6/P2P1PP1/4QBK1/8 w - -,g3g4
r3k2r/ppqb1ppp/3bpn2/6B1/8/2PB1N2/PP2QPPP/1K1R3R b kq -,e8c8
1r4k1/p1P3pp/5r2/3P4/6P1/4Bp2/P3nPP1/R4R1K b - -,b8c8
r1bqkb1r/pp2pp1p/2np1np1/8/2PNP3/5P2/PP4PP/RNBQKB1R w KQkq -,c1e3:b1c3
r3r1k1/5p1p/1n1p2p1/p1p2PQ1/Pp2P1N1/1P1P1q2/2P4P/R4RK1 b - -,f3h3
1rbq1r1k/5p1p/2np2p1/p2Np3/2B1P2b/2P1N1P1/RP3P2/3QK2R b K -,h4g5
5rk1/ppp2ppp/1b4n1/5b2/1PB5/PN4B1/3r1PPP/3R2K1 w - -,d1d2
2r1rbk1/3nqp1p/p4np1/4p3/PPb1P3/4BNNP/2BQ1PP1/R3R1K1 w - -,e1b1
rn3rk1/1p3ppp/p3pb2/q7/P2NN3/3Q2P1/1P2PPKP/R2R4 b - -,f6d4
2R5/2n5/4p2R/pp2kp2/8/P4PP1/1P4K1/2r5 b - -,c1c2
3r2k1/5p1p/p2rb1p1/3p4/1P6/P2R2P1/5PBP/3R2K1 w - -,d3d4
r1bqrbk1/p6p/1p1p1np1/1npP1pB1/P1N5/5BP1/1P2PP1P/R2Q1RK1 w - -,a4b5
r1b1k2r/pp1nppbp/2pq2p1/8/Q2PP3/4BN2/PP3PPP/R3KB1R w KQkq -,f1e2
1r1q1rk1/3b2pp/p2p1p2/b1pPP3/2P1P3/3QB1P1/P4RBP/R5K1 b - -,f6e5
1rb1k2r/ppp1bppp/4p3/8/3PB3/P7/1PPB1PPP/R3K2R b KQk -,b7b6
3r4/2p2p2/2brk1pp/3p4/1p1R2P1/P1P1N1KP/3R1P2/8 w - -,a3b4
r2qr1k1/pbpn1pb1/1p1p1npp/3Pp3/2P4B/2N1PN1P/PP2BPP1/R2Q1RK1 b - -,a7a5
r4r2/1pq2pkp/2p1nnp1/p3p3/P1B1P1b1/2N1QN2/1PP2PPP/R3R1K1 b - -,g4f3
1r3r2/p2q1nkp/3p1ppn/2pPp3/1p2PP1P/1P1P1RPB/P4Q1K/3N1R2 b - -,f6f5
6k1/1p3rb1/p5p1/2p5/3p1B1P/3P2P1/P3r3/R4R1K b - h3,g7e5
3r4/1b2kpp1/p3p2p/8/2P3PP/1NKN4/P4P2/8 b - -,e7d6
r1b2rk1/p4pbp/2n1p3/2qp1p2/Np6/4P1P1/PPPQNPBP/2RR2K1 b - -,c5a5
4k2r/1q1rbpp1/p1bp3p/Bp2pP2/4P1PP/1P2QN2/1PP5/2KRR3 b k -,e7d8
8/1b2rpk1/3p2pp/Pp2p3/1Pq1Pn2/1N2QN1P/5PPK/4R3 w - -,f3d2
5q1k/bb4rp/5p2/p3p2r/1pQ1P3/1P1N1NP1/P5KP/3RR3 w - -,d1d2
8/5k2/r6p/4RKPP/5P2/8/8/8 b - -,h6g5
8/4p3/p5Rk/1p6/8/7P/r5P1/4R1K1 b - -,h6g6
2rq1rk1/1b1n1pbp/pp1ppnp1/8/2PNP3/2N1BP2/PP1QB1PP/2RR2K1 b - -,d8e7
2kr3r/1pp2ppp/1q2p3/p2N4/Pb1P4/1P2QP2/1BP1R1PP/1K1R4 b - -,d8d5
1r1qkb1r/3b1pp1/3ppn1p/8/pp1NP1PP/4BP2/PPPQB3/2KR3R w k -,g4g5
1rr1q1k1/3b2bp/1p2p1p1/1np1Pp2/2Q2P2/4N1P1/1B1P2BP/R1R3K1 b - -,g7f8
1kr5/pp6/4R2p/P4rp1/2p5/6P1/5P1P/2R3K1 w - -,e6h6
1r2rnk1/p3qnpp/bp1p1p2/2pP4/P3PP2/1PQ1R1PP/1B1N2B1/R5K1 w - -,d2f3
8/5pp1/4pn1k/7p/3r4/2RB2PP/5P1K/8 b - -,g7g6
r2r2k1/5pp1/4p2p/3pP1PQ/p4q2/6R1/P4P1P/4R1K1 b - -,f4f5
1nk2r2/1bp3pp/4p3/R1NpP1b1/1P1P3q/3BQ3/5rPP/R3B1K1 w - -,e3f2
2kr4/1RP5/p7/P7/6N1/3r3P/5PK1/2R5 b - -,c8b7
8/8/8/3q4/7p/2k1p2P/4Q1PK/8 b - -,d5d2
3rN3/p2qkp2/1b1R2pQ/8/8/7P/P4PK1/8 b - -,d7e8
6k1/5p1p/1p4p1/3pPp2/1P2bP2/2P1K3/r2RN2P/8 b - -,a2a3
1r4k1/2q5/3b2p1/pBpPpp1p/P1Q5/5PP1/7P/3R2K1 w - h6,g1g2
rn1qk2r/pbp1bpp1/1p1ppn1p/8/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f1d3
r2q1rk1/2p2pb1/bp1p1npp/2nP4/1pP4B/P1N2N2/2B2PPP/1R1Q1RK1 w - -,a3b4
3r2k1/5pp1/p5bp/1r1p4/3P2B1/1pq1P3/1R3PPP/1R1Q2K1 b - -,g6b1
r2q1rk1/1pp2pp1/p1npbn1p/2b1p3/4P3/2PP1N1P/PPBN1PP1/R1BQ1RK1 b - -,f8e8
3q2k1/r3p1bp/2Bp2p1/2pPPp2/Pp3P2/1P5P/4Q1P1/4R1K1 b - -,g7f8
3k4/2b4B/8/p1r1P3/P1N5/1KP5/8/8 w - -,h7g8
