8/2R5/6k1/6pp/1r2K3/6P1/7P/8 w - -,e4f3
r2qr1k1/pp2p1bp/1np1n1p1/3pPp2/3P1PP1/2N1B2P/PPPQB3/R4RK1 b - g3,e6f8
r1b2rk1/p1p1q1pp/3bp3/2np4/8/3NBN2/PPP2PPP/R2Q1RK1 w - -,d3c5
r2r2k1/p1qn1ppp/2p1pn2/1pPp4/3PP3/1PQ2BP1/P2N1P1P/R3R1K1 w - -,e4e5
rnb1k2r/ppp1qppp/4p3/4P3/3Pp3/2P5/PP3PPP/R2QKBNR b KQkq -,e8g8
r1q2rk1/p2n1pp1/1p1n3p/2pPp1P1/2P1P3/2PQ1N2/P2B3P/R4RK1 b - -,f7f5
3r1k2/1b1p2b1/p3p3/1p2N2R/4PP2/P1PBK3/1P6/8 b - -,d7d6
8/7p/p3kp2/2pnr3/8/1P3B1P/P5PK/3R4 b - -,d5b4
5rk1/q2b2b1/7p/p2Pppp1/p1P3P1/2P5/3NQ1PP/1B3R1K b - -,f5g4
r1br2k1/pp3ppp/1n1q1n2/3p4/3P4/2NB1Q2/PP2NPPP/2R2RK1 b - -,c8g4
r1b2rk1/pp1nq1p1/2pbpn1p/3p1p2/2PP1B2/1P3NP1/P1QNPPBP/R4RK1 w - -,f4d6
8/8/1p4pp/p1n2p2/P1Pk3P/1P4P1/2B1K3/8 b - -,d4c3
6k1/3r1p2/4n1pp/4P3/2r3P1/1p1NR2P/1P6/1R4K1 w - -,d3f2
r1b1k1nr/ppq3pp/2n1p3/2ppPp2/3P4/P1P2NQ1/2P2PPP/R1B1KB1R b KQkq -,c5d4
r1bqkb1r/pp1p1ppp/2n1pn2/8/4P3/2B5/PPPN1PPP/R2QKBNR b KQkq -,f8c5
5kr1/1p2qp2/p7/P1P2p2/2PQ4/8/6PP/1R4K1 b - -,e7e2
4r2k/6pp/p1Nn4/P1Qqp3/1P6/6P1/7P/2R3K1 b - -,d5d2
3q1rk1/1p1b1p1p/r4Np1/p1pP4/2P2QP1/8/P6P/4RRK1 b - -,a6f6
3r2k1/1p2b1pp/4p3/prp5/n2P4/P4NP1/1PR3KP/3NR3 w - -,e1e6
rnb1k2r/pp3ppp/5p2/3p4/1b1P4/2N5/PPP1NPPP/R3KB1R w KQkq d6,a2a3
2k2r2/1bq2r1p/p3R1p1/1pQ5/3R1P1P/P1P5/1PB5/2K5 w - -,c5c7
8/3b3p/K2kp1p1/5p2/P1RP4/5B2/6PP/1r6 b - -,g6g5
4r3/rb3pkp/1RpBp1p1/p2pP3/P4P2/1N1B4/6PP/6K1 w - -,g1f2
r3r1k1/p1q2ppp/bp3n2/2nPp3/P1p1P3/2P5/1BBNQPPP/R4RK1 b - -,c5b7
3r2k1/5p1p/pp4p1/2ppb3/Pn3q2/2N2P1P/1P3BB1/3RQ1K1 b - -,h7h5
4rbk1/3q1p1n/p2p1Pp1/2pN4/2P1P2Q/5N2/P5RK/8 w - -,h2g3
8/1p6/p5k1/P7/5PP1/2P2bKP/1P3B2/8 b - -,f3d1
2r2rk1/pb3pp1/1ppb1q1p/1P6/3PB3/PQ3N2/5PPP/2R2RK1 b - -,d6b8
2r1n1kr/p2qn1bp/1p2p1p1/2p1P3/2PpBPP1/1P1P3R/P2B2KQ/4NR2 b - -,e8c7
r6b/p1k1q3/Qp1p2p1/2p1p3/2PnP1B1/4B3/PP3PP1/2K4R b - -,h8f6
8/7k/2n1p2p/1p1pP2P/p1pP4/P1P3K1/1P4P1/2B5 w - -,g3h4
8/7B/2pk4/3p3b/1P1K3P/4P3/8/8 w - -,h7f5
5k2/p4p2/8/4b1Q1/1P1q4/P5PP/5P2/6K1 w - -,g5h6
8/8/5k1p/2pB2p1/4KpP1/1P5P/8/6b1 b - -,g1e3
2Br2k1/p4ppp/4b3/2P5/P7/4b1P1/4PP1P/1R3RK1 b - -,e3c5
2r2rk1/3nbppp/1qn1p3/ppppP2P/3P1B2/N1P2NP1/PP3P2/R2QRK2 b - -,b5b4
2r2r2/pp5k/4n1pb/qN1pPp1p/3PpP1P/P5P1/4BQ2/1R1R3K w - -,b5d6
r2qkb1r/pp2nppp/2b5/2Qn4/8/P1N3P1/1P1P1PBP/R1B1K1NR b KQkq -,d8d7
1r2r1k1/3q1pp1/1pp1bnp1/3p4/P1PPp1P1/1Q2P2P/4BP2/1RB1K2R b K -,e8c8
2q1rbk1/1p3pp1/pQnpr2p/8/2P2B2/1P1RN2P/P4PP1/2R3K1 w - -,e3d5
r2qk2r/pb3ppp/1p1bpn2/2n5/1pPPP3/3B1N2/PBQN2PP/R4RK1 b kq -,c5d3
8/p6k/1p4pP/3bpq2/8/8/PP1Q1B2/5KRr b - -,d5c4
8/1K2k3/2P5/8/4P3/1r4p1/p7/R7 w - -,b7a8
5B2/R2b3p/2p1k1p1/4p3/6P1/4KP1P/Pr6/8 b - -,b2h2
r3r1k1/pbbp1pp1/6q1/3P1R1p/1pB3n1/4PQN1/1P3PPP/1RB3K1 b - -,c7g3
1rr3k1/3qn1bp/4p1p1/p1ppp3/n1P2PPP/3P4/P1QB2B1/2RNR2K w - -,f4e5
8/p3p3/3p1pk1/3P4/1p1P2p1/1P4P1/P2R1P2/2r2K2 w - -,f1g2
4q1k1/3r2pp/p1p1pp2/p7/Pb1PP3/1P2N1P1/4bPBP/B1R2RK1 w - -,c1c2
5k2/3qn1b1/1p2br1p/rNp1p3/P3Q1BN/3P1P2/1P2P3/R3K1R1 b Q -,f6f4
2rr4/p2q3k/1p1p2pp/3Nbp2/Q3p2P/4B1PB/P3PP2/3R2K1 w - -,a4b4
r2r2k1/ppq3bp/n1ppbn2/3Ppp2/2P5/BPN3P1/P3NPBP/2RQ1RK1 b - -,e6f7
2r2r2/p4pkp/6p1/3B2P1/1pp1P2P/4b2R/PPP5/1K1R4 b - -,e3f4
4R3/p4pk1/2p3np/2Nb2p1/1P4P1/P5PP/5K2/5B1r b - -,h1h2
r2qk2r/1b1pnpbp/p1n1p1p1/1pB5/4PP2/2NP1NP1/PPP3BP/R2Q1RK1 b kq -,d7d6
r2r2k1/1p1nqppb/1npbp2p/p7/P2PPB2/2NN2P1/1P2QPBP/R2R2K1 w - -,f4e3
4b3/2q3k1/1p1b2p1/3p4/p2pp1Bp/P1P1P2P/1P1N2P1/2K2Q2 w - -,e3d4
r1bq1rk1/1p1nppbp/p1np2p1/8/2P1P3/2N1B3/PPNQBPPP/R4RK1 b - -,d7b6
2r4k/2qn1pp1/1p3b1p/1p2p3/2P3QP/BP4P1/P4P2/3R2K1 w - -,d1d7
2r1r1k1/1q2b1pp/p3p3/3pPp2/pP1BnP2/2PBQ3/6PP/R1R3K1 w - -,a1a4
rnbq1b1r/ppp2kpp/3p1n2/8/4P3/8/PPPP1PPP/RNBQKB1R w KQ -,d2d4
2r2r2/3qnpbk/bpn1p1pp/pNpp4/2P5/P2PPNP1/1PQB1PBP/1R1R2K1 b - -,a6b5
r3k2r/pppqb1pp/5pb1/8/3P1BPN/2Q5/PP3P1P/R3R1K1 b kq -,c7c6
r3k2r/1b2n1pp/p3RB2/1pb5/8/1BN5/PPP2PPP/2KR4 b kq -,g7f6
r1bq1rk1/pp2ppbp/1np2np1/8/2pPP3/5NPP/PP2QPB1/RNB2RK1 w - -,f1d1
r4r1k/1bq1p1bp/p3p1p1/5P2/1p4n1/3B1N2/PP2Q1PP/R1B2R1K w - -,h2h3
1r3rk1/5pp1/p2qp1p1/3p4/1n1P1nPP/2PB1P2/PP1Q4/1K1R3R w - -,c3b4
r1b2rk1/4bppp/p2qpn2/1p1NN3/3P4/1Q3B2/PP3PPP/R1B2RK1 b - -,f6d5
r5k1/rpq2pb1/2n1b1pp/1R6/3pPp2/P2B1N1P/2PN1PP1/RQ4K1 w - -,b1b2
2R5/3k1p2/4p1p1/4q3/3p4/1P5P/6P1/2Q4K b - -,e5d6
r1bqkb1r/1pp2ppp/p1p2n2/4N3/4P3/2N5/PPPP1PPP/R1BQK2R b KQkq -,d8d4
r2qkb1r/pp1n1p1p/2p1pp2/5b2/2BP4/5N2/PPPB1PPP/R2Q1RK1 w kq -,f1e1:d2f4:f3h4
3b1rk1/1p3p2/p2p2p1/2q1p2p/2NnPP1P/3Q2P1/PP2r1B1/1R3RK1 w - -,b2b4
r4rk1/1pqnbpp1/2p1p2p/p4b2/2PPN3/PP4P1/1B3PBP/R2Q1RK1 b - -,d7f6
3Q4/5pk1/p1b5/1pq3p1/5pP1/2p5/r4R2/5RK1 b - -,a2f2
r2qkb1r/p2b1p1p/1pn1p1p1/2p2n2/4NP2/2PP1NP1/PP3BBP/R2QK2R b KQkq -,f8e7
rn2r1k1/pp5p/5pP1/2pPb1B1/2q5/2N2Q2/PP5P/R4RK1 b - -,h7g6
5r2/3k4/1p6/2bP4/P1P2p2/1P4pP/6P1/1R5K w - -,b3b4
q4rk1/pb3ppp/1p2pb2/nN6/1P3B2/3B4/P3QPPP/3R2K1 b - b3,a5c6
r1bq1rk1/p4ppp/2p1p3/3nb3/8/2N3P1/PPP1QPBP/R1B2RK1 b - -,e5c3
1rr5/7p/p2k2p1/1b1ppp2/1P1pP3/P2P1PP1/3K2BP/1RR5 w - -,c1c5
6k1/3b4/3p1q1p/3Pb1p1/4P3/2p1B2P/2B1Q1P1/6K1 b - -,g8g7
8/1pR5/p4kp1/4n2p/2P1B3/6P1/1r6/6K1 w - -,e4b7
8/p7/1p6/3N1p1k/6p1/1P2KPP1/P6P/8 w - -,f3f4
3r1k2/2Nbb2p/p1np2p1/1pp2p2/8/1P2P1PP/P4PB1/2RR2K1 w - -,g2c6
8/5k2/3R2p1/4p3/6PK/3P3P/8/7r w - -,d6a6
2rq1rk1/pp2ppb1/1n4pp/1b1P4/2B5/1Q1PB3/PP3PPP/R3R1K1 w - -,b3b5
5r1k/6p1/7p/7n/1pN5/1P5P/6P1/2b1R1K1 b - -,c1f4
6rk/p5bp/1p2b3/5p2/1N3q2/6PP/P5BK/2R5 w - -,g3f4
