8/8/R5p1/P4k1p/8/2r5/6K1/8 w - -,a6a8
8/1q3pk1/2p3p1/p2p3p/Pr1P1Q1P/4P1P1/5PK1/2R5 w - -,f4e5
1r2r1k1/QPq2p1p/6p1/N7/4n3/6P1/5PBP/5RK1 w - -,f1a1
r1b2rk1/pp1nqpb1/3p1npp/2pPp3/2P1P3/2N1BNP1/PPQ1BP1P/3R1RK1 b - -,f6h7
3r4/1p1rbpkp/2p1p1p1/p7/P1BP1P2/2P2K2/1P2RP1P/3R4 b - -,g7f8
7k/4R1bp/1p4p1/3r4/P1p5/2Pq1P1P/1PQ1R3/6K1 b - -,d3f3
r1bqk2r/pp2bppp/1np2n2/3p2B1/3P4/2NBP3/PPQ1NPPP/R3K2R b KQkq -,f6h5
4r1k1/2p2pp1/2b2n1p/7q/p2Q4/2PB4/2PB1PPP/1R4K1 w - -,f2f3
r1bqk2r/ppp3bp/2np1ppn/4p3/2PPP3/2N1BN2/PP2BPPP/R2QK2R b KQkq -,e8g8
4k3/6R1/5pp1/4p3/4P2P/r5P1/1r3BK1/5B2 w - -,g7g6
r1b2rk1/1p4pp/3q1p2/pP1p4/P1Q5/1NP2K1P/6P1/3R1B1R b - -,d5c4
8/1R2Pk2/4B3/1br5/3p4/1p2P3/5P1K/8 b - -,f7e6
8/6qk/6pp/p7/5Q1P/8/6PK/8 b - -,h6h5
8/1p2kppp/p7/3n4/8/P4P2/1P3KPP/3N4 w - -,d1e3
r1b1r1k1/1p3pp1/p6p/2p1Pq2/5N2/3p1N1P/PP1Q1PP1/R3R1K1 w - -,g2g4
r4rk1/p1q1bpp1/4p1p1/3pP3/3NnB2/5P1P/PP2Q1P1/3R1RK1 b - -,e4c5
1r6/RB1r1pk1/4p2p/N5p1/6PP/5PK1/8/8 w - -,h4h5
5k2/3b4/2p1q3/1p1np1Q1/p2b2PB/P2N3P/1P4B1/7K w - -,g2e4
2r2rk1/pbqnbppp/1pp1pn2/3p4/2PPP3/1P3NP1/PBQN1PBP/2R2RK1 b - -,c7b8
8/8/8/R7/1p1kp3/p5PK/1r3P2/8 w - -,g3g4
2r3k1/p4p1p/4p1p1/2q5/4Q3/5N1P/P1B2PP1/6K1 w - -,c2b3
2rqk1nr/pp3ppp/2npb3/3Np3/2P1P3/3B4/PP3PPP/RNbQ1RK1 w k -,d1c1
4rnk1/1b6/p5pb/1p3p1p/5N2/2P4P/PP4PN/1B1R2K1 w - -,d1f1
2r3k1/3n1pbp/p2pp1p1/8/1qrPP3/2N1B2P/1P2QPP1/R2R2K1 b - -,b4b7
1r2k2r/pp2q1p1/n1pbNn1p/8/3Pp3/PQN5/1P1B1P1P/R3K2R w KQk -,e1c1
6k1/4rp2/6p1/7p/3R4/5KP1/4PP1P/8 w - h6,h2h3
1k6/1pqr3p/p2p1pr1/8/4P3/2PQ4/P1P3PP/1K1R1R2 b - -,c7d8
4r3/p4pkp/2R3p1/8/8/1P3N2/P4nPP/2K5 w - -,c1d2
r1bqkb1r/3n1ppp/p1pp4/4p3/4P3/1P2QN2/P1P2PPP/RNB2RK1 w kq e6,c2c4
r3r1k1/2q2p1p/2b1p1p1/1pb1p2n/p3P3/P1P2NPP/1PBNQP1K/2R1R3 w - -,d2f1
r1bq1rk1/pp2pBbp/2n3p1/2P4n/5B2/1QN1PN2/PP3PPP/R3K2R b KQ -,f8f7
6k1/1q4p1/1P1p3p/5p2/1Q6/7P/6P1/7K b - -,f5f4
r1bqk2r/pp1nppbp/2pp1np1/8/3PP3/2N1BP2/PPPQN1PP/R3KB1R b KQkq -,a7a5
6k1/r6p/4pbp1/p1Np4/3Pp2P/4P3/5PP1/5RK1 b - -,g8f7
2rqkbnr/p2p1ppp/1pn1p3/8/2P2Q2/2N2PP1/PP3P1P/R1B1KB1R w KQk -,f1e2
4r1k1/1p1q2bp/1Bpp2b1/5p2/1PP2n2/4NQR1/6PP/3R2K1 b - -,e8e4
4q1k1/p1r1p1b1/P2pP3/1Pn2Q1p/7B/7P/6P1/4RB1K w - -,f1e2
4K3/2kP4/5b1p/6pP/6P1/3B4/8/8 w - -,d3e4
r4r1k/pp3Pbp/2pp4/5PP1/P7/2qPQ3/R6P/5R1K b - -,f8f7
8/3kbp2/6p1/4P2p/5P2/r3B2P/1R2K1P1/8 b - -,a3a4
2r2rk1/1p3p2/p2ppq1p/4b1p1/P2NPn2/2P1BP2/1P4PP/R2R1Q1K b - -,h6h5
2rq1rk1/p3bpp1/2p1pnb1/2ppN1Pp/5P1P/1P1PP3/PBP5/RN1Q1RK1 b - -,f6d7
5rk1/2p1p1bp/1p1p2p1/3Pq3/1PP1B3/R3B1Pb/2Q2P1P/6K1 b - -,e7e6
r6r/p2bk1pp/4pp1n/3pP3/1n1P2P1/2N2N1P/1P1KBP2/R6R w - -,c3a4
R1b1r3/3p3p/3Bkp2/2K1p1p1/8/5P2/5P1P/8 w - g6,a8b8
r1bbrnk1/ppq2p2/2p3pQ/3p1P2/7P/1P1BPN2/PBP3R1/4R1K1 b - -,f7f6
rn2qrk1/pbp3pp/1p1p1n2/3PppN1/2P5/2B3P1/PP2PPBP/R2Q1RK1 w - -,g5e6
2r5/5p2/1pN2bk1/pP5p/Pn1P1BpP/6R1/5P2/6K1 w - -,g3c3
4rr1k/6pp/2b3q1/3N4/3Q4/5pP1/PP3P1P/R1R3K1 b - -,g6h5
2r5/2P2p2/p4Pp1/2kn4/P2Np3/8/1R1K1P1P/8 w - -,d4b3
r2q1rk1/3bbpp1/1n2p1p1/p2pP3/P1pP1PQ1/1pP3NP/1P4PN/R1B1R1K1 b - -,b6a4
6k1/pB3p1p/2p3p1/3p4/P2P3n/2P5/1P2Q3/1q4BK b - -,h4f5
r1r3k1/1p3ppp/p1b1pn2/q7/Pb1R4/1P1B2N1/1BP1QPPP/3R2K1 b - -,c8d8
q6k/6bP/1p1p2P1/p3p3/P1P5/1P5R/6RK/2B5 b - -,a8f8
2k4r/p2q1p2/1pr1p1p1/3pPn1p/b1nP1P2/bNP2RPB/P1P1QB1P/1R2N1K1 w - -,e1d3
1r1q4/1p6/1N1p2p1/2pPp1k1/4Pp2/3P1B2/4KP2/1Q6 b - -,g5h6
r1bq1rk1/4bppp/ppnppn2/8/2P1P3/1PN2N2/PB1QBPPP/R3K2R w KQ -,e1g1
r3q1k1/7p/1np1p3/p2pPp2/PP2nPp1/1Q1NP1Pr/R6P/4BRK1 w - -,d3f2
5KB1/8/R6P/8/8/p7/1k6/7r b - -,h1h2
rnbqk2r/pppp1pp1/5n1p/4p3/1bP5/1QN3P1/PP1PPPBP/R1B1K1NR b KQkq -,b4c3
rn1q1rk1/1b2bppp/p3pn2/1pp5/3P4/2N2NP1/PP1QPPBP/R1BR2K1 w - -,d2c2
2rr2k1/1b2Bp1p/p4p2/1pp5/1npp4/5NP1/PP3PBP/R2R2K1 b - -,d8e8
2r5/p3rk2/R4n2/3p4/3P1PP1/2P1PK2/8/5R2 w - -,g4g5
1r1q1rk1/3bppbp/1p1p2p1/pNnP4/PnPNP1B1/7P/3B1PP1/1R1Q1RK1 b - -,d7b5
6bk/4q3/1p1p1npP/p1pPp1p1/P1P1N3/1P1B1KP1/8/3R1R2 b - -,g5g4
1Nb1r1k1/2q1bpp1/pn4n1/7p/2p2P2/1PN1B2P/P2Q1RB1/3R2K1 b - -,c7b8
r2r4/1p1b2kp/3p1pp1/1P1N4/2PQP2q/2R5/5PPP/3B2K1 b - -,d8f8
8/8/1R3p2/1p2p1k1/2r3P1/2P2K2/1P6/8 b - -,c4f4
2rq1rk1/pb1nbp1p/1p1pp1p1/8/2P2P2/P4N2/1P1NPPBP/1QR2RK1 w - -,f1d1
r1b3k1/4npp1/3rp2p/p2p4/2pP2N1/2P1PN1P/P3BPP1/1R4K1 b - -,a8a6
8/4p3/2p2bp1/p1Bk4/3P4/Pr4P1/4PPK1/7R w - -,h1d1
1rbbr1k1/5p2/2p3p1/ppP1n2p/1N2PN1P/1P2BPP1/1P2BK2/3R4 w - -,b4c2
3q3r/1p1b1pk1/1n2p1p1/pP1pP1Pp/Pb1P1N1P/1Q5R/4NPK1/2B5 b - -,d8c8
8/2B2p2/p7/5P1p/6k1/1N6/1P5P/1K4b1 b - -,g4f5
5rk1/N3ppb1/3p2pp/4n3/4P3/1P1nB1P1/P1r1B2P/R3R1K1 w - -,b3b4
1Q6/3rr1k1/5pp1/7p/2B2P2/6PK/7P/4n3 b - -,g6g5
5rk1/q5p1/npP2r1p/3P4/pP2p2P/P3Nn1K/4Q1B1/5R1N w - -,h1g3
r2qr1k1/p2p1ppp/1p3n2/2p3B1/2n1P3/2P4Q/P1B2PPP/R4RK1 b - -,c4a3
r2qr1k1/3n1ppp/2pP2n1/1pp1p3/4PP2/PB4P1/1B2Q2P/3R1R1K b - -,c5c4
n1r5/1R3pk1/P2p2p1/Q2Pp2p/2rqP2P/6P1/5PK1/R7 w - -,a5e1
r1q2rk1/1p2bppp/p2pbn2/2p5/Pn2PP2/1NN1BB2/1PP3PP/R2Q1RK1 w - -,c3d5
2R5/5p1p/p2b1P1k/1b6/2p5/8/6PP/5R1K w - -,f1f3
r2q1rk1/1pp2pbp/4p1p1/p2n4/P2P4/1BP2b1P/1P3PP1/R1BQR1K1 w - -,d1f3
