8/2nkbp2/1R6/2p5/8/P3P3/1R2KP2/7r w - -,b2b1
3rr1k1/pqp2pbp/2ppbnp1/6B1/2P1P1P1/P1N2P2/1P1QBR1P/2R3K1 b - -,h7h6
r1bqr1k1/pp2ppbp/2n3pn/3p4/3P1B2/2PB1N2/PP3PPP/RN1QR1K1 w - -,b1d2
r3kb1r/pp2p1pp/1qn2p2/3b4/1p1P2QB/4P3/P2N1PPP/R3KB1R b KQkq -,b4b3
r2q1rk1/pp1nppbp/2p3p1/3p1b2/2PPn3/NP3NP1/PB2PPBP/R2Q1RK1 w - -,a3c2
R7/2r4p/2Pk4/4pb2/PP1b1p2/6P1/4BP1P/2R3K1 b - -,f4g3
r1br2k1/pp2pp1p/5bp1/q2N4/4P3/3B4/PPPQ2PP/2KR3R b - -,d8d5
rnbq1rk1/1p1pbppp/p3p3/8/2PN4/2PQ2P1/P3PPBP/R1BR2K1 b - -,d7d6
2kr3r/Q1q2pp1/1pp1p3/B6p/2PP1Pn1/4b2P/PP2B1P1/R4R1K w - -,a7b6
r3k2r/pppn1ppp/1q2b3/3p4/4nP2/3N1Q2/PPP1N1PP/R3KB1R w KQkq -,f4f5
8/4k3/2p1p2p/4r3/PpPR4/8/1P3PPP/5K2 w - -,b2b3
r1bq1rk1/pp2ppbp/3pn3/4n1p1/2P1P3/1PN1B1PP/P3NPB1/R2Q1RK1 w - -,f2f4
1b6/5p2/2r1p1k1/p1prPpPp/Np3P1P/1PpP1K2/P1P5/4R2R b - -,b8a7
5r2/1pp2rk1/p2pn3/P3p2p/1P2P2p/2P1NPP1/5R1K/5R2 w - -,e3f5
6k1/1b3ppp/1nq1p3/p2p4/Pp1Pn3/1P2PB2/3N1PPP/2NQ2K1 w - -,f3e2
rnbqr1k1/1ppp1ppp/p4n2/2b1p3/2P5/P1N1P1P1/1P1PNPBP/R1BQK2R b KQ -,b8c6
2Q3k1/4qpp1/5n2/7p/1P3P2/P3p1P1/4P1BP/6K1 b - -,g8h7
r1bq1rk1/2p1npb1/p1np2pp/1p2p3/4P3/PB1P1N2/1PPN1PPP/1RBQR1K1 b - -,g8h7
3q1Bk1/5p2/2p3pp/p7/P1P5/7P/1r3PP1/2R1Q1K1 b - -,g8f8
8/1q3k1p/3bn1p1/2np1pP1/3N3P/2P5/1P2R3/1K1Q4 b - -,c5e4
3r2k1/pq2rppp/4pn2/1p2N3/1P6/2P5/P2Q1PPP/4R1K1 w - -,d2d8
8/8/4bpp1/4k2p/1p1pP3/3P1BP1/1P5P/4K3 w - h6,f3d1
r2q1rk1/pp1bppbp/2np1np1/3N4/2B1P3/1N6/PPP2PPP/R1BQR1K1 b - -,c6e5
5r2/p1R5/3n1k1p/1P1B2p1/2P5/6PP/P4PK1/8 b - -,f6e5
rn1qkb1r/p4ppp/2p1p3/1p1nP3/2pP4/2N2Q2/PP3PPP/R1B1KB1R w KQkq -,f1e2
8/8/1p6/7R/P4Pk1/6p1/2r5/5K2 w - -,h5b5
r4rk1/4qpp1/p1p1bn1p/1pnp4/3P1N2/3BP3/PPQ2PPP/1R3RK1 w - -,c2c5
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPB2/2N2N2/PPP2PPP/R2QKB1R w KQ -,e4e5:d1d2
1rbb2k1/2qn1p2/2pp2pp/p1nPp3/2P1P3/1NB1N2P/P1B2PP1/2R1Q1K1 b - -,c5b3
6k1/8/2P1R1p1/3pP2p/3b3P/2N3P1/5r2/5K2 w - -,f1e1
8/8/8/4k1p1/3pb3/5BP1/8/4K3 w - -,f3g4
r3r1k1/1b2npbp/pq3np1/1p1pN3/1P1P1B2/PQN3P1/5PBP/3RR1K1 w - -,f4g5
8/8/3Rbpk1/6p1/8/1p3PBp/1P3KnP/8 b - -,g6f7
5bk1/p6r/1pn1pB2/3pP3/3P1PP1/2P3K1/P7/4R3 b - -,f8a3
r1br2k1/pp3pbp/2n1nqp1/2p1p3/4P3/2P2NPP/PPQN1PBK/R1B1R3 b - -,b7b6
4k3/1R2b3/8/B1p5/K1P4r/1P6/8/8 b - -,h4h1
1rbqk2r/ppn1bppp/2n5/2p1p3/8/P1NP1NP1/1P2PPBP/R1BQ1RK1 w k -,c1e3:a1b1:f3d2
r1b1k2r/ppp2p2/2n3pp/4P3/2P1p3/4P3/PP1K1PPP/R4BNR w kq -,g1e2
rnbqkb1r/pp2pppp/2p5/6B1/2PPp3/8/PP1QPPPP/R3KBNR b KQkq -,h7h6
5nk1/2q3n1/pp2p1p1/6N1/1PPQ1P1p/4P3/P6P/3N2K1 w - -,d1f2
3r1r2/3PQpkp/p4Rp1/3qp3/1p6/1P5P/P1P3P1/5R1K w - -,f6d6
r1bq1rk1/3nnpbp/p2p2p1/4pP2/Np2P3/3BBR2/PPPQN1PP/R5K1 b - -,e7c6
r3rbk1/1b2qp2/p4npp/npp5/4pR2/2PPB1NP/PPB1Q1PN/3R2K1 w - -,d3e4
r4bnr/pp1k1ppp/4p3/4P1N1/2p5/4B3/PP3PPP/R3K2R b KQ -,g8h6
3R4/8/3k1p2/6p1/6Pp/5K1P/8/6r1 b - -,d6e7
r1r3k1/pp2ppnp/3pb1pQ/q7/4P3/P1N2P2/1PP3P1/2KR1B1R b - -,f7f6
6rb/2k2p2/b1P5/p5B1/7P/1P6/P1K2PP1/4R3 b - h3,c7c6
2r5/2P3bp/4k1p1/B3p3/P2p2P1/8/5PP1/2R3K1 w - -,a5b6
rn1q1rk1/pp2ppbp/1n4p1/6P1/3PB3/2NQ3P/PP3P2/R1B1K2R b KQ -,b8c6
r4rk1/pp3ppp/2nqpn2/3p1b2/P1pP4/2P1PN2/1P1NBPPP/R2QK2R w KQ -,e1g1
rnb1kb1r/ppp1qppp/3p1n2/6B1/8/3P1N2/PPP1QPPP/RN2KB1R b KQkq -,e7e2:b8d7
8/2k3p1/Qp2qp2/2p3p1/P7/5P1P/1PK3P1/8 b - -,e6f5
1nq1r3/3npk2/p4bpp/Np3p2/1Nr5/P1P1R1B1/1P4PP/3RQ2K b - -,c4c5
8/1Q6/3pk3/1pq3p1/5p2/5P2/6PK/8 w - -,b7e4
r2r3k/1p4pp/1q1p2b1/1Nn1p3/2P2n2/NP3PP1/P2QB2P/R2R3K b - -,f4d3
rn1q1rk1/pp2p1bp/2p1b1p1/5p2/3P4/2PBBN1P/PP3PP1/R2QK2R b KQ -,g8h8
r2r2k1/1q1p1pbp/ppbBpnp1/8/2P5/1PN1PB2/P4PPP/R2Q1RK1 w - -,a1c1
r4qk1/3b4/2p1r2p/1pPp1pp1/2nP4/2Q1PBB1/5PPP/R2R2K1 w - -,f3h5
r2q2k1/pb1nb1pp/1pp1p3/3pNr2/2PP1BQ1/2N1PR1P/PP4P1/R5K1 w - -,f3g3
3br3/1R3pp1/p1nB2k1/1p2P1P1/2p4P/P1N5/1PP5/2K5 w - -,c3d5
r1b1kbnr/pp1n1ppp/1q2p3/2ppP3/3P4/P1N2P2/1PP2BPP/R2QKBNR w KQkq -,f3f4
8/4kp2/3p1b1P/p2Bq3/1pP3Q1/1P4PK/P7/8 w - -,d5c6
4q2k/6p1/2r1pr2/p1Np2Qp/1pnP3P/6P1/PP2RP2/2R3K1 b - -,c4d6
r3r1k1/1p1bq1bp/p2np1p1/5p2/P1BN1P2/1QP1BR2/1P4PP/4R1K1 w - -,c4d3
1r1q1rk1/2p2pp1/3bb2p/1p1pP3/1npP4/4BNP1/1P2QPBP/R2R2K1 b - -,d6e7
4kn2/7p/3nPK2/B1pP4/p7/2P3PP/P7/8 w - -,g3g4
r4rk1/1pq2pbp/pnp2np1/4p3/3P4/P1N1PQ1P/BP1B1PP1/2RR2K1 b - -,f8e8
r2r2k1/1p3ppp/1q1p1b2/1NnP4/p3p3/2P5/PPQ1BPPP/1K1R1R2 w - -,f2f3
5k2/6p1/1p3p2/1P2p3/Pp6/2p2PP1/2b1B2P/1N5K w - -,b1c3
5rk1/p2R1p1p/1p3Bp1/4b3/4q3/1Q4P1/5P1P/6K1 w - -,d7e7
2R5/8/8/8/4p3/1p6/1k1K4/8 w - -,c8c7
6k1/7p/3p1pp1/1rnPp3/2N1P1P1/1pP1QP2/q5PK/7R w - -,c4d6
5k2/7p/8/n2B1NPK/P7/8/3b4/8 w - -,h5h6
4r1k1/6bp/5rp1/p1R5/Pp3N2/1Pn2NPP/5PK1/4R3 b - -,e8e1
8/5kp1/R6p/2r5/5PK1/6PP/8/8 b - -,c5b5
r2q1rk1/5ppp/p1n2n2/1p6/1Pb1p3/2P1PN1P/2BB1PP1/R2QR1K1 w - -,f3d4
8/8/3k3p/1R4p1/6P1/P3K3/2P4P/4r3 w - -,e3f2:e3f3
r2q1rk1/pb2ppbp/1p4p1/3P4/2B1P3/4B3/P2Q1PPP/2R2RK1 w - -,c1c2
3r4/p3k1bp/5pp1/1pr1p3/6P1/1BP4P/PP2KP2/2R4R w - -,c1d1
3r2k1/5p1p/p5p1/3pr3/2p5/5B2/P5PP/3R1RK1 w - -,d1d4
1qb2rk1/2bn1ppp/pp2pn2/8/2P5/1PN3P1/PB1QPPBP/2RR2K1 w - -,c3e4
r3k2r/p1p2pp1/bpn1p1n1/3pP1Pp/3P4/P1P4R/2P1NPP1/R1B1KB2 b Qkq -,a6c4
