4k3/6R1/3P4/1P6/4p1p1/4r3/7P/6K1 w - -,b5b6
1qr2rk1/p2p2pp/2n1pb2/1p1n4/2NP4/P2Q1NP1/1P1B1P1P/2R1R1K1 w - -,c4e3
5r2/p4pbk/1p5p/1N2nb2/3N2p1/6P1/PP2BPP1/3R2K1 b - -,f5e4
6r1/pk6/5p2/3P4/3K1P2/8/P6p/7R b - -,g8h8
2r2b1k/5Q2/7p/8/p4P2/P7/6KP/8 w - -,f4f5
6k1/2R2p2/1R2b1pp/8/6PP/1p2PP2/n1r1B3/4K3 w - -,c7b7
r1b1k2r/2q1bppp/p2p1n2/1p2n3/4PB2/P1NB1N2/1PP3PP/R3QRK1 w kq -,g1h1
3r2k1/p1R2p1p/4p1p1/1P2q3/3r4/2Q4P/P4PP1/2R3K1 w - -,c7c8
2r2bk1/1pqn1p1p/p1r1p1p1/4P3/5P2/1PNQB3/P1R3PP/2R3K1 w - -,c1d1
2rq2k1/1p1nrbpp/p1p1p3/P7/1PpPp3/2Q2PP1/1N4BP/3RR1K1 w - -,f3e4
1r1q1r1k/p1p3pp/3p1bb1/2p5/2Q5/1P4N1/P1PB1PPP/3R1RK1 b - -,f6e5
r5k1/5ppp/p1p1rq2/1pP5/1P6/P7/2Q2PPP/4RRK1 b - -,a6a5
rn2k2r/1bq1bppp/pp1ppn2/8/2P5/1PNBPN2/PBQ2PPP/R4RK1 w kq -,f3d4
2r2rk1/4pp1p/1n1p2p1/Np6/nP1N2qP/P3P3/5PP1/Q1RR2K1 b - -,g4h4
rn1qk2r/1b2bppp/p3pn2/2pp4/1p2PP2/3P1NP1/PPP1QNBP/R1B1K2R b KQkq -,b8c6
rnb1kb1r/pp1p1ppp/1q2pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,d1c1:b1a3:b1c3
8/7p/4k1p1/p1q5/Pp1pPP1P/1P4P1/1Q6/5K2 w - -,e4e5
r2qr1k1/1b1p1ppp/np1b4/p1pPnN2/4P3/P1N4P/1PB2PP1/R1BQ1RK1 b - -,d6f8
1r5k/5Rbp/R2P2p1/2p5/1pB1Qp2/7q/1P6/6K1 b - -,g7d4
8/3k4/3p2b1/B1p5/4rP2/1R3K2/8/8 b - -,e4a4
r3k1r1/1p2qp1p/pN1pbn2/4p1p1/3nP3/1P1BQ2P/P4PPN/2R2RK1 b q -,a8d8
5k2/3n1ppp/pp2p3/4P3/1N6/1P4P1/P3RPKP/3r4 b - -,a6a5
4rk2/Rbr3p1/2p1R2p/1pPp4/1P1P4/5N2/4KPPP/8 w - -,e6e8
8/4k3/6p1/4P2p/1pn2P1P/1N4P1/2K5/8 w - -,c2d3
r4rk1/ppp3b1/4P1pp/2Pnpp2/1PB5/5P2/P5PP/R1B2RK1 b - -,c7c6
2rr2k1/5ppp/p2q4/P1pP4/1pQ5/1Pb3P1/2R2P1P/3R1BK1 b - -,c8a8
8/4p2p/4P3/p1p1k1p1/2P3K1/PP2P3/7P/8 b - -,e5e4
r3k2r/1bpnqpp1/1p1ppn1p/p7/P1PP3B/2P1PN2/4BPPP/R2Q1RK1 w kq a6,f3d2
3q1rk1/5pbp/p3p3/3pPp2/5P2/6P1/2QBN2P/1R4K1 w - -,e2d4
1n1q1rk1/2r1bppp/pp1pp3/8/2P3Q1/1PNR1BP1/P3PP1P/3R2K1 w - -,g4h3
r4rk1/2q1bppp/p3pn2/8/PpNQ1P2/1P2B3/2P3PP/R4RK1 w - -,d4e5
r3kb1r/ppq3pp/2n1bn2/1BPppp2/1P6/2N1PN2/PBP2PPP/R2Q1RK1 w kq -,c3e2
5rk1/p2npp1p/b5p1/q2P4/1Q1b4/B5P1/P2N1PBP/4R1K1 b - -,a5b4
2R5/8/8/8/8/5k2/2p4r/4K3 w - -,c8f8
8/1kb2p2/4p1p1/1NP1P1Pp/2r2P2/3R1K1P/8/8 b - -,c4c5
6k1/1p3p1p/pBb3pb/8/5P2/1Pr2N1P/P5P1/4R1K1 b - -,h6f4
r2q1rk1/1bp3pp/ppn1p3/2n1P1B1/2PpN3/8/PP3PPP/RB1QR1K1 b - -,d8e8
7k/1pb1r1pp/2pp1p2/7q/1PPR1PR1/3QP2P/rB4PK/8 w - -,d3b3
r3r1k1/1p1b1ppp/2np1n2/p7/1qPP4/N1Q3P1/1P1N1PBP/R4RK1 b - -,b4b6
r4rk1/pp5p/2n1pP1P/3p4/3P4/5B2/PP4P1/R4RK1 w - -,f3h5
3rr1k1/pp2p2p/2p2pp1/5n2/3P4/2P3B1/PP3PPP/3RR1K1 w - -,f2f3
1rbq1rk1/1p2b1pp/n1p5/p1PpPp2/6n1/1PN3PN/PB1QPPBP/4RRK1 w - -,e1c1
r1b2rk1/1p2q1pp/p3p3/2b2p2/2P1B3/5Q2/P4PPP/2BR1RK1 w - -,e4c2
r4rk1/2p1b1pp/p3p1b1/1p2N3/3Pp1P1/4B2P/PP3P2/2R1R1K1 b - -,e7d6
r4r1k/7p/1q1pb1p1/p3p3/1PB1Q3/2P1P3/R5PP/5RK1 b - -,e6c4
r7/3b2k1/4p2p/3p4/p2P4/R1P3P1/4B3/6K1 b - -,a8b8
8/1R2N2p/2p3pk/p3p1n1/P7/1P5P/2r5/6K1 w - -,h3h4
2r4k/3b1qpp/8/p1rPBp2/PbB2P2/1Q6/4R1PP/R5K1 w - -,e2c2
r6r/pp2kpp1/2p2n2/6p1/8/4PB1P/PP3PP1/R1R3K1 b - -,f6d7
6k1/2R3pp/1p2R1b1/8/1r6/4K3/6PP/8 b - -,b4b3
R1n5/2k1pp2/5r2/p2P2pp/1b6/PB3P2/4K1PP/8 b - -,c7b7
5rk1/p3pp1p/3p2p1/q2P3n/2R5/1P4P1/P3QPBP/6K1 b - -,f8e8
6q1/r5k1/1p2p3/p2p1rP1/2p5/2P1P3/PPQN1P2/2K3RR w - -,f2f4
R4bk1/7p/p3n2r/P5p1/8/2P2p2/1P5P/5KB1 b - -,e6c7
2rr2k1/1p3ppp/p2pbn2/q3n3/2PQPB2/1PN3PP/P3B1K1/R2R4 w - -,a1c1
r1rq2k1/1p2ppbp/2bp2p1/p1n5/2P1P3/1PN1BP2/P2QB1PP/3RR2K b - -,d8b6
4r3/5k2/p5p1/1pp2b2/3b4/1Pn1B2P/P4PP1/2R2K1R w - c6,a2a3
3r1nk1/R4ppp/8/2Pbp3/8/4B1PB/1r2PP1P/3R2K1 b - -,d5e6
1B3rk1/6pp/r4n2/2ppNp2/p7/P5P1/1P2PPKP/R2R4 b - -,f8b8
r4rk1/pp2bppp/1qp1pn2/8/2QP4/P4BPP/1PP2P2/2BR1RK1 b - -,f8d8
1kbr3r/1ppn1ppp/1p2p3/6P1/R7/1PP5/PBP3BP/2K4R w - -,a4d4
8/1r2pk1p/1n2p1p1/8/1N2PP2/P1P3P1/1P2b2P/1K1R4 w - -,d1d2
4k2r/6pp/3Bppq1/1b1p4/5P2/8/rPP2QPP/1K1R3R b k -,a2a6
1rnR4/p1r2pbk/Qpq3pp/P1P1p3/4P2P/2P1B1P1/5PB1/R5K1 w - -,a5b6
8/4Q1pk/3p2Np/2pP1P2/P2n2P1/1P5P/8/3K1q2 w - -,d1d2
1r2qbk1/1r1b4/1n1p3p/p1pPp1pP/1pP1PpP1/1P1B1P2/PKQBN3/1R5R w - -,b2c1
r1bq1rk1/1p2p1bp/n1pp1np1/p4p2/2PP4/1PN2NP1/P3PPBP/1RBQ1RK1 w - -,c1b2
3rk2r/1p3pp1/p1nBp3/P1Pp1q2/8/1P3PPp/2P4P/R2QR1K1 b k -,d8d7
2r3k1/1bq2pp1/pn2p2p/Q1p5/4P3/P4PP1/1P1RB2P/3N2K1 b - -,b6d7
2kr1b2/pp1n1pp1/2p2np1/4q3/7r/5Q2/PPPBNPPP/2KR1B1R b - -,d7c5
1r4k1/3brpp1/pp1p4/2pPn1q1/P1P1P1Pp/1P2N2P/4BQ2/4RR1K w - -,e3g2
1k6/1p6/PB1p4/P2PpB2/2K4b/8/8/8 b - -,b7a6
2rq1rk1/pp1bppbp/3p1np1/1B6/2PnP3/1PN1BP2/P5PP/R2Q1RK1 w - -,e3d4
6k1/5p2/1p2p3/4P1pp/1p1P4/1P1RK2P/3R2P1/4q3 w - -,d2e2
1rbk1br1/n2qnp2/2p1p1pp/NpPpPP2/1P1P2P1/3B2N1/2Q4P/R1B2R1K b - -,e6f5
8/p7/4k3/1P1ppb2/5n1r/2KP1R2/5R1P/8 b - -,f5g4
8/5pk1/2q2np1/1p2R2p/2pQ4/2P3P1/P4P2/6K1 b - -,g7h7
8/4k1p1/7p/P6R/8/8/6K1/1r6 b - -,b1a1
2r1k2r/2q2ppp/p2P4/1p1P2PP/n7/2bQB3/PPP3B1/1K1R3R b k -,c7d6
5rk1/2q3p1/p3prp1/1p1pR3/3Q1P2/P1P3P1/1P5P/4R1K1 b - -,c7d6
r2qk2r/1ppb1ppp/p1np1n2/2b1p3/4P3/2NP2PP/PPP1NPB1/R1BQK2R w KQkq -,a2a3
6k1/4bppp/2n1p3/8/7P/1b3NP1/5P2/BB1R2K1 b - -,b3d1
4r1k1/pQ2nqpp/8/P2P1P2/8/6BP/5P2/3R2K1 b - -,f7f5
5rk1/1b3rpp/pq2p3/1p1p4/1P1R1P1n/P1N2R1P/2PQB1P1/7K w - -,f3d3
2Rk4/5p1p/4p1p1/8/Pn6/6P1/1P3PKP/5B2 b - -,d8c8
r1nqkb1r/pp1n1ppp/4p1b1/3pP3/3p1PP1/8/PPPNB2P/R1BQNRK1 w kq -,f4f5
3r4/p4pk1/2pqpnp1/4Q2p/P1BP1P1P/3R4/1P3P2/2K5 w - -,b2b3
4rk1r/pp1Rbp2/q5pp/4p2n/4P1Q1/4BN2/PPP2P1P/2K3R1 w - -,f3e5
2rq1rk1/4bp1p/b3p3/p5p1/PppP4/4B1P1/QP2PPBP/2RR2K1 b - -,d8d7
4Nkr1/p1R2p1p/4ppb1/8/7P/4b1P1/PPP5/1K1R4 b - -,e3b6
2rqkb1r/1b1n1ppp/p3pn2/P1p5/Qp1P4/5NP1/1P2PPBP/RNB2RK1 b k -,b7c6
