8/8/1K6/4r3/1Nk5/8/8/8 w - -,b4c6
2kr4/pp6/3p3N/2pn1pP1/2b2B1K/2P1PP2/P2Q4/6r1 b - -,d5e7
r2r2k1/pp4pp/4Qp2/8/8/P6P/1q3PP1/R3R1K1 b - -,g8h8
r1b2r1k/1p2p1bp/2np2p1/q5N1/p1BP4/4B1P1/P3PP1P/1R1Q1RK1 b - -,c6d8
6r1/p4k2/5P2/5KQ1/8/8/8/8 w - -,g5h5
5k2/p4p1p/6p1/4Pp2/8/r5PP/P3RPK1/8 w - -,f2f4
8/1P6/8/N1P5/1K1P2k1/p7/8/8 b - -,a3a2
8/p1b2pk1/2Pq2p1/7r/8/1P1B1QPP/P4PK1/5R2 b - -,d6e6
r2q1rk1/ppp2pbp/1nnp2p1/8/4PP2/1P2Q3/P1PBNNPP/2KR1R2 b - -,a7a5
r1bq1rk1/ppp2pp1/2np1n1p/2bNp3/2B1P3/2PP1N2/PP3PPP/R1BQ1RK1 b - -,c5b6
rr4k1/6bp/bq1p2p1/2pPp3/2Bnp3/2Q1B2P/PP1R1PPN/1K5R b - -,b6a7
r2q1rk1/p2bppbp/2pp2p1/2P5/3NP1n1/2N1B3/PP3PPP/R2QR1K1 b - -,d6c5
r4rk1/pp1nbppp/1qp1pn2/5b2/3P1B2/1BN2P2/PPP1N1PP/R2Q1R1K w - -,e2g3
6k1/r4p1p/p5p1/3R4/8/P2BP3/5PKP/b7 w - -,d5a5
8/8/pk1n4/5p1p/1P1K1Pp1/6P1/1B4P1/8 w - -,b2c3
r4b1r/pp1n2p1/2p2nkp/4p1N1/8/2NP2P1/PP2PP1P/R1B1K2R w KQ -,g5e4
8/8/6P1/6K1/2Pk4/N1n5/1p6/8 b - -,d4c5
5rk1/pr3pp1/2R1p2p/3nN2P/n2P4/qP3QN1/P2R1PP1/1K6 b - -,f8b8
1r6/1p4qk/p5p1/4P2p/3b1P2/1Q4P1/P4NKP/1R6 b - -,d4f2
1r4k1/r3p2p/P2p1pp1/2nP4/1q6/R3QPK1/R3B1PP/8 b - -,g8g7
1r3rk1/2p1qppp/pn1p1n2/2b1p3/2P4N/3PP1P1/PBN2PbP/1R1Q1RK1 w - -,g1g2
2rr2k1/1bq1bppp/pp1ppn2/8/2P1P3/1PN1QBPP/PB3P2/R2R3K b - -,c7c5
rn1qk2r/pb3ppp/1p2pn2/2P5/2P5/P4NP1/3QPP1P/R1B1KB1R b KQkq -,d8d2
r2qk2r/pb1pbppp/1pn1pn2/1N6/2P5/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,d7d6
r2q1rk1/1b2bppp/2nppn2/p5P1/1p1NP3/1B2BPN1/PPPQ3P/R3K2R b KQ -,f6d7
r2qr1k1/1b3pb1/2pp2p1/1pn1n1Pp/3NP3/PPN1BP1P/3QB3/R4RK1 w - -,f3f4
6k1/pp1b1rB1/4p2p/3p4/q2P4/2P1R1PB/r7/1Q2R1K1 b - -,f7g7
8/5pk1/1R5p/1p3p1P/8/4PKP1/1r3P2/8 b - -,b5b4
r1bq1rk1/1pp2pp1/2np4/1p1N2p1/2Pp4/6P1/P2QPPBP/R3R1K1 w - -,c4b5
2r3k1/7p/1q2pQp1/p2p4/6P1/P3P2P/1P3P2/3R2K1 w - a6,d1d5
2r1qr1k/4n1bp/6p1/8/4QP2/7P/2PRNB2/3R2K1 b - -,e7f5
r5k1/pppbqr2/3p3p/1P1P1pp1/6n1/3PP1P1/PRNQ2BP/5RK1 b - -,a8e8
3r4/1p1k4/p3ppp1/2Rp1n2/1P1PnP2/3BP2P/1P6/1KB5 w - -,c5c2
8/8/1kp2R2/2p1pK2/p1P1P3/6P1/P2r1P2/8 w - -,f5e5
3rkb1r/pp1npp1p/5np1/1B6/3B4/2P5/PP3PPP/3RK1NR w Kk -,d4a7
5r1k/1p4p1/p1bb4/P1pN1q2/2P1pP1p/4Q1P1/1P1R3P/4R2K b - -,f8e8
rn1qkb1r/pp2pppp/4bn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -,d1b3:g1e2
r2qkb1r/ppp3pp/2bp4/4Pp2/6n1/1P2P3/PBP1NPPP/RN1QK2R w KQkq -,e2f4
3r4/3r1kp1/1p2pn1p/p1pPRp2/P1P2P2/2P2K1P/3NR1P1/8 b - -,e6d5
rq3rk1/1b1p1ppp/1pn2b2/p2Np3/1PP1P3/P4N2/3Q1PPP/3RKB1R b K -,f6d8
r4rk1/1bq1bppp/ppn1pn2/2pp4/5P2/PP1PPNP1/1BPN2BP/R2QR1K1 b - -,a8d8
8/8/R3k3/5ppp/8/1PK3P1/5P1P/1r6 b - -,e6e5
r5k1/6pp/3p1p2/3PpP2/1q1bP2P/1Pp3PK/8/1QR2B2 w - -,f1c4
8/5k2/7p/4n1p1/1r1bPpP1/5P1P/4P1B1/2RK4 b - -,e5c4
3r1r2/1p1nqpbk/pn1p2pp/2P1p3/2P1P3/1PN1B2P/P1Q2PPN/3R1RK1 b - -,d6c5
rn1q1rk1/ppp2ppp/3bpn2/3p1b2/2PP4/5NB1/PP1NPPPP/R2QKB1R w KQ -,e2e3
r1b3rk/1pRn4/p3p3/3p1p1p/1P1P1P1q/N2NP1p1/P1Q3PP/5RK1 w - -,h2h3
1r1r2k1/p4ppp/Q3pb2/2q5/2p5/P1N2NP1/1Pn1PPBP/1R4K1 w - -,c3e4
8/1k5p/p1n5/1p2pp2/1P4pb/r1B1P2P/5PK1/2R2R2 b - -,g4h3
1Qr3k1/2P2pp1/p3b2p/7r/5N2/4KPP1/4P3/8 b - -,h5b5
r7/2kn2P1/R7/4p2P/8/1p6/5P2/6K1 b - -,a8g8
r1bqk2r/1ppn1ppp/3p1n2/p7/1bPN4/6P1/PP2PPBP/RNBQ1RK1 b kq -,e8g8
8/p3Rpk1/4n3/1p2P1pp/r7/P1P4P/2P1K1P1/2B5 b - -,g7g6
6k1/1b1Nrpp1/p1pN4/2R5/1p2P3/5PP1/PP6/6K1 b - -,e7d7
8/8/6Q1/2p1p3/K1Pk4/4q3/8/8 b - -,d4c4
8/5kp1/8/4R1Pp/4P3/8/1r6/6K1 b - -,h5h4
8/p3kp2/1pB3pp/2p1P3/2P2P2/1P3KPP/P7/4b3 w - -,g3g4
8/4kp2/p2p1p2/1p3P1P/4Pb2/PP1R1B2/1P3r2/1K6 b - -,f4e5
2kr1b1r/1pp2ppb/p1nqp3/3n2Pp/3P3N/2N1B2P/PPP1QPB1/R4RK1 w - -,g5g6
r2q1rk1/pp2bppp/3p1n2/3Pp3/b3P3/N3BP2/PP1QB1PP/R3K2R b KQ -,f6h5
1r1r3q/1b2pp1k/pp3npp/2pn4/2Q1N2P/P2P1NPB/1P2PP2/2RR2K1 b - -,h8e8
rnbqrbk1/pp1p1ppp/5n2/2pP2B1/8/2NBPN2/PP3PPP/R2QK2R b KQ -,d7d6
2b5/2q3pk/4pr1p/p2pnpP1/1p1P1P2/3BP2R/PP5P/4Q1K1 w - -,d4e5
8/5P2/R5k1/8/5PK1/2r5/8/8 b - -,g6f7
3r1r1k/pp3ppp/1bp5/4Pbq1/3P1N2/P1QB2P1/1P3R1P/5R1K w - -,d3f5
6k1/4p2p/n3N1pb/1p1p4/p2P1P2/P6P/1P3BP1/6K1 w - -,f2e3
r3k1r1/1bq1bp1p/p2ppn2/2n5/PpPNP3/3BQ2P/1P1N1PP1/R1B2RK1 b q -,e8c8
2r1rbk1/1b3ppp/8/qp1pN3/n2Q1P2/4P3/5PBP/B1R1R1K1 b - -,b5b4
5rk1/p1pp2pp/1pnbp3/7q/2PP1P2/1PBQP3/P5BP/5RK1 w - -,d3d1
r5k1/1p2rnp1/2p2q1p/p2pNp2/3P4/1P2P2P/P1Q2PP1/2RR2K1 w - -,f2f4
8/1n1kb1p1/p1p1bp1p/1p2p3/1PP1P3/P2BB1P1/3N1P1P/5K2 w - -,c4c5
8/1k1N2p1/1P3pp1/1K6/8/5nP1/8/8 w - -,d7c5
8/5p2/4k1p1/4P3/PR1P2p1/6P1/r5P1/6K1 b - -,e6d5
8/7p/p1p5/3p3P/1b1P2Pk/1P2BP2/6K1/8 w - -,e3f2:g2f2
rnbqkb1r/ppp1pp1p/5np1/3p4/2PP4/8/PP1NPPPP/R1BQKBNR w KQkq d6,c4d5
1kbr1b2/p6p/2p1ppp1/8/1PPP4/2K2NPP/5P2/R4B2 b - -,f8d6
3rr1k1/1p3pp1/1qpb1np1/2nPp3/2P5/BpN2P2/P1B3PP/R2Q1R1K w - -,a2b3
r5k1/1ppbr1pp/3q4/p1QP1p2/4p3/P1R1P1P1/1P3PBP/2R3K1 w - -,c5c7
1nr2r1k/4q1pp/1pn1p3/pB1pPp2/P2P1P2/4B3/1P3QPP/3RR1K1 w - f6,e5f6
8/p2k4/1b4R1/5p2/P5r1/1P1K4/2P5/8 w - -,g6f6
3R4/p3B1p1/6kp/4p2n/4P1pP/6P1/5P2/5BK1 w - -,f1b5
3r1rk1/1q3p1p/3ppp2/ppbP4/1PP5/P5PP/3Q1PB1/2RR2K1 b - -,a5b4
br1r2k1/q7/PN1p3b/1QnPp2p/P3P3/5PB1/4B1P1/1RR3K1 w - -,c1c4
1R6/1P3p1k/4p2P/4P1K1/8/1r3P2/8/8 w - -,g5f6
8/6b1/8/2k2pp1/1Nn5/4pPP1/4K3/8 w - -,b4d3
6k1/5p2/5p1p/3R4/1p3P2/1r4P1/4PK1P/8 w - -,d5b5
8/2k4r/1p5r/1P2R1RP/3K4/8/8/8 w - -,d4e4
3rr1k1/p1n2ppp/2p3b1/4P3/2Q2BPq/N1P4P/P4PK1/R3R3 b - -,h7h5
