8/8/1pp1p2p/p3K1kP/P2P4/1P3P2/8/8 b - -,g5h5
r2q1rk1/pb1nppbp/1p4p1/2pp2B1/3P4/2P1PN2/PPQN1PPP/2KR3R w - -,h2h4
8/q6k/1pn3n1/2bNp2p/4Pp2/2BB1PpP/1P4P1/3Q1K2 b - -,c5d4
8/4r3/2bk4/1R1p2p1/P1p5/2P2B2/3K2P1/8 w - -,b5b6
r2q1rk1/ppb2pp1/1np1b2p/2B1p3/8/3P1NP1/PPQ1PPBP/R4RK1 b - -,f8e8
3r1r1k/2p3p1/3b3p/R4pq1/3Pp2N/2P3P1/P3QP1P/4R1K1 b - -,d8e8
8/5p2/3k2p1/3Pn2p/2r1P2P/4NP2/3R1KP1/8 b - -,c4c3
8/8/p2kp1pp/3n4/2p5/6NP/2K2PP1/8 b - -,d6e5
R2b4/4k3/8/p4BpP/6P1/P7/KP3r2/8 w - -,h5h6
7k/5qb1/p2p4/1p1b3p/3p1p2/P3rP1B/1P1Q1NPP/2R4K b - -,d5c4
1rb2rk1/p2n1pb1/2np2pp/q1pN4/3PPNP1/2P1B2P/P4QB1/R2R2K1 b - -,c8a6
8/5pk1/1P4p1/8/3Qp3/1q4P1/5PK1/8 b - -,g7h7
r5k1/p3qp2/2pr4/3pb2p/6p1/1P1QP3/P3BPPP/2RR2K1 w - -,c1c2
r1bqk2r/3nbppp/3p4/p1p1p3/P1N1P3/1P1P1N2/1P1B1PPP/R2QR1K1 b kq -,d7b8
2r1kb1r/1bq1n1pp/p7/1p2R3/8/PN1B2Q1/1PP3PP/5RK1 w k -,d3g6
8/6k1/P7/1K6/3q4/8/6B1/5Q2 b - -,d4e5
3r2k1/p4pp1/1p3n1p/3bp3/q2N3P/P1R1PP2/1P2Q1P1/1B4K1 w - -,d4f5
3qkb1r/1p1n1ppp/p2p4/4pP2/4n3/1PP1BQ1P/2P3P1/R3KB1R b KQk -,d8h4
3nk3/1R2b3/3R4/4N3/4p3/2Pr2P1/4KP2/8 w - -,b7e7
r1b1k2r/pp1nbppp/4pn2/3q4/2pP4/2P1BN2/PP2BPPP/RN1QK2R w KQkq -,e1g1
8/3k3p/pP1b1P2/8/3B2P1/1P3p2/2P5/3K4 w - -,d1d2
2kr4/p5p1/1pp3p1/3P4/2P1p3/5rP1/P5KP/1R2R3 b - -,c6d5
r3r1k1/2qbbppp/p1nppn2/1p6/4PP2/P1N1BNQ1/1PP1B1PP/3R1RK1 b - -,b5b4
r4rk1/1p1b1pbp/3p1np1/q1nPp3/p3P3/2N1B2P/PPQNBPP1/1R3RK1 b - -,b7b5
2n5/1pr3kp/5pp1/4p3/Q2pPP1P/2q3P1/6B1/5RK1 b - -,c3g3
2r5/3b1nk1/1r3pp1/pp1Pp3/2p1P1Pp/P1P1N2P/1P3RBK/5R2 w - -,e3c2
r1bqrbk1/1p3ppp/2pp1n2/p1n5/2P1PpP1/2NPB2P/PP2N1B1/R2Q1RK1 w - -,e2f4
r4r1k/3p1npp/3p4/3N1q2/5P2/pPP5/P2Q3P/2KR1R2 b - f3,f7d8
8/4k2p/ppb1p3/2b1PpPB/2P2P2/P7/1B1K4/8 b - -,e7f8
7R/7P/p5k1/1p3pp1/1r2p3/6P1/4KP2/8 w - -,h8g8
8/8/r7/7p/4pp1P/5k1K/1R6/8 b - -,e4e3
7k/2p4p/p2p4/3Pp3/2p1q3/8/PP1Q1R2/2KN2r1 w - -,d2h6
2kr1b1r/ppp1p1pp/2q2p1n/3p4/5Pb1/1PN1PN1P/PBPP2P1/R2Q1RK1 b - -,g4f3
8/2p2pkp/p1rr2p1/1p2p3/8/1PPR1P1P/P1K1R1P1/8 b - -,d6d3
3rrqk1/1bp2pb1/1p2p1p1/p1n1P3/2P5/PP2R1N1/1BB1QPP1/4R1K1 b - -,f8e7
3r1rk1/p2qn1bp/1pnp2p1/1Pp1p3/2P1N3/P2PB1P1/3QNP1P/2R2RK1 b - -,c6a5
rnbqr1k1/1p2pnbp/p1p2pp1/3p4/3PP3/BPN2N2/P1P2PPP/1R1QRBK1 b - -,d8a5
6k1/1p4b1/p2p4/6P1/5PKP/1q3R2/4r3/8 w - -,f3b3
1qrbr1k1/1b1n1ppp/pp1ppn2/8/1PPNP3/2N1BP2/P2Q2PP/2RR1B1K w - -,d4b3
r1r5/p5kp/6p1/2n1P3/2B5/P4N2/1P3PPP/1K2R3 b - -,a8b8
3r4/p5k1/1p3r2/2p5/2B4R/2P3P1/PP3nK1/6R1 w - -,g1e1
r2qkb1r/pp3ppp/2b1p3/3nP3/8/2NB4/PP3PPP/R1BQR1K1 w kq -,c3d5
r4rk1/1bq2p1p/p2p2p1/1p2bP1n/3B3P/P1PB4/1P2NQP1/R4RK1 b - -,a8e8
2r1r1k1/5pp1/1B1p1b1p/8/PR6/3p1QP1/2q2P1P/5RK1 w - -,b6e3
r1bq1rk1/pp1nbppp/4pn2/2pp4/2PP4/1P3NP1/P2NPPBP/R1BQ1RK1 b - -,b7b6
5r1k/4b2p/4Pp2/3p1B2/1p6/7q/1PP3P1/3KR3 w - -,f5h3
8/2K2k2/1P6/2PrP3/8/8/8/8 w - -,c5c6
r1b1k2r/1pqnbpp1/p2ppn1p/8/3NPP2/2N1B3/P1PQB1PP/1R3RK1 w kq -,g2g4
r1bqk2r/1pp2ppp/p2b2n1/3Pp2n/2B1P3/2N1BP2/PP2N1PP/R2QK2R w KQkq -,e1g1
4r3/4P1k1/p4r2/4R2p/b1pN1p1R/8/5P1P/7K b - -,g7f7
r3k2r/pp1bbn1p/1qn1Pp2/2pp4/6PN/2PP3P/PP2B3/RNBQ1RK1 b kq -,d7e6
2r3k1/p4ppp/1p2p3/1b1p4/1n1P4/qP2P1P1/P2Q1PBP/R3N1K1 b - -,a7a5
r2r2k1/1pp1qppp/2p2n2/p3pN2/1b2P3/3P1Q2/PPPB1PPP/1K1R3R b - -,e7e6
1B6/2Rb2p1/3k1p1p/1p1P3n/p3Pp2/1P6/P5PP/6K1 w - -,b3a4
8/p5k1/1p1p3R/3P4/1Pr2pP1/4bP2/P6R/5K2 w - -,h6d6
8/1r2npp1/1P2p1kp/8/R7/4B2P/2P2PP1/6K1 b - -,e7d5
6r1/pp3pk1/3p2n1/2pPb1P1/2P1R3/1P6/P2B2K1/4R3 w - -,e1h1
1r2r3/3b2kn/Rq1p2p1/2pP1n2/4NP1p/2N4P/1P2BQPK/R7 b - -,b6b2
r1b4r/ppkn1pp1/2p2b1p/4p3/4PPB1/2N5/PPP3PP/2KR2NR w - -,g4d7
2rr2k1/p3bppp/Qpqp1n2/4p3/P3P3/2N2N2/1PP1RPPP/3R2K1 b - -,e7f8
r3k2r/p3qppp/1pn1p3/2ppP3/3P1P2/2P2NP1/PP1Q1KP1/R4R2 b kq -,a8c8
4Q3/2r5/2pqppkr/3p2p1/3Pn1P1/P3PN2/1PR2PP1/2R3K1 b - -,c7f7
r1b1r1k1/pp2qp2/2p2n1b/4p1Np/1PP1P1pP/8/P3BPP1/1RQN1RK1 w - -,c1c2
3Q4/2n2k1p/3p2p1/4q1P1/7P/p4BK1/P7/8 w - -,g3g2
3r2k1/p3R3/1npp2p1/6b1/2b4N/8/P4P1P/1R4K1 w - -,e7a7
r1bqr1k1/ppp1bppp/2np1n2/4p3/2B1P3/2PP1N1P/PP2QPP1/RNB2RK1 b - -,h7h6
4r1k1/1R6/pB1p2pb/P2Ppr2/1P2R3/5P2/1q4PP/4Q1K1 w - -,b7c7
6k1/2n5/4p3/R2pPp2/6p1/3NP1Pp/P4P1P/1r3K2 w - -,d3e1
r2q1rk1/pp2ppbp/2np1np1/2p5/4PP1Q/2NP1b2/PPP1B1PP/R1B2RK1 w - -,e2f3
r7/5pk1/3bNqp1/Pr1p2n1/2pPp1P1/2B1P3/P3BPR1/K3Q2R b - -,f7e6
2b1rbk1/1pq2p2/r1p2n1p/p1pPp1p1/N1P1P3/1Q2N1PP/PP3PB1/3RR1K1 w - -,e1e2
2r1r1k1/pbq1bppp/1n3n2/2pp4/8/1PN1PNPB/PB2QP1P/2RR2K1 b - -,c8d8
r3k2r/pp1nqp1p/2n3p1/2p5/3pPR2/1BPP2QP/PP1N2P1/R5K1 b kq -,f7f6
2R5/r7/8/8/6P1/1k6/2p2K2/8 w - -,c8b8
r1b1k1nr/1pq1ppbp/n1pp2p1/p7/3PP3/2N1BN1P/PPPQBPP1/R3K2R b KQkq -,c8d7
rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/4P3/PPPN1PPP/R2QKBNR w KQkq -,f1d3
r1bqk1nr/3nppbp/p1pp2p1/1p6/2PPP3/2N1BP2/PP1Q2PP/2R1KBNR b Kkq -,g8f6
r4r2/pp2n1kp/1q1pbpp1/4p3/3nPP2/2NP2P1/PP1Q1RBP/1R4NK b - -,a8c8
r7/8/P7/2k5/2B1pppp/1P4P1/8/4BK2 w - -,g3f4
8/8/2R3p1/2P1k1r1/3pp3/8/4KN2/8 b - -,g5g2
6k1/p4p2/5np1/1p1Pp1Np/1P1R1P1P/P5P1/2r5/5K2 w - -,f4e5
r1bq1rk1/pp2ppb1/2p3p1/1n5p/3PP2P/1N4P1/PP1B1PB1/R1Q2RK1 w - -,d4d5
r4rk1/pp2qpp1/2p4p/2R2b2/3Pp3/4P3/PP1N1PPP/1Q3RK1 b - -,f5g6
2r2rk1/1b1q1ppp/nb1p4/1p1Pp2n/1P2P2N/7P/N1B2PP1/R1BQR1K1 b - -,g7g6
