8/5p2/6k1/7p/3p1B1K/8/8/8 w - -,f4g5
8/5PK1/7p/6kP/8/b7/3p4/3B4 w - -,f7f8q
1Q6/5pk1/4p3/2pr3p/2R2P2/KP6/P4q2/8 w - -,c4a4
r1b2rk1/p2p1pbp/1q2p1pn/1p6/3pP3/1B1P1Q1P/PPP1NPP1/R1B1K2R w KQ -,f3g3
5k2/8/3np1p1/2B2n1p/2P2P2/1Pb2P2/R7/5K2 b - -,f8f7
8/2k4p/2P4P/2B5/PP2r1p1/3p4/5P2/3K4 b - -,c7c6
2kr3r/1p2qp1p/p1b1p1p1/2npP3/5P2/2N1Q3/PPP1B1PP/2KR3R b - -,c8b8
3r2k1/p2r1ppp/4pbn1/Q1R5/3P2q1/5N2/PB3PPP/2R3K1 w - -,h2h3
6k1/p2R1p2/1p3P1p/6pP/8/1P6/1PP1r3/6K1 w - -,d7d8
rnbqkb1r/p2ppppp/1p3n2/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq -,b1c3:f2f3
r1bq1rk1/p2nbppp/1p2pn2/2pp4/2PP4/P1NBPN2/1P1B1PPP/R2Q1RK1 w - -,c4d5
5b2/1p3k2/1Np1qpp1/1nP1p2p/1PQ1P2P/4BP2/4K1P1/8 w - -,e2d3
r7/6k1/Pp4n1/4ppBR/2Pp4/3P1PP1/4PK2/8 b - -,a8a6
r1b1k2r/1pqnppbp/p2p1np1/5PB1/P2NP3/2N5/1PPQ2PP/R3KB1R b KQkq -,h7h6
2b1r1k1/1q2ppbp/1prp2p1/p1nN4/2P1P2Q/1P2BP1P/P5P1/3RRBK1 w - -,e3g5
3rr1k1/pp2bppp/q1p5/8/1P2PBn1/P1Nn2P1/2Q2PBP/R1R3K1 w - -,g2f1
r1bq1rk1/p2nppbp/2pp1np1/1p6/3PP3/2NBBN2/PPPQ1PPP/R4RK1 w - -,f1e1
2b3k1/p4rb1/1p1p2q1/2rP1p1p/R1P1pP2/4N1PB/P4K1P/3Q1R2 b - -,f7c7
3r4/p4kb1/1p5p/6p1/4NBP1/1P3p2/P4P1K/2R5 b - -,g5f4
r1q1k2r/1p3pp1/p7/2bNn1p1/3nP3/2B3P1/PP2Q1BP/R4R1K w kq -,e2d1
k2r3r/1pB3p1/8/3P3p/qbQ2P2/1Nn3P1/R6P/1K1R4 w - -,c4c3
r1bqrbk1/1p3pp1/2n2n1p/p1pp4/8/P2P1NPP/1P1NPPB1/1RBQR1K1 w - -,b2b3
5R2/1p6/2p5/r3BPkp/6r1/5K2/5P2/8 w - -,e5f6
r3kb1r/pp2p1pp/1qn2p2/3b4/3P2QB/1p2P3/P2N1PPP/R3KB1R w KQkq -,a2b3
r4rk1/pbpnq3/np1ppb2/1N3p1p/2PPP1pP/5PB1/PP1NBQP1/R4RK1 w - -,e4f5
r3kb1r/pp1npp1p/4bnp1/R1p4q/2N5/1P3NP1/2QPPPBP/2B2RK1 w kq -,d2d4
1kbr3r/2p2p2/1pn1q2p/p1b1P3/P3B1p1/2P3B1/2QN1PPP/1R2R1K1 b - -,c5e7
2rqk1r1/4bp2/p3p3/1p1pP3/P6p/2N1P3/1P2QPP1/2R2RK1 b - -,c8c4
6k1/bpq2pp1/p2r3p/Pnp1p3/4P3/2P2BPP/1P2QPK1/R3B3 w - -,a1d1
r1q1k2r/pp1bppbp/2np1np1/8/P3P3/2N3PP/1PP1NPB1/R1BQK2R b KQkq a3,e8g8
8/5p2/7k/1p4Rp/1P3K1P/r1P2PN1/8/5b2 b - -,f1c4
5k2/p4p2/1p1Pp1pp/8/4PPP1/3K4/8/8 w - -,d3d4
r2q2k1/1p1r1pp1/2p1p1p1/2Pn4/p1BP2n1/P4N2/1P3PPP/2QRR1K1 b - -,d8f6
2kr2nr/pp6/2N5/2b2b2/4Pp1p/Pq1P1Q1P/1P1K2B1/2RN3R b - -,c5e3
8/p4Rpb/8/3BkP2/2P3p1/Pr6/7P/7K w - -,f7g7
3q1rk1/p3bppp/8/2p5/8/2Qr2P1/PP3P1P/R1B2RK1 w - -,c3c2
r4rk1/3q2pp/p3p1b1/1p1pP1P1/1n1P1Np1/4P3/PP6/RB1Q1RK1 w - -,f4g6
8/4k1P1/2p3B1/2P1K3/2b5/8/8/8 w - -,g6h7
3b4/7p/3Bp3/1k1p4/1P1P4/3K1n1P/2N5/8 w - -,d6g3
6k1/1ppr1q1p/p1r5/b2p1PB1/1n1P2BP/1Q3P2/PP4N1/1K1RR3 w - -,a2a3
8/5pk1/2P3p1/R3pp2/2r5/6P1/5P1P/4K3 b - -,e5e4
4k3/p7/2p5/4Bb2/4N2p/4K3/P5p1/8 w - -,e5h2
r6r/2k1b1p1/2p2Pp1/p2p1n2/1n1P3P/1PN1PR2/1P6/2RKBB2 b - -,e7f6
8/8/2R2bk1/6r1/1Rpr4/5P1K/1P6/8 b - -,d4d1
8/5k2/n4p2/p2R3p/3P1N2/1r4PK/5P2/8 b - -,a6b4
rn1qk2r/1b2bppp/p3pn2/2pp4/1p2PP2/3P1NP1/PPP1Q1BP/R1BNK2R w KQkq -,d1f2
r2r4/2b4p/ppn1k1p1/2B2p2/4pP2/1PP3P1/P1N1K2P/R2R4 w - -,c5e3
8/5ppk/Q4n1p/2P2P2/P2p4/P3q1P1/6BP/7K b - -,d4d3
rnbqk2r/3p1ppp/4pn2/1p1P4/1bp1P3/4BP1N/PP1N2PP/R2QKB1R b KQkq -,e6d5
8/5pk1/3N2p1/p7/P1p2R1p/2Pb3P/1P2r1PK/8 b - -,e2b2
r2qk1nr/pppb3p/3b2p1/3P1pQ1/2BPp3/2P5/PP3PPP/RNB1K2R b KQkq -,d8g5
r1bqr1k1/1pp2p1p/1n4p1/p3b3/8/P1N1P1P1/1P2QPBP/R1B2RK1 w - -,f1d1
8/q5k1/3p1p2/1QpPpP2/4P3/5n2/1BK5/8 b - -,f3g5
r5k1/1rB2p2/1P2p2p/pR1p2pP/3b4/R7/5PP1/6K1 w - -,b5a5
rq2r1k1/pb1n1ppp/2pb1n2/1p6/1P1p4/P1N1PNP1/2Q1BP1P/R1BR2K1 w - -,e3d4
r1bq1rk1/1pp3pp/p1npnp2/2b5/2PpP3/4BNP1/PP2NPBP/R2Q1RK1 w - -,f3d4
8/p3kppp/4n3/p3K3/2B2P2/4P1P1/7P/8 b - -,a5a4
r1bqk2r/pp1n1ppp/2pbpn2/3p2B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQkq -,d5c4:e8g8:h7h6
r2qr1k1/pp3ppn/2p2n1p/5N2/2P5/4BQPP/PP4P1/R3R1K1 b - -,d8d3
4r1k1/3r1pp1/B1pB1n1p/2Pn4/p3p3/P3P1PP/3R1P2/1R4K1 b - -,d5c3
rnbqrbk1/pp1p1pp1/2p2n1p/3P4/2P1p3/1P2P1P1/PB2NPBP/RN1Q1RK1 b - -,c6d5
4r1k1/1p1r2bp/p1npp1p1/5q2/P1P1QP1B/1PN2R2/6PP/1R5K w - -,b1d1
r1bq1rk1/3nbppp/p3pn2/1pp3B1/2BP4/2N1PN2/PP2QPPP/2R2RK1 w - b6,c4b3
r1b1k2r/ppq1bppp/2n1p3/3pP3/5B2/2PB1N2/PP2QPPP/R4RK1 b kq -,b7b6
1r3rk1/pb2ppbp/1qp3p1/8/Q2N4/1P2P3/PB3PPP/1R3RK1 b - -,c6c5
1k1r4/pp3p2/2bPp2p/2q5/2BR1P2/P7/1P1Q3P/1K6 b - -,c6d5
4R3/8/7P/3b1PK1/3k2P1/2p5/8/7r w - -,e8c8
6Q1/1r3r2/5kpR/2p1qp2/pnP4P/N7/PP3P2/KR2N3 b - -,f7g7
4R3/8/8/5p2/4p3/5rk1/4K3/8 w - -,e8h8
1r6/4np2/3p2k1/2pPb3/B1P3KP/1P3R2/3B4/8 b - -,b8h8
1b6/8/4p2p/1r2Pp2/7P/2PR1Rk1/1PK5/8 b - -,g3g4
r2qk2r/pp1n1ppp/2p1pn2/3p4/1b4b1/1P1P1NP1/PBPNPPBP/R2QK2R w KQkq -,a2a3
r4rk1/7p/q1p1n1p1/pn1pP3/N5b1/PP1Q2P1/3R1PBN/5R1K b - -,g4f5
r3kb1r/1b3ppp/p2ppn2/q1n5/Np1NP1P1/PP2BP2/2PQ3P/2KR1B1R b kq -,c5a4
6k1/1q3pp1/4pb1p/pp1r4/8/2P2NP1/PP1RQPP1/6K1 w - a6,e2d1
4rrk1/2pbqppp/p1pb4/1p6/3NPn2/1P5P/PBPN1PP1/R2QR1K1 w - -,d2f3
r4r1k/p5qp/1pPpb1p1/1NnB1p2/3Q1P2/1P4P1/P1P4P/R4RK1 w - -,d4g7
2r3k1/p4pb1/4p1pp/2p5/P1P5/1P1RP1P1/5PBP/6K1 w - -,a4a5
r1bk3r/pp3pbp/1nn3p1/4p3/2P5/2N1B3/PP2BPPP/2R1K1NR w K -,c4c5
4r1k1/5pp1/prN2n1p/3p4/1Pb5/4P1PB/5P1P/1RR3K1 w - -,c6a5
2b2rk1/R1pnqpp1/3p3p/3Pp2n/1PB1P3/2B5/2QN1PPP/6K1 b - -,d7b6
r1b2Q2/pp6/2p1pk1p/6p1/6P1/8/P4PKP/8 b - -,f6g6
r4rk1/pbqn1pbp/1p2p1p1/2pn4/3P4/1BP1BNNP/PP2QPP1/3R1RK1 w - -,f1e1
r2q1r1k/1p2b1pp/5n2/p1pp1b2/2PB4/P1N5/1P2BPPP/2RQ1RK1 w - c6,d4f6
