8/8/1p5R/2p1kpp1/7r/2P4p/PP3P2/5K2 w - -,h6h4
1k1r3r/pp3pp1/4p1p1/2n5/3p4/5R2/PPP2PPP/1K3B1R b - -,f7f6
r1r3k1/p2q2p1/2n1pb1p/3p4/3P2QP/p2R4/1P1B1PPN/4R1K1 w - -,b2a3
2kr3r/ppp1n1pp/2n5/4p3/2P1qP2/2P1B1P1/P3N2P/R1Q2RK1 b - -,d8d3
8/3k1p2/1b2p1p1/3pP2p/pp5P/1N1P1KP1/P4P2/8 w - -,b3c1
1R6/8/8/p7/2K5/k7/8/8 w - -,b8b1
1br1r1k1/1q3pp1/p4n1p/PpBbp3/1P6/5NP1/1Q2PPBP/2RR2K1 w - -,g2h3:f3e1
r4rk1/1bqn1ppp/pp3n2/3p1N2/NbP5/4BP2/P1Q1B1PP/R4RK1 w - -,a1b1
6k1/5p2/2R3p1/2p5/2r4p/5K1P/5PP1/8 b - -,g8f8
r3kb1r/1pqb1ppp/p2ppn2/4n3/2PNP3/P1N1B3/1P2BPPP/2RQK2R w Kkq -,e1g1
4q1k1/5pp1/1p1n3p/p3N3/3P1Q1P/1b3P2/5BP1/6K1 w - a6,e5d3
r3kb1r/pppnqppp/3p4/3P1b2/2P1N3/4PP2/PPQ3PP/R1B1KB1R b KQkq -,f5e4
3r2k1/1P5p/4q1p1/2p1b3/8/2Q1n2P/6B1/4R1K1 w - -,e1e3
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/PPN1PN2/1B2BPPP/R2Q1RK1 b - -,a8c8
4r1k1/p5bp/1qp2p2/2pp4/4rB1P/1P3QP1/P1P2P2/R4RK1 b - h3,b6a6
1r6/3B3p/4pk2/PP1p4/3P2P1/1N1b1P2/5K1P/2R5 w - -,b5b6
r1b2rk1/2q1ppb1/1n1p1np1/p1p3Np/Pp1PP2P/2P1BPN1/1P1QB1P1/R4RK1 b - -,b4c3
3r4/3k1p1p/n5p1/1p5P/5R2/5KP1/3P4/2B5 b - -,f7f5
r1bq1rk1/2p1b1pp/pnp5/3pPp2/3P4/1PN1BN2/P2Q1PPP/R4RK1 b - -,h7h6
r1nq1rk1/1p2bppp/4p3/pb1n4/3PN3/P4N2/1PBB1PPP/2RQR1K1 b - -,c8d6
4rrk1/1p4pp/8/p3pn2/3p4/PP1P2N1/1P3P1P/2KRR3 w - -,g3e4
r4rk1/p3qpp1/5n1p/3p4/2pN2b1/4P3/PPQ1BPPP/2R2RK1 b - -,g4e2
r4rk1/pp1q1ppp/2n2n2/2Pp4/Q7/2PBPP2/P4P1P/R1B2RK1 b - -,c6e5
3r4/1p6/4k1p1/NPPb1p1p/K3p2P/2b1B1P1/5P2/3R4 w - -,d1c1
2r1kbr1/3b1p1p/p1np4/q2BpP2/Pp4P1/4B3/1PP1QP1P/2KRR3 b - -,a5a4
8/1r6/8/8/4k2N/7K/8/8 w - -,h3g3
r2r2k1/5ppp/b7/ppq1b3/4PP2/P2B3P/1P2N1P1/1R1Q1R1K b - -,b5b4
rn1qkb1r/p2p2pp/1p6/2pP1p2/4b3/P4NPB/1P2PP1P/R1BQK2R b KQkq -,f8d6
6k1/1rr2p1p/3b2p1/p2p1p2/2nPnP2/P1PNB1P1/1P4KP/2RRN3 w - -,g2f3
5r1k/1B4pp/pP6/Pbp1Np2/5P2/3p2PP/5r2/3R3K b - -,c5c4
1r3rk1/p1p3pp/3b4/3Pp3/5nP1/2P1BN2/P4PP1/R4RK1 w - -,c3c4
8/2P5/3K4/3P4/1k6/p6b/8/2N5 b - -,b4c3
rn1qk2r/pb2nppp/1p1pp3/8/2PP4/2PB1N2/P4PPP/R1BQK2R b KQkq -,h7h6
6R1/1k6/4Bp2/bp2pP2/2p1P3/1P2B3/1KP2P2/4q3 w - -,g8g7
rn1qkb1r/ppp2pp1/4pn1p/3p2B1/3P4/5PP1/PPP2PBP/RN1Q1RK1 w kq -,g5f4
6rk/4P1rp/p7/8/3pb2N/1p5P/2p4K/2Q5 b - -,b3b2
3R4/8/8/8/4K3/8/3kn3/8 b - -,d2c2
8/4b1k1/8/p6P/P1R5/8/3r1PPK/8 w - -,f2f4
1r4r1/3b2kp/1q1p1p2/p1p1pp2/PnP1P3/2QP2N1/6PP/RR3N1K w - -,e4f5
q1r2bk1/1b1n1pp1/7p/1p1pPN2/p2Q1B2/5P1P/PP4P1/2RB2K1 w - -,f5d6
rnbqk1nr/1pp2pbp/p2pp1p1/8/2BPP3/5N2/PPP2PPP/RNBQR1K1 b kq -,b8d7:g8e7
2rr2k1/1p4bp/1Ppqp1p1/p3Nbp1/P1BP2P1/1P5P/5P2/2QRR1K1 w - -,g4f5
8/6k1/2K5/4P3/8/8/R7/1r6 w - -,a2f2
2k2r2/pb1pqpr1/1p2p2p/2p1P3/2P1P3/PPBB2P1/4QR2/5R1K b - -,g7g3
qr4k1/p2R1p1p/Q3p3/1nr3p1/8/5NP1/5PKP/3R4 w - g6,g3g4
8/6Pk/1p1p3P/p2Pp2K/P3P1B1/bP6/3p4/8 w - -,g4f5
2r1r1k1/p2n2pp/1pn1pbq1/3p4/1P1P1P1P/P3NNP1/4RK2/R1BQ4 b - b3,f6e7
r4rk1/pp1b1pbp/3p1np1/q1pPn3/4P3/2NBBP2/PP2N1PP/1R1Q1RK1 w - -,e2c1
1kr4r/1pqbbpp1/p3p2p/n2p4/5P2/PNNB2P1/1PP2Q1P/1KR4R b - -,e7a3
1r6/2p1qrbk/1pR3Pp/p2Rpb2/2Q5/4BPN1/1P4P1/6K1 b - -,f5g6
8/2qr1k2/p1p3p1/1p1p1p1B/1P1P1N1P/4P1P1/P1Q2PK1/8 b - -,g6h5
3r2k1/n5pp/3BNp2/p2pP3/3P4/8/P5PP/R1r3K1 w - -,a1c1
1r1nb1k1/4n1p1/1p2pN1p/pP1pP1P1/N2P3P/P2BK3/8/6R1 b - -,g8f8
r4k2/7p/1p1p1qr1/p2P1p1n/1nBQpP2/4B2P/6P1/2RR3K w - -,d4b6
6k1/p2nnpp1/4p3/2ppPqNP/b5N1/2P1QB2/5P2/6K1 b - -,d5d4
r3k2r/pp2n1pp/4p1q1/4P3/b1Qn4/P7/3B1PPP/R1R3K1 w kq -,c4a4
r7/4q1kp/2p3p1/8/2NbP1P1/p2P1R1K/Q7/8 w - -,e4e5
1r2nrk1/1p1nqpbp/pQ1p2p1/PNpP4/2N5/6P1/1P1BPPBP/R3R1K1 w - -,b6a7
8/8/b2n1kp1/2pPp2p/2P1p2P/1B2N1P1/5K2/8 w - -,b3a2
r3r1k1/1p3p1p/p1n3pB/3b2N1/n7/5P2/PKP3PP/3RRB2 w - -,b2a3
5rk1/pp1qbrpp/2n1b3/4p3/2PpNpP1/1P1P1B1P/P4PK1/R1BQ3R b - -,g8h8
2r1r1k1/1p1bppb1/p4npp/3PB3/Pq1R4/2N2P2/1P2Q1PP/2N2R1K b - -,b4b6
7n/4p1k1/4R3/7P/8/6P1/3r1RK1/8 b - -,d2d7
r2qkb1r/1p1Npppp/p3b3/n5P1/P1pP4/2N5/1P3P1P/R1BQKB1R b KQkq -,d8d7
4r3/2p2p2/3p1np1/r2P2k1/1pBPP2p/5K1P/1P4P1/2R1R3 w - -,c4d3
r4rk1/1pqnbppp/p2p4/3Pp3/1PP5/P2QB3/4BPPP/R4RK1 w - -,a1c1
r3kb1r/3n1ppp/pq2p3/1pp5/3PbB2/2N1PQ2/PP3PPP/R3K2R w KQkq -,c3e4
3R4/1p4rk/p4K2/n7/8/1P6/P7/8 w - -,d8d2
8/4N3/8/4p2p/6kP/5n2/5K2/8 w - -,f2e3
8/p2rk1pp/Kn6/4PP2/3nR1PP/1P6/8/8 b - -,d4b3
5Q2/7k/4p1p1/8/4P3/7P/3q1KP1/8 w - -,f2g3
3r1rk1/pp3ppp/1q3n2/4n1Bb/1P1p4/P2B1P2/2P1NRPP/R2Q2K1 w - -,e2g3
8/1p2ppk1/4nqpp/7r/p2R2R1/2P2P2/PPQ2P2/6K1 w - -,d4d3
3r2k1/5p2/4p1p1/1qr1P2p/p2P1Q1P/P7/1P1R2P1/7K w - -,d4c5
2r5/pp5k/6pp/3NRn2/1PP4q/8/P5PP/5QK1 w - -,e5e4
r1bqk2r/pp1n1pbp/3p1np1/1B6/3P4/2N5/PP2QPPP/R1B1K1NR b KQkq -,d8e7:e8f8
r2r4/1p2Q1k1/2p1ppp1/p3Nn1p/Pn1P3P/1P2P1P1/3R1PB1/2R1K3 b - -,f5e7
r2qr1k1/p3bppp/2p1p3/8/2nPN1Q1/3RB3/PP3PPP/R5K1 w - -,e3h6
2q3k1/1nr2ppp/1p2b3/pP1pPp2/P2P4/Q7/3N1PPP/2RN2K1 w - -,c1c7
8/ppR5/7P/8/P2k4/8/1rp5/7K b - -,b2b1
8/8/r4k1p/6p1/pR6/5K2/1P6/8 w - -,b4b5
r2q1rk1/1b2npbp/3p4/5P2/4p3/3BN3/PPP2PPP/R2Q1RK1 w - -,d3c4
8/4k3/3p2Q1/4b3/2q2p1p/5B1P/5PK1/8 b - -,e5d4
