8/1k6/b4R1P/p7/8/PP5r/2K2P2/8 b - -,a6d3
8/8/1R6/p7/P6P/1P2k2r/1K6/8 w - -,b6b5
1k6/pppb1pp1/7p/3p3P/3P1q2/2P5/PP2QPP1/2K2B2 w - -,e2d2
2r3k1/pq3p2/3RnPp1/4B2p/2p1P2P/1P6/P1P5/2K1Q3 w - -,e1e3
3r2k1/7p/3b1n2/3P1Pq1/R3p3/1P4P1/P3Q1KP/5R2 w - -,a4e4
r1bqk1nr/pp1n1ppp/2pb4/3Pp3/8/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq -,c6d5
2b5/1p3k1p/2p1nbp1/4np2/1BP2N2/1P4PP/r1N1P1B1/3R2K1 w - -,d1d2
r3k2r/ppqb1ppp/2n1p3/2bpP3/6n1/P1PB1N2/1P2QPPP/RNB2RK1 w kq -,b2b4
1rb2k2/p2p1ppp/2n1p3/8/2B5/2n1PN2/PqPN1PPP/R4RK1 w - -,c4b3
r2N4/1bkp2p1/p5Bp/1p6/4P3/2P5/P1P1nPPP/3R2K1 w - -,g1f1
2rr1bk1/1q3ppp/4p3/1p1pP3/n1nB4/3N1PP1/P1R3KP/Q1RN4 w - -,d1e3
4k3/1R2n1p1/5p1p/5P1P/6P1/2r2NK1/8/8 b - -,e8f8
2rq1rk1/p4ppp/1p2nb2/1b1p4/3P1P2/1P4P1/PB2NRBP/R2Q2K1 w - -,a2a4
5k2/3Qb3/3pNp2/3P1P2/1p4q1/4rp2/PPP5/1KR5 b - -,f8f7
r1bqk2r/ppp1bppp/2n1p2n/3p4/3P2P1/2N1PP2/PPP2BBP/R2QK1NR w KQkq -,h2h4
rnbqkb1r/ppp1pppp/8/3pP3/3P4/2P5/P1P2PPP/R1BQKBNR b KQkq d3,c7c5
8/2k3p1/4p2p/2n5/p1P4P/P5P1/5n2/2R2K2 w - -,c1c3
3n4/4k1pp/5p2/K1NBP3/1P3P2/6P1/8/1b6 b - -,f6e5
r4rk1/1pbq1p2/2p1b1p1/p1Pp1p1p/3PnP2/1P2PBPP/P1QNN2K/R4R2 w - -,a2a3
1r2kb1r/p1pp1p1p/bnp3p1/4P3/1qP1Q3/3B2P1/PP1N1P1P/R1B1K2R w KQk -,e1g1
rn1q1rk1/pb3pp1/1p1bpn1p/2ppN3/P2P1B2/3BPQ2/1PPN1PPP/R3K2R w KQ c6,c2c3
3r3k/1bp3rp/pn6/1p1P2q1/1P6/PB2b3/1BR3PP/3QR2K w - -,b2g7
8/p1n1b2p/1p2k3/3p2p1/1P1P1p2/P2b1P1P/1B1KN1P1/8 w - -,d2d3
5k2/1pp2p2/6p1/2p3Pp/2P1PP2/1P2RK2/8/r7 w - -,e3d3
r1r3k1/1ppbp1b1/3p1nqp/1NnP1pp1/1PPN4/4P1P1/2Q2PBP/BR3RK1 b - -,c5a4
r1bqkb1r/1pp1pppp/p1n2n2/6B1/2pP4/2N2N2/PP2PPPP/R2QKB1R w KQkq -,d4d5
r2qk2r/pp1bbppp/2n1p1n1/2ppP3/3P4/2P2NP1/PP2BP1P/RNBQ1RK1 w kq -,h2h4
2r2rk1/4qp1p/pB4p1/3b3n/1P1p4/P2Q1P2/4N1PP/2R2RK1 b - -,e7e6
5rk1/1pp2bp1/p5rp/3P1p2/2P1pq2/1BN4P/PP2Q1P1/4RNK1 w - -,e2f2
8/p6p/1r1p1kp1/2nNp3/4P2P/P1rP2P1/8/1R1K4 b - -,f6e6
r1bq1rk1/pp1nbppp/5n2/2pp4/3P4/1PNBPN2/P1Q2PPP/R1B1K2R w KQ -,e1g1
2r3k1/p2R1p2/Pp5p/3p1B2/5p2/5P1P/1b3P2/5K2 w - -,d7a7
1rq2k1r/5pb1/p1ppb1pp/2p2P2/2PnP3/1PNBB3/P2Q2PP/4RR1K b - -,g6f5
4r1k1/1b1P1nb1/1Nq1p1p1/8/1p2p1Q1/PP1R4/5PP1/3R2K1 b - -,e8d8
r1b3rk/3n1ppp/4pP2/p2RP3/1p5P/5B2/PPP1N1P1/2K4R b - -,e6d5
4r1k1/6p1/7p/1n3P1q/2pBp3/2Pn2PP/P3R1NK/5Q2 b - -,h5f7
r1r3k1/1ppq2p1/p3b2p/n2p4/P2Pp3/B1PB1P2/2Q3PP/1R2R1K1 w - -,f3e4
3r2k1/2Q2p2/p2P3r/1p2p1q1/4P3/1P3Ppb/P1R3B1/4R1K1 b - -,g8g7
r7/pp1b1kp1/2n2qp1/P2pp3/P7/2p2PQ1/2P2P1P/R1B1R1K1 b - -,c6d4
8/pp4k1/2p2p1p/4p3/P1P5/1PB3P1/2n2K1P/8 b - -,c6c5
r3r1k1/p4ppp/1p3q2/2pp4/3Pn3/NP2PNP1/n4P1P/R2Q1RK1 w - -,a3b5
8/5p1p/8/p3k3/r4p2/4PK1P/6P1/3R4 w - -,d1d7
rnbq1rk1/ppp1bpp1/4p2p/3p4/2PPn2B/4PN2/PP1N1PPP/R2QKB1R w KQ -,h4e7
1r6/8/R7/1p6/p4kB1/1b5P/3K1P2/8 b - -,b5b4
8/p1k4N/1pp1p2R/4P1P1/1P1r4/P7/4K3/3n4 b - -,d1c3
3r4/7p/4k1p1/3p4/3B1PKP/R7/7P/3r4 w - -,a3a6
3B4/8/4P3/8/2nk1pPp/3p3P/8/3K4 b - -,d3d2
rn1qkb1r/pp1bpppp/3p1n2/1B6/3QP3/5N2/PPP2PPP/RNB1K2R w KQkq -,c2c4
1rr3k1/5ppp/2Q1pn2/p7/1p1q1P2/3B2P1/P2PP1KP/1R3R2 w - -,c6a6
r1b2rk1/pp4qp/2p2b1n/4n1p1/2P3p1/1PNNP3/PB1Q2BP/3R1RK1 w - -,f1f6
6k1/1r5p/p1p5/1p3p2/1P1q1Pp1/4P1P1/P6P/2R3K1 w - -,e3d4
rnbqk1nr/pp1p1ppp/4p3/2b5/3NP3/2P5/PP3PPP/RNBQKB1R w KQkq -,c1e3
8/6R1/8/8/5r2/7p/4K3/7k w - -,g7h7
2r5/1bP5/1p1K4/1P6/5B2/3kp3/8/1R6 b - -,e3e2
7q/R4pk1/1p1p2r1/1Pn1p3/2PpP1p1/3P2P1/3Q1PB1/3K4 w - -,d1e2
rnbqkb1r/ppp1pp1p/1n1p2p1/4P3/3P4/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1g1:e5d6
r1b2rk1/pp3pp1/1qp2n1p/2b1p3/4P3/1PPBB2P/P4PP1/RN1Q1RK1 w - -,e3c5
r2q1rk1/pbp2pbp/1p4p1/3Nn3/2P5/7N/PP2B1PP/R2Q1RK1 w - -,h3f4
r1b2rk1/p3b2p/2p1ppp1/3q4/3P4/2Q1B3/PP1N1PPP/R1R3K1 b - -,c8d7
2rq1rk1/1p1bppbp/p1np1np1/8/3NPPP1/2N1B2P/PPP3Q1/2KR1B1R b - f3,c6d4
5rrk/p3Q2p/1p3ppP/3Pp3/1R2P3/6N1/2bq1PP1/2R3K1 w - -,c1a1
3rn2r/1pq2kb1/2ppbpp1/p1P5/4PBP1/1PN2P2/1PB4Q/2KR3R w - -,h2g3
2r5/pp2kp1p/2p1b1p1/P1P1p3/4P3/7P/2P1BPP1/3R2K1 b - -,c8d8
1rb5/pp2k1pp/2pN1p2/P1P1p3/1nR1P3/1P4P1/5P1P/5BK1 b - -,b4a6
5r2/7p/1N1p4/1ppBk1p1/2P5/P3K2P/1P6/8 b - -,f8f4
r3k2r/ppqnbppb/2p1pn1p/8/4P3/PP3NP1/1BPNQPBP/R4RK1 b kq -,e8g8
8/r2k1p2/1p2nBp1/2p1P2p/5P1P/P1R1PK2/6P1/8 b - -,b6b5
3r3r/2Q3Np/p4pk1/8/1p1PbP2/1P4P1/P6P/6K1 w - -,g7e6
6k1/8/5Q2/1p1p2Kp/2q2P2/7P/6P1/8 w - -,f6d8
1r4k1/1Np1qrb1/p2p1p1p/2BPp1pP/2B1PnP1/1QN2P2/P7/2KR3R b - -,d6c5
2r2R1k/2q3pp/p3p3/1pb1P3/2bNp2P/P1P1B1Q1/1P4P1/4R1K1 b - -,c8f8
8/p7/1p2k3/6p1/P5N1/1P1P1KP1/8/2r5 w - -,g4f2
1r2nrk1/3bpp1p/pq1p2p1/2pPbP2/2p1P3/2N1B1NP/PP1Q1RP1/4R1K1 w - -,g3f1
r3rbk1/pp1n3p/2p2np1/8/3P4/P1N1BB1P/P4PP1/3RK2R b K -,f8a3
4Qbk1/6q1/4R3/4pp2/1p6/6P1/5PK1/8 b - -,g7b7
5k2/2b5/3N4/p3P3/Pp6/1K1B2r1/1PP5/8 b - -,g3e3:g3g5
5rk1/2p1qpbp/Q5p1/2P5/3pN1b1/6P1/P3PPBP/5RK1 w - -,f2f3
2r2rk1/2qbbppp/p1n1pn2/1pP3B1/1P1N4/P4N2/2Q1BPPP/3R1RK1 b - -,f6g4
5k2/p4Bp1/1p1bQ2p/4q3/P3n3/2r1P1PP/5P2/3R1RK1 b - -,e4g3
k7/2Q5/7p/8/PP2Kp1q/5P2/8/8 w - -,c7f4
r4rk1/1b2qpbp/1p1p2p1/1Np1n3/PP2P3/1Q3P1P/4B1PB/2R2RK1 b - -,f8d8
3R4/p5kp/8/4P3/1N1b4/1P3q2/P6P/3K4 w - -,d1c2
r6r/1ppb1pk1/p4q2/1P1Pb3/P3P1p1/3BNpP1/2Q4P/2R2R1K w - -,c2f2
4k3/p5pp/8/4pPN1/2R5/1P6/P2r2PP/1K4b1 w - -,g5h7
r3k2r/1pq1pp1p/p1p2n2/2p1b3/6Q1/3P2B1/PPPN1PPP/R3K2R w KQkq -,g4f5
3r4/pp1rnbbk/2n1q1pp/P1p1pp2/2N4P/2PPNBP1/1P1R1PQ1/3RB1K1 b - -,h6h5
8/7p/5kp1/5p2/7P/4PKP1/r3NP2/8 b - -,h7h6
