8/R4pp1/4k3/1P6/PP3K1P/8/5p2/8 b - -,f2f1q
2r2r2/1pp2pk1/3p3p/1NnPpPb1/p1P1P3/P4B2/1PK3P1/3R3R w - -,h1f1
8/4k3/2Q2n1P/2Pr4/5p2/P7/1P4P1/6K1 w - -,c6d5
5k2/3Qn3/1q1P4/p3p1b1/1p2Pp2/1P3P2/1P6/1KR5 w - -,d6e7
rnb1k1nr/ppqpppbp/6p1/2p5/3P4/2P2NP1/PP2PPBP/RNBQK2R b KQkq -,g8f6
1r4k1/4pp1p/6p1/2nB4/p1p5/1b2P1P1/5P1P/R1R3K1 b - -,b8b4
4b3/8/R2k2p1/8/2BP3P/2K5/P6r/8 b - -,d6c7
8/5kp1/3p3p/2nP4/8/5pP1/2B2K1P/8 w - -,f2f3
8/3r4/R2pk1p1/2p1p1b1/1pN1P1Pp/1P1P1P1K/1P6/8 b - -,d7d8
7Q/8/2p3K1/1p6/1P6/k7/8/8 b - -,a3b4
8/3Q1nk1/3p1p2/3P2pp/1p2P3/1P5P/2Bq2PK/8 w - -,d7c7
r5k1/pp2rppb/7p/1P2P2P/3Rp1P1/8/P3BP2/R5K1 w - -,a1d1
r1bqk1nr/pp1nppbp/2pp2p1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3:f1e2
r2r1bk1/4q2p/2p1npp1/2P1p3/2P1P3/B2N1PP1/5Q1P/R2R2K1 b - -,e7b7
6k1/p3bpp1/1n2p2p/2Np4/1PqP4/P4NP1/1Q3P1P/6K1 w - -,f3e5
6k1/5q1p/p2pr1p1/2pNb3/4R1Q1/3P1P1P/1r3B2/5R1K w - -,f3f4
2rq1rk1/pb2bppp/1pn1pn2/2pp4/5PP1/3PPN1P/PPP1N1B1/R1BQ1RK1 b - -,b6b5
8/1b3k1p/ppq1pbp1/5p2/P1BPp3/1P2P1P1/3N1P1P/5QK1 b - -,c6c8
1r1q1rk1/1p1nbppp/p2p1n2/2pP4/2P2Bb1/3B1N2/PPQN1PPP/R4RK1 w - -,f1e1
r4rk1/1p1n1ppp/1pp1pnb1/8/3PP2P/2N5/PP3PBP/R1B1R1K1 w - -,c1f4
6k1/1p1r1bp1/p4p2/1q2p2n/2p1P2P/P1P1BP2/1P2QNK1/6R1 w - -,g1d1
r1bqk2r/p4ppp/2p2n2/8/1QPp4/3P2P1/4PP1P/RNB2RK1 b kq -,d8e7
1r4k1/5pbp/p5p1/2N1p3/3r4/1P5P/1PB1R1PK/8 b - -,a6a5
r2q1rk1/3n1pb1/p2pp1p1/1ppPP2n/2P2PNP/2N4R/PP1BQ3/R3K3 b Q -,b5c4
2r3k1/1b3pp1/p1q4p/1p1p2n1/3B3P/3Q2P1/PP2PPB1/3R2K1 b - h3,g5e4
7k/6p1/p3p2p/1p2P2P/4QK2/1P4B1/8/3q4 b - -,d1d8
5q2/8/1Qpp1p1p/2p2P2/1kP1P2P/1p3K2/P7/8 b - -,b4c4
8/7K/8/5q2/1Q6/1p6/4k3/8 w - -,h7h6
4rrk1/pp5p/1q4p1/2p4N/2Pn4/3p3P/PP1B1PP1/1R1Q1K1R b - -,g6h5
4k3/8/2P2Q1p/3pP3/3q2P1/8/5P1K/8 b - -,d4g4
rn1qk2r/5pbp/p2p1np1/1ppP4/4PB2/P1NB1Q1P/1P3PP1/R3K2R b KQkq -,e8g8
rnb2rk1/ppppq1pp/4pn2/5p2/1bPP4/2N1P1P1/PP1B1PBP/R2QK1NR b KQ -,b4c3
2r4r/1p1nkpbp/p3p1p1/2P5/N1R5/1P2PN2/4KPPP/3R4 b - -,c8c7
r1b1r1k1/3n1pbp/p2B1np1/qp6/P1pR2P1/1BN2N1P/1PP2P1Q/3R2K1 w - -,d6c7
r5k1/pp2B1bp/2b3pn/4pp2/2PnP3/2N2N1P/P4PP1/3R1BK1 w - -,c3d5
2r1k3/4qpp1/p4b1r/1p2pP2/2npN2p/P2R3P/1PP1B3/1KN3Q1 w - -,c1b3
8/5pk1/4n1pp/8/1Npr2P1/7P/2R3K1/8 b - -,e6f4
8/1k6/6Rp/1p4p1/1PpN4/r1K5/8/8 w - -,c3c2
r1r1b1k1/q2n1ppp/4p3/pP1p4/P1pB4/4P1P1/2Q2PBP/R1R3K1 b - -,a7b7
r6r/1pp2kpp/1p1p1n2/4p3/P3P3/2N4P/1PP2PP1/2KR3R b - a3,h8f8
2r3k1/5pp1/1q2p2p/p2pQ3/P3n3/1PP4P/2R2PP1/2R3K1 w - -,c2b2
3rr1bk/1p2q1p1/p1p2p1p/3n4/4B2R/P5BP/1P3PP1/2QR2K1 w - -,e4g6
3qr1r1/8/1nk1Pp1p/1n1pRP2/1PpP1NPB/p1P2Q1P/R7/7K w - -,h4f6
5bk1/5n2/2Q5/1P4p1/6qP/4BN2/5P2/5K2 b - -,g5h4
3b4/5pk1/6q1/2pNp1PQ/2P5/1P4P1/3R1PK1/4r3 w - -,h5g6
4r3/pbpk3p/1p3p2/3P2p1/2P1p3/6B1/PP3PPP/2KRR3 w - g6,f2f4
rnbqkb1r/p4p2/2p1pn1p/1p4p1/2pPP2P/2N2NB1/PP3PP1/R2QKB1R b KQkq h3,g5g4
6k1/4b1pp/8/p1p1pP2/8/Pr4P1/1P1B3P/2R3K1 b - -,b3b2
rn1qk2r/pb2bpp1/1p2p3/2p5/3PP2p/P1PB4/4NPPP/R1BQK2R w KQkq c6,h2h3
7r/6k1/8/4p1p1/1p1pN1P1/1P5q/P4K2/3Q4 b - -,h3e3
r2r2k1/1p3pnp/2p1bnp1/p3N3/2P5/PP3N2/5PPP/3RRBK1 b - -,d8d1
r3k2r/1q2bpp1/ppn1p2p/2pn4/3PN3/P1P1BN2/1P2QPPP/2RR2K1 b kq -,c5d4
8/4k3/7p/1pp1P3/p4K2/P1Nb4/1P6/8 b - -,e7e6
8/8/4p2k/4P1pp/8/5K2/7P/8 b - -,g5g4
r2q1rk1/pp1bppbp/2np1np1/2p5/2P1P3/2N3PP/PP1PNPB1/R1BQ1RK1 w - -,d2d3
r4rk1/ppn1qppp/3p1n2/2p1p3/P1BPP1b1/2P2N2/2PB1PPP/R2QR1K1 w - -,h2h3
r2qk2r/p3bppp/1pn1bn2/2ppN1B1/3P4/2N3P1/PP2PPBP/R2Q1RK1 b kq -,c6e5
1r6/p3k3/4n1p1/3Bpb2/1p1p4/1P1P1N1P/2P5/1R4K1 b - -,e6f4
8/6p1/1k2p2p/2N1p3/2KbP1P1/7P/8/8 w - -,c5e6
2kr4/ppq5/2r2n2/8/2n2P2/P4QPP/6K1/1RB2BR1 w - -,f1c4
1R6/pp4pp/1kp2b2/2p5/2P5/1P4P1/P5KP/8 b - -,f6e5
8/7R/8/3k4/2n2K2/8/8/8 w - -,h7h1
1R6/5pbk/4p1p1/7p/3P4/2r1PBP1/4PK1P/8 w - -,b8b7
2qrrbk1/1p3pp1/p1np3p/8/2P1bB2/1P2N2P/P2Q1PP1/2RR1BK1 b - -,c6e7
8/1rr1kp1p/3ppp2/Q7/1p2P3/6P1/3qBP1P/4RK2 b - -,c7c1
r1b3k1/1pq1bp1p/4pnp1/p3N1B1/3R3P/2P5/PPB1QPP1/6K1 b - -,f6d5
3r1r2/2pnk3/1p3p2/p1b1pPp1/2N5/2P3P1/PP1B1PK1/3R3R w - -,d2c1
8/6p1/5pkp/PR6/r5P1/5K2/8/8 b - -,g6h7
8/pp4k1/7p/3rpbp1/8/3pKP2/PP1R4/2R5 b - -,d5d7
r1bq1rk1/1p2bppp/p1n2n2/8/3PN3/6P1/PP3PBP/RNBQ1RK1 b - -,d8d4
8/5k1p/5np1/2R5/5NPP/r4PK1/8/8 w - -,c5c7
5q2/1ppnrrk1/p2pRpp1/2nP2Pp/b1PQ1P1P/7B/PBPN4/2R3K1 w - -,d2f1
5r2/2rq2k1/2npbp2/p1p1pn1p/1pP1B1pP/1P1PP1P1/PQ2NP1K/2RR2N1 b - -,c7a7
8/p1Rr3p/1p2k1p1/4PP2/6Pb/1P2BK2/7P/8 b - -,g6f5
8/5R2/1r5p/4k1p1/5n2/6PP/5P2/5BK1 b - -,f4e6
6k1/pp1b1pbp/2npR1p1/2p5/2P4q/3B3P/PP3PP1/R1BQ2K1 b - -,d7e6
8/p3k2R/3r3p/1pp5/4KP2/P1P5/7P/8 b - -,e7e8
rnbq1rk1/pp4bp/2pp2p1/4pp1n/2PP4/2N1PNP1/PPQ2PBP/R1B2RK1 w - e6,d4e5
8/5k2/3Kp3/4P1b1/3P2P1/8/p7/B7 b - -,g5e7
2r1b1kb/1q3p1p/3p1npP/1p1Pp3/pN2P3/Pn2BPP1/1PB1NQK1/5R2 b - -,b3a5
r4rk1/p4pbp/1pn3p1/4q3/2B1P3/4BP2/P3QP1P/R2R2K1 w - -,a1c1
8/p3n3/2p1kp1p/8/5K2/3B2P1/PP5P/8 w - -,d3c4
r2qkn1r/pp2b1p1/2p4p/3p1p2/3PnP2/2NBP2P/PP2QBP1/R3K2R w KQkq f6,d3e4
