6k1/7R/4K1P1/8/8/1pn4p/8/8 w - -,h7h8
1k6/1p3p2/p5p1/4Pp1p/5P1P/P2r2P1/1PR2K2/8 b - -,d3b3
3r4/1p2kppp/p3p3/2rb4/8/P1P1PP2/1R2K1PP/2R1N3 b - -,f7f5
8/5p1k/8/4PpPP/5N2/2r2NK1/8/8 w - -,f4e2
3q1rk1/1b3pb1/4p1pp/1p1nNn2/3P4/3BB3/1P1NQPPP/2R3K1 b - -,f5d4
r3k2r/1p1qnpp1/5n2/p2p1b2/Q2PpP1p/P1N1B2P/1P3PBK/R4R2 w kq -,c3b5
r1b1r1k1/1pq2pbp/2pp1N2/p2PppP1/2P5/4B3/PP1QB2P/R3K2R b KQ -,g7f6
1rbqk2r/1p1nppb1/p2p2p1/6Pp/2PP4/1PN4P/PB2QPB1/R3K2R b KQk -,b7b5
rq2k2r/p2nbppp/1pbp4/3Np3/4P3/4B1P1/PPP1QPBP/R2R2K1 b kq -,c6d5
5rk1/pQ3p2/3P2q1/2B1b3/4p3/6Pp/P6P/5RK1 w - -,b7d5
4r1k1/pp3ppp/1qp2b2/4P3/1P3BQ1/P5P1/5P1P/R1r3K1 w - -,a1c1
r1bqr1k1/1pp2pp1/p1nb1n1p/8/2BP4/2N1BN1P/PP3PP1/R2QR1K1 w - -,a2a3
r1bqr1k1/pppp1ppp/2n2n2/8/1bP1p3/2N3P1/PP1PPPBP/R1BQNRK1 w - -,e1c2
r5k1/2p2ppp/4pq2/p1PrN3/Pp1P4/2n1P3/2Q2PPP/2R1R1K1 w - -,e5c4
8/1R2p1kp/p2bPpp1/1np5/6P1/8/R6P/7K b - -,b5c7
8/5k2/8/3r3p/P3R2p/4K1P1/8/8 w - -,g3h4
2r3k1/1bq1bppp/p3p1P1/7P/1p1Bp3/5P1R/PPPQ4/1K1R4 b - -,e6e5
rnbqkb1r/ppp1pp2/1n4p1/7p/7P/2NP2P1/PP2PPB1/R1BQK1NR b KQkq -,f8g7
2rq1rk1/p3bppp/1p2p3/n2n4/5P2/1P4P1/PB1NQPBP/R4RK1 b - -,c8c2
2b2rk1/2q1r1p1/2p1pnBp/ppN5/2pP1P2/2P1Q1P1/7P/3R1RK1 w - a6,d1e1
r1b4r/pp2npk1/5bpp/2Np4/3p4/6P1/PP1BPPBP/2R2RK1 b - -,b7b6
8/ppR2ppk/4p2p/8/Pr6/1P4P1/5P1P/6K1 w - -,c7f7
rnq2rk1/pp3ppp/2ppbn2/4p3/2P1P3/P1NP2P1/1P3PBP/R1BQ1RK1 b - -,e6h3
1k1r1r2/ppq5/8/7p/3NQ2P/2P3P1/PP4P1/4R1K1 b - -,c7g3
b1r2rk1/4Rp2/pQ4p1/1pp5/6P1/PPN2n1P/2P5/4RK2 b - -,c8c6
1r5k/3r1p1p/2p4N/2p3P1/2P1Pb2/Pp6/8/1R2K2R w K -,h1f1
r2Qr1k1/pp4bp/2p3p1/2p1n2n/4Pp2/1PN2P2/1P2BBPP/R2R2K1 b - -,e8d8
r1bq1r1k/1p4bp/p2p1np1/P2PpnB1/NpP5/3B2N1/3Q1PPP/R4RK1 w - -,a4b6
R1k5/1r1b1p1p/1p2p1p1/1P2P3/2PN1P2/4K1PP/8/8 b - -,b7b8
6rk/1q6/2Q4P/1P1PN3/7P/P4P2/K1b5/8 b - -,b7e7
r3nrk1/1bq3pp/5p2/pp1pp3/4P1Q1/PPP2N2/3B1PPP/3RR1K1 b - -,d5e4
2nq1rk1/6r1/p2p1n1b/2pPp2p/N1P1Ppp1/P2N1P2/6PP/1RBQ1R1K w - -,c1d2
r1b1k1r1/1p2qp2/p2pp3/4n1bR/3BP1n1/P1N3QB/1PP1N3/1K1R4 b q -,g5f6
1R6/6pk/P2p2p1/3Pp3/2p1Pp2/2Nq4/3B4/2K5 b - -,d3d4
r1b2rk1/p1q1npbp/1pn1p1p1/2ppP3/8/3P1NP1/PPP2PBP/R1BQRNK1 w - -,d1e2
5bk1/1R3r2/8/6p1/1p3pP1/3R4/5PK1/8 w - -,b7b5
4r1k1/1p5p/p3pr2/3p4/3Pnq2/4QB2/PP4PP/4RRK1 w - -,f3e4
4R3/pppk2pp/2nb4/6B1/3p4/5N2/PPP2PPP/6K1 b - -,d7e8
r1r3k1/1p3pb1/7p/1qPp2p1/p7/2RNP1P1/PP1Q1PP1/4K2R b K -,d5d4
4b3/R6p/4pkp1/p2p4/P2r3P/1P6/2P2P2/1K3B2 w - -,b1b2
rnbqkb1r/1pp2ppp/p3pn2/3p4/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq d6,c4d5
r3k2r/ppp1qppp/2n2n2/1B1p4/1bPP4/1P2PQ1P/PB4P1/RN2K2R w KQkq -,e1f1
1rbq1rk1/p3ppbp/2pn2pB/8/2P4Q/5N2/PP3PPP/RN3RK1 b - -,d6f5
r2qrbk1/p1pb1ppp/3p4/2p5/Q1P5/2P1PB2/P4PPP/1RB2RK1 w - -,a4a6
8/p1pk4/8/2p5/2r3P1/4KP2/8/7R b - -,a7a5
r3k2r/p1p1bppp/2b1pB2/1p1q4/3P4/2PB1N1P/PP3PP1/R2QR1K1 b kq -,e7f6
rr4k1/1q3ppp/3p1b2/ppp1p3/5n2/PBPP1Q1P/1P1N1PP1/R3R1K1 w - -,d2e4
r2q1rk1/pp1nbpp1/2p1p2p/7P/3PQ3/5N2/PPPB1PP1/1K1R3R b - -,d7f6
8/1q3rk1/1rpQnpp1/pp1p3p/3P3P/P2NP3/1PR2PP1/2R3K1 w - -,d6g3
3rr1k1/5pp1/p1pp1n1p/2q5/2N1P3/1P3P1P/P2Q2P1/3RR1K1 w - -,d2f2
r4nk1/1R3p2/5rpp/p1N1RP2/2pP4/2P5/P6P/6K1 w - -,c5e4
3rr1k1/1b2q3/pP3n1p/3pNPp1/2pPP3/2P2P2/1RQ3BP/1R4K1 b - -,g8g7
4k3/1R3pp1/1p1rp2p/1P6/8/2P2P1P/4K1P1/8 w - -,e2e3
2rr4/1p2qpkp/2b3p1/8/5Q2/1B2P2P/P4PP1/R2R2K1 w - -,d1d4
2k5/ppp2ppp/4r3/1r3p2/3P4/1P2P1P1/P2K1P1P/2R4R b - -,e6a6
r4rk1/2qbbppp/p2p1n2/nppPp3/4P3/2P2N1P/PPB1QPP1/RNB2RK1 w - -,f3h4:b1d2
2b5/2r3Rk/p2p3P/p3p3/P1r1P2b/2N3R1/1PP3BP/7K b - -,c7g7
4r2k/b4qp1/p4p1p/1pp1n3/4PP2/1PP3BP/P3Q1PK/3RR3 b - f3,e5g6
8/p4pk1/6p1/1p3q2/8/P3Q3/1Pp3KP/2R5 b - -,g7g8
1rb1rbk1/2q2p1p/p5p1/Rp2p3/1P2P3/2P2N2/1Q3PPP/4RBK1 b - -,c8b7
r2qk2r/pp1n1pp1/2pbpnp1/3p4/2PP2P1/P6P/1PQNPPB1/R1B1K2R w KQkq -,e2e4
r4rk1/2p2p1p/4p1p1/pbn5/PpNR4/1Pn4P/1NP2PP1/4RBK1 b - a3,b4a3
2n1r1k1/1R4b1/2N3p1/3P3p/3Np3/7P/3Q1PP1/q4BK1 b - -,e4e3
6k1/1b2b2p/p5p1/1p2p1P1/1P2p1P1/P1R1Br2/2P3K1/3N4 b - -,e7d6
r2qk2r/pp1npp1p/3pN1p1/6P1/2n1PP2/2P1B3/P1P1B2P/R2QK2R b KQkq -,c4e3
8/3n1p2/2k5/4p3/1P6/3NK3/8/8 b - -,c6d5
r1b1k2r/2p2p2/pp1b1npp/2n1p3/4P2N/2N1BPP1/PPP4P/2KR1B1R b - -,e8f8
8/5pp1/6k1/7p/6P1/5pKP/5P2/8 w - -,g3f3
r2r2k1/pp1nqpbp/6p1/2P5/8/1Pp1BB2/P1Q2PPP/3R1RK1 w - -,f3b7
5nk1/1p3pb1/2p1p1p1/3pPPN1/1P1P2PQ/2P5/r1q4P/2B2RK1 w - -,h4f2
rn3rk1/4ppb1/pqpp2p1/1p4Bn/4PP2/P1NB3P/1PP3Q1/R3K2R w KQ -,f4f5
8/1Q6/p2r1k2/P7/5K2/8/8/8 b - -,d6d4
8/6p1/8/5p2/5bkP/5N2/4K3/8 w - -,f3d4
8/1p1k1n1r/1p5P/4pp2/8/2R5/3NKP2/8 w - -,c3d3
3r4/1k1b1p1p/p3p3/1pQpPP2/8/P1P4r/4B3/1N1K1R2 w - -,c5e7
8/2p5/P1k5/2p1p2r/4K3/5P2/7p/7R w - -,a6a7
6k1/5p2/3b1n1p/3P2p1/2R5/5N1P/5PP1/6K1 w - -,c4c6
4k3/2p5/p4p2/2PK1P2/PP1R4/8/8/r7 b - -,e8d7
8/p7/1b1p3p/1P2p1k1/P5P1/3r4/4K3/3B4 w - -,e2d3
r1b1kb1r/pp3pp1/2n1pq1p/2pp4/3P1P2/2P1P3/PP1N2PP/R2QKBNR w KQkq -,g1f3
rq3rk1/1b2bppp/pp2p3/1N1nP3/P2BpP2/8/1PP2QPP/R2B1RK1 w - -,b5c3
