8/8/4k3/p2Npp1p/8/P2R1K2/1r6/8 w - f6,d5c7
5k2/5p2/3K2p1/4R1P1/3rPP2/8/8/8 w - -,d6c6
3r1k2/1R4pp/p2Pp3/8/4N1P1/P4PKP/1Pr5/8 b - -,h7h6
r2q1nk1/2r2pp1/6bp/pQ6/P2PN1n1/4P1P1/1R1NBPP1/5RK1 b - -,g4f6
8/4r3/1R3pkp/6p1/3Kp1P1/8/5P2/8 b - -,g6f7
r1b2rk1/1pqn2bp/p1p3p1/2Pp1p2/3PpP2/2N3P1/PP1Q1PNP/R3RBK1 b - -,f8d8
8/5Bp1/1p4P1/8/4k3/pK3n1P/P7/8 b - -,f3d4
2n2rk1/1pq2pp1/4b2p/pB2p3/P3P3/2P1Q3/2P3PP/1R3R1K w - -,f1d1
3rr1k1/b2b1pp1/p1pp1np1/4q3/1PP1PB2/P1N3PP/2R3B1/3Q1R1K b - -,e5h5
r4rk1/1ppbp1b1/n2p2qp/p2P1pp1/2PNn3/PPN1P1P1/1B2QPBP/1R3RK1 w - -,e2c2
4r2k/1p1n2pp/p5q1/3pNp2/3PrP1P/2P1p1P1/PPQ1R2K/2R5 b - -,d7e5
2n2b1r/n1p2k2/1pPp2p1/p2Pp1P1/P3Pp2/2NN1P2/1P1K1BR1/8 b - -,f8e7
r5k1/3q1ppp/p3bn2/1pb1p3/2p1P3/2Pr1PNP/PP2Q1PK/R1B1RN2 b - -,h7h6
r2qr1k1/2n2pbp/pp1p2p1/2pPn3/P3P3/2N4P/1PQ1BPPB/R3R1K1 w - -,a1d1
8/3k1pp1/p1pr1q1p/PnR2P2/2Q1B2P/4PK2/5P2/8 w - -,f3g3
8/3k4/PK6/1P6/2r4p/5b2/4pB1P/4R3 w - -,e1g1
rnbqkbnr/pp2pppp/2p5/3p2B1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq c3,h7h6
6k1/5pb1/pp2p2p/1b1p2p1/1P3PP1/P1BPPK1P/8/3B4 w - -,c3g7
6k1/8/4p1pp/1pR5/pP6/P2r1P2/6PP/6K1 b - -,d3a3
3r2k1/pq3p1p/1p3bp1/1Bp4n/1PQ4B/2P2P2/P5PP/4R1K1 w - -,h4f6
3k3r/q1p2pp1/1pPb2b1/pP1Pn3/P3p2r/2N1P3/3R2B1/2R1QNK1 w - -,d2f2
2rq1k1r/1p1nbp2/2p1p1p1/p2pPn2/P2P2Np/1PP1BQ1P/5PP1/R3RBK1 w - -,f1d3
2r5/P4k2/4p1p1/2B3P1/2K2P2/8/8/8 w - -,c4b5
r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP2b1/5NP1/PPQNPPBP/R1B2RK1 w - -,e2e4
2r1k1r1/4pp2/pp4pb/3PP2p/P2RBP1P/6P1/1P6/1K1R4 w - -,d5d6
rnbq1rk1/ppbp1ppp/5n2/2pP4/8/5NP1/PP2PPBP/RNBQK2R w KQ -,d5d6
4r1k1/p2b1ppp/5n2/q1pN4/8/1PPB2QP/P4PP1/3R2K1 b - -,f6d5
8/8/8/8/1q5p/3Q2pK/kp6/8 w - -,d3a6
8/1np2k2/1p1p1P2/3P2pp/1PP3q1/3Q1R2/1B5P/1K2r3 w - -,b1a2
1r3rk1/p3npbp/bqnpp1p1/2p5/4PPP1/2PPB2P/P2Q1RB1/R1NN2K1 b - -,f7f5
r1r3k1/pp2ppbp/2qp2p1/8/N2QPPn1/3B3P/PPPB2P1/2KR3R w - -,d4d5
4rrk1/2p2qpp/bpNp4/p2P1p2/3Rn3/4P1P1/P4PBP/1Q1R2K1 w - -,b1c2
r3qr1k/ppp1p1bp/2npQnp1/5p2/3P4/2P3P1/PP1NPPBP/R1B2RK1 b - -,c6d8
r1bqk2r/pp1n1pb1/n2p2p1/2pPp1Pp/2P1P2P/2N1BP1N/PP6/R2QKB1R b KQkq -,a6c7
r1bqkb1r/p1p2ppp/2pp1n2/8/4P3/3B4/PPP2PPP/RNBQK2R w KQkq -,e1g1
3q1rk1/1p1nbppp/2pp1n2/4p3/1PPP4/2N1BP2/4BPPP/Q4RK1 w - -,f1d1
1r2b2r/1pk2p2/p1q4b/2p1pP1N/1BPpP3/N2PnBR1/PP2Q2P/6RK b - -,c5b4
8/6p1/1B2B2p/8/3p4/3Kbnk1/8/8 b - -,g3f2
8/3b4/4p1p1/1k1pPpNp/1P3P1P/2K3P1/8/8 b - -,d5d4
3q1rk1/5pb1/8/pR1p1Pp1/P1rPp1n1/2P3B1/Q3N1P1/5RK1 w - -,a2d2
8/8/5p1b/p2p1P2/P7/4nB2/2rk4/1Q5K w - -,h1h2
2r1k2r/2qbbp2/p2pp2p/1p2n3/4P3/PNN5/1PP1B2P/1K1R1Q1R b k -,e5c4
r1b1k2r/ppqnbp2/2n1p1p1/2p1P2p/2p2P2/3P1NPB/PP2Q2P/RNB2RK1 w kq -,d3c4
8/8/3k1PN1/3pb1P1/pp1n4/8/6B1/1K6 b - -,d4e6
r1bq1rk1/2p2ppp/p1np1n2/2b1p3/PpN1P3/1B1P1N2/1PP2PPP/R1BQ1RK1 w - -,h2h3
r1bqkb1r/pppp1ppp/2n5/4P3/2P1n3/5N2/PP2PPPP/RNBQKB1R w KQkq -,d1d5:a2a3:d1c2:g2g3:e2e3
4rr1k/1ppqb2p/p3n3/3pPp2/3p1P2/P2B1Q1P/1PPB3K/3RR3 b - -,e6c5
8/8/2r4p/4kP1K/6P1/4R3/8/8 b - -,e5f4
r4k2/pbqr3p/1p3Nn1/2p1p2Q/1PP5/2B3P1/P1B2P2/4R1K1 w - -,f6d7
r1q2rk1/2p3bp/p3PBp1/3nn3/3NNQ2/7P/1PP3P1/3RR1K1 w - -,f4e5
8/2r1kp1p/R1Pn2p1/8/p1rNp3/6PP/5PK1/3R4 w - -,g3g4
4bk2/2r1bp1p/4p1p1/pp6/4BN1P/1P2P1P1/P2R1PK1/8 b - -,e8d7
r1bq1rk1/1p2bppp/p1n1pn2/8/2BP1B2/2N2N2/PP3PPP/R2QR1K1 w - -,a2a4
2r1r1k1/pq1n2pp/2p1pp2/8/2PPQ3/b4N2/P1RB1PPP/R5K1 b - -,b7a6
8/2p3b1/2q4k/3Pp1pp/4Pp1n/5P1P/4B1P1/5R1K w - -,d5c6
6k1/R5pp/5p2/4p2P/6P1/1p2P1K1/Pr3P2/8 w - -,a2b3
1rqr2k1/2pbnpbp/3ppnp1/1p6/1P1PP3/PRN2NPP/5PBK/2BQR3 b - e3,d7e8
r1bqk2r/1p3pp1/p2pP2p/3B4/P7/N7/1PP3Pb/R1BQR1K1 w kq -,g1h2
2r3k1/3b1p1p/q2p2p1/3P4/1R1Q2P1/1BP4P/1P6/4K3 w - -,b3d1
r7/2R5/5b2/p4k2/P1P5/5KB1/7P/8 w - -,c4c5
8/8/8/2k3K1/8/7P/8/8 w - -,h3h4
8/7p/7P/PkB5/1P4p1/3K4/r4P2/8 w - -,d3e4
8/pp3kp1/1np2p1p/8/1P2PPP1/Pb1BB2P/8/6K1 b - f3,b6c4
q7/5rpk/1Q5p/2p1B1b1/5P2/6P1/PP2R2P/6K1 w - -,b6b3
8/8/1p1p4/p3p1k1/P1P5/NPnbPBK1/8/8 w - -,f3c6
3r2k1/2R1n1pp/rp1qbp2/1p2p3/1P6/p2P2P1/P2QPPBP/B1R3K1 w - -,f2f4
8/8/pr1n1kp1/2pR1R1p/1pP5/1P3B2/P5PP/6K1 b - -,d6f5
r1r3k1/5pbp/4b1p1/p1Bpp3/1P6/2P2P2/P5PP/3RKB1R w K a6,a2a3
4Q3/6K1/7p/kP5P/2p3P1/3q1b2/8/8 b - -,c4c3
8/8/1R5k/p6P/P7/5n2/r7/5K2 b - -,h6h5
1r2r1k1/5pbp/NN2b1p1/2P5/4p3/4P1P1/5P1P/1RB3K1 b - -,b8b7
r2q1rk1/pb1nbpp1/1p2pn1p/2pp4/2PP1B2/2NBPN1P/PP3PP1/2RQ1RK1 w - c6,c3b5
8/7k/6R1/3K2PP/8/8/8/4r3 b - -,e1a1
r3r1k1/pp1q2bp/2ppbpp1/8/4PBP1/2QP3P/PPP3B1/4RR1K w - -,d3d4
r3rbk1/pp2npp1/1qbp1n1p/2p5/4PP2/1BNQB1NP/PPP3P1/3RR1K1 b - -,a8d8
r2q1rk1/pp3pbp/n3bnp1/2pN2B1/2Q1P3/P4N2/1P3PPP/R3KB1R w KQ -,e1c1
8/8/8/4kRp1/p3p1P1/r6P/3K4/8 b - -,e5d4
brr3k1/p3pp2/1qnp1bpp/1N6/PP1P4/4PNPP/3Q1PB1/RR4K1 b - -,a7a6
r2q1rk1/pp2ppbp/2n2np1/3p4/3P2b1/1P1B1N2/PBP2PPP/RN1QR1K1 w - -,h2h3
2r1k2r/1p2qpp1/pB2pn1p/Pn1p1b2/Rb1P4/1PNBP3/2PQNPPP/4K2R w Kk -,b6c5
6k1/p6p/2B1p1p1/8/P7/6PP/3r1PK1/8 b - a3,g8f7
5Q2/7p/2b1p1p1/p2pP1k1/6P1/P4R1K/3q4/8 w - -,f8e7
r1b1rnk1/2q1p1bp/1pp2pp1/p2n2B1/P1NP4/1B3N1P/1PP2PP1/1R1QR1K1 w - -,g5h4
8/1R3p2/3Brbk1/pp2pNp1/3nP3/P4P2/1P4P1/6K1 b - -,d4f5
