8/8/8/8/6R1/p1kr3p/P4P2/6K1 b - -,c3b2
rn2kb1r/3ppppp/1q6/1Bpb4/P7/4PN2/1P1B1PPP/R2QK2R b KQkq a3,e7e6:b6g6
rnbqkb1r/ppp1pppp/5n2/3p4/3P1P2/4P3/PPP3PP/RNBQKBNR b KQkq -,e7e6:c8f5
2r1r2k/pp4pp/5n2/5p2/2P5/3P1P2/PqP3PP/R1QK3R b - -,b2d4
8/8/p5pk/2R3p1/pPp5/2P2K2/4r2P/8 b - -,e2e1
r5k1/1r3pp1/7p/2qp4/p1pPP2P/2R3B1/1P3PPK/8 w - -,d4c5
1n6/2q2kp1/R3pn1p/8/2PP3P/3Q2P1/5P2/6K1 w - -,a6a4
8/2pk1b1p/5p2/3r1P2/1p1Bn1P1/1N6/P3K2P/2R5 b - -,d5d6
r2q1rk1/pb3pb1/1p2pnpp/8/1n1P4/PBN2N2/1P1BQPPP/2R1R1K1 b - -,b4c6
2r1br1k/ppq1b2p/4pp2/1P6/P1pPP3/5N2/3BQ1PP/2R2R1K w - -,d2c3
r4rk1/ppp1q2p/3p2b1/3Pbp2/2P5/2N4R/PPB3PP/3Q1RK1 w - -,d1b1
2rqr1k1/1b1n1ppp/pp1b1n2/2pP4/P1P5/2N2NP1/2Q2PBP/R2RB1K1 w - -,a4a5
r4rk1/p1p1bnpp/3p2q1/3P1b2/1PB1Np2/P1N2P2/4Q1PP/2R2R1K b - -,a8e8
3b4/p7/4P3/4kP1N/6Kp/8/P7/8 w - -,h5f4
r1b2rnk/1p1nq2p/p2p2p1/P1pPp3/2P1Pp2/2N2P2/1P1NB1PP/RQ3RK1 b - -,g8f6
2r1k2r/2q1p1b1/p2pp1p1/1p1n2Bp/8/PB3P2/P1P1Q1PP/2KRR3 b k -,d5c3
3B4/3n4/1pb4k/2p3p1/P1P1p1P1/1K2P3/8/3B4 w - -,b3c3:b3a3
6k1/7p/6p1/p3Q3/1b2P3/5r2/P1K5/8 w - -,e5e6
rnbq1rk1/pp2bppp/5n2/4p3/3NP3/4B1P1/PP3PBP/RN1Q1RK1 w - -,d4f5
r1bq1rk1/ppp1npbp/2np2p1/4p3/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 w - -,b2b4
2rq2k1/pb1n1ppp/1p6/2rp4/4n3/Q1N1PN2/PP2BPPP/2RR2K1 b - -,d7f6
2rqk2r/3n1ppp/1p1Ppb2/p5N1/3PNB2/1Q6/PP2bPPP/RB4K1 b k -,f6g5
r2qk2r/p2nbppp/b1p1p3/2ppP3/5P2/2NP1N2/PPP3PP/R1BQ1RK1 w kq -,f1e1
r3r1k1/ppp1qpp1/2b3np/2b1P3/7P/2P2NB1/PP1NQPP1/3R1RK1 w - -,f1e1
rnb2rk1/ppp2ppp/3qp3/3p4/2PP4/4PN2/PP1Q1PPP/R3KB1R b KQ c3,b7b6
8/B7/6p1/5p1p/5P1P/6P1/3rk1K1/8 w - -,a7b6
2krr3/pppn1ppp/6b1/2b1P3/5P2/2N5/PP1B2PP/2KR1B1R b - -,f7f6
r2r2k1/p3qppp/1p3n2/2n2p2/1Q6/2N1P2P/PP2BPP1/2RR2K1 b - -,d8d1
r2q1rk1/n1p1bppp/2n1p3/2PpP3/Pp1P4/3B1NP1/P2N1P1P/1RBQ2K1 b - -,f7f5
3Q3R/8/8/1p1B2b1/1k6/5P2/2Kr4/8 w - -,c2b1
5r1k/1b5p/pn2q1p1/1p6/4pP2/2PBB3/P2R2PP/5RK1 b - -,e4d3
4R3/5pk1/6pp/2bN4/3rp3/6PP/5P2/6K1 w - -,d5f4
2br2k1/4qpp1/2p1pb1p/8/1P1B1P2/2PBQ3/6PP/R6K w - -,e3e4
5R2/8/1pknr1p1/1P1p1p1p/1P1PpP2/2N1P1P1/3K2P1/8 b - -,d6b5
r2qr1k1/1b3p2/p6p/1p1pn1p1/3Bn3/6N1/PPB2PPP/R2QR1K1 w - -,d1h5
4r3/pp6/3k4/3P1P2/5K1p/8/PP5R/8 b - -,e8h8
8/1p2kpp1/7p/P7/1P1r4/1R4P1/4P2P/6K1 w - -,g1f2
8/8/6kp/2PQ4/8/6P1/5PKP/2q5 w - -,c5c6
r2r2k1/4qpb1/1p1pp1pp/p7/PnPPN3/5N1P/1P1Q1PP1/2R1R1K1 b - -,a8c8
r1kr1n2/1pp3pp/2n1bp2/p1P1p3/P1N1P3/1N6/1P2BPPP/1K1R3R b - -,d8d7
rn2kb1r/pp1q1ppp/3p1n2/2p1p3/2P1P3/2NP1N2/PP3PPP/R1BQK2R b KQkq -,g7g6
2b5/6p1/pkrp1p1p/R3p3/1PP1P2P/2KB1P2/6P1/8 w - -,a5a1
r3k2r/1bqpbppp/p3p3/1p2n1Pn/3NP3/2N1BP2/PPPQ3P/1K1R1B1R w kq -,f1d3:h1g1
rnbq1rk1/ppppppbp/5np1/8/5P2/4PN2/PPPPB1PP/RNBQK2R w KQ -,e1g1
8/4BR2/5P2/3p1kpp/3p4/6P1/1r3P2/6K1 w - -,f7g7
3r1kr1/p1p2p1p/1p1pnq2/7R/2P1PP2/5BP1/PP1Q1K2/3R4 b - -,f6g7
r4rk1/1bq1bpp1/p2ppn1p/8/NpPB1P2/3B4/P1Q3PP/4RRK1 w - -,e1e3
2N5/4Rpp1/7p/2pknP2/2p4r/2P5/5P2/5K2 b - -,d5e4
1r2q3/Rp1brpk1/1P1b1n1p/3Pp1p1/2Q2n2/2N4P/2BB1PPN/4R1K1 b - -,e8d8
3br1k1/p2q1p2/6pQ/2p2b2/2B2BP1/1PP5/7P/5RK1 b - -,f5d3
6r1/p1pk1b2/2p2pN1/4pP2/4P1R1/3PK3/1r5P/7R b - -,g8b8
1r3rk1/p1R2ppp/Bp6/3Pn3/b2N4/P3P3/5PPP/R5K1 b - -,f8d8
1r1r2k1/p1p2pbp/4p1p1/2pbP3/5P2/1P1B4/P1PN2PP/R3R1K1 b - -,g8f8
8/8/1p2k1pp/p3n3/4R3/2r1K1P1/7P/3R4 w - -,e3f2
6rk/p7/1p2pp2/3n3p/1P1Q1b2/P2N1NqP/6p1/4R1K1 b - -,g3f3
4r1k1/7p/1p2bB2/2p1P3/p4R1P/P3n1P1/1P3RB1/4r1K1 w - -,f2f1
3r4/r6n/3p1bkB/P1pPp2R/2N1P3/6P1/1P4K1/7R w - -,h6d2
r1br2k1/1pq1ppb1/p5p1/4P3/3P2PQ/2N2N2/PP6/R4R1K w - -,f3g5
r3r3/4qpk1/4p1pp/P1bpP3/1Bb4P/P5P1/3Q1P2/2R1RBK1 b - -,c5b4
5B1q/1bpk1p2/p2pp1p1/8/1p1P4/1PP3P1/1P2NP2/1N1RK3 w - -,f8d6
2r2rk1/1p1q3p/pB1p4/P2P2b1/1PP1p1p1/8/6PP/2RQ1RK1 w - -,f1f8
2rr2k1/p2b1pp1/q2ppb1p/5P2/3NP2P/2B2Q2/PPP5/1K1R3R b - -,e6e5
5k2/5ppp/4p3/bb1pP3/3P1nP1/1B3NKP/N4P2/8 b - -,f4e2
8/p4ppp/1rn1kn2/3p4/1p1PP3/P1NK1P2/1R1B2PP/8 w - -,e4d5
r2q1rk1/pp3pbp/2n3pn/3Bp3/2P3P1/2N4P/PP3P2/R1BQ1RK1 b - -,g8h8
5r1b/p1pq1r1k/1p1pp1pp/3n3N/3P1P2/2PQ1R1P/PP1B2P1/4R1K1 w - -,g2g4
8/5pk1/4p1p1/pr5p/3P3P/4P1P1/1PR2P2/6K1 b - h3,g7f6
r1b2rk1/p7/1ppq3p/2bp2p1/5p2/1Q3PP1/PP2PNBP/3R1R1K b - -,c5f2
3r2k1/2p2q2/2Q5/B1P4n/3P4/P1N1PP1p/5K1P/8 b - -,d8b8
3r2k1/p5bp/2R3p1/1n3p2/1P2p3/8/5PPP/4Q1K1 w - -,h2h4
r1b1r1k1/1p2ppbp/p1n3p1/8/3P3B/4PN2/P3BPPP/1R3RK1 w - -,f1c1
r2q1rk1/1p4bp/n2p2p1/p1pPpbP1/2P4P/PN2B3/1P2BPQ1/R3K2R w KQ -,b3d2
r1b2r2/p3q2k/1p1p1npp/1PpP1p1n/2P1pP1P/2Q3P1/PB2P1B1/3R1RKN w - -,e2e3
1r4k1/2qn2pp/pp3r2/3R4/2PN1p2/8/P4PPP/2R1Q1K1 w - -,e1e7
8/7p/5k2/1R4p1/8/1Nr2K2/6PP/8 w - -,f3e2
1r1qn1kr/3n1pb1/pp1p2pp/2pPp3/2P1P1PP/P1N1BPN1/1P1Q4/R3K2R w KQ -,h4h5
3r2k1/5p1p/p5p1/4p3/1p2r2b/3N1R2/PPP5/1KR2B2 b - -,h4g5
5r1k/p6p/3p4/2p2pqp/1Pb5/2N2Pb1/P1P1P1R1/1R1Q3K b - b3,g5h4
3r4/p1R4p/3rpkp1/8/3P4/1P2R1P1/P4P1P/6K1 w - -,e3f3
2n1r1k1/rp1bQpp1/2p4p/3p4/p2P1N2/P2BP3/1P3PPP/1RR3K1 b - -,c8e7
r1b1k2r/1p2ppb1/p2p2pp/q2P4/2BN1P2/2P2Q2/PP4PP/R3K2R w KQkq -,a1d1
