2B1R3/3P1k2/pb3p2/3K4/r7/8/8/8 w - -,d5c6
8/q2rbpk1/2p3pp/1p2p3/1P1nP3/P1Q3PP/B1P2PK1/R1N5 b - -,c6c5
r2q1rk1/1pp2pbp/3p1np1/p2P1b2/Pn3B2/2N2NP1/1PP2PBP/R2Q1RK1 w - -,f3d4
r1bq1rk1/pp2ppbp/2npn3/8/2P1PP2/1PN1B2P/P3N1B1/R2Q1RK1 w - -,d1d2
3rb3/4kp2/1rpb2p1/p1Np3p/3Pp2P/1P2P1P1/P1RKBP2/2R5 b - -,f7f5
r2q1rk1/pp1n1pp1/3b1np1/3Pp3/8/2N1B3/PP2BPPP/2RQ1RK1 b - -,a7a6
1r6/R2bqp1k/pp1r2p1/3Pp2p/4P3/PPQ3PP/6BK/3R4 b - -,a6a5
6k1/p4p2/1p3p1p/n2p1B2/2r4P/2q5/P3QPP1/4R1K1 w - -,h4h5
8/7R/p2k1p2/1pr1pP2/6P1/8/P3K2P/8 w - -,h7f7
2kr4/2p4p/pp2p1pB/2b5/2p1P3/2P5/PP1R1PPP/2K5 w - -,d2d8
4k3/1p4p1/r1pRb1r1/p1n1PpBp/3R1P2/1P5P/P1B3PK/8 b - -,a6b6
6k1/3nbp1p/1q2N1pQ/pb1pB3/1p1P2P1/1P5P/P1r1PPB1/6K1 b - -,e7f8
6k1/6pp/4p3/2N1P3/n4P2/8/1BP2KbP/3r4 b - -,a4b2
6k1/5pp1/2qp3p/1p2r3/2pRP3/2P1PQ1P/1P4PK/8 b - -,c6c7
8/2p1kp2/1p4pp/pPpB4/P2b2P1/2N2K1P/1P6/8 b - -,f7f5
r2q1rk1/pb1nbpp1/1p5p/2pp4/3Pn3/2NBPNB1/PP2QPPP/R4RK1 w - -,f1d1
r2r4/p1q2p1k/2p2Qp1/1p4Rp/4P2P/3P4/1PP1KP2/7R b - -,d8d6
2r3k1/p2rnppp/1pn1p3/8/2PP4/2B2P2/P2RBKPP/3R4 b - -,c6d8
2rr1bk1/5p1p/p3p1p1/2p1P1P1/1p5P/3P4/PP2NPR1/1KR5 w - -,g2g3
5r2/2p2pkp/6p1/3Bb3/5p2/7P/2P2PP1/4R1K1 b - -,e5d6
1r3rk1/p3qppp/bn2p3/b2pP3/3P4/1PN1R1P1/P2B1PBP/R2Q2K1 b - -,f8c8
8/2k5/6Q1/p3Pp2/1p3P2/Pbp4P/1P4PK/3q4 w - -,b2c3
1r2r3/p3p1k1/1pqp1pnp/3N4/P1PQ4/1P4P1/4PP2/3R1RK1 w - -,d4g4
8/4bp1p/R7/1p2N1k1/4P1p1/3P4/1r3PKP/8 w - -,e5f7
2r1k2r/1bqnbpp1/8/2p1p2p/2N1nP2/1P4PP/1B2N1B1/R2Q1RK1 w k -,a1a7
8/4k2p/1R4pK/5p2/4q3/6PP/8/8 b - -,e4e3
r2q1rk1/ppp3pp/2n2b2/5p2/4b3/2B2NP1/PP2PPBP/R2QR1K1 w - -,d1b3
r1bq1rk1/1p1nppbp/p2p1np1/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 w - -,d4b3:f4f5:a2a4
8/8/5K2/3R4/5pr1/5k2/3B4/8 w - -,d5d4
rnbq1rk1/pp2ppbp/3p1np1/2p5/3PP3/2N2NP1/PPP2PBP/R1BQ1RK1 b - d3,c5d4
r1bqkb1r/pp2pppp/2np1n2/1Bp5/8/1P2PN2/PBPP1PPP/RN1QK2R b KQkq -,c8d7
r6r/1p2kp2/1pbppp1b/7p/P2NP3/1PN5/2P2PPP/R4RK1 w - -,a1d1
r1bq1rk1/1p2ppbp/p4np1/2p1P3/3P4/2P2N2/P3BPPP/1RBQ1RK1 b - -,f6d5
r5nr/1pkn3p/2p1bppB/p3p3/N1P1P3/P7/1P1NBPPP/R3K2R b KQ -,g8h6
4r2k/4P1p1/3B1p1p/1ppq4/3pb3/1P4Q1/P2R2PP/6K1 w - -,g3f4
rnbq1rk1/ppp2ppp/4pn2/3p4/3P1P2/5N2/PPPN1PPP/R2QKB1R w KQ -,f1d3
r7/1b2n2k/p1qBr1pp/P1P2p2/2BQ4/8/1PR3PP/5RK1 b - -,e7d5
8/1k6/p1p1Bpb1/1pPP2p1/1P2P3/R3KP2/1P5r/8 b - -,g6e8
4k3/4P1pp/1R3b2/1pp5/p2r1B2/P3K1PP/8/8 b - -,b5b4
3r4/3P2kp/5p2/8/8/6KP/3R2P1/8 b - -,g7f7
4r3/p4qpk/2Q1pn1p/3pb3/N3p3/BP2P2P/P4PP1/2R3K1 b - -,f7h5
r1b1r1k1/ppq2pp1/5n2/6p1/2P5/2Q1RN2/5PPP/1B2R1K1 b - -,e8e3
2kr3r/ppp4p/5p2/3b1B2/5p2/4bP2/PPK3PP/R5NR b - -,c8b8
1r2k2r/5pp1/N4n1q/4p3/1p6/P2P2P1/4QP2/2RK4 b k -,b8d8
2r1k3/3q1p2/1np1p2Q/R3P1r1/Pp1P4/1B4P1/1P3PP1/3R2K1 b - -,g5g6
3r1rk1/1p3pp1/2p2n1p/p6q/PbQ5/1PN1P1B1/1R1N1PPP/3R2K1 b - -,b4c3
r4rk1/1pq2p1p/p1nbp3/2Np1bp1/3P4/1Q2P2P/PP1NBPP1/2R2RK1 b - -,a8b8
7R/1p1r4/p1p1kp2/6p1/P2PP3/3K4/1P3P2/8 w - -,d3c4
8/1pR5/3n1k2/2p2P2/8/3B3r/3K4/8 b - -,f6e5
rn2r1k1/3b1pb1/3p2pp/pB6/Qp1Pp2q/4BPN1/PP4PP/2R1K2R w K -,f3f4
r1bqkbnr/pp2pppp/2n5/3p4/3PP3/2N5/PP3PPP/R1BQKBNR b KQkq -,e7e6
8/Q7/1pq5/6k1/8/4P1P1/5PKP/8 w - -,g2f1
4r1k1/3b3p/3p2p1/2pP4/1p1n4/1P5P/R4PP1/2N1R1K1 b - -,e8e1
r1bq1rk1/ppp2pbp/2np2p1/4p2n/1P2P3/2PP1N2/PB2BPPP/RN1Q1RK1 w - -,f1e1
2kr3r/pp1b2pp/4p3/5n2/6nP/P1P4N/2P2BBP/2KRR3 w - -,f2a7
r3qrk1/p1n3bp/bp1p1np1/2p1p3/2P1P3/1P3NP1/PB1NQPBP/3RR1K1 b - -,h7h6
8/7k/r4K1p/5P2/4R1P1/8/8/8 w - -,e4e6
r1bqkb1r/p2n1ppp/2pp1n2/4p3/Pp1PP3/6P1/1PP1NPBP/RNBQK2R b KQkq -,f8e7
R7/8/1k4P1/5K2/1r6/p7/8/8 b - -,b4b5
r5k1/pppq1r2/3p2pb/2PPp2n/1P2P2P/3N2B1/P3Q1KP/R4R2 b - -,h5f6
5Q2/4R1pk/1p3p1p/2p5/6qP/5NP1/r4PK1/8 w - -,f8f6
1kb3rr/1p2bp2/p2ppp2/q4P2/4P2R/1PNB4/1PP2QPP/1K1R4 b - -,h8h4
r1b1qrk1/1p2b1pp/2p1p3/p2pBp2/2PP4/P1Q3P1/1P2PPBP/R2R2K1 b - -,a5a4
4b3/6B1/3P4/2K1k3/8/5P2/p7/8 b - -,e5f4
r6r/pp1b1kb1/2n1ppp1/3p3p/5P1P/2BB1N2/PPP3P1/R4RK1 w - -,b2b4
3rr1k1/pp2qn1p/2pp1npb/5p2/2P2N2/BP2P1PP/P2Q1PB1/3R1RK1 w - -,g1h2
q7/2nQ1pk1/2p1n1p1/3pPpPp/3P1P1P/1PPB4/1BK5/8 w - -,d3f1:d7d6
5R2/ppk4r/4p1b1/3p3N/2p1n1PK/2P4P/PP6/5R2 w - -,f8g8
5k2/r3p2p/3p1bp1/p2P4/8/1Pn1BBP1/5P1P/6K1 w - -,e3a7
r4r1k/1pp4p/n7/p2bp1N1/4P1n1/8/PPP3B1/R4RK1 w - -,e4d5
2b1k2r/2q1bp2/p2ppnpp/4n3/1r2P2P/1NN1BPQ1/1PP1B1P1/2KR3R w k -,d1d4
1r2r1k1/pqp1bpp1/4pn1p/8/2NP4/1P3PP1/PB2Q2P/R2R2K1 b - -,b7b5
r1bq1rk1/1p3ppp/p2bpn2/8/2BN4/2P4P/PP3PP1/R1BQ1RK1 w - -,c4b3
1rbk1r2/1p1p2pp/p2Rpp2/P1P5/4P3/8/1P2BPPP/R5K1 w - -,f2f4
6B1/8/8/8/2NK4/8/2k5/8 b - -,c2b3
8/8/7k/r2NR3/3n1P2/6K1/6P1/8 b - -,a5a2
8/8/3p4/2pP4/2Pk4/1B1n4/1K6/8 w - -,b2a3
r4r2/pp1bq2k/1bp4p/3pPpp1/3N1P2/2Q1PBP1/PP5P/3R1RK1 w - -,f1f2
4k3/4pp1P/p2R4/r5p1/B2bP1P1/P1p2P2/8/3K4 b - -,a5a4
4rnk1/2qr2bp/1pb1p1p1/p1p1P1PP/P1P2PQ1/1P1p2N1/2BB3R/5RK1 w - -,c2d1
r3kbnr/pp1n4/1qp1pp1p/2Pp1bp1/3P4/2N1PNB1/PP2BPPP/R1Q1K2R b KQkq -,b6d8
