2r5/2r2kp1/7p/4P3/8/nNBR4/2P4P/2K5 w - -,e5e6
3Q2k1/5p1p/6p1/8/8/7P/4rPP1/6K1 b - -,g8g7
r3r1k1/2q1bp1p/ppbppnp1/8/P1P1P3/1PNQ4/1BB2PPP/R3R1K1 w - -,a1d1
r4r2/pp1qnpkp/2n1b1p1/2pp3P/8/2NP2P1/PPPQNPB1/R4RK1 b - -,e7f5
1r1q1nk1/4rpp1/3N2pb/pp1nP3/2pP4/P4N1P/1BQ2PP1/R3R1K1 b - -,c4c3
r1bq1rk1/pp2pp1p/5bp1/3P2Bn/2B5/1QNP4/PP3PPP/R3R1K1 w - -,c3e4
r6r/p1Np1k1p/QpqP2pb/2p1Pp2/8/P4N2/1PP2P1P/R3K1R1 w Q -,a6c4
r3rbk1/pb3ppp/1pp5/3q4/3Pp3/PQ4P1/1P1N1PBP/2RR2K1 w - -,b3e3
1R6/pp4k1/2p5/2P5/4b3/P2p2P1/1P3P1P/5K2 b - -,g7f6
r1bqk2r/pp2npp1/2npp2p/2b5/4P2B/2NB1N2/PP3PPP/R2Q1RK1 w kq -,a1c1
r5k1/pp2p1r1/2p1n1N1/4P3/2n2B2/5P2/P2R3P/4K1R1 w - -,g6e7
r7/1p3pkp/2b3p1/2bNp3/4P3/1B3P2/P5PP/3R1K2 b - -,h7h5
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq -,d8e7:g8f6:c5b6:d7d6
1b1r2k1/pp2npp1/3rp2p/1PR5/P2P4/5NP1/1B3P1P/2R3K1 w - -,g1f1
3r1rk1/p4ppp/1p2n1q1/1N1P4/2P4R/2B1P1Pb/P6P/R2Q2K1 b - -,e6g5
8/7p/5k2/PR6/1P6/r2pK2P/8/8 w - -,b5b6
8/6k1/P1R3pp/5p2/7P/r5P1/5PK1/8 b - h3,h6h5
8/3Pk2p/8/7P/8/2N5/P5K1/Q7 b - -,e7d8
2r2rk1/1p1b1pbp/pn1p1np1/3Pp3/1P2P2N/2N3P1/P2B1P1P/R1R2BK1 w - -,f2f3
r1b2rk1/pp3q1p/2pb1npP/3p1pB1/3P1N1Q/P1N2P2/1PP3P1/2KR3R b - -,b7b5
2r3k1/p3n1p1/1p5p/5P2/3Bp3/P6P/1P2P3/3R2K1 w - -,f5f6
r1r1n1k1/1p3p1p/1b1p2p1/3Pp1P1/1P5P/p1PNP2R/P1K5/3R1B2 b - -,c8c7
5bk1/5p2/p4qp1/Qp6/2r4P/1N3N2/5PP1/5RK1 b - -,f6c3
2rq1rk1/1b1nbppp/pp2p3/2p1P3/PP1p1N2/3P1N1P/1B1P1PP1/R2QR1K1 w - -,b4c5
1k1r2r1/pp3p2/2p2q1n/3p3P/3P1N2/4PpN1/PP3P2/2KQ3R b - -,c6c5
1r6/8/1p1p1bk1/3Rpp1p/5P2/P1PB2P1/1P4KP/8 w - e6,d5d6
r5k1/pp4pp/1q2b3/2ppP3/4nB2/5N1P/PPP3P1/R4QK1 w - -,f1c1
7k/7p/B2p1q2/3P4/8/4Q1P1/5P2/6K1 b - -,f6a1
2r1r1k1/1p2ppbp/p1q1P1p1/3N2P1/8/1P6/1PP1Q2P/2KRR3 b - -,f7e6
r2qr1k1/ppp1bppp/5nb1/3pP3/5B2/3B3P/PPP2PP1/R2QRNK1 b - -,f6e4
7q/1ppb1pk1/3p1n2/3Pr1p1/1PP1P1P1/2NB3Q/6R1/6K1 w - -,h3h8
6k1/1b1n1p1p/4q1p1/1p6/2pPP3/2P3P1/2B1Q2P/r1B2RK1 b - -,d7f6
rnbqkb1r/ppp1pp1p/6p1/3n4/8/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -,g2g3:e2e4:d1b3:d1c2:h2h4:d2d3:d1a4:d2d4
6k1/1p5p/p7/3b4/3B3P/2P2p2/PP2r3/1K3R2 b - -,d5e4
r6k/6p1/7p/2q5/3pr1P1/1P1R3P/P2Q4/1KN5 w - -,d2c2
rn1qkb1r/1b3ppp/p2p1n2/1p2pP2/3NP3/1BN5/PPP3PP/R1BQK2R w KQkq -,d4f3
r1bq1rk1/1pp1bppp/p1np1n2/4p3/1PB1P3/2PP1N2/P4PPP/RNBQ1RK1 w - -,c4b3
4rrk1/8/p3p1pb/1p1q1p2/2pP1PnP/P1P2QN1/1P4K1/R1B4R b - -,d5f3
1rr3k1/pp1q2p1/4bb2/4pp1p/2Pp2nP/P2P2P1/1R1NPPB1/1RBQ2K1 b - -,b7b6
5rk1/5p1p/pr1q1Pp1/3pp3/RP3P1Q/2P5/6PP/R6K w - -,f4e5
r1b1k2r/1p1nppq1/p2p4/6B1/4P1n1/1NP5/P1PQ2PP/2KR1B1R w kq -,h2h4
7k/2p1p1b1/1p1p3p/p2P1P2/2P4p/1P2PPrP/R4K2/7R w - -,f3f4
r2q1rk1/1pp2ppp/2n2n2/p1b5/2Pp2b1/3P1NP1/PPN2PBP/R1BQR1K1 w - -,h2h3
r3r1k1/pp1q1ppp/2pb1n2/3p1n2/NP6/P2PPBPP/3B1PK1/2RQ1R2 w - -,a4c5
r1bq1rk1/p3ppbp/1p1p1np1/8/3NP3/1PN1B2P/1PP2PP1/R2QR1K1 b - -,h7h6
2r1r1k1/1p1B2bp/p1b3p1/3Np3/5P1q/1P2B3/P2Q2PP/1R1R2K1 b - -,c6d7
rnb2rk1/pp2q1pp/2pbpn2/3p1p2/2PP4/1P3NP1/PB2PPBP/RNQ2RK1 b - -,b7b6:b7b5:b8d7
7k/5Qp1/1q2K1Pp/8/1P6/p7/1p6/5R2 w - -,e6e5:e6d7
8/Q2b2k1/5pp1/7p/1pN1P3/1P1K2q1/1PP5/8 w - -,d3d2
r1b1r1k1/2q2p1p/p1p2np1/1p2b3/4P1P1/3B3P/PPQBNP2/2KR3R b - -,f6d7
8/p4p2/1p1p1pk1/4p3/2P1P2p/3Q3P/P4qP1/7K w - -,d3d1
6k1/1rBB1p2/p5p1/1p1R2Pn/4r3/4b2P/PP6/1K1R4 w - -,d7c6
rnb1kb1r/pp3ppp/4pn2/2q5/8/N1P2N2/PP3PPP/R1BQKB1R b KQkq -,f8e7
rnb1k2r/pp2pp1p/3p1npQ/q1pP4/4P3/2NB4/PPP2PPP/R3K1NR b KQkq -,b8d7
rnb1k2r/pp3p2/4pp1p/q1pp4/2PP4/4P3/P2N1PPP/2RQKB1R w Kkq -,c4d5
r1bqkb1r/pp1n1ppp/2p1p3/3p4/2PPn3/1P1BPN2/P4PPP/RNBQ1RK1 b kq -,f8d6
2r5/2p3k1/3p4/2p1pPp1/6R1/1P1R4/1r4P1/6K1 w - -,g4g5
6r1/1pk2p2/p2bpp2/7p/4P3/1PP2PP1/PK2N2P/3R4 w - -,h2h4
3rbk2/1p3p2/4pQ2/4N3/p1B1q3/P1P5/1P3b1P/1K3R2 w - -,b1a2
1r4k1/3b1ppp/3q4/2Rp3r/1N1P4/P4PP1/1P1Q3P/R5K1 w - -,a1e1
5rk1/1ppb2pp/3p4/3Prp1B/p1P1n3/P1N4P/1P4PK/2Q5 w - -,c1h1
4k2r/3b1p2/p3p3/3pP2p/2qBN3/b4R1P/2PQ2P1/6K1 b k -,d5e4
5r1k/pp2b1p1/2r4p/4Pp2/3P2q1/2B2Q2/PPB4P/5R1K b - -,g4f3
r2q1rk1/1p1n1pbp/p2p2p1/2pPp3/1PPnP3/2NQB1P1/P4PBP/R4RK1 w - c6,d5c6
8/8/6kp/pr6/5KP1/1P2R2P/8/8 b - g3,b5b4
rnb1k2r/pp2bp1p/4p3/q1P2p2/8/5NN1/PPP2PPP/R2QKB1R w KQkq -,d1d2
8/7p/4kb2/p7/Pp2K3/2rN3P/2P1R3/8 w - -,e4f4
4r1k1/1b2qpbp/5np1/1B1p4/8/1N3P2/P2B1QPP/2R3K1 b - -,e8c8
1r5k/p1r1q1p1/4p2p/2p2p2/2P1nP2/1P1R2P1/PB4QP/3R2K1 b - -,b8b7
2R5/5p2/3kp1p1/p6p/Br2p3/4P1P1/5PK1/8 w - -,a4c2
5rk1/2q1bppp/1pp2n2/p1n1p1B1/P3P3/2N2Q1P/BPP2PP1/4R1K1 w - -,f3e2
r2qr2k/pp3ppB/3p3p/2p4R/6bN/4P3/PPQ2PPP/1R4K1 w - -,h5d5
rk2r3/pbp4p/1p3npb/2P1np1P/3NpN2/BP2P1P1/P4PB1/3RK2R b K -,g6g5
8/kpbqr3/6p1/2p1n1P1/3pP2R/PP1P3p/4Q3/3B1R1K b - -,e7h7
8/p4p2/4p1k1/1P2P2r/5PB1/4B2p/8/5K2 w - -,g4h5
r2qr1k1/1bbn1ppp/2p5/1p1pNN2/1PnP1P2/3Q2P1/4P1BP/1RB2RK1 b - -,d7b6
r5r1/1b3p1p/p1k1p2B/1p1q3N/4pQ2/8/PP3PPP/R4RK1 w - -,f1c1
rnb1kb1r/pp2pppp/3p4/q2P4/8/2P2N2/P3BPPP/R1BQ1RK1 b kq -,b8d7
3r2k1/5pp1/pp2pr2/2b4p/2P1BP2/1P4P1/P1R3KP/4R3 b - f3,a6a5
6r1/3N4/p4RP1/P2ppk2/1P5p/8/3K4/8 b - -,f5g5
rn1qk2r/1p3ppp/2p1p3/p3Pb2/P1B1n3/4P3/NP2QPPP/R1B2RK1 b kq -,e4c5
4r3/5p2/2k5/1p1p2P1/2n1p3/1PR3KB/6P1/8 w - -,b3c4
r2qkn1r/1b2p1bp/p1p1p1p1/3p1nN1/3P1P2/1BN1B3/PPP1Q1PP/R3K2R b KQkq -,f5d4
4r3/5R2/p6k/4P3/3p2Rp/7P/3r2P1/6K1 b - -,e8e5
r1b2k1r/p4p1n/2pBpq1p/2bp4/8/2N3Q1/PPP2PPP/R3K1NR b KQ -,c5d6
1rbqk2r/2p1nppp/p3pb2/1pN5/3P4/4P1P1/P2N1PBP/R2Q1RK1 w k -,d2e4
8/7p/pbpB4/3p2kP/3P2P1/1P3P2/5K2/8 w - -,d6e7
8/1p2P1kP/2b5/2P1KB2/8/8/8/8 w - -,e5d6
