8/k5b1/P1K5/4p1p1/4P2p/7P/8/5B2 b - -,g5g4
8/6k1/p2p2p1/P1p5/1pPqp3/4N1QP/3n2P1/7K b - -,d4a1
r4Nk1/pp1b2pp/2p5/2Ppnp2/PP1N3q/4PP2/3Q2P1/R4RK1 b - -,a8f8
2r5/7P/2p2K2/8/8/2k5/1p3P2/7R w - -,f6g7
5K2/4P3/3p4/p4R2/1pPk4/1P6/8/4r3 w - -,e7e8q
r1bq1rk1/4bppp/p2p1n2/2p1p3/PpB1P3/3P1N1P/1PP2PP1/R1BQ1RK1 b - -,c8e6
2R5/r3k1p1/4pp1p/1B1bP3/p7/6P1/1P3PP1/5K2 w - -,e5f6
r5k1/1b1q2p1/1p2p2p/7Q/PnP1p3/4P3/1P4PP/R4RK1 w - -,h5b5
r2q2k1/pp1r2bp/2np2p1/2P1p3/4Q3/4B2P/PP2BPP1/3R1RK1 w - -,e2g4
6k1/R3pp2/3b2p1/8/6P1/2r2B2/P4PK1/8 b - -,c3c2
3r2k1/pp1q1ppp/4pn2/1P3n2/P2P4/1QB3P1/7P/2R2BK1 b - -,d8c8
r2q1rk1/ppp1bppp/2bp1n2/6B1/3QP3/2N2N2/PPP2PPP/R3R1K1 b - -,h7h6
8/4k3/4p1p1/4K1Pp/5P1P/8/2bN4/8 w - -,d2f3
7k/4q3/7P/6P1/3Q4/8/4P1K1/8 b - -,h8h7
6k1/p3R1b1/6p1/3Np2p/4P3/7P/PPP3P1/2K2b2 w - -,e7g7
r2q1rk1/1b2npp1/p1p1pn1p/1pPpN3/PP1P4/1N1BP3/2Q2PPP/R4RK1 b - a3,d8c7
r1br1bk1/p3Np1n/2p2P2/q3p1Pp/1p2P2P/2NB4/PPPQ4/1K1R3R b - -,g8h8
1rbq1rk1/5pbp/p1nppnp1/P7/1p2P3/1N2N3/RPP2PPP/2BQRBK1 w - -,e3c4
2r2rk1/ppP1nppp/1n6/4P3/2B3P1/5NP1/P4P2/1R3RK1 w - -,f1c1
8/8/5pk1/p4R1p/P4K1P/1P3PP1/1r6/8 b - -,b2b3
3rrnk1/1b3qb1/1p1p1p1p/pPpP1N2/P4PP1/4B3/3Q1N2/1B1RR1K1 b - -,f8g6
r2q1r2/3b2nk/1p3pp1/3Pp3/pR2P3/PnN1Q1N1/4B1PP/1R5K w - -,b4b6
rn3rk1/ppq1ppbp/3p1np1/2pP4/4P1b1/2P2N2/PPQNBPPP/R1B2RK1 b - -,g4f3
r1bqk2r/pp2bppp/2pp1n2/4p3/P1n1P3/2NP1Q1P/1PP1NPP1/R1B1K2R w KQkq -,d3c4
r1b3k1/3q1pbp/rn1p1np1/1p1Pp3/1Pp1P1P1/P1N2Q1P/2B2P1N/R1B1R2K b - -,d7e8
8/3bk3/np5p/pNpPbppB/P1P5/1P4PP/3B1K2/8 w - -,h3h4
8/6R1/5p1p/r4k1P/4p3/5P2/5KP1/8 b - -,e4f3
6k1/2Q5/6p1/8/4Rp1P/6P1/5P2/1q4K1 w - -,g1h2
r3r1k1/1ppb1qbp/3p4/p2N1P2/2PB2p1/1P4P1/P2Q3P/4RRK1 b - -,e8e1
rq4k1/pb1nbppp/1p1Npn2/2r5/5B2/2PBPN1P/PP3PP1/R2QR1K1 b - -,b7f3
1nr2rk1/4qppp/pp6/2pPp3/1P2P1b1/4N1P1/P2Q1PBP/R1R3K1 b - -,g4d7
8/2q1kppr/p1r2n2/3NpP2/4P3/7p/2BQ2PP/3R3K b - -,f6d5
8/5p2/2P1k1p1/2R5/p2K1P2/8/5r2/8 b - -,f2d2
rn1qkb1r/pppb1p1p/3p1np1/1B1Pp3/4P3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b5d7
r2qr1k1/pp1nbppp/2p1pn2/8/1PPP1Bb1/P1N2NP1/3QBP1P/R4RK1 b - -,a8c8
r2q1rk1/p3b1pp/2b1p3/2p2p2/2P5/P4N2/1PQ2PPP/R1B2RK1 w - -,c2e2
6k1/8/3bP1B1/p2P4/8/8/P5K1/8 b - -,a5a4
2br4/1r3k1p/2p1ppp1/8/p2P4/2q2P1P/PP1R2P1/2R3BK w - -,c1c3
2r3k1/7p/p5pb/4p3/1B6/P1PK4/3p2PP/3R4 b - -,e5e4
1q3rk1/5ppp/4b3/2p5/1P3Q2/P5P1/4PPBP/5RK1 b - b3,c5b4
r5k1/1R3ppp/p3p3/1pn5/3b4/3PN2P/5PP1/4BK2 w - -,b7c7
rnbq1rk1/pp3ppp/2p2n2/2bpp3/4P3/1B1P1N2/PPP1QPPP/RNB1K2R w KQ -,e1g1
r1b2rk1/1p1nbppp/pq2pn2/6B1/2B5/P1N1PN2/1PQ2PPP/R2R2K1 w - -,a1c1
8/4k2p/6p1/3B1p2/5P2/6P1/6PK/1r6 w - -,d5f3
8/6p1/1p4k1/3NR1Pn/3P4/2P2K2/2r5/8 w - -,d5e7
6k1/p5pp/2q2p2/4p3/3pQ1P1/2r2PKP/P7/1R6 w - -,e4e2
rnk2b1r/ppp2ppp/4bn2/4p1B1/4P3/2N2N2/PPP2PPP/2KR1B1R b - -,b8d7
2B5/p1n5/P2k2p1/4p2p/1pK1P3/6P1/8/8 w - -,c4b4
8/6pk/1n1R3p/8/2rN4/3n2PP/1P1B1PK1/8 b - -,b6c8
1r5k/1p4bp/3n2p1/1p3p2/4p3/1P4P1/P3PPBP/2RR2K1 w - -,d1d6
r2q3r/1p1nbpnk/2p1p1p1/p3P3/P2PNBP1/3N4/1P1Q3P/2R2RK1 b - -,h7g8
8/4nBp1/7p/2k3P1/p3PP2/4K3/8/8 b - -,h6g5
7k/1p4p1/2p2n1p/2P2P2/1P1P1Q2/3q4/7P/4R1K1 b - -,h8h7
1rb2rk1/2qp1pbp/p1n1pnp1/2N5/1P6/P1N1B1P1/3QPPBP/2R2RK1 w - -,e3f4
2r1q3/2r2pkp/2pn1bp1/2Np4/3P4/1Q1NP2P/2R2PP1/2R3K1 w - -,c1b1
r4rk1/3R1pp1/2p1p2p/p7/2p5/P1P3P1/3RPP1P/6K1 w - -,d2d4
1r2qr1k/b1pb3p/3p1pp1/1pnPp3/p3P2N/P1P1NQ2/1PB2PPP/3RR2K b - -,f6f5
r4q2/ppp3kp/3p2p1/4P2n/4p2P/2N5/PPP3P1/2K2RNR w - -,f1f8
5rk1/1pq3p1/3p3p/6b1/3B4/1R2P2P/P3Q1P1/6K1 w - -,e2b2
1r2k2r/1q2b3/3pp1p1/2n1p1P1/p3P1Qp/2N4P/NPP2P2/K2R1R2 w k -,d1b1
r2q1rk1/p1n2ppp/3b1n2/2pp1N2/8/2N1P3/PPQ2PPP/R1BR2K1 b - -,d6e5
4b3/B1r3pk/8/R6p/1p6/1Pb2P2/P1R3PP/6K1 b - -,c7a7
r1bqk2r/pp1n2pp/2pbp3/3p1p2/2PPn3/1P3NP1/PB1NPPBP/R2QK2R w KQkq f6,d1c1
8/6pk/7p/8/1p6/1P2RN1P/5PPK/1r6 b - -,b1b2
2rq1rk1/pp2p1bp/n2p2p1/1N1Pnp2/1PP5/1Q2BB2/P4PPP/2R1R1K1 w - -,f3e2
2r5/1p1R4/p7/5pk1/6p1/1PrK2P1/P4R2/8 w - -,d3d4
r1b3k1/pp1n1r1p/2n1p1p1/q2p2B1/3N4/P1PB4/2PQ1PPP/R4RK1 b - -,d7e5
r1b1r1k1/2q2pbp/pn1p1np1/2pPp1B1/1pP1P3/1P4NP/P1BQ1PPN/4RRK1 b - -,h7h5
1rbq1rk1/p1p2pbp/2pp2p1/2P5/4P3/1PN1Q1P1/P4PBP/R4RK1 b - -,d8e7
r3kb1r/1p1b1ppp/p1nq4/4pP2/3pN3/P2BB3/1P2Q1PP/3R1RK1 b kq -,d6c7
1rbr2k1/pp3pbp/6p1/4pnB1/2P5/1P4PP/P3NPB1/R4RK1 b - -,f7f6
r2qk2r/ppp2ppp/2nbp3/1B3b2/3P4/2P1PN2/P4PPP/R1BQK2R w KQkq -,d1e2
r2qr3/pp1bn2k/5B2/1P1p1PQ1/7p/3pP3/P4RPP/5R1K b - -,e7f5
8/6p1/5pk1/4n3/3R1K1P/6P1/8/8 b - -,g6h6
r2qkbnr/3bpppp/p1np4/1pp5/B3P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq b6,a4c2
r1b2rk1/pp3pbp/2p3p1/4p1q1/1PP1Pn2/P3N3/1BQ2PPP/R2R1B1K b - -,f4e6
2k5/pp2rp2/2p2rp1/P1N4p/3p3P/3R1BP1/5K2/8 b - -,b7b6
r7/P4k2/5p2/R2p1p2/3P1K2/8/5P2/8 w - -,f4f5
1r2r1k1/1bq2ppp/8/1p1n4/1P1PN3/2PQ1B2/P3N2b/R4K1R b - -,f7f5
8/2Q4p/6p1/3rkp2/1P1np2P/8/5PP1/7K b - -,d5d6
1Q6/6pk/8/3q1p1P/8/5p1P/5P2/6K1 b - -,d5e4
2br2k1/4b1pp/pPB1p3/4Pp1P/8/4B1P1/5P2/R5K1 b - -,c8d7
8/5k2/1p2p1p1/pPn3Bp/3qP3/1P3PQ1/P5PP/3r1BK1 w - -,g3f2
