8/5p1p/p5p1/2pBk3/6b1/1P1K2P1/7P/8 w - -,d5b7
r4rk1/pp1n1q2/4p1p1/2pbP1Bp/5P2/3B3P/PP2Q1P1/R3K1R1 b Q -,c5c4
2rq1rk1/1b2ppbp/np1n2p1/p1pp4/P2P4/1PP1PN2/1BQNBPPP/R2R2K1 w - -,d4c5
8/5k2/5B2/8/2K2b2/5R2/P7/3r4 b - -,f7f6
8/8/3kp3/5p2/1b3P2/R4K2/8/8 w - -,a3a4
r4r2/2pq2kp/1p1p2pb/p2Pp3/2P1N3/PPQ2PP1/2R2RKP/8 b - -,g7g8
4r1k1/1B2Rppp/p7/1b6/8/1P4P1/P3nP1P/3R3K b - -,e8e7
4r1k1/r1Qn1ppp/bp6/p1p5/3Pp3/1PB3P1/P3PPBP/R3R1K1 b - -,a7c7
rnb2rk1/pp2q1bp/2p2np1/4pp2/1PP5/2N2NP1/PB2PPBP/R2Q1RK1 w - -,d1b3
rn1qk1nr/pp3ppp/2p1b3/8/PbpP4/2N2N2/1P1B1PPP/R2QKB1R b KQkq -,g8f6
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2NPB1PN/PPP2PBP/R2QK2R b KQkq -,h7h5
8/1p3k2/p1pq1r2/2n1p2Q/PP5P/3P2P1/4RP2/6K1 b - -,f7g8
3r4/4b3/4kpp1/p6p/5P2/2P2K2/P2B4/7R w - -,h1e1
5rk1/pp1b3p/3p4/2pP1qpP/8/2P2Q2/P4P2/4RNK1 w - -,f3f5
r4rk1/p1p2ppp/1pQ1pn2/2P1P1B1/2q5/5N2/P1P2PPP/R3KR2 b Q -,c4c3
8/Br3p2/4p3/4Pk2/1P4pp/2P1R3/5PK1/8 w - -,a7c5
1k2r3/1p3p2/1qp1p3/p2rPPp1/2RPQnPb/PB3R2/KP1B4/8 w - -,c4a4
3rrbk1/p1qn1ppp/Qpnpp3/2p5/P2P4/2P1PNBP/1P1N1PP1/1R1R2K1 b - -,d7b8
b4bk1/3q2pp/pr6/3p2P1/1PnN1N2/2P2QB1/7P/R6K w - -,f4d3
rnb1k2r/pp2p2p/5pp1/8/8/2P1B1P1/P3PP1P/2KR1B1R b - -,c8e6
1n1rn3/r4pk1/2p3pp/Np2q3/1P1pP3/3P4/PQ3RPP/3B1RK1 w - -,d1b3
r1bqk2r/pp3ppp/2nb1n2/1N1pp3/8/1PP1P3/PB2BPPP/RN1Q1RK1 b kq -,d6b8
8/4k3/1p1b2p1/p2p1pPp/P2P3P/1P2KP2/8/4N3 b - -,f5f4
r1bqr1k1/ppp2ppp/2np4/8/4nN2/2P5/PPP1BPPP/R1BQ1RK1 w - -,c1e3
6k1/3b1r2/p2q4/8/3NQpp1/3P4/PP4P1/4R1K1 b - -,g4g3
r4rk1/1p1n1qbp/2Pp4/p1nN1p2/2P1p3/Q3BBP1/PP1R1P1P/R5K1 w - -,c6d7
8/1R3p1p/4k1p1/3n4/3B2PP/4PP2/3r4/5K2 w - -,g4g5
r4rk1/ppq1n1bp/3pP1p1/1Pp1p3/2P1Pp2/5PP1/P3B2P/R1BQ1RK1 w - -,f1f2
r1bqk2r/p3npbp/2ppp1p1/8/2B1P3/2N2Q2/PPP2PPP/R1B2RK1 w kq -,c1g5
r1b1kb1r/1p3ppp/pqnppn2/8/4P1P1/1NN2Q2/PPP2P1P/R1B1KB1R w KQkq -,g4g5
r1r3k1/pp1bppbp/3p1np1/q3n2P/3NP3/1BN1BP2/PPPQ2P1/2KR3R b - -,c8c3
r4rk1/1p2qppp/2p5/3p1b2/PpnP4/4PBN1/5PP1/R1RQ2K1 b - -,f5g6
1r1r1q1k/p2n1p2/2p2npp/P1b1p3/2B1P3/1P2NQ1P/1B3PP1/R2R2K1 b - -,h8g7
r3kb1r/1b1n1ppp/pq2pn2/1pp5/P7/2N2NP1/1PQPPPBP/R1B2RK1 w kq -,d2d3
8/p2n2pp/2N1p3/4Ppk1/P7/1r3PP1/2R4P/6K1 w - -,c6d4
1r4k1/5p2/3p2p1/2bP1qPp/2P2p1P/4rP2/1PRQ2K1/R3N3 w - -,d2d1
2r1r1k1/ppqn1pp1/2p2n1p/P1P1p3/1PN1P3/2Q2BPP/5P2/R3R1K1 b - -,e8f8
rq3r2/1p3pk1/2p1p1p1/p4n1p/PnNP1Q1P/1P2P1P1/5P2/1RR2BK1 w - -,f4f3
r5k1/p4qnp/1p1R4/2p2pP1/2P1r3/1P3QB1/P6P/3R3K w - -,g3e5
r1b2rk1/ppp1q1bp/3p4/2nPpp1n/2P5/2NB1P1N/PP1Q1BPP/2KR3R w - -,f2c5
4r1k1/ppp1rpp1/1n1p3p/3P4/1P1RPBb1/2N5/P4KPP/4R3 w - -,e1c1
1r3rk1/pb1nb1pp/4p3/1B3p2/P1q1p3/2N5/1PP2PPP/R1B1R1K1 w - -,b5c4
3r1rk1/p3q1pp/1p2p3/2pBP3/5P2/1P4P1/P6P/R1QR2K1 b - -,e6d5
6k1/5p2/6pp/p3R3/6b1/6K1/P3pN1P/5r2 b - -,f1g1
1r1qr1k1/1b1n1pbp/3pp1p1/p1p5/1pP1PP1N/PP1PB1PP/4Q1B1/3R1RK1 w - a6,e3c1
7r/p1qk1p1p/3pb1pB/1r2b3/1P6/2pP2PP/3Q2B1/R4RK1 w - -,d2e3
r1bqk2r/1pp1npb1/3p2p1/p2Pp1Bp/7P/P2P2P1/1P2PPB1/1R1QK1NR b Kkq -,e8g8
rnb2rk1/1p2b1p1/p1qpNn2/6p1/4P3/2N4Q/P1PBB2P/1R2K2R w K -,h1f1
5rk1/pp1rbp1b/2n1p2p/2p1P3/5q2/2P2N1P/PP2Q1BN/R3R1K1 b - -,f8d8
2r3k1/R2R1pp1/4p2p/8/8/4P2P/2r2PP1/6K1 b - -,c8f8
8/7p/p2pNkn1/1p1P4/2p1K3/8/1P6/8 b - -,h7h5
8/1p1b1pkp/p5p1/P2pr3/3N4/2P2P2/1P3KPP/3R4 b - -,g7f6
2r2r2/1p2kp2/pq3p2/2b1pP2/3p3Q/P2B4/1PP1KPPP/1R5R w - -,h4e4
Q1nqr3/2p2k1p/1pP1p1p1/1N1p3n/1P1b4/5PPB/5P1P/4R1K1 w - -,b5d4
2rr2k1/4bppp/p4q2/P1pP4/1p6/1P1Q2P1/5PBP/2RR2K1 b - -,f6d6
8/5B2/7p/2k1p3/2p1P1P1/1p4P1/7r/1KN5 w - -,f7d5
r1bqrnk1/pp3ppp/2pb1p2/8/2PP4/1P3N2/P3BPPP/R1BQ1RK1 w - -,c1b2
2bq1r2/R5bk/3p1n1p/1Bp1pPpP/8/5NN1/1PQ2PP1/6K1 w - c6,b5d3
8/p3b3/1p3pb1/8/2knpPP1/P2pB3/1P4KP/2NR4 b - -,f6f5
rn2k2r/pp2qppp/2pb1p2/8/3PQ3/2N5/PPP2PPP/R3K1NR w KQkq -,e4e7
1r1br1k1/1ppb1p1p/p2p2p1/3P4/8/1P3BP1/PB2PP1P/2R1R1K1 w - -,c1c2
4r2k/6p1/R3pp1p/N2q4/3P4/7n/4QP2/5K2 w - -,e2e3
2rr2k1/pp1nppbp/nq4p1/1N2N3/P1bP1B2/1P6/5PPP/R2QR1K1 w - -,e5c4
r2r2k1/pp3pp1/n1pPpb2/q1n5/2P2pPP/P3B3/NPQ1B3/1K1R3R w - -,e3f4
8/1p4r1/p7/3PQ1nk/2N3r1/1PK1R1B1/8/7q w - -,c3b4
2q5/7n/p4pk1/1p1p4/1P4PB/P2P1Q2/6K1/8 w - -,f3e2
r3rbk1/3b1pp1/1q1p1n1p/p7/PpBNP3/1P1Q3P/3B1PP1/R3R1K1 w - -,d2f4
r4rk1/pp3bpp/2nqpn2/3p4/3P4/3B1NN1/PP3PPP/R2QR1K1 w - -,d3b5
R3br2/1Bp3k1/pb1p4/6np/7R/2P2P2/PP6/5N1K w - -,f3f4
r2B1bk1/5p2/6pp/p1p5/Ppn5/1R3NP1/1P3PKP/R7 b - -,a8d8
4r3/2p5/1p4pk/4b3/1P6/2P1p2P/1BBpK3/3R4 w - -,d1f1
8/5pk1/5p1p/8/4PPPK/4R2P/8/6r1 b - -,g1f1
r2qk2r/pp1b1ppp/2n5/3p2B1/1b2n3/2N2N2/PP1QPPPP/R3KB1R w KQkq -,g5d8
rnbq1rk1/p4ppp/4pn2/2pp4/PB1P4/5NP1/1P2PPBP/RN1Q1RK1 b - -,c5b4
1r5k/1q2p1Rp/p4r1P/2p1Qp2/2BpbP2/PP6/2P3P1/2KR4 b - -,b8e8
r4rk1/1ppb1npp/8/pPQ5/P4P2/6qP/1B3RB1/4RK2 b - -,a8e8
1k1r2r1/1b2bp1p/pq1ppp2/2n5/3NPPP1/2Q1RBN1/PP5P/1K1R4 b - -,d8c8
r6k/2qn1ppp/b1N2n2/2P1pN2/1Q6/6P1/4PPBP/3R2K1 b - -,a6b7
r2qkb1r/pb3ppp/1pp1pn2/1Bn5/4P3/2P2N2/PPQN1PPP/R1B1K2R w KQkq -,b5e2
3rB3/1pr2pk1/3b2pp/p1pP2P1/P3Rp1P/2P2P2/1P6/2K1R3 b - -,h6g5
3nN3/8/1p5r/p1pBp3/2P3pk/P2PP3/1P4K1/8 w - -,d5e4
1r4k1/7p/3q2p1/8/1p1p4/1P1NR3/K5P1/3q1R2 w - -,f1d1
r1bqk2r/pp2n1bp/2n2pp1/4p3/2Pp1B2/N2P1NP1/PP3PBP/R2QR1K1 w kq -,f4d2
r3rbkq/5p2/2p1b1p1/1pP1p1p1/1PN1P1P1/5PP1/2QR1K2/3R1B2 w - b6,c4a5
