8/8/4kp2/1R2p3/8/r4PK1/8/8 w - -,b5b6
6k1/4r1b1/p3n2p/2PRp1p1/5p2/P1N4P/5PP1/2B3K1 b - -,e7c7
2rqk1nr/1b2ppbp/p1np2p1/1pp5/4P3/2PP1NP1/PP1NQPBP/R1BR2K1 b k -,g8f6
1rr3k1/3n1pp1/pB1b4/Pq2p2p/R3P3/2pN2PP/4Q1K1/2N2R2 w - -,e2f2
2rq1rk1/p2np1bp/3p2p1/3P1p2/Np2P3/1P1Q3P/P2B1PP1/2R2RK1 w - f6,d2b4
8/1pQ5/6q1/kP6/p1P4p/P6P/4Kp2/8 b - -,g6b6
8/pQ4p1/5nkp/2q5/8/5B1P/5PP1/6K1 w - -,f3e4
3r3k/p5p1/1p2q2p/1Q3p2/P1rPp3/2P1RP2/6PP/3R2K1 b - -,d8c8
r4rk1/1b2bpp1/pq1ppn1p/1p6/2n1P1PP/PNNR4/1PP1QPB1/2B1R1K1 b - -,f6h7
1r6/1P3p1k/1RQp2p1/3P3p/8/1K5P/3q4/8 b - -,d2d1
r2qkb1r/pp2pppp/2n2n2/3b4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1e3
r2q1rk1/1p1nbppp/p1p1pn2/3p4/2PPP3/P1NQ1N2/1P3PPP/R1B2RK1 w - -,c1f4
1k6/ppp1r1pp/2np1pb1/5q2/8/1PP2P1P/PKPQ1BP1/3R1B2 w - -,d2c1
r2q1rk1/1ppbbpp1/p1np1n1p/4p3/B2PP2B/2P2N2/PP3PPP/RN1QR1K1 b - -,a8c8
6k1/3pbp1p/2np1np1/2p5/1r2P3/rPN1BP2/P2NK1PP/R2R4 b - -,a3a6
r2qk2r/ppp2pp1/1bn1bn1p/3pp3/4P3/1BNPBN1P/PPPQ1PP1/R3K2R w KQkq -,e4d5
2br1rk1/pp2q1bp/2pp2p1/5p2/2P1n1n1/1PN1PNP1/PBQ2PBP/2R2RK1 b - -,g4f6
8/3k3p/4npp1/3p4/2bP4/B3K2P/6P1/3N4 b - -,h7h5
7Q/1b3k2/1p2p3/pB1pP3/P2q3P/8/1P6/5K2 w - -,h8f6
1r4k1/6p1/3P4/7R/2PnN2P/8/Pp4P1/1K6 w - -,d6d7
1Q1nkb1r/1ppb1p2/3p2qp/1p1Pp1p1/4P3/2P5/PP1NNPPP/R4RK1 b k -,c7c5
8/3b2k1/5p1p/6p1/5P2/4PBPP/6K1/8 w - -,f3g4
r4r1k/pp1b1q1p/2p1p1pb/2Pp4/1PnPP3/1Q3NP1/P3R1BP/R3B1K1 w - -,f3d2
6k1/3N3p/p1p1pp2/2Pn4/P5P1/4PP2/4K2P/8 w - -,e2d2
r4rk1/2q2ppp/2p1p3/4b3/2Q3P1/2P1B2P/P1P2P2/1R1R2K1 w - -,e3b6
8/5p2/4bk2/2R5/5P2/3RK3/8/1r6 w - -,e3f2
8/2p4p/r5p1/P7/R1pk4/5P2/3K2PP/8 b - -,g6g5
r1b1k2r/1pp1qpp1/3p2n1/p6p/2P5/P3P1BP/1P1QBPP1/R3K2R w KQkq a6,d2d4
8/p4pk1/4ppp1/Nr1n4/8/RP5P/5PP1/6K1 b - -,d5b4
5rk1/2p3p1/p1n4p/2P2pq1/7r/P4P2/6QP/3RR1NK w - -,g2a2
8/5k2/5P2/4RK2/5P2/8/8/r7 w - -,e5e7
5rk1/R4ppp/8/1p4q1/8/2PQ4/1P5r/1K1R4 b - -,g5g2
r3b3/p4q1k/1p2p2p/3pPn2/2pP1PQP/P1P5/1RP4K/6R1 w - -,b2b1
2kr1bb1/1pq3p1/5pN1/p1pn1P1p/2Np3Q/PP1P4/1BP3PP/1K2R3 b - -,b7b5
8/8/5K2/5p2/R5rk/4P2p/8/8 w - -,a4a1
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/P3PN2/1P2BPPP/RNBQK2R w KQkq -,e1g1
2q2bk1/7p/p3p1p1/1p1p1p2/3P1P2/P1PQP1P1/7P/1N1K4 b - -,f8d6
r3k2r/ppq1bpp1/4pn1p/7P/2Pp4/5N2/PP1BQPP1/2KR3R w kq -,f3d4
2r5/1R2kpp1/2P4p/2p5/8/6P1/P4P1P/5K2 b - -,e7e6
8/1r6/3K4/8/3kb3/8/8/4R3 b - -,b7b6
8/8/2B5/p1pn4/P3k3/2p5/1PK5/8 w - -,b2c3
8/5p2/pR1Brb2/1p2pNpk/3nP3/P7/1P3PP1/6K1 b - -,a6a5
4r3/p1R5/5k1p/1P6/3p2p1/P2BpbP1/5P1P/4K3 b - -,e3f2
8/8/2k5/6R1/1p2n2r/1K6/8/8 w - -,g5f5
7R/3k3P/4pp2/p3b3/4P3/1p6/1P1BKP2/7r b - -,e5b2
4rrk1/ppnq3p/2Pp3b/5pNn/2P5/1P4P1/PB1Q1PB1/R3R1K1 b - -,b7c6
1r1b1rk1/5ppp/3R4/4p3/1p2P2P/2P5/1P2BPP1/4K2R b K -,b4c3
2k5/3b1R2/6p1/p3P3/4PP2/rB6/P4K2/8 b - -,a5a4
r1bq1rk1/ppp1bppp/4pn2/3pN3/2PP4/2NBP3/PP3PPP/R2QK2R w KQ -,c4c5
5rk1/3rnpp1/7p/p2p3Q/P1qN4/4R1P1/5P1P/3R2K1 w - -,h5h4
r4rk1/pb3ppp/1p6/4q3/8/P7/1P2QPPP/R3KB1R b KQ -,e5f6
7r/8/P2k1b2/8/8/4QNP1/5PK1/q4B2 w - -,e3b6
2k1b2r/pp4p1/2p1pq2/3r3p/5b2/BRP2P2/P2NQ1Bp/5R1K w - -,d2e4
8/pR2P1pk/7p/2pn4/3P4/5N1P/4r1P1/6K1 w - -,d4c5
6k1/1p3p2/2p4p/2b1P1p1/2P2P2/1P4PP/6K1/3B4 b - f3,g5f4
5r1k/7p/4p1p1/1R6/1P1b4/6P1/3B1P1P/6K1 w - -,d2f4
8/p4R2/8/8/PPrpk2p/7P/3K4/8 b - -,c4b4
8/6pk/4p3/1q4p1/p7/7P/P2R1PP1/4RK2 w - -,f1g1
r2qbrk1/4bppp/p3pn2/1p1pN3/2nP4/2NBP3/PP2QPPP/2RRB1K1 w - -,f2f4
r3r1k1/6pp/2n1PB2/q7/p1p5/2P4P/4BPP1/R2Q1RK1 b - -,g7f6
1kr2br1/1pqb1p1p/p2ppp2/P3n3/3QP3/1NN5/1PP1BPPP/R4R1K b - -,f8e7
r3r1k1/1pqn1pp1/p2b1n1p/3p1Q2/2pP3B/2P2N2/PP1N1PPP/R3R1K1 w - -,h4g3
rnbqk2r/pp2bppp/4pn2/2p1N3/8/1P1B4/PBPP1PPP/RN1QK2R b KQkq -,d8c7
7r/4kp2/rp2p1p1/3p4/3P2PP/2P1K3/1R3P2/7R w - -,b2b3
8/p7/3N4/2N4p/3p1k2/7P/P1B1bbP1/5n1K b - -,f4e3
8/3R4/4p1k1/4P3/5P2/4K3/8/5r2 b - -,f1e1
4r1k1/1rq2pbp/b1pp2p1/p1n5/P3PB2/2PP1NNP/2Q3P1/3RR2K b - -,e8b8
4nk2/1rpR4/N4p2/1P5p/1KP1P1P1/6P1/7P/8 b - -,h5g4
r1bqr1k1/p4pb1/1pnp1npp/2p1p3/4P3/2PPNNP1/PP3PBP/R1BQR1K1 w - -,c1d2
8/8/5k2/p4rp1/Pp6/1P1K4/2P5/4R3 w - -,e1g1
8/8/5p2/5k2/3R4/r4K2/4PP2/8 w - -,e2e3
8/5p2/3Bk2p/1RPp1bp1/r7/2K2P2/r4PPP/5B1R b - -,d5d4
3r1k2/3rppb1/p1n1b1p1/q2NP3/1P3P2/2N2BP1/1P1R1Q2/1K1R4 b - -,c6b4
rnbqkb1r/pp3ppp/5n2/3pp3/8/5NP1/PPP1PPBP/RNBQ1RK1 b kq -,b8c6
1r3r2/2k1np2/4p1pq/pp1pP2p/b1pP1P2/P1P3PB/1NPQ3P/1R3RK1 b - -,f8h8
r3r1k1/pp2q1pp/2p2p2/3p4/3P4/P1Q1P1PP/1P3P2/2R2RK1 b - -,e7d7
1k2r3/1p4Rp/p1bb3r/3n1p2/1PBB4/P3PP1P/5K2/1NR5 w - -,c4f1
2rr2k1/2q2ppp/p7/1p2p3/3bNn2/P4P2/1PP2BPP/R3QRK1 w - -,f2d4
4k3/1p1b1p1p/p4P2/3n3P/8/3BQ3/PP6/2K5 b - -,d5e3
rnb2knr/pp3ppp/4p3/2ppP3/q2P2Q1/P1P5/2PB1PPP/R3KBNR w KQ -,g4d1:g1f3:a1c1:a1a2
5k2/4p3/5p2/1n3P2/2R5/1r2NK2/4P3/8 w - -,f3f2
8/8/5k1p/1R3r1P/1p6/6K1/5P2/8 w - -,b5b4
6k1/N4p1p/4p3/1P1n2p1/6P1/5PKP/5R2/1r6 w - -,f2c2
4r3/1p1rP1kp/p2PRbp1/2p5/P1B3P1/1P3K2/8/5R2 w - -,f3e4
r1b1kb1r/1pqn1ppp/p2p1n2/2p1p3/4P3/2P2N2/PP1P1PPP/RNBQRBK1 w kq e6,d2d4
