8/8/rp2k2p/1R3ppP/pPP5/P4K2/5P2/8 b - -,e6f6
r5k1/p4ppp/2p4r/3PP1q1/Nb6/3B3P/P1Q2PK1/R4R2 w - -,g2h2
8/3k3q/1pp1p3/p3P3/P1PP4/1P6/1K1Q4/8 b - -,h7e4
r3k2r/5pb1/1RpB2p1/6qp/2n1PNb1/8/P1B3PP/1Q3RK1 w kq -,b6b8
5k2/2R5/1r3p2/4p2K/4P1P1/5P2/8/8 w - -,h5g6
r1bk4/4n1pp/1p6/p2p4/3P2p1/P1R1PP2/1P1NBK2/8 w - -,f3g4
3bk3/p2q3p/Qp2p1p1/1n1p1p2/3P1B1P/4PPP1/7K/2R5 b - -,e8f7
8/prr2kb1/4npp1/1p1Rp2p/4P3/PPP2K1P/1B3NP1/3R4 b - -,e6c5:e6f4
8/1pk1Bp2/p4Ppb/3R4/6P1/1r2PR2/2rPK3/8 b - -,b3b5
8/8/7K/4q3/3k4/6p1/3Q4/8 b - -,d4c4
2r2rk1/pb2bppp/1pnqpn2/3p4/2PP4/PP1B1N2/1B1N1PPP/2RQR1K1 b - -,d6f4
5r1k/1p2b2p/1nb1n1p1/3pPp2/p2P1P2/3BBNNq/PP3QRP/7K w - -,b2b3
6k1/3b1pp1/p6p/4p3/pP2q3/2Q4P/5PP1/5BK1 b - -,e4b1
2r1k2r/1R3pp1/2b1p2p/p2pP3/2nP1P1P/2P2NN1/6P1/5RK1 w k -,b7a7
3r2k1/1p2b1pp/1Q6/2P1p3/5pPP/1P6/P2q1BP1/R5K1 b - -,d2d5
7k/6b1/3R3p/4P1p1/4r3/5N1P/5PP1/6K1 w - -,e5e6
r1r5/1b1q1kpp/p3pb2/N2p3P/1pQ1P3/4BP2/1PP5/1K1R3R w - -,c4d3
2k5/ppqn1pp1/2p1p2p/4P2P/2P2P2/3Q2P1/PP6/2KR4 b - f3,c7d8
2rr2k1/pb3p1p/1pn1p1p1/3P4/2P3qN/PN4P1/1R2nP1P/3Q1RK1 w - -,d1e2
8/P1n2k1p/8/4p3/2N5/1K4P1/1P5P/8 b - -,f7e6
3r4/p1R4p/4k1p1/1p3p2/3bp3/1P2P1P1/P4P1P/5K2 w - -,e3d4
r5k1/5pp1/4q2p/3pP3/2pP4/1pP2QP1/1P2R1KP/8 w - -,e2f2
4r1k1/5ppp/2qBbn2/p2p4/2pP2P1/2P2BN1/P2Q1PP1/1R4K1 b - -,c6d6
r5k1/1p2n1pp/p1p1qr2/3n4/1P1Ppp2/P5P1/1B2PPBP/1Q2RRK1 b - -,e4e3
8/5p2/6k1/1p5p/5R1p/2r5/5KP1/8 w - -,f4h4
8/8/3p2p1/2rPk2p/1K5P/6P1/P2R1P2/8 w - -,a2a4
4r1k1/pp3p1p/6p1/6q1/1QP5/4PK2/PPN4P/3r1B1R b - -,g5f5
2R5/8/1p4r1/p2kp1p1/8/P3KP1P/1P4P1/8 b - -,g6g7
rn1qk2r/1b3ppp/p3pn2/1pb5/1P6/P2BPN2/5PPP/RNBQ1RK1 b kq b3,c5e7:c5d6
3R4/p3qkpp/1p2r3/1Pn1pp2/P6Q/4P2P/5PP1/3R2K1 w - -,h4h7
r4rk1/p1n1ppbp/1p4p1/8/P1PP4/5N1P/3BKPP1/RR6 b - -,c7e6
4r3/4bkpp/5n2/p1p2R2/r1PN4/3P4/P5PP/2B2RK1 w - -,d4c6
2B5/8/6p1/4Kpkp/8/5P2/8/8 w - h6,c8a6
r1N2rk1/pp3pp1/4p2p/4P3/1b1P4/3R2PN/PP5P/2K2R2 b - -,a8c8
4r1k1/pb3qp1/1pp1nb1p/5P2/8/1Q4P1/PP4BP/3R1R1K w - -,f5e6
1r4k1/1p1b1rpp/p3pbn1/1Pq2p2/2Pp1P2/P2B2P1/NB1P2QP/2R2RK1 w - -,g2f2
2r3k1/1bB3p1/1p4rp/1B2Rn2/pR1pNp2/P7/1P3P1P/5K2 w - -,b4c4
2r2rk1/pb1nbpp1/1p2p2p/3qP3/3P4/P2B1N2/1B3PPP/R2QR1K1 b - -,c8c7
8/6k1/4P2p/3p4/b1qn1P2/2N4P/3Q2BK/8 b - -,d4e6
rnbk1b1r/ppN1pp1p/8/1q3p2/3p4/8/PPP1PPPP/R3KBNR w KQ -,c7b5
8/8/3k4/P3R1P1/6K1/8/8/r7 w - -,e5f5
3rk1r1/pp1q1p2/2b1p3/4Pn2/5PP1/P1pB4/2P2Q1P/1RB1K1R1 b - -,f5d4
8/8/3k2P1/r7/7K/8/4R1P1/8 b - -,a5b5
rn1qkb1r/ppp2ppp/4pn2/3p4/2P3b1/1P2PN2/PB1P1PPP/RN1QKB1R b KQkq c3,f8d6
8/1pp1k3/4p1p1/p1p1P3/2P2PKP/1P6/P2R4/4r3 w - -,d2g2
3r1b1r/1pk2ppp/p1n5/3bp1P1/8/1N2B3/PPP2P1P/2KR1BR1 w - -,f1h3
br4k1/2r1q1p1/p2R3p/2p1Np2/2N5/1PQ2P1P/PB4P1/6K1 b - -,c7a7
8/1p6/p5p1/2pk1p1p/5P1P/1P1K2P1/P7/8 b - -,b7b5
8/pp4p1/6kp/3n1p2/1P2qP2/P3p1BP/7K/5Q2 w - -,h3h4
2rq1rk1/5ppp/1nBb4/p7/PppPQ3/4B1P1/1P3P1P/R2R2K1 b - -,d8c7
2r4k/1r2p3/1pnp1p1q/p1nN3p/P1P1PPp1/1P2Q3/4N1PP/1R1R3K w - -,e2c3
2r5/3n1k2/3p1p1r/pR6/2pPPN1P/P5PK/1P6/5R2 b - -,c4c3
4r2k/1p2P1b1/p6p/2PpNqp1/P7/6Q1/4R2P/4R2K w - -,e2f2
8/R7/p3r1p1/1p1N3k/2n2P2/P4K2/8/8 b - -,c4d2
8/p6k/1p2R1p1/4R3/2P3P1/1P1r2rP/P4K2/8 b - -,g3h3
1r1q1rk1/pp2bppp/3p1n2/P1p1n3/4P1b1/1BN2N2/1PP1QPPP/R1B2RK1 w - -,c1f4
6k1/1p2rnp1/p2pr3/2pQ4/4P3/2P1R2P/PP4PK/8 b - -,e6e5
3rr1k1/pp4bp/b1pR2p1/q7/8/1PN1pPP1/PBQ1P2P/R5K1 w - -,a1d1
2R1r1k1/3p1ppp/1Nbb4/8/3B1P2/1P1rP3/P5PP/R6K b - -,e8c8
1k2r3/pb2rp2/5q1p/2p1p3/2P2P2/1N4P1/P1Q5/2KRR3 w - -,b3c5
r2q1rk1/p1p3pp/1bp2p2/3pP3/2P3b1/1N1Q4/PP3PPP/R1B2RK1 b - c3,a7a5
r4rk1/5ppp/pbn1pn2/8/8/1N2PN2/1P1B1PPP/R2R2K1 b - -,a8b8
6k1/1r2r3/3q1pPQ/1pp5/3p4/BP1R4/2P2PP1/6K1 w - -,d3g3
r2qk2r/1b2bppp/p1np4/1p1pP3/3P4/P4N2/1P2QPPP/RNB2RK1 w kq -,e5e6
r4rk1/ppnnppbp/1q1p2p1/2pP4/2P1PP2/P1N2Q1P/1PB3P1/1RB2RK1 b - -,a7a6
r4rk1/pppqb3/5p1p/1P1PpPp1/3p4/3P2PP/P4PBK/R2Q1R2 w - -,d1h5
8/8/4k3/2n3RN/3K3P/6P1/2r5/6n1 w - -,h5f4
4Q3/1bq2ppk/7p/p1p5/8/1P2PN1P/P4PP1/6K1 w - -,f3e5
rq2k2r/4b3/p1bppp2/1p2n1p1/P2QP3/2N3B1/1PP1B1PP/1K1R1R2 w kq -,a4a5
1k6/pp2r3/2p1B1p1/4b2p/6P1/1q1n4/1P1Q1P2/2K1R3 w - -,c1b1
4r3/3RPp1k/6p1/pp4Pp/8/6P1/PP3P2/6K1 w - a6,g1g2
r2q1rk1/4b1pp/p1ppQ3/8/8/8/PPP2PPP/R1B1R1K1 b - -,f8f7
rn2k2r/p4pp1/4p1n1/2ppP1Qp/6qP/P1PP1N2/3B1PP1/R4RK1 b kq -,b8d7
2r3k1/pp3ppp/2R1p3/3q4/3PpB2/bP2P2P/P3QPP1/2R3K1 b - -,c8c6
r1bqkb1r/pppp1ppp/2N2n2/8/4P3/8/PPP2PPP/RNBQKB1R b KQkq -,b7c6
2kr4/p2r2pp/1p2bp2/3nP3/8/2P1B1P1/PP3K1P/2N1R2R b - -,f6e5
8/1brr1pkp/p5p1/2p1p3/2P1P3/PR1P2PB/7P/1R4K1 b - -,d7e7
8/p1r5/R4p2/4pk2/1P4pP/P3K1P1/8/8 w - -,a6d6
q3rb2/1bp2ppk/5n1p/1pnppN2/4P2N/1BPP2Q1/1P3PPP/2B1R1K1 w - -,b3c2
3r4/1k2bp2/4p1p1/1p1nP1P1/3P4/3K1N2/3B1P2/R7 w - -,f3h2
8/4pk1p/5pp1/2B5/6P1/5P2/3nPK1P/8 b - -,e7e5
r5r1/1p5k/2p1p3/p1Pp3b/3PpP2/1P5P/P2B1b1K/1NR3R1 w - -,g1g5
r3k2r/pppbqnb1/3ppn1p/1P3pp1/P1BP4/2P1PN1P/2QN1PPB/R4RK1 b kq a3,e8g8
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PP4/PPNBPN2/2Q2PPP/R1B2RK1 b - -,a8c8
