8/1p6/k1pK4/p7/P1Pq4/1P6/2Q5/8 w - -,d6c7
r4rk1/1p5p/2p1b3/p1P1bp1n/P7/2NRB3/1P2N1PP/5RK1 w - -,e3h6
8/7p/6p1/1p6/2k1PK2/2PN4/4p2P/8 w - -,f4e3
8/5p1k/1p2b1p1/2p1p1qp/P1PbP1P1/3QNB1P/P4PK1/8 b - -,d4e3
6k1/2p4p/2r3p1/1r1pP3/1p2N1b1/8/P4PPP/2R1R1K1 b - -,c6c1
6r1/pk5p/1p1Bp3/n2pPp2/8/PR6/2P2PPP/6K1 w - -,b3h3
1k3r1r/pp6/q3pRn1/3pP1Pp/2pP4/P6K/2PB1P2/R2Q4 b - -,h8g8
8/8/5k2/6p1/4K1Pn/5P2/8/4N3 w - -,e1d3
8/3N2k1/p7/2p1p3/P3P2p/1P1n1K2/5P2/8 b - -,g7f7
1n1r2k1/2N2pbp/1R1p2p1/p1p1p3/b1P1B3/3P2P1/P3PP1P/2B3K1 b - -,h7h6
8/p4pp1/2pk3p/3rp3/P1R3P1/1P3K1P/4P3/8 b - -,a7a5
6k1/3qn1pp/pR2Nr2/7Q/2P5/7P/P4PP1/6K1 w - -,b6b8
r3r1k1/pppnqpp1/3p1n1p/3P3b/2P1p1PB/P3P2P/1PQN1P2/R3KB1R b KQ g3,h5g6
nr5r/1p2k1pp/p3b3/2Pp2N1/5B2/5P2/PP3KPP/4R3 w - -,e1e6
R7/1r2b1k1/1rp1p1p1/4Rp1p/3PQ2P/2qBP1P1/5P2/6K1 w - f6,e4f4
7r/8/8/8/3k2K1/7p/8/4R3 b - -,h3h2
8/8/3b4/3kp2R/r2p3P/3N1KP1/4P3/8 b - -,a4a1
rnb1k2r/pp2bp1p/4p3/2P2p2/8/6N1/PPPN1PPP/R3KB1R b KQkq -,e7c5
r1q1r1k1/2p2pp1/ppn1bn1p/2b1p3/4P1PN/2P2P2/PP2QNBP/R1BR2K1 w - -,b2b4
8/p2k4/4p3/4P1pb/P1K5/1r6/4p3/4R1B1 b - -,b3f3
r2b1rk1/pb1q1ppp/1p3n2/2pp4/2P2B2/5N2/PPB2PPP/3RRQK1 w - -,f3e5
8/3b1pp1/4k2p/1P2R3/5P2/7P/5KP1/1r3B2 b - -,e6d6
4r3/3rbp1k/pqn1bnpp/1pp1p3/4P3/P1PPNQ1P/2B1NPP1/RRB3K1 b - -,e8d8
8/8/2pn1k1p/B4p2/P1P2P1P/2K5/4B3/1b6 b - -,d6b7
5k2/5p2/5bp1/7p/1NRP4/1r4P1/5PKP/8 b - -,f8g7
2r1k2r/1p1qbbpp/4pp2/3n4/1p1B3P/3P1NPB/P1P1QP2/R3R1K1 b k -,c8c6
r1br1bk1/1p3pp1/p3p2p/4P3/q1B1Q2P/P5R1/1P2NPP1/5RK1 b - -,a4c6
r2qkbnr/pb1npp2/2pp2p1/1p1P2Pp/4P3/2N1BP2/PPPQ3P/2KR1BNR b kq -,c6d5
8/p3kp2/2p1p3/2Pb3p/5PpP/2K3P1/P7/3B4 w - -,c3d3
8/5k2/3Kp2p/2N1P3/6P1/5n2/8/8 w - -,c5e6
2rqr1k1/p3ppbp/1p3npB/3p1bN1/3P3Q/5RP1/P1P2PBP/4R1K1 b - -,e7e6
r4rk1/pb1p4/np1q2pp/2p1bp2/2P1p2P/P3P2R/1P2BPPN/1RBQ2K1 w - -,d1c2
rnb2k1r/pp3pp1/4p2p/2pPP3/3P2Q1/P7/2qB1PPP/R3KB1R b KQ -,c2g6
rr6/pp1k1pp1/4p2p/P1Bn4/3P4/4P2P/4KPP1/1RR5 w - -,g2g3
7k/1p1n1ppp/1p3n2/p3qR2/P3r1P1/1NPQ4/2P5/1K1R4 b - -,e5e6
r1b2rk1/ppq3pp/3b1n2/3pn3/8/3B1NN1/PP1B1PPP/R2Q1RK1 w - -,f3e5
1rb1r1k1/p4ppp/2p2n2/q2pb1B1/8/2PB1Q1P/PP2NPP1/1R3RK1 w - -,e2d4
1nq4k/5ppp/3b1n2/3p4/B2Q4/5P2/P5PP/1R4BK b - -,b8d7
3rr1k1/P5bp/3P2p1/2p2p2/1pN1n3/5B1P/1P3PP1/R4RK1 b - -,g7f8
r3r1k1/1p4bp/p1p5/4p3/P2p3B/1P3bP1/N1Pn1P1N/1R2R1K1 w - -,b1c1
r1bq1rk1/pp2bppp/2p1pn2/3n4/3P4/2NBPNB1/PPQ2PPP/R3K2R b KQ -,d5b4
r2qk2r/5pbp/p1np4/1p1bpp2/4P3/2PB4/PPN2PPP/R2QK2R w KQkq -,e4d5
7r/5pk1/3p2p1/4q3/pp4P1/2b2P2/P1P2RK1/3R1Q2 w - -,f3f4
2r5/R7/3p3p/1PrPk1p1/2p1P3/2R2P1P/3KB1n1/8 b - -,c5b5
r2qkb1r/pp1n1ppp/2p1pn2/3p4/8/3P1NPP/PPP1PPB1/R1BQ1RK1 b kq -,f8d6
1r3n2/2q2kpp/3bpr2/p2p4/3P1p2/2P2Q1P/RPB2PP1/4R1BK b - -,f7g8
5r2/1p1kp2p/p5p1/5b2/2PP4/1P2R3/P4BPP/6K1 w - -,g1f1
1r2r1k1/1pR1nppp/pn1P4/4N3/4P3/P4PP1/1B4KP/2R5 b - -,e7g6
1k1q3r/ppr1b3/2n2n1p/3p4/3Pp3/1Q4PB/PB1N3K/1R2R3 w - -,b3a4
k4r1r/qp1R1ppp/p3p3/P1p1Pb2/BnP4Q/6BP/1P3PP1/3R2K1 b - -,a7b8
7r/2q1nkb1/1np1ppp1/pp1pP3/3P1PP1/2N5/PPP1BBQ1/2K2R2 b - -,f6f5
rn1q1rk1/p1p1bppp/b3pn2/4N3/P1pP4/1p4P1/1P1NPPBP/R1BQ1RK1 b - -,d8d4
2R5/8/3r2p1/5p2/3k1P2/5K2/8/8 w - -,c8a8
8/kp5R/p2N4/2n5/2P5/5K2/6P1/2r5 b - c3,c1d1
r2qrbk1/pb1n1pp1/1p1ppn1p/8/1PPP1B2/P1NB1N1P/5PP1/2RQR1K1 b - -,e6e5
r1b1kb1r/ppqppppp/2n2n2/1Bp5/8/1P2P3/PBPP1PPP/RN1QK1NR w KQkq -,f2f4
2kr3r/pp2b1pp/2n2n2/2P2p2/1PP1p3/P3PP2/1BKNN1PP/R6R w - -,a1d1
1r1q1rk1/2pbppbp/p1n2np1/1pp5/3PP3/4BP2/PP1QN1PP/2RNKB1R w K -,c1c5
r2q1rk1/p4ppp/2p1pn2/3p1b2/Q2P1B2/2P1PN2/P4PPP/R3K2R w KQ -,f3e5
r1bqk2r/1pp2ppp/p1Bp1n2/2b1p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,b7c6
8/5ppk/2p4p/1q6/p2QP3/3P2P1/5PKP/8 w - -,d4d6
7r/4kp2/2b1p3/3pPn1P/3P1N2/p1P5/2P1NP1R/1K6 b - -,c6b5
r2qr1k1/1p1bbpp1/p1ppnn1p/8/3P3B/2NB1N1P/PPPQRPP1/4R1K1 w - -,h4g3
2kr4/pb1r1pp1/1ppqpn1p/8/3P4/1BN1QP2/PPP3PP/2KR3R b - -,f6h5
8/1k3p2/ppnbp1p1/7p/PP3P2/1KPBB1P1/7P/8 b - -,d6e7
1r4k1/p4p2/6p1/2ppP2p/8/2PP2P1/P1R3KP/8 b - -,g8f8
r2qkb1r/3b1pp1/3ppn1p/p7/1p1NP1P1/4BP2/PPPQ3P/2KR1B1R w kq -,h2h4
3r1r1k/1p5p/2n3p1/pN1bqp2/P3p3/1P5P/2PR1PP1/R3QBK1 b - -,f5f4
rn1q1rk1/1bpn1pp1/1p5p/p2pP3/1b1P4/3B1N2/PPQN1PPP/R1B2RK1 w - -,a2a3
r4rk1/1bbnq1pp/p1p5/1pPpPp2/PP6/2BBPN2/4QPPP/R2R2K1 b - -,d7e5
6r1/pp2b2k/4p2p/6P1/3pPp2/3N3P/PP3P1K/6R1 w - -,g5h6
r5k1/5pp1/2r1p2p/1p1bP3/p7/1PPRBP2/P1R3PP/6K1 w - -,c2b2
3r4/6pk/2R4p/5q2/4nPN1/4P1P1/1P4KP/2B2Q2 b - -,f5g4
1rb1r1k1/R2n1pbp/3pp1p1/2q3P1/1pn1PP2/2N5/1PP1NQBP/2B2R1K w - -,c3a4
r2q1rk1/pb1n1ppp/1pp2b2/3p4/3P4/PQN2NP1/1P2PPBP/3RK2R b K -,f8e8
2r3k1/4bp1p/pp2p1pB/n2qN2n/3PN3/4Q3/PP3PPP/3R2K1 w - -,e4c3
r1b5/pp4bk/2p3pp/2q2r2/2B2P2/2N4P/PP1Q2PN/R2R2K1 w - -,g1h1
rq2r1k1/4bppp/4p1n1/np1bP3/8/P3QN2/1B1N1PPP/RB2R1K1 w - -,b1e4
2B1rq1k/pb3pp1/1nn4p/8/1ppQ4/6B1/PP3PPP/3RR1K1 w - -,e1e8
rnbqk2r/pppp2pp/4pn2/5p2/2PP4/2N5/PP1QPPPP/R3KBNR w KQkq -,g2g3
r2k4/4p3/3p2p1/3P1bN1/2p2P2/6PP/P1r5/4RBK1 b - -,a8a2
r2q1rk1/4bp2/p3p2Q/1p1bN3/3Pn3/1BPR4/P4PPP/5RK1 b - -,e7g5
r2qr1k1/p3bppp/2p1p3/3n2B1/PnBP1P2/2N2Q2/1P4PP/R2R2K1 w - -,g5e7
r1bqr1k1/pp1nppbp/2p2np1/4p3/2PP4/3BBN1P/PP3PP1/RN1Q1RK1 w - -,d4e5
r1bN4/6k1/6p1/1np1p3/p3P3/P1b1R1PK/5P2/1R6 w - -,h3g2
rnbqk1nr/pp3ppp/3pp3/3p4/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,g8f6
