1R6/8/3p4/2nk4/8/2b1K3/1p6/1B6 b - -,d5c6
r1bqr1k1/1pp2p1p/3p1npb/p1nPp3/2P1P3/1PN5/P1QNBPPP/R1B1R1K1 b - -,c8d7
rn1q1rk1/pbppbppp/1p2pn2/8/3P4/4PN1P/PPPNBPP1/R1BQ1RK1 b - -,c7c5
3r2k1/ppn2pp1/1qp1p1p1/8/2P1P1P1/7P/PP2QP2/4RBK1 b - -,d8d6
2r3k1/4qpbp/1p2p1p1/p2pP1P1/3P2NP/P2Q4/1P4PK/5R2 b - -,e7c7
2r1r1k1/pb1nqp2/1pp3pp/3p3n/1P1P4/2NBPN2/P3QPPP/1RR3K1 w - -,d3a6
rr2n1k1/5ppp/p2qp3/2Qp3b/N2P3N/n1RBP2P/P4PP1/5RK1 b - -,a3b5
1kb3rr/1p2bp2/p2ppp2/q4P2/4P2p/1PNB3R/1PP2QPP/1K1R4 w - -,h3h4
r4k1r/1p1bbp2/p2pp2p/q3B2n/3NP1p1/1BN5/PPP1QPPP/3R1RK1 b - -,d6e5
2r4r/1q2kppp/p2bpn2/P7/1p1N4/1P2P2P/1B2QPP1/R1R3K1 w - -,d4f3
2kr3r/pp1nbpp1/2p1pnp1/8/2P5/P1N3P1/1PR1PPBP/R1B3K1 w - -,b2b4
3R4/4k3/3p2p1/2nPp3/8/2n1P2P/3K4/8 w - -,d8g8
3rr1k1/pp1q2p1/2npp2p/5p1P/2P2PQ1/1P2R1P1/PB5K/3R4 w - f6,g4f3
5r2/1pp2rbk/p2p2pp/3Pp1n1/1P2PQPN/P4PKP/1B6/3R1R2 b - -,e5f4
6k1/pp1r1p1p/2b2PpB/8/1bB4P/2P5/PP4P1/2K4R b - -,b4f8
8/5K2/7k/8/5n2/3b4/3R4/2B5 b - -,d3g6
8/8/1pn2p2/p2p1n1p/P2P3P/1P2KN1k/8/4B3 w - -,e3d3
8/p2q2pk/1p2p1bp/1P1n1p2/1BQPn3/4P1P1/5PBP/R5K1 w - -,c4c6
5rk1/p4pb1/1r4pp/2p2b2/2B2q2/2P3N1/PP3RPP/3R2K1 w - -,f2f4
8/8/p7/1p2k1p1/1P5p/P3R1PP/r4PK1/8 b - -,e5d4
r2q1rk1/ppp1nppp/8/3p4/3Pn3/2N1P1P1/PP2QPP1/R3NRK1 b - -,c7c6
rnq2rk1/pp3ppp/2pbpn2/3p4/2PP4/1QN2BP1/PP2PP1P/R1B2RK1 w - -,c1g5
4r1k1/1q3pb1/5npp/2nPp3/1p2P3/1P4P1/1B1NQ2P/4NR1K w - -,e1f3
rnb1k2r/ppp1qppp/1n2p3/3pP3/3P1P2/2N5/PPP3PP/R2QKBNR w KQkq -,g1f3:d1d2
5rk1/1p2R2p/3p4/pPpP1p2/5b1q/1P1P1QP1/7K/5R2 w - -,h2g2
r1bkr3/pp1pnp1p/5Qp1/3PN3/2P2p2/8/qP3PPP/2KR1B1R b - -,a2a1
1k6/1p6/p1n4P/6K1/8/3R2R1/8/7r b - -,c6e5
1q1rr1k1/pp3ppp/6b1/2pP1p2/PbB1PP2/2N5/1P4PP/R1QR2K1 w - -,e4e5
1r1r2k1/2q2p2/5bpp/2pP4/2B5/3Q3P/PP3PP1/R3R1K1 b - -,f6b2
rnbqk2r/ppppb1pp/4pn2/5p2/3P1B2/3BP3/PPP2PPP/RN1QK1NR w KQkq -,h2h3
3q3k/p5b1/3p2p1/3Np2p/2Q1P3/2P4P/1P4P1/5K2 w - -,c4e2
3q1rk1/p2b1ppp/1r3n2/2bpn3/3N4/2N1P3/PP2BPPP/R1BQK2R w KQ -,e1g1
rnbq1rk1/ppp2pp1/3b1n1p/4N3/2BP4/7P/PP3PP1/RNBQ1RK1 b - -,b8d7
8/8/1P6/2P2k2/2K4P/6p1/7r/R7 b - -,f5e6
r1q1r1k1/pb2b1pp/1pn1pn2/3p2N1/3p1PP1/2N1B3/PPPQB2P/1K1R1R2 w - -,e3d4
rn2kb1r/pp2pppp/1qp1b3/4N3/3P4/2n2Q2/PPP2PPP/RN2KB1R w KQkq -,f3c3
4rr1k/1pq4n/3p3p/p1pP1P2/3b1P1B/PP1B1Q2/6P1/1R2R2K b - -,c7g7
r3k2r/pp2bpp1/2p5/q2nNp1p/3P2b1/2P3N1/PP1QBPPP/R4RK1 b kq -,g4e2
4q3/6pk/4p2p/4Pp2/3rrP2/5R2/5QP1/5RK1 w - -,f2a2
4r1k1/p1p3p1/1pnpP1p1/n4rN1/2P1R3/B1P5/P4PPP/R5K1 w - -,f2f4
5k2/2r3rp/5p2/p1pP3P/4Pp2/1P3P2/P7/KR4R1 w - -,h5h6
B2qrbk1/5p1p/6p1/p7/1ppP2n1/4P3/PPQB1RPP/4N1K1 w - -,a8f3
r2qkb1r/1bpn1ppp/pp2p3/8/P1BPN3/5N2/1P3PPP/R1BQ1RK1 b kq -,b7e4
5k2/2R3p1/4ppp1/7P/1P1P1PK1/4P3/5r2/8 b - -,g6h5
r5k1/1q1p1r1p/2b1p1p1/2B1P1P1/p1P4P/4QpP1/2P2R2/R5K1 w - -,c5a3
r1b1k2r/ppp2ppp/4p3/4P1B1/2B5/8/P4PPP/b2Q2K1 b kq -,f7f6
r2qkbnr/pp1n1ppp/2p1p3/3p4/3P4/3QPN1P/PPPB1PP1/RN2K2R b KQkq -,f8d6
r2qr1k1/2p1npp1/np5p/p7/3PP3/P4P2/2N3PP/R1BQ1RK1 w - -,c1f4
rnbk1b1r/ppp2p1p/5np1/4p3/4PP2/2N5/PPP3PP/R1B1KBNR w KQ -,f4e5
8/p2r4/4R3/1P3pk1/1P2p1p1/7P/5PK1/8 b - -,g4h3
3r3r/1p2bkpp/p4p2/8/2P1pn2/1P6/PB3PPP/R2RNK2 w - -,g2g3
r4rk1/pb1q3p/1n1p1bp1/1p1Pp3/6P1/1P2B2P/P2QNPB1/2R2RK1 w - -,f2f4
r1br4/ppq2pk1/6pp/2pNp3/3b2n1/3P2PN/PPQ3BP/4RR1K b - -,c7d6
r1b1k2r/1p1nbppp/n1pp4/q2Pp3/2P1P3/1P2BP2/N2Q2PP/1RN1KB1R b Kkq -,a5d2
8/1r1npk1p/p1q2ppB/2PR4/1P6/7P/3Q1PP1/6K1 b - -,c6a4
1r1b2k1/pp3pp1/4pnp1/N2n4/3P4/P2B2P1/1P1B1P1P/2R3K1 w - -,b2b4
r4rk1/ppp1q2p/1n1p1Rp1/6n1/P1PP2PB/8/1PQ1B2P/5RK1 b - -,f8f6
r2qk2r/pp2bppp/2n1b3/3pPp2/3P4/P1N2N2/1P3PPP/R1BQ1RK1 b kq -,g7g5
r7/1p4pp/2pknpb1/p3p3/N1PrP3/PP3PP1/5K1P/2RR1B2 w - -,c4c5
1b6/8/8/6N1/Bp1k1p2/6p1/2P1K3/8 b - -,d4c3
rn1qk2r/pp2ppbp/3p1np1/2pP4/4PBb1/2N2N2/PPP2PPP/R2QKB1R w KQkq -,f1e2
2r3k1/1p2bppp/4p3/1p6/2r5/2PRR2P/PP3PP1/7K b - -,c4c7
4rk2/3b1npp/r1p2p2/p1p5/P3PP1P/8/1PP3B1/2KR2R1 w - -,d1d7
r1bqk2r/p3bp2/4p2p/1p2Pp2/2pPN3/2P5/PPB3PP/R2Q1RK1 w kq -,d1f3
1r2r3/2p5/2kn2p1/4p1Np/4p2P/1P4P1/P3RP2/3R2K1 w - -,g5e4
r1b1r1k1/p3bpp1/2p1p2p/qp4P1/3PQ1nP/1BN1PN2/PP3P2/R3K2R b KQ -,e7b4
7R/8/1p3kr1/2p2b2/P1P2p1P/1P3P2/5KP1/8 b - -,f6e5
2r2rk1/p3qp1p/4p1p1/1p6/1PB2R1P/2Q1PP2/P4P2/2R3K1 w - -,c3b3
rn1qkbnr/pp2pppp/2p5/3p4/2P3b1/1P6/PB1PPPPP/RN1QKBNR w KQkq -,g2g3
r3k2r/p1qbnpp1/1p2p2p/n1ppP2P/3P4/P1PB1N2/2P2PP1/R1BQ1RK1 w kq -,a3a4
3rr1k1/6b1/1p6/7p/pPP1N1nP/P2p2P1/3B2K1/4RR2 b - -,d8d4
r4rk1/1pp2ppp/3qp3/pP2P3/P2P4/4P3/1Q3PKP/R4R2 b - -,d6d5
r2qkb1r/1b3ppp/p3pn2/2P5/Pp6/3BPN2/1P3PPP/R1BQ1RK1 b kq -,f8c5
2bqk2r/4pnbp/p2p4/2pNpPP1/P2rP1P1/1B6/1PP4Q/2KRB2R b k -,h7h5
2r4k/p4qp1/1p3p1p/4r3/P1P5/6RP/2Q2PP1/1R4K1 w - -,b1d1
3n4/p3k3/2p5/r3P3/P1R2K2/1P1N4/8/8 b - -,a5a6
1k2r3/1bq1r2p/ppn3p1/2p3N1/PnN1p3/1P4P1/2PQ1PBP/2R1R1K1 b - -,c6d4
r3nrk1/1b2qppp/pb2p3/1p1nP3/3NN3/P1P3B1/1P2Q1PP/1B1R1R1K b - -,f7f5
r1bq1rk1/p5pp/2pppb2/2p5/2P5/2NP4/PP2QPPP/R1B1R1K1 b - -,a8b8
r7/p5Rp/R7/5p1k/3P4/3r2P1/5P1P/6K1 w - -,g7h7
1k1rr3/1pq3p1/p3pb1p/P2p4/B1p1P3/R1Pn4/QP2NPPP/5RK1 b - -,e8f8
r4rk1/pbq1ppbp/1p1p2p1/8/P1pPn3/2P1PN1P/1PB2PPB/R2QR1K1 b - -,e7e5
r4rk1/5pbp/5np1/q1pPp1B1/4P2P/2N2B2/PP3P2/n2QK2R b K -,f6d5
1rbn1k1r/pp2ppbp/3p2p1/1BpP4/8/NPP1PNP1/1P3PP1/R3K2R w KQ -,b5d3
2r3k1/R4p1p/3pr3/2p5/2P2p2/1P3P2/PK4PP/2R5 w - -,c1c2
