8/1P2Q2p/7k/3q1p2/5K2/6P1/8/8 b - -,d5d4
7k/2b2Bp1/p6p/2Q1PP1n/5P1q/2p4P/P3R1KB/1r6 b - -,h4d8
8/7k/8/ppp1Npn1/8/PP1PPP2/5K2/8 b - -,f5f4
3r1bk1/p2r3P/1p1pp3/5p2/PBP1qQ2/1P1R2P1/5P2/3R2K1 b - -,g8h7
6k1/4b1p1/4b2p/3p1p1P/2pP1P2/1rP3P1/R2B2K1/3N4 b - -,e7a3
r1bq1rk1/pp2bppp/2n1pn2/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,a1c1
r2q3k/pp5p/2nr1ppb/3Np3/1PB1P2P/PQ1R2P1/5P2/3R2K1 w - -,g1g2
1qr3k1/5pp1/4p2p/pN2P3/8/1PN4P/P3QPP1/6K1 b - -,c8c5
r1bq1rk1/1p3ppp/p1n2n2/2bp4/8/1PN1PN2/PB2BPPP/R2Q1RK1 b - -,c5a7
rnbq1rk1/3n1pbp/p2pp1p1/Np1N2P1/1P2P3/4BP2/P1PQB2P/3R1RK1 w - -,c2c4
r5k1/2p2ppp/1pp1r1q1/8/2P1Nn2/P4P2/1PQ3PP/3RR2K b - -,a8e8
r7/2k1bp2/1p2pp2/7p/PPK1PP1P/3R2P1/4N3/8 w - -,c4b5
2b1r3/bp2rkp1/p1p2p1n/2Np3p/1P3P1P/3PP1P1/1P1B1K1N/R3R3 b - -,f7g6
7r/1prbkpp1/p1n1p3/3pP2p/5P1P/1P2RN2/PKP1B1P1/3R4 b - -,h8c8
8/3nB3/7k/2p3p1/b1P1p1P1/K3P3/8/8 w - -,a3a4
4b3/1r2n2k/p2p2pP/2pPp1Q1/2q1PrR1/P1N2P2/1P3R2/1BK5 b - -,c4d4
1r5k/p3p1bp/3p2p1/3P2PB/1p6/2q1B1r1/PPP5/1KQR3R b - -,c3e3
1kb3rr/pp3p2/2p4p/4p2n/B3P2q/2P2QP1/PP3P1N/3RR1K1 w - -,g1h1
1rbq1rk1/4np1p/p4p2/1p1Pp3/7P/2PB4/PPN2PP1/R2QK2R b KQ -,d8d5
5k2/pp2n3/7p/1PPr2p1/P2p1PP1/3Q4/5K1P/8 w - g6,f4f5
5bk1/6p1/5p1p/7P/3NP1P1/6K1/8/8 b - -,f8d6
2r3k1/p7/5p2/1p5p/5p2/1P5P/R5P1/7K b - -,c8c7
r2qrnk1/1b2bppp/pp1p1n2/2pP4/P3PB2/2N2N1P/1P2BPP1/R2Q1RK1 w - -,f1e1
8/5pp1/1p2p1k1/2bnP2p/r6P/2PN2P1/3B1P2/3R1K2 b - -,a4a3
4b3/2k5/4p3/1p4p1/8/3BK1P1/P7/8 b - -,c7d6
1k3r2/pb1B2q1/1p2p2p/3pP1pP/3Q2P1/P7/1PP5/2K1RN2 b - -,g7d7
8/1B2b1k1/p5P1/P4K2/1P1p4/8/2P5/8 w - -,b4b5
6k1/5pp1/2q4p/3bb3/1p2p3/4P3/1P2BPPP/2BQ2K1 w - -,d1d2
2r3r1/3nkp2/pp1pNP2/3Pp1p1/8/2P5/P5PP/1R3RK1 b - -,d7f6
r1bq1rk1/p1pnbppp/1p3n2/3p2B1/3P4/2NBPN2/PP3PPP/R2QK2R w KQ -,e1g1
r1bqkb1r/1p3n1p/p1n1p1p1/1N1pP3/7P/2PB1N2/2Q2PP1/R1B1R1K1 b kq h3,c8d7
4R3/8/5k1p/r4p1P/5P2/6PK/8/8 b - -,f6f7
r2qkb1r/1b1n1ppp/p3pn2/1pp5/P2P4/5NP1/1PQ1PPBP/RNB2RK1 b kq -,a8c8
1r6/2p3k1/4b1p1/8/p2Pp1P1/4P2P/1P6/1KR2R2 b - -,b8b7
2rqr1k1/3bbppp/pn1p3n/1p1Pp3/1P2P3/2N3PP/PB1N1P2/R2QRBK1 w - -,a2a4
6k1/3R1np1/2r4p/4p3/p3N2P/1P4P1/P7/6K1 w - -,g1f2
8/8/8/4p3/1p1k1n1P/2p5/2R4P/3K4 w - -,c2a2
8/8/1Kp5/3q4/5p2/8/4k2Q/8 b - -,e2e3
3r4/pp5k/7p/2P5/3p1n2/3K1N2/PP6/6R1 w - -,d3e4
r1b2rk1/2q1bppp/p1pp1n2/4p3/4P3/PBN1B2P/1PP2PP1/R2QR1K1 b - -,c8e6
8/8/3pN3/b1pPk3/2P5/1P1K4/8/8 b - -,e5f5
1b2r1k1/5p1p/2pq2p1/p2p4/P2P3n/2N1P2P/3NQPP1/4R1K1 w - -,d2f1
5k2/p1bq2p1/1pn1pp1p/2p4P/P1N1P3/1PB3P1/2P1QPK1/8 b - -,c6d8
2rr2k1/pp2qpBp/2n1b3/2bp4/8/1P2PNP1/P2Q1PBP/2R2RK1 b - -,c5e3
r1b2rk1/p2n1pbp/q2N2p1/2pP4/2N5/7P/PP3PP1/R1BQK2R w KQ -,e1g1
r1r3k1/4bp1p/1q2p3/p1pp1p2/3P4/P3P3/1P2NPPP/1RRQ2K1 w - -,d4c5
2k3rr/pppq1p2/3p3p/4pR2/1P2P1nb/1NPP1Q2/P5K1/R1B5 w - -,f5f7
r4rk1/pb3p1p/6p1/2pP4/2q5/8/P2QNPPP/R4RK1 w - -,e2c3
r2r2k1/pp2ppbp/1qnP2p1/3P4/4nP2/5N2/PP1BB1PP/2RQKR2 b - -,e4d2
r1b1kq1r/ppp2ppp/1b6/4pP1Q/3pP2B/1B1P4/PPP3PP/R4RK1 b kq -,h7h6
r5k1/p2rpp1p/1pRN2p1/3Pb3/4P3/4B3/P4PPP/2R3K1 b - -,e5d6
4b3/pp4k1/2n1P3/5Pp1/6P1/PP4K1/8/3R4 b - -,g7f6
rnbqk1nr/ppp1bppp/4p3/3p4/3P1P2/4PN2/PPP3PP/RNBQKB1R b KQkq d3,a7a6
8/5p2/6k1/6P1/1pPpb3/1P3pP1/5K2/3B4 w - -,d1f3
nr3rk1/1p1n1Nb1/p5pp/2P1p3/8/1B2B1P1/PP2RP1P/3R2K1 b - -,d7f6
1q2rbk1/1pQn1p1p/p3pnp1/3pN3/3P4/1P2P3/PB2NPPP/2R3K1 b - -,e8d8
8/b2k2p1/3p3p/1n1N1p2/8/6PP/3B1PK1/8 w - -,g3g4
5B2/3r4/4kp2/1p6/1P3K2/2P2P2/R3b3/8 b - -,e2c4
3n2k1/p1R2r1p/1p1p4/1B1Ppq1n/1P3p2/5P2/P2Q2PP/2R3K1 w - -,d2d3
r1b2rk1/pp3pqp/2n3p1/4p3/1bP1N3/PN1B2P1/1P2QP1P/3R1RK1 b - -,b4e7
r1bq1rk1/ppp2ppp/2n5/4p3/2B5/2PP4/P1P2PPP/R1BQ1RK1 w - -,f2f4
1k1r3r/pp2bp1p/2p2p2/3qnQ2/8/2P1BP2/PP2BP1P/R4KR1 b - -,d5e6
r1b1qrnk/2p3pp/1p1p4/2nPpp2/pNP3P1/2P1PP1P/P1Q4B/3BR1RK b - -,e8f7
6k1/2pb2p1/3p3p/1p1P4/1P2Q3/P3N2P/4q3/7K b - -,e2f2
r2q1rk1/pp2npp1/4b2p/3pP3/2p2PP1/2N1P3/PP4BP/R2Q1RK1 b - -,g7g6
r5k1/3q1pp1/p2P3p/8/6P1/7P/P2RQ2K/8 w - -,e2c4
8/3b2pk/p3qp1p/3p4/1PpB4/P1P2P1P/5QPK/8 b - -,e6d6
3r1r2/1p1qnp1k/p3nQpN/1bp4p/4P3/6P1/PPP2RBP/2N1R1K1 w - -,h6f7
5B2/5p2/4nkpp/8/1pB2PP1/1Pb1K2P/8/8 w - -,c4e6
1r1r2k1/3P1pb1/pp1Q2pp/2p5/2P1b3/1P2B1Pq/P3NK2/3R1R2 b - -,h3f5
1r1qr1k1/p2n1pbp/b2pp1p1/2pNnPPP/1p2P3/3P1N2/PPP3B1/R1BQ1RK1 w - -,f3e5
8/1k4p1/p3pn1p/2P4P/6P1/P2N2K1/8/8 b - -,b7c6
8/5Rp1/3k4/4p3/5p1P/4r3/3K4/8 b - -,e3g3
8/n2kbR2/2p1pr1p/NpPp2q1/1P1P4/8/2Q4P/5R1K w - -,f1f6
r4rbk/1pp1p1b1/pn3npp/3Pq1N1/6P1/1QN1BB2/PP3P1P/3RR1K1 w - -,e3c1
r2b1rk1/P5p1/4Rp1p/1N1nP3/8/4B3/5PPP/R5K1 b - -,f6e5
r2r2k1/ppn2pbp/2ppb1p1/2n5/2PNPP2/1PN1B1PP/P5B1/1R1R2K1 w - -,b3b4
r1b1kb1r/1pq2p1p/p1nppp2/8/3NPP2/2NQ4/PPP1B1PP/R3K2R b KQkq -,c6d4
2kr2nr/1pp1qpp1/p1pN4/4p3/4P1b1/1P1P2Pp/PBPQNP1P/R3K1R1 b Q -,c7d6
8/5k1p/4n3/R3P1P1/5B2/6P1/Pr5P/6K1 b - -,f7g6
r5k1/pp2prq1/2bp3p/2p2p2/2P2P2/PP4P1/4RK1P/3QR3 w - -,e2e6
r3r1k1/1bq2ppp/p2b1n2/P2p4/1pnB4/1N1B1N1P/1PP1QPP1/R4RK1 w - -,e2d1
8/4q2k/Qp1pN1p1/2pPp3/2P5/P7/7P/4n2K b - -,e7f6
2kr4/1p3ppp/pqnrb3/3p4/8/1NP3P1/PP2QPBP/R4RK1 b - -,c8b8
2br1rk1/1p4pp/p1pPq3/2R2p2/1P3P2/6P1/P2QP1BP/3R2K1 w - -,c5e5
6k1/5p2/6p1/pK6/5r2/2PB4/7P/8 b - -,a5a4
r2q1rk1/pb1nbppp/1pp5/8/3PB3/2N3P1/PP1B1P1P/R2Q1RK1 w - -,d2f4
