8/2r2p2/3k4/1p3R1p/8/5K1P/6P1/8 b - -,c7b7
8/1R2k2p/5p2/6q1/3BP3/3K2PP/p4P2/8 b - -,e7e6
6k1/4n1pp/4q3/1p1p1p2/r1bP4/2B1P1P1/1Q3P1P/3R1BK1 w - -,f1c4
R7/3r2kp/4p1p1/3p1nP1/5PKP/8/5P2/8 b - -,d5d4
3r1rk1/pbq2pbp/2n2np1/1p2p3/P1p1P3/2P1N1P1/1P2QPBP/R1B1RNK1 b - a3,a7a6
r1bq1rk1/pp2ppbp/2np1np1/8/3NP3/1BN2P2/PPP3PP/R1BQK2R w KQ -,c1e3
K7/4k3/2P5/8/4P3/1r6/p5p1/R7 w - -,c6c7
8/1Nn2pkp/b1N2qp1/P2p4/5P2/5QPP/6BK/4b3 w - -,b7d8
r3qrk1/2n4p/p1n2bp1/2p1p3/Pp2Q1N1/2P2N1P/1P3PP1/R1B1R1K1 b - -,e8e6
r4rk1/2p1qppp/p2b1nn1/1p1Pp3/2Q5/1PN1P2P/PB1N1PP1/2RR2K1 w - b6,c4d3
r7/8/5P2/3Nk3/PK5p/8/5N2/8 w - -,d5b6
3q2k1/3n1pbp/p1b1p1p1/2B1P3/8/4Q1N1/PP2B1PP/6K1 b - -,d7c5
8/6k1/8/8/3K1p2/1R2p3/5r2/8 b - -,e3e2
8/3k4/3p4/4pp2/8/4N3/5P2/5K2 w - -,f1e2
r1bqrbk1/1p1n1p1p/1npp2p1/6P1/p1PP4/1PN3NP/PB3PB1/R2Q1RK1 w - -,h3h4
8/b7/4pkp1/4p2p/8/3P1BP1/5PKP/8 b - -,a7d4
r2qr1k1/pp1nbppp/2p2nb1/8/3NP3/2N1BPP1/PP4BP/R2Q1RK1 b - -,d8a5
2rq1rk1/1p1bb1pp/p3p3/3pPp2/1n1N1P2/2NPB3/PP2Q1PP/2R2RK1 w - -,a2a3
8/pp2kr1p/2p5/8/5r2/8/PP1R3P/4R2K b - -,e7f6
2kr3r/ppp3pp/2p1bn2/4N2Q/3Pp3/2B3PP/PPP2P2/R3K2R b KQ -,f6h5
5k2/R6p/4BP2/3P4/1r6/p2r2P1/4K2P/8 b - -,d3b3
1B6/pp3k1p/4rpp1/2p5/1P1b4/P4P2/5P1P/3R2K1 b - -,a7a6
r2qkb1r/ppp1nppp/3pb2n/1P6/4P3/5N2/PBPP1PPP/RN1QKB1R w KQkq -,c2c4
r1k4r/2p1bpp1/1p2b1np/p1p1P3/P1P5/1P3N1P/1B1RNPP1/3R2K1 w - -,e2c3
4r3/1p2kp2/3n4/P2PKB1p/7P/6P1/8/R7 b - -,e8g8
1rbq1rk1/1p1p1ppp/pN2n3/1B2P3/8/4Q3/PP3PPP/R2R2K1 w - -,b5d7
r2qkb1r/pppnpppp/3p1n2/5b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,f3h4
8/8/3bkpp1/B1p1p2p/2P1P3/2R2PP1/3r3P/6K1 b - -,d2a2
8/5p2/2q2kp1/2r1p2p/1Qp4P/P3P1P1/5P2/2R3K1 w - -,a3a4
r4k1r/1bpn1p1p/1p1pp3/p6N/2PP4/2PB1P2/P4KPP/R6R b - -,a8e8
r2qnrk1/4ppbp/b2p2p1/1BpP2B1/Pn2P3/2N2N2/1P2QPPP/R4RK1 w - -,b5a6
b4rk1/7p/3p1qp1/2pPn3/8/4N3/1Q2BPPP/5R1K b - -,g8g7:f6f4
2kr1b1r/pp3pp1/1qp1p1p1/3n2P1/2PPQ3/1B4B1/PP3P1P/2KR3R b - -,d5c7
6r1/4kpr1/1p1pp1n1/p7/P3P3/2P2p2/1PKR2P1/3B3R w - -,d1f3
1r3rk1/p1q1bppp/2p1bn2/4p3/3pP3/PP1B4/1NPBQPPP/R4RK1 b - -,f6d7
3r4/3N2pp/n1Pk1p2/p4P2/P3B3/8/3P1PKP/8 w - -,d2d4
8/6kp/R7/2r3P1/5PK1/8/8/8 b - -,c5b5
r1bq1rk1/ppp1n1bp/3p1np1/3Ppp2/2P1P3/2NN2PP/PP1B1PB1/R2Q1RK1 w - -,g1h2
2b5/1p5p/pPp2k2/P1Pp4/3N1P2/6K1/7P/8 b - -,c8d7
r1bqk1nr/ppp2ppp/2np4/2b1p3/4PP2/2N2N2/PPPP2PP/R1BQKB1R w KQkq -,f1b5:f1c4
2br1n2/1p3rkp/p1pP1pp1/P1Np4/1R1P4/3B1P1P/1P1K2P1/4R3 w - -,e1e7
8/5k2/4p2p/1p1p1p1P/pP1P1P2/8/4K3/2B5 w - -,e2d3
6k1/ppr1pp1p/3r4/2nP1B2/3R4/1P4P1/P4P1P/3R2K1 b - -,g8h8
4r1k1/pR4pp/1p3p2/8/3P1QN1/6P1/PP2pPKP/4q3 w - -,g4f6
r4rk1/4ppbp/Bp3np1/3pB3/8/2N1P3/PP3PPP/2R2RK1 b - -,a8a6
4r1k1/p4pbp/1p2p1p1/6P1/1nrPR3/4BN2/PP1R1P1P/6K1 w - -,f3e5
r3q3/pbpn2k1/1p2p2R/3pP1b1/6Q1/2PB4/PP1N4/2KR4 b - -,e8e7
8/8/5kp1/r4p1p/7P/5BP1/5PN1/6K1 b - -,a5a3
2r3r1/1b6/p3k2p/1p1P1p1n/4pP2/2B1P2B/1P5P/R4R1K b - -,b7d5
1r6/p5kp/R4np1/P1P2p2/Rp1r4/1B4P1/1P3P2/6K1 w - -,a6a7
rn2k2r/1bqpbppp/p3pn2/1p6/3NPP2/P1NBB3/1PP3PP/R2Q1RK1 b kq f3,d7d6
3r1r2/pB3pkp/1p4p1/2p1n3/2P5/6P1/PP2PP1P/R2R2K1 b - -,e5c4
3r2k1/6p1/4p1np/1B1pPb2/5P2/2B3P1/1P5P/R6K w - -,h1g1
2rq1rk1/np2bpp1/p3b2p/4N3/QP1p4/3P2P1/3NPPBP/1R3RK1 b - -,a7b5
6k1/p4p1p/4B1p1/2p5/8/QP3PP1/P1P4P/1K2q3 w - -,a3c1
4r3/p1q2pk1/2p1ppnp/1bP4Q/1P5P/8/P4PP1/1BR1R1K1 b - -,c7f4
4k3/1R3pp1/1pr1p2p/p7/P1P3P1/1P2K1P1/5P2/8 b - -,c6d6
r1q3k1/p2r1ppp/1p1B4/3p4/2bn4/P1Q1P1P1/3K1RBP/1R6 b - -,d4b3
3r2k1/2q1nppp/3p4/r3QP2/1pP3P1/1P6/3R1PBP/3R2K1 w - -,d2d6
r3k2r/ppqbbp1p/2p1pn2/5p2/1P1P4/P1NQ2P1/2P1NPBP/R3K2R w KQkq -,e1g1
r2qr1k1/pb1n1pbp/1pp1pnp1/3p4/2PP4/BPNBPN2/P1Q2PPP/2RR2K1 b - -,a8c8
r6r/ppp1kp2/4b1p1/3n3p/5P2/1PNB3P/P1P3P1/2KR3R w - -,c3d5
8/p4b2/6p1/2N1kp2/2p4P/P1P1K1P1/1P6/8 w - -,c5a6
4Q3/1q3ppk/p7/1pRr3p/1P1P4/P4PPb/3N3P/6K1 w - -,e8e4
2kr1bnr/3q3p/p1bpp1p1/1p2P1B1/6Q1/P1NB4/1PP3PP/R4RK1 b - -,d8e8
k1r5/p4p1p/2q1pPp1/8/PQ6/8/5PPP/1R4K1 w - -,h2h4
r1bq1rk1/2p1npb1/1pn1p2p/p2p2p1/2PP4/BP2PNPP/P2N1PB1/R2Q1RK1 b - -,c8a6
r2qk2r/pppnbppp/2b1pn2/8/2PPN3/3B1N2/PP2QPPP/R1B2RK1 b kq c3,f6e4
r1bq1rk1/4bppp/ppn1p3/2npP3/5P2/2N1BN2/PPP2QPP/2KR1B1R w - -,h2h4
2rqr1k1/1b3pbp/1p3np1/pPnp4/3N4/P1NBP3/1B3PPP/1QR2RK1 w - -,d3e2
5b2/7k/7p/1Q2Nn1q/1P1p1P2/8/6N1/6K1 b - -,f8e7:h5d1
3rr1k1/p2b1p1p/1q4p1/3P3P/2R5/5B2/5PP1/Q2R2K1 b - -,b6d6
2r3k1/4ppbp/prn1P1p1/2p5/8/2pP2PP/qPQB2BK/1R2R3 w - -,e6f7
r2q1rk1/1p1nppbp/p1npb1p1/8/2P1P3/2N1QN1P/PP2BPP1/1RB2RK1 w - -,b2b3
2rq1rk1/5p1p/pp2b1p1/2p2n2/1n1p4/NP1P1NP1/P2QPPBP/2R2RK1 b - -,f7f6
4r1k1/pq2r1pp/1p3p2/2Pb4/Q2p4/P2P1PP1/4P1BP/R1R2K2 b - -,b6c5
4k3/1NR1n2p/1r2p3/4P3/1p3P2/5K1P/1P6/8 b - -,b4b3
8/5k2/1p1r1p2/p1p4p/5B2/1R3K2/PP4P1/8 b - -,d6c6
3r1r2/1bq2pkp/p1n3pN/1p2p3/5n2/1BPpRN1P/PP3PP1/R2Q2K1 w - -,h6f7
1r1qnrk1/1ppbnpbp/p2p2p1/3Pp3/1PP1P3/2N2NPP/P1Q2PB1/R1B2RK1 w - -,f3e1
r3r1k1/pp1b2q1/3p3b/3P4/4pP2/4Q1N1/PP1N2P1/R3R1K1 b - -,e8f8
r1k5/pp1n1q2/4p1r1/3p4/5B2/5N1Q/PbP2PPP/3RR1K1 w - -,f4g3
1rq3k1/2p2pbp/n2p2p1/3Pp3/B1Q1Pn2/N3B2b/1P1N1PPK/2R5 w - -,e3f4
8/6B1/p3p1n1/3k1p2/3P2P1/1P2K3/8/8 w - -,g4f5
